id,attr_time,attr_x,attr_y,attr_z
1,1435994343815,-0.62728083,9.5013895,1.7190368
2,1435994343816,-0.6302736,9.589376,1.780089
3,1435994343817,-0.7098808,9.521142,1.6232687
4,1435994343825,-0.65182143,9.479243,1.6101006
5,1435994343853,-0.5823896,9.51336,1.6813282
6,1435994343864,-0.63087213,9.569026,1.6867151
7,1435994343883,-0.6380547,9.564238,1.678934
8,1435994343904,-0.65660983,9.53012,1.6831238
9,1435994343923,-0.6823475,9.509171,1.6484078
10,1435994343944,-0.6937199,9.501988,1.6813282
11,1435994343966,-0.62488663,9.578603,1.6807296
12,1435994343983,-0.6206968,9.594764,1.6705543
13,1435994344004,-0.6326678,9.577405,1.6759412
14,1435994344026,-0.60812724,9.473856,1.7046716
15,1435994344046,-0.61112,9.494206,1.7046716
16,1435994344066,-0.62009823,9.523536,1.7166426
17,1435994344086,-0.6171055,9.55885,1.733402
18,1435994344106,-0.6440403,9.576807,1.7034745
19,1435994344126,-0.6572084,9.558251,1.685518
20,1435994344146,-0.66020113,9.5385,1.6831238
21,1435994344166,-0.6290765,9.510966,1.6783354
22,1435994344187,-0.6242881,9.503185,1.6837224
23,1435994344204,-0.6338649,9.512163,1.6968905
24,1435994344226,-0.6147113,9.518747,1.6807296
25,1435994344248,-0.6183026,9.531916,1.7064673
26,1435994344268,-0.6003461,9.524135,1.7112557
27,1435994344287,-0.59256494,9.519346,1.7328035
28,1435994344306,-0.623091,9.536704,1.702876
29,1435994344323,-0.6147113,9.524135,1.6711528
30,1435994344344,-0.6302736,9.519346,1.6741456
31,1435994344363,-0.6063316,9.531317,1.714847
32,1435994344388,-0.6003461,9.487623,1.7250223
33,1435994344409,-0.6218939,9.52593,1.8088194
34,1435994344427,-0.6721721,9.555259,1.6741456
35,1435994344445,-0.59495914,9.458893,1.5406688
36,1435994344475,-0.5979519,9.487623,1.8100165
37,1435994344536,-0.58119243,9.590573,1.816002
38,1435994344537,-0.6434417,9.534309,1.666963
39,1435994344538,-0.5835867,9.500791,1.6514006
40,1435994344543,-0.5434838,9.5492735,1.7190368
41,1435994344574,-0.5823896,9.507375,1.7166426
42,1435994344585,-0.60094464,9.490017,1.6998832
43,1435994344603,-0.61411273,9.488221,1.721431
44,1435994344625,-0.6422446,9.492412,1.6879122
45,1435994344644,-0.63087213,9.532514,1.6927006
46,1435994344665,-0.6087258,9.56304,1.7292122
47,1435994344684,-0.58777654,9.586982,1.7184383
48,1435994344707,-0.6386533,9.562442,1.7764976
49,1435994344726,-0.6015432,9.509769,1.751957
50,1435994344747,-0.6404489,9.494206,1.7196354
51,1435994344766,-0.61171854,9.509769,1.7112557
52,1435994344787,-0.623091,9.529521,1.7483658
53,1435994344807,-0.65301853,9.531317,1.7256209
54,1435994344827,-0.65421563,9.552865,1.7351977
55,1435994344847,-0.6697779,9.528324,1.7256209
56,1435994344867,-0.635062,9.521142,1.6813282
57,1435994344887,-0.635062,9.500193,1.6687586
58,1435994344907,-0.6410475,9.496002,1.6807296
59,1435994344924,-0.6404489,9.506178,1.7040731
60,1435994344947,-0.6410475,9.548077,1.7016789
61,1435994344964,-0.6362591,9.561244,1.7130513
62,1435994344983,-0.66020113,9.536105,1.738789
63,1435994345004,-0.6727707,9.540296,1.7615339
64,1435994345034,-0.66379243,9.512762,1.6903064
65,1435994345050,-0.6691794,9.522937,1.661576
66,1435994345064,-0.6679823,9.51755,1.673547
67,1435994345133,-0.6476316,9.51755,1.7178397
68,1435994345134,-0.6422446,9.527127,1.7585411
69,1435994345135,-0.6895301,9.536105,1.780089
70,1435994345143,-0.7134721,9.585785,1.6256629
71,1435994345165,-0.6619968,9.458893,1.5101427
72,1435994345187,-0.635062,9.469068,1.7932571
73,1435994345241,-0.6919243,9.545682,1.7417817
74,1435994345244,-0.7116765,9.482835,1.6196774
75,1435994345245,-0.6607997,9.545682,1.6729485
76,1435994345265,-0.65242,9.583391,1.7316064
77,1435994345285,-0.66738373,9.567828,1.6927006
78,1435994345305,-0.6703765,9.524135,1.7058687
79,1435994345325,-0.70509243,9.458893,1.7345991
80,1435994345346,-0.75237787,9.487024,1.7232267
81,1435994345364,-0.7128736,9.526528,1.690905
82,1435994345386,-0.6943185,9.545084,1.702876
83,1435994345406,-0.6913257,9.5971575,1.7328035
84,1435994345426,-0.6865373,9.505579,1.7735049
85,1435994345447,-0.6721721,9.451111,1.6897079
86,1435994345467,-0.6919243,9.459491,1.7082629
87,1435994345487,-0.7332243,9.5013895,1.75076
88,1435994345507,-0.7182605,9.5253315,1.7166426
89,1435994345527,-0.6913257,9.519346,1.673547
90,1435994345547,-0.712275,9.48882,1.7022774
91,1435994345567,-0.700304,9.487623,1.7136499
92,1435994345587,-0.6931214,9.495404,1.7238252
