id,attr_time,attr_x,attr_y,attr_z
1,1435991672001,-9.49884,-2.25119,1.48773
2,1435991672022,-9.48483,-2.25874,1.5285
3,1435991672042,-9.49818,-2.26926,1.54256
4,1435991672061,-9.50409,-2.3313,1.50351
5,1435991672081,-9.48369,-2.3555,1.50508
6,1435991672099,-9.4864,-2.37274,1.48532
7,1435991672121,-9.45328,-2.38776,1.49057
8,1435991672140,-9.45285,-2.34323,1.4528
9,1435991672160,-9.43852,-2.33861,1.48824
10,1435991672180,-9.45161,-2.33028,1.48932
11,1435991672200,-9.45599,-2.32898,1.52119
12,1435991672220,-9.43846,-2.33701,1.50584
13,1435991672239,-9.46202,-2.33366,1.50948
14,1435991672259,-9.50403,-2.30005,1.46907
15,1435991672280,-9.46307,-2.29407,1.47485
16,1435991672299,-9.45435,-2.25432,1.42241
17,1435991672318,-9.49008,-2.26932,1.40614
18,1435991672339,-9.47974,-2.26944,1.40193
19,1435991672358,-9.45941,-2.24567,1.48814
20,1435991672378,-9.44504,-2.21947,1.46486
21,1435991672397,-9.46964,-2.22031,1.45952
22,1435991672416,-9.48405,-2.24843,1.47281
23,1435991672437,-9.53609,-2.29294,1.44646
24,1435991672456,-9.52623,-2.2742,1.47452
25,1435991672476,-9.5159,-2.25063,1.42271
26,1435991672497,-9.50848,-2.24524,1.47136
27,1435991672516,-9.49239,-2.21779,1.45354
28,1435991672536,-9.47902,-2.22981,1.45262
29,1435991672556,-9.48364,-2.15866,1.40915
30,1435991672575,-9.47018,-2.15562,1.38196
31,1435991672593,-9.50539,-2.18846,1.40561
32,1435991672615,-9.5405,-2.21469,1.4239
33,1435991672634,-9.52722,-2.24873,1.44809
34,1435991672655,-9.4947,-2.23782,1.42178
35,1435991672674,-9.48535,-2.25461,1.44827
36,1435991672694,-9.46289,-2.25932,1.48816
37,1435991672714,-9.47656,-2.23508,1.47818
38,1435991672733,-9.47154,-2.22113,1.48596
39,1435991672753,-9.47461,-2.23222,1.47565
40,1435991672773,-9.49469,-2.27046,1.43582
41,1435991672793,-9.50858,-2.30214,1.47807
42,1435991672813,-9.47376,-2.25922,1.50127
43,1435991672832,-9.47211,-2.24017,1.44739
44,1435991672852,-9.48175,-2.23752,1.41551
45,1435991672872,-9.48949,-2.23912,1.46544
46,1435991672892,-9.44995,-2.22668,1.49474
47,1435991672931,-9.44952,-2.2202,1.45137
48,1435991672950,-9.45798,-2.24597,1.47862
49,1435991672971,-9.48581,-2.27757,1.46732
50,1435991672991,-9.49907,-2.30246,1.48862
51,1435991673010,-9.50944,-2.29332,1.48329
52,1435991673030,-9.52109,-2.29057,1.44859
53,1435991673050,-9.5049,-2.23683,1.45775
54,1435991673069,-9.49406,-2.18666,1.43582
55,1435991673089,-9.49388,-2.18983,1.4304
56,1435991673109,-9.49425,-2.17274,1.41592
57,1435991673129,-9.47858,-2.18149,1.41199
58,1435991673149,-9.52908,-2.20486,1.41486
59,1435991673168,-9.53178,-2.22993,1.40382
60,1435991673188,-9.55376,-2.23218,1.38762
61,1435991673208,-9.53126,-2.22229,1.43733
62,1435991673227,-9.53641,-2.22665,1.45493
63,1435991673248,-9.50969,-2.2112,1.47424
64,1435991673266,-9.49112,-2.21957,1.46201
65,1435991673287,-9.51163,-2.23708,1.45232
66,1435991673307,-9.48709,-2.25183,1.41084
67,1435991673327,-9.5188,-2.26163,1.4317
68,1435991673346,-9.51652,-2.24266,1.42339
69,1435991673366,-9.50887,-2.22099,1.42853
70,1435991673385,-9.47537,-2.19659,1.36877
71,1435991673405,-9.51381,-2.19724,1.42094
72,1435991673426,-9.51891,-2.20726,1.38126
73,1435991673444,-9.49214,-2.21405,1.46584
74,1435991673465,-9.46576,-2.20068,1.4296
75,1435991673485,-9.4471,-2.20349,1.4769
