id,attr_time,attr_x,attr_y,attr_z
1,1436800486817,-9.67903,-2.00954,-1.00804
2,1436800486836,-9.63229,-2.0098,-0.993134
3,1436800486855,-9.68959,-2.02451,-1.03026
4,1436800486876,-9.6861,-2.05318,-1.04343
5,1436800486896,-9.6597,-2.18303,-1.03755
6,1436800486916,-9.67055,-2.27119,-1.09924
7,1436800486935,-9.64951,-2.34273,-1.1241
8,1436800486953,-9.62913,-2.31958,-1.20091
9,1436800486975,-9.59862,-2.24892,-1.17462
10,1436800486994,-9.59398,-2.10442,-1.11252
11,1436800487015,-9.64807,-2.06555,-1.14525
12,1436800487034,-9.61398,-1.97224,-1.06572
13,1436800487055,-9.64368,-1.96082,-1.0623
14,1436800487074,-9.67589,-1.97722,-1.06435
15,1436800487094,-9.69916,-1.99237,-1.00201
16,1436800487114,-9.71814,-2.05963,-0.98671
17,1436800487133,-9.6705,-2.07275,-1.01266
18,1436800487154,-9.62712,-2.07716,-0.97525
19,1436800487173,-9.59642,-2.04817,-1.0463
20,1436800487193,-9.58133,-2.04364,-1.17203
21,1436800487213,-9.62564,-2.11987,-1.241
22,1436800487233,-9.63408,-2.15335,-1.23828
23,1436800487253,-9.63588,-2.11664,-1.25349
24,1436800487271,-9.6214,-2.09244,-1.24605
25,1436800487293,-9.58852,-2.05608,-1.19891
26,1436800487311,-9.6051,-2.01878,-1.1123
27,1436800487332,-9.6152,-1.96701,-1.08636
28,1436800487353,-9.63742,-1.93593,-1.07564
29,1436800487372,-9.66986,-2.0713,-1.12996
30,1436800487391,-9.63612,-2.11816,-1.08067
31,1436800487410,-9.55325,-2.10536,-1.16234
32,1436800487431,-9.56139,-2.08257,-1.14285
33,1436800487451,-9.58057,-2.00415,-1.14372
34,1436800487471,-9.54797,-2.05569,-1.21014
35,1436800487491,-9.543,-2.16954,-1.1946
36,1436800487510,-9.58904,-2.18478,-1.19595
37,1436800487531,-9.64911,-2.2032,-1.25867
38,1436800487551,-9.65967,-2.25163,-1.21254
39,1436800487570,-9.67516,-2.15942,-1.15126
40,1436800487590,-9.66865,-2.06358,-1.10321
41,1436800487609,-9.62997,-2.02667,-1.02901
42,1436800487650,-9.61632,-2.15356,-1.06841
43,1436800487651,-9.6297,-2.11293,-1.10374
44,1436800487669,-9.62595,-2.04277,-1.09717
45,1436800487709,-9.65726,-2.06464,-1.1494
46,1436800487727,-9.6077,-2.13232,-1.17905
47,1436800487749,-9.62999,-2.18892,-1.15367
48,1436800487768,-9.59616,-2.19867,-1.23323
49,1436800487789,-9.6322,-2.118,-1.21571
50,1436800487808,-9.62218,-2.05974,-1.19418
51,1436800487829,-9.61955,-2.00685,-1.16618
52,1436800487847,-9.63669,-2.03799,-1.19359
53,1436800487868,-9.60507,-2.11771,-1.20657
54,1436800487888,-9.60785,-2.10837,-1.16701
55,1436800487907,-9.61235,-2.02892,-1.17596
56,1436800487927,-9.65343,-2.01506,-1.17863
57,1436800487946,-9.68839,-2.10077,-1.19449
58,1436800487967,-9.66065,-2.13287,-1.14989
59,1436800487986,-9.62032,-2.07738,-1.10117
60,1436800488007,-9.59671,-2.01959,-1.18018
61,1436800488027,-9.60202,-2.00165,-1.21054
62,1436800488045,-9.58701,-2.06902,-1.21498
63,1436800488066,-9.63412,-2.14024,-1.20888
64,1436800488085,-9.61516,-2.11655,-1.20193
65,1436800488105,-9.63277,-2.00035,-1.21053
66,1436800488126,-9.66811,-2.07582,-1.24857
67,1436800488146,-9.69749,-2.14323,-1.2659
68,1436800488165,-9.64638,-2.09952,-1.21948
69,1436800488184,-9.58495,-1.92346,-1.099
70,1436800488205,-9.58707,-1.97025,-1.09131
71,1436800488226,-9.65033,-2.02385,-1.13164
72,1436800488245,-9.67299,-2.07332,-1.13814
73,1436800488264,-9.64838,-2.08087,-1.1933
74,1436800488284,-9.6129,-2.0472,-1.19719
75,1436800488304,-9.58894,-1.96257,-1.17766
76,1436800488324,-9.60143,-1.95436,-1.1678
77,1436800488344,-9.58969,-2.05905,-1.19044
78,1436800488364,-9.67323,-2.09877,-1.18622
79,1436800488384,-9.64838,-2.13411,-1.15753
80,1436800488402,-9.64958,-2.06418,-1.15259
81,1436800488424,-9.62961,-2.0314,-1.12631
82,1436800488443,-9.62795,-2.13002,-1.144
83,1436800488463,-9.58577,-2.11844,-1.18393
84,1436800488483,-9.56169,-2.08556,-1.15688
85,1436800488501,-9.61038,-2.03233,-1.19171
86,1436800488523,-9.65312,-2.02695,-1.19821
87,1436800488542,-9.59741,-2.04898,-1.16386
88,1436800488562,-9.62437,-2.07234,-1.19086
89,1436800488582,-9.61664,-1.99898,-1.17732
90,1436800488602,-9.61742,-1.95415,-1.14429
91,1436800488622,-9.61816,-1.98697,-1.1898
92,1436800488642,-9.64421,-2.04929,-1.19019
93,1436800488662,-9.66336,-2.13907,-1.21007
94,1436800488681,-9.64493,-2.11569,-1.15193
95,1436800488701,-9.65193,-2.06085,-1.15627
96,1436800488721,-9.67049,-2.00087,-1.18604
97,1436800488741,-9.65166,-1.95744,-1.15918
98,1436800488760,-9.64673,-1.99063,-1.14487
99,1436800488781,-9.57033,-2.05,-1.12604
100,1436800488800,-9.57109,-1.9646,-1.07164
101,1436800488819,-9.57674,-1.95421,-1.04126
102,1436800488840,-9.62962,-2.07521,-1.0592
103,1436800488859,-9.61473,-2.11484,-1.15207
104,1436800488880,-9.62616,-2.10017,-1.21808
105,1436800488899,-9.64146,-2.08325,-1.18817
106,1436800488919,-9.62852,-2.00909,-1.15701
107,1436800488939,-9.60229,-1.993,-1.20093
108,1436800488957,-9.61198,-2.01073,-1.12141
109,1436800488979,-9.59016,-2.13289,-1.0979
110,1436800489019,-9.62387,-2.0116,-1.04813
111,1436800489020,-9.63712,-2.02417,-1.09915
112,1436800489058,-9.5887,-2.02626,-1.14171
113,1436800489078,-9.66194,-1.963,-1.21512
114,1436800489098,-9.71402,-2.18108,-1.19289
115,1436800489118,-9.66808,-1.9959,-1.20251
116,1436800489137,-9.64273,-1.97328,-1.21092
117,1436800489157,-9.66324,-2.09004,-1.23109
118,1436800489176,-9.63159,-2.01468,-1.12358
119,1436800489197,-9.64357,-2.03377,-1.11496
120,1436800489217,-9.66441,-2.10362,-1.04755
121,1436800489236,-9.71034,-2.09782,-1.04683
122,1436800489257,-9.68338,-2.11807,-1.04965
123,1436800489274,-9.65596,-2.05818,-1.07462
124,1436800489296,-9.62616,-1.99356,-1.1031
125,1436800489315,-9.5863,-1.94836,-1.08
126,1436800489336,-9.58461,-1.93578,-1.08357
127,1436800489356,-9.64601,-1.98123,-1.19864
128,1436800489375,-9.63731,-2.01277,-1.26593
129,1436800489395,-9.6288,-2.04469,-1.24997
130,1436800489415,-9.58122,-2.05138,-1.23366
131,1436800489435,-9.59383,-1.99908,-1.16183
132,1436800489455,-9.59705,-1.9917,-1.20538
133,1436800489474,-9.61507,-2.05312,-1.11017
134,1436800489494,-9.60524,-2.07143,-1.14958
135,1436800489514,-9.58492,-2.07062,-1.14262
136,1436800489534,-9.6243,-2.00992,-1.06795
137,1436800489555,-9.68886,-1.95506,-1.05902
138,1436800489573,-9.66846,-2.0629,-1.08589
139,1436800489592,-9.65216,-2.08015,-1.06413
140,1436800489613,-9.65463,-2.08093,-1.1201
141,1436800489632,-9.67152,-2.02574,-1.10016
142,1436800489653,-9.65521,-1.98479,-1.00215
143,1436800489673,-9.62361,-1.97957,-1.0881
144,1436800489693,-9.62416,-1.97394,-1.0954
145,1436800489713,-9.60515,-1.96181,-1.08479
146,1436800489731,-9.63147,-1.97403,-1.12152
147,1436800489753,-9.63263,-1.96541,-1.17795
148,1436800489772,-9.65341,-1.99095,-1.21539
149,1436800489793,-9.71112,-2.07367,-1.19373
150,1436800489812,-9.644,-2.06696,-1.1279
151,1436800489831,-9.67085,-2.00291,-1.09538
152,1436800489852,-9.66864,-1.96896,-1.05763
153,1436800489871,-9.64609,-1.98776,-1.02304
154,1436800489891,-9.62486,-2.0538,-1.07985
155,1436800489911,-9.61644,-2.09785,-1.11783
