id,attr_time,attr_x,attr_y,attr_z
1,1436799258024,-0.38606682,0.3622431,-0.17654006
2,1436799258046,-0.43279803,0.3494149,-0.14294247
3,1436799258063,-0.45478916,0.344528,-0.1151481
4,1436799258086,-0.45875978,0.3475823,-0.08002335
5,1436799258105,-0.42271876,0.30024028,-0.0720821
6,1436799258125,-0.3811799,0.23518312,-0.07513642
7,1436799258146,-0.33841935,0.17348573,-0.06780604
8,1436799258165,-0.2968805,0.18936823,-0.07422013
9,1436799258184,-0.26236662,0.22999077,-0.08674286
10,1436799258204,-0.2611449,0.24709499,-0.045814894
11,1436799258223,-0.2828306,0.19792034,0.0067195175
12,1436799258247,-0.28802297,0.160963,0.032375857
13,1436799258265,-0.2864958,0.19211712,0.06078109
14,1436799258286,-0.30665436,0.18784106,0.1386664
15,1436799258304,-0.31703907,0.11026118,0.24495697
16,1436799258330,-0.30085114,0.03023783,0.33505958
17,1436799258411,-0.27275133,0.0030543262,0.3539964
18,1436799258414,-0.21777347,0.015882496,0.35216382
19,1436799258415,-0.15515977,0.041233405,0.33108896
20,1436799258416,-0.12217305,0.076052725,0.30604348
21,1436799258449,-0.09468412,0.19425514,0.28771752
22,1436799258450,-0.076358154,0.4092797,0.23487769
23,1436799258528,-0.09040806,0.5693264,0.118202426
24,1436799258529,-0.11789699,0.71837753,0.027488936
25,1436799258530,-0.11453723,0.7119634,0.013744468
26,1436799258531,-0.094989546,0.56382865,0.051923547
27,1436799258632,-0.04734206,0.40011674,0.07880162
28,1436799258633,-0.039095376,0.19394971,0.0036651916
29,1436799258634,-0.093462385,0.06505715,-0.1133155
30,1436799258635,-0.15668693,0.0720821,-0.18906279
31,1436799258636,-0.20250183,0.2452624,-0.20066923
32,1436799258642,-0.25717425,0.3817908,-0.21074851
33,1436799258662,-0.31795537,0.42577308,-0.21930063
34,1436799258682,-0.37110063,0.32742378,-0.19058995
35,1436799258702,-0.38026363,0.16310102,-0.15577064
36,1436799258722,-0.36896262,0.063224554,-0.11789699
37,1436799258742,-0.38606682,-0.0076358155,-0.11301007
38,1436799258762,-0.43157628,0.0061086523,-0.13500121
39,1436799258782,-0.44257188,0.10170906,-0.1133155
40,1436799258802,-0.44073927,0.18875736,-0.081855945
41,1436799258823,-0.40317106,0.23518312,-0.056199603
42,1436799258842,-0.36285394,0.28221974,-0.06536258
43,1436799258862,-0.32620203,0.2666427,-0.048258353
44,1436799258888,-0.3323107,0.14905111,-0.004886922
45,1436799258903,-0.34300083,0.043676864,0.03390302
46,1436799258922,-0.34422258,-0.007330383,0.09865474
47,1436799258943,-0.30909783,-0.06383542,0.15393804
48,1436799258965,-0.29352075,-0.098043874,0.16035213
49,1436799258985,-0.28955013,-0.09040806,0.16218472
50,1436799259003,-0.29046643,-0.061391957,0.16493362
51,1436799259023,-0.3005457,0.0012217305,0.18509217
52,1436799259043,-0.2843578,0.09590584,0.19028452
53,1436799259063,-0.25686884,0.20525073,0.16707164
54,1436799259083,-0.24373524,0.23793201,0.14905111
55,1436799259103,-0.20891592,0.21655174,0.122478485
56,1436799259123,-0.1881465,0.18020524,0.1142318
57,1436799259149,-0.19303341,0.14844026,0.09590584
58,1436799259177,-0.18997909,0.15363261,0.06536258
59,1436799259183,-0.19150625,0.15149458,0.02321288
60,1436799259205,-0.18173242,0.1142318,-0.005192355
61,1436799259225,-0.17134771,0.06352998,-0.0009162979
62,1436799259243,-0.19822577,-0.004581489,0.022602014
63,1436799259266,-0.2180789,-0.0061086523,0.03176499
64,1436799259283,-0.2434298,0.056199603,0.01740966
65,1436799259302,-0.28069258,0.16829337,-0.03268129
66,1436799259327,-0.32834008,0.25320363,-0.062308256
67,1436799259345,-0.35643986,0.28771752,-0.080634214
68,1436799259366,-0.36468655,0.27214047,-0.08857546
69,1436799259387,-0.35246924,0.2003638,-0.0693332
70,1436799259406,-0.30543262,0.10934488,-0.053145275
71,1436799259426,-0.28221974,0.02565634,-0.06566802
72,1436799259446,-0.27000242,-0.01160644,-0.086437434
73,1436799259466,-0.25900686,0.0009162979,-0.09437868
74,1436799259486,-0.22449298,0.043066,-0.09987647
75,1436799259506,-0.22143865,0.08002335,-0.1151481
76,1436799259524,-0.23487769,0.06841691,-0.13469578
77,1436799259547,-0.20616703,0.0009162979,-0.1255328
78,1436799259566,-0.12797627,-0.079107046,-0.052839845
79,1436799259586,-0.08979719,-0.20219639,0.02076942
80,1436799259606,-0.089186326,-0.21960606,0.04520403
81,1436799259629,-0.08735373,-0.14782938,0.044898596
82,1436799259655,-0.070249505,-0.10873401,0.051618114
83,1436799259666,-0.050396383,-0.06169739,0.0983493
84,1436799259689,-0.02107485,-0.00061086525,0.10781772
85,1436799259706,0.008857546,0.0711658,0.10293079
86,1436799259726,0.008246681,0.08827003,0.102319926
87,1436799259745,-0.003970624,0.061391957,0.10048734
88,1436799259765,0.004581489,0.014660766,0.07544186
89,1436799259786,0.0033597588,-0.006414085,-0.0009162979
90,1436799259806,-0.0067195175,0.03573562,-0.06811147
91,1436799259875,-0.024129177,0.05589417,-0.106595986
92,1436799259876,-0.045814894,0.023823744,-0.096516706
93,1436799259877,-0.079107046,0.0018325958,-0.093462385
94,1436799259885,-0.10170906,-0.02687807,-0.049480084
95,1436799259907,-0.10476339,-0.11209377,0.013133603
96,1436799259927,-0.096516706,-0.13194689,0.052839845
97,1436799259943,-0.0852157,-0.047036625,0.02443461
98,1436799259969,-0.093462385,0.0870483,-0.022602014
99,1436799259996,-0.08246681,0.13836098,-0.03940081
100,1436799260005,-0.053450707,0.12889257,-0.029321533
101,1436799260030,-0.032070424,0.096516706,0.00030543262
102,1436799260045,-0.010995574,0.03359759,0.03359759
103,1436799260068,0.01985312,-0.046120327,0.025350908
104,1436799260085,0.02687807,-0.082161374,0.015882496
105,1436799260107,0.014049901,-0.06169739,0.0106901415
106,1436799260125,0.0,-0.0027488936,0.030848695
107,1436799260149,0.00061086525,0.08124508,0.05009095
108,1436799260164,0.0021380284,0.10048734,0.05222898
109,1436799260185,-0.0012217305,0.06169739,0.034513887
110,1436799260207,-0.018020526,0.005497787,0.012217305
111,1436799260227,-0.021380283,-0.05222898,0.018325957
112,1436799260249,-0.013439035,-0.055588737,0.014966198
113,1436799260266,-0.01160644,-0.0421497,0.002443461
114,1436799260287,0.00030543262,-0.03756821,-0.0018325958
115,1436799260304,0.002443461,-0.03145956,-0.0106901415
116,1436799260324,0.0015271631,-0.00580322,-0.031154128
117,1436799260345,0.0033597588,0.026572637,-0.052534413
118,1436799260370,-0.003970624,0.03023783,-0.051923547
119,1436799260390,-0.030543262,0.021380283,-0.044898596
120,1436799260410,-0.05467244,0.03940081,-0.05497787
121,1436799260461,-0.06261369,0.06291912,-0.07360926
122,1436799260462,-0.061391957,0.025350908,-0.06383542
123,1436799260465,-0.051923547,-0.023823744,-0.03604105
124,1436799260484,-0.04642576,-0.061391957,-0.012217305
125,1436799260507,-0.044898596,-0.05497787,-0.022907447
126,1436799260525,-0.052839845,-0.053145275,-0.029321533
127,1436799260597,-0.06963864,-0.07360926,-0.02107485
128,1436799260598,-0.099265605,-0.08277224,0.009468411
129,1436799260599,-0.102319926,-0.08857546,0.04337143
130,1436799260607,-0.09040806,-0.10445796,0.048563786
131,1436799260626,-0.08399397,-0.12614368,0.029321533
132,1436799260646,-0.087964594,-0.13683382,-0.0012217305
133,1436799260664,-0.09101892,-0.10751228,-0.015271631
134,1436799260689,-0.084910266,-0.017104227,-0.011301007
135,1436799260715,-0.06414085,0.07574729,-0.004886922
136,1436799260725,-0.051618114,0.13225232,-0.021991149
137,1436799260751,-0.047036625,0.14446963,-0.07452556
138,1436799260765,-0.05009095,0.13469578,-0.09621128
139,1436799260787,-0.05100725,0.11056661,-0.07086037
140,1436799260807,-0.044898596,0.10629055,-0.04062254
141,1436799260828,-0.049480084,0.083383106,-0.031154128
142,1436799260848,-0.06719518,0.055283304,-0.023518313
143,1436799260868,-0.099571034,0.042760566,-0.007941248
144,1436799260888,-0.096516706,0.054367006,0.0143553335
145,1436799260907,-0.10629055,0.05497787,0.02076942
146,1436799260928,-0.13347405,0.059253927,0.016493361
147,1436799260948,-0.11942416,0.061391957,0.005497787
148,1436799260968,-0.09682214,0.04337143,-0.0076358155
149,1436799260987,-0.10567969,-0.005497787,-0.0036651916
150,1436799261011,-0.10262536,0.011301007,-0.014660766
151,1436799261027,-0.0852157,0.058337633,-0.040011674
152,1436799261045,-0.06780604,0.07574729,-0.047647487
153,1436799261065,-0.054367006,0.04886922,-0.044593163
154,1436799261090,-0.0421497,-0.004581489,-0.034208454
155,1436799261108,-0.032375857,-0.049480084,-0.018020526
156,1436799261128,-0.024129177,-0.10445796,0.005497787
157,1436799261148,0.01038471,-0.12583824,0.03268129
158,1436799261168,0.034208454,-0.094989546,0.047647487
159,1436799261187,0.02565634,-0.047036625,0.043676864
160,1436799261208,0.014049901,-0.016187929,0.03390302
