id,attr_time,attr_x,attr_y,attr_z
1,1436898151067,2.92751,9.26197,3.1543608
2,1436898151068,2.8904,9.264962,3.1256304
3,1436898151069,2.8844144,9.244013,3.1028855
4,1436898151070,2.8514943,9.353547,3.1483753
5,1436898151087,2.8580782,9.315839,3.1639376
6,1436898151111,2.9059622,9.242816,3.2016463
7,1436898151126,2.92751,9.242217,3.1615434
8,1436898151147,2.9029696,9.250597,3.1082723
9,1436898151171,2.914342,9.293094,3.1124623
10,1436898151188,2.8880057,9.270947,3.1202433
11,1436898151208,2.8616695,9.308656,3.21661
12,1436898151231,2.9472623,9.213487,3.2932243
13,1436898151247,3.040636,9.240421,3.2411506
14,1436898151270,3.0544028,9.261371,3.1711202
15,1436898151288,3.0262709,9.238626,3.0753522
16,1436898151309,3.0250738,9.218275,3.0615854
17,1436898151328,2.9700072,9.242816,3.0639796
18,1436898151350,2.8963854,9.281721,3.1022868
19,1436898151367,2.8491,9.332,3.1244333
20,1436898151387,2.8215668,9.272743,3.1896753
21,1436898151410,2.8353333,9.233837,3.2495303
22,1436898151427,2.8526914,9.260174,3.1962593
23,1436898151449,2.8880057,9.308656,3.1238346
24,1436898151470,2.9269116,9.281721,3.110068
25,1436898151490,2.9783869,9.244612,3.1549592
26,1436898151510,2.9646204,9.266758,3.1794999
27,1436898151528,2.9502552,9.264962,3.2136173
28,1436898151550,2.8562827,9.306262,3.2513258
29,1436898151568,2.7940333,9.277532,3.1711202
30,1436898151588,2.7994204,9.285912,3.004723
31,1436898151608,2.837129,9.303867,2.9735985
32,1436898151627,2.861071,9.315839,3.1711202
33,1436898151648,2.9179332,9.235633,3.2746694
34,1436898151668,2.9700072,9.276335,3.1932666
35,1436898151688,2.9538465,9.2907,3.05141
36,1436898151716,2.9221232,9.294889,3.071761
37,1436898151787,2.831742,9.275736,3.144784
38,1436898151788,2.7623103,9.281721,3.1675289
39,1436898151789,2.7503393,9.312247,3.1268275
40,1436898151790,2.7647045,9.337387,3.1070752
41,1436898151809,2.753332,9.353547,3.1010897
42,1436898151829,2.7623103,9.308058,3.084929
43,1436898151847,2.7910407,9.290101,3.1028855
44,1436898151867,2.847903,9.228451,3.139397
45,1436898151900,2.885013,9.297284,3.1028855
46,1436898151908,2.8993783,9.302073,3.071761
47,1436898151928,2.8993783,9.3104515,3.0705638
48,1436898151949,2.8173769,9.311649,3.1214404
49,1436898151970,2.7335799,9.304466,3.1495724
50,1436898151989,2.7401638,9.365519,3.09271
51,1436898152011,2.7832594,9.324219,3.0693667
52,1436898152027,2.7940333,9.329007,3.09271
53,1436898152048,2.8006175,9.289502,3.0735564
54,1436898152071,2.8401217,9.201516,3.1884782
55,1436898152088,2.9059622,9.31524,3.1639376
56,1436898152111,2.8275523,9.384672,3.1304188
57,1436898152127,2.7084408,9.391256,3.09271
58,1436898152150,2.8149827,9.279327,3.098097
59,1436898152169,2.9137435,9.254189,3.020884
60,1436898152188,2.9095535,9.257181,2.9712043
61,1436898152209,2.8634653,9.323022,2.991555
62,1436898152231,2.835932,9.301474,3.09271
63,1436898152256,2.8485014,9.285313,3.1148565
64,1436898152270,2.8736405,9.252393,3.1184478
65,1436898152289,2.8658595,9.276933,3.1130607
66,1436898152308,2.8030117,9.32781,2.9945478
