id,attr_time,attr_x,attr_y,attr_z
1,1436896020493,-3.0340521,8.191162,3.9025488
2,1436896020494,-2.9789855,8.184579,3.9372647
3,1436896020495,-3.0292637,8.162432,3.8546648
4,1436896020504,-3.0119057,8.160637,3.887585
5,1436896020525,-3.0262709,8.166023,3.9456444
6,1436896020550,-3.028665,8.231265,3.9653966
7,1436896020561,-3.0639796,8.243237,3.9965212
8,1436896020583,-3.0663738,8.216302,3.9282866
9,1436896020607,-3.0262709,8.185177,3.8367083
10,1436896020621,-2.9777884,8.258799,3.9151182
11,1436896020641,-2.9897594,8.264784,3.9258924
12,1436896020724,-3.0352492,8.277952,3.9390604
13,1436896020725,-3.027468,8.276755,3.9240966
14,1436896020726,-3.027468,8.239047,3.9516299
15,1436896020727,-3.0268695,8.179192,3.954024
16,1436896020745,-3.0298622,8.131308,3.9683893
17,1436896020760,-3.0502129,8.130709,4.032434
18,1436896020782,-3.0867245,8.121731,4.020463
19,1436896020811,-3.1358056,8.081029,4.0701427
20,1436896020821,-3.1759086,8.081029,4.098873
21,1436896020853,-3.2543187,8.100781,4.109049
22,1436896020874,-3.2848446,8.029554,4.100669
23,1436896020881,-3.3171666,7.879916,4.096479
24,1436896020901,-3.3393128,7.685986,4.0462008
25,1436896020921,-3.4099417,7.6081743,3.9953241
26,1436896020942,-3.4380736,7.6650367,3.750517
27,1436896020963,-3.4398694,7.924209,3.7241807
28,1436896020982,-3.4344823,8.15525,3.779846
29,1436896021001,-3.4075475,8.355764,3.7062242
30,1436896021021,-3.4243069,8.568848,3.74094
31,1436896021041,-3.4733882,8.664018,3.731962
32,1436896021062,-3.5356374,8.774749,3.7301662
33,1436896021082,-3.693056,8.579023,3.6768951
34,1436896021103,-3.679888,8.310873,3.4075475
35,1436896021124,-3.5500026,8.114548,3.0974984
36,1436896021142,-3.4153287,8.055291,2.8616695
37,1436896021163,-3.3333273,8.126519,2.8580782
38,1436896021182,-3.3476925,8.338406,2.9891608
39,1436896021201,-3.4302924,8.558673,2.992752
40,1436896021222,-3.4141316,8.64666,3.019687
41,1436896021244,-3.335123,8.579621,2.9245174
42,1436896021265,-3.276465,8.541913,2.9999347
43,1436896021285,-3.3183637,8.53054,3.095703
44,1436896021303,-3.3925838,8.610147,2.9107506
45,1436896021325,-3.3279405,8.68796,2.8221653
46,1436896021343,-3.289633,8.654441,2.8281507
47,1436896021362,-3.2237926,8.508394,2.9131448
48,1436896021454,-3.2620997,8.330027,2.8909986
49,1436896021455,-3.2154129,8.3551655,2.6886885
50,1436896021456,-3.2794578,8.375516,2.814384
51,1436896021457,-3.364452,8.2995,2.801216
52,1436896021479,-3.441665,8.388085,2.7497406
53,1436896021484,-3.4087446,8.368932,2.6683378
54,1436896021502,-3.341707,8.334815,2.4588451
55,1436896021524,-3.2291796,8.704719,2.9370868
