id,attr_time,attr_x,attr_y,attr_z
1,1436896020487,1.0486604,9.986216,-1.2533646
2,1436896020508,1.0402806,9.992201,-1.264737
3,1436896020527,1.0486604,9.976639,-1.2659341
4,1436896020547,1.0660183,10.000581,-1.2569559
5,1436896020568,1.049259,9.999982,-1.2755109
6,1436896020586,1.0516531,9.989208,-1.2599486
7,1436896020608,1.0378864,9.988011,-1.2557588
8,1436896020628,1.0085574,9.986216,-1.2982559
9,1436896020648,1.0354922,9.989208,-1.2605472
10,1436896020666,1.0468647,9.992201,-1.2988545
11,1436896020689,1.0103531,9.987412,-1.30484
12,1436896020707,1.0127473,10.002377,-1.2958617
13,1436896020753,1.079785,9.991004,-1.2665327
14,1436896020754,1.0648212,9.999383,-1.2850877
15,1436896020770,1.055843,9.99639,-1.2808979
16,1436896020788,1.0486604,9.973646,-1.2629414
17,1436896020808,1.0582372,9.990405,-1.2599486
18,1436896020828,1.043872,9.99639,-1.2204443
19,1436896020847,1.0085574,9.983821,-1.3084313
20,1436896020866,1.0319009,9.988011,-1.3521254
21,1436896020895,1.0007763,9.976639,-1.3605051
22,1436896020954,1.0127473,9.994595,-1.3449428
23,1436896020955,1.0247183,9.992201,-1.4036007
24,1436896020956,0.99419224,10.003573,-1.3904326
25,1436896020976,0.99419224,10.002377,-1.3736732
26,1436896020984,0.9648633,9.968259,-1.3365631
27,1436896021007,0.9576807,9.974843,-1.3611037
28,1436896021026,0.91937345,10.011953,-1.38325
29,1436896021045,0.908001,10.023924,-1.4568717
30,1436896021067,0.93373865,10.01315,-1.5275006
31,1436896021086,0.86969376,10.025121,-1.4766239
32,1436896021107,0.9391256,10.031705,-1.3640964
33,1436896021126,1.0702082,10.016143,-1.4772224
34,1436896021148,1.1959038,10.010756,-1.3377602
35,1436896021165,0.9923966,10.038289,-1.42455
36,1436896021188,1.0684125,10.016742,-1.0271125
37,1436896021209,0.87448215,10.046669,-1.0833763
38,1436896021228,0.9367314,10.050261,-1.2348095
39,1436896021248,1.0259154,10.028113,-1.2479776
40,1436896021269,1.0217255,9.997588,-1.4101849
41,1436896021288,1.0313023,10.016143,-1.5292963
42,1436896021308,1.0235212,9.999383,-1.2108675
43,1436896021329,0.86849666,10.048465,-1.2868834
44,1436896021350,0.8900445,10.081984,-1.3341689
45,1436896021367,1.0241197,9.988011,-1.2210429
46,1436896021389,0.9487024,9.965864,-1.0791864
47,1436896021406,0.8924387,10.114903,-1.2785037
48,1436896021427,0.9768343,10.095152,-1.192911
49,1436896021448,0.98222125,9.989806,-0.9576807
50,1436896021469,0.87807345,10.027515,-1.0139444
51,1436896021489,0.75596917,10.016742,-1.0857705
52,1436896021510,0.7493851,10.020332,-1.0007763
53,1436896021528,0.6823475,10.172963,-1.0163386
54,1436896021548,0.6841431,10.024523,-0.8690952
55,1436896021566,0.7134721,10.128072,-0.9355343
56,1436896021588,0.6500258,10.026319,-0.9498995
57,1436896021608,0.51235914,10.133459,-0.9139865
58,1436896021626,0.48961425,10.348338,-1.086369
59,1436896021702,0.59376204,10.144831,-0.80564886
60,1436896021729,0.54647654,10.048465,-0.6584055
61,1436896021730,0.22385786,10.115502,-0.7422025
62,1436896021731,-0.6667852,10.399814,-0.7104794
63,1436896021732,-0.12389994,11.19828,-0.5374983
64,1436896021753,-0.25438392,11.5951185,-1.584363
65,1436896021768,-0.22266077,12.984953,-2.755726
66,1436896021785,-0.18674773,12.136807,-1.3132197
67,1436896021805,0.19153613,12.597093,-2.597709
68,1436896021825,1.6424223,12.008718,-2.195483
69,1436896021858,1.0013748,9.375095,-1.0887632
70,1436896021865,-5.793968,5.7628436,-4.696825
71,1436896021891,-4.0946836,6.6947865,-5.9663506
72,1436896021905,-0.23702596,6.6630635,-3.352481
73,1436896021929,0.86969376,7.73387,-1.4622587
74,1436896021949,2.432509,8.248624,0.5943606
75,1436896021969,4.209605,8.862736,1.6478093
76,1436896021988,6.127361,8.218098,2.540248
77,1436896022009,14.551359,11.859678,2.3648727
78,1436896022029,18.496405,15.679626,0.06703765
79,1436896022049,-8.00621,6.1165867,4.232949
80,1436896022069,-2.1763294,10.986393,0.23044191
81,1436896022089,0.47405192,13.284228,-1.9572599
82,1436896022110,1.5029601,10.584765,-1.596334
83,1436896022129,6.105813,10.410587,1.0510546
84,1436896022178,3.9552212,6.95755,2.8215668
