id,attr_time,attr_x,attr_y,attr_z
1,1436893598023,-0.049878474,0.080873236,0.021167807
2,1436893598042,-0.09752597,0.066212475,0.030025352
3,1436893598063,-0.120738834,0.049719114,0.03338511
4,1436893598082,-0.14334086,0.03872354,0.038272034
5,1436893598103,-0.16013965,0.011845468,0.051100206
6,1436893598122,-0.13142899,-0.004342459,0.06301208
7,1436893598145,-0.11218673,0.017037824,0.05751429
8,1436893598162,-0.096915096,0.026506234,0.04590785
9,1436893598184,-0.095693365,0.0008498952,0.051100206
10,1436893598203,-0.11340846,-0.0009827018,0.058736023
11,1436893598224,-0.13753763,-0.008618519,0.052932803
12,1436893598245,-0.18090907,-0.024501015,0.052321937
13,1436893598272,-0.2261131,-0.014116306,0.07309136
14,1436893598299,-0.22030988,-0.07062134,0.08927928
15,1436893598311,-0.1699135,-0.064512685,0.09935856
16,1436893598335,-0.12654206,-0.017476063,0.10791066
17,1436893598343,-0.15464187,-0.038856346,0.09141731
18,1436893598362,-0.22519681,-0.08375494,0.07431309
19,1436893598383,-0.26276502,-0.09016903,0.06820443
20,1436893598404,-0.27895296,-0.077340856,0.06423381
21,1436893598423,-0.30644187,-0.029998798,0.03918833
22,1436893598446,-0.31927004,0.013372632,0.017502617
23,1436893598467,-0.31896463,0.042694163,-0.04236218
24,1436893598486,-0.337596,0.09614487,-0.05671751
25,1436893598505,-0.3543948,0.10652958,-0.06465876
26,1436893598524,-0.37638596,0.083622135,-0.0762652
27,1436893598542,-0.4087618,0.028949697,-0.15842658
28,1436893598563,-0.48145476,-0.053517114,-0.21706964
29,1436893598583,-0.532462,-0.043132406,-0.2494455
30,1436893598603,-0.5132198,0.021924745,-0.27418554
31,1436893598647,-0.5052785,-0.0009827018,-0.29862016
32,1436893598648,-0.5791932,-0.04282697,-0.29403865
33,1436893598671,-0.65952194,-0.0031207316,-0.28273764
34,1436893598682,-0.6570785,0.05246801,-0.2680769
35,1436893598702,-0.59568655,0.010929171,-0.2195131
36,1436893598723,-0.47656786,-0.07092677,-0.115055144
37,1436893598742,-0.38493806,-0.1329296,-0.01578954
38,1436893598768,-0.23191632,-0.13720566,0.0846978
39,1436893598783,-0.120433405,-0.09322336,0.12257144
40,1436893598803,-0.07584025,0.012456333,0.061484914
41,1436893598824,-0.07950544,0.05674406,0.017197184
42,1436893598844,-0.072480485,0.03750181,-0.0063211285
43,1436893598862,-0.06881529,-0.077340856,0.0098668
44,1436893598884,-0.057514288,-0.15766963,-0.0044885334
45,1436893598904,-0.07156419,-0.12468292,-0.014873242
46,1436893598926,-0.12104428,-0.095666826,-0.0041831005
47,1436893598946,-0.18701772,-0.12987527,0.018724345
48,1436893598966,-0.23252718,-0.16927607,-0.0026559383
49,1436893598983,-0.23894127,-0.20806602,-0.031366605
50,1436893599004,-0.165332,-0.2621276,-0.082984716
51,1436893599026,-0.09477706,-0.28228614,-0.11719318
52,1436893599046,-0.06301208,-0.22853002,-0.12238553
53,1436893599063,-0.011699395,-0.15950224,-0.12482898
