id,attr_time,attr_x,attr_y,attr_z
1,1436892348006,0.016493361,0.12980886,0.017104227
2,1436892348025,-0.004276057,0.15943582,0.007330383
3,1436892348047,-0.016187929,0.16371189,-0.00061086525
4,1436892348067,-0.029321533,0.15668693,-0.0027488936
5,1436892348088,-0.027488936,0.09162979,0.0018325958
6,1436892348106,-0.003970624,-0.010079277,0.0015271631
7,1436892348127,0.016493361,-0.09560041,-0.016187929
8,1436892348149,0.022296581,-0.12767084,-0.025350908
9,1436892348169,0.022296581,-0.12767084,-0.024740042
10,1436892348186,0.018325957,-0.076052725,-0.019242255
11,1436892348207,0.005497787,0.026572637,-0.013744468
12,1436892348226,0.0036651916,0.12186762,-0.011911872
13,1436892348247,0.005497787,0.15821409,-0.00061086525
14,1436892348269,-0.0067195175,0.15088372,0.015271631
15,1436892348287,-0.03145956,0.112399206,0.032070424
16,1436892348307,-0.058643065,0.06291912,0.03390302
17,1436892348327,-0.052839845,0.0021380284,0.03145956
18,1436892348347,-0.043982297,-0.03634648,0.017104227
19,1436892348369,-0.070249505,-0.059864793,0.002443461
20,1436892348389,-0.12156218,-0.042760566,0.002443461
21,1436892348406,-0.15027285,-0.0012217305,0.015882496
22,1436892348427,-0.13561209,0.04062254,0.01985312
23,1436892348454,-0.10170906,0.043066,0.022602014
24,1436892348504,-0.08368854,-0.007330383,0.0015271631
25,1436892348506,-0.08979719,-0.09682214,-0.015577064
26,1436892348507,-0.09315695,-0.21074851,-0.008857546
27,1436892348538,-0.09285152,-0.2846632,0.009773844
28,1436892348546,-0.07513642,-0.32253686,0.008246681
29,1436892348566,-0.058643065,-0.35002577,0.0
30,1436892348586,-0.051923547,-0.41416663,-0.009162978
31,1436892348607,-0.043676864,-0.49541172,-0.008857546
32,1436892348626,-0.05009095,-0.49846604,-0.018325957
33,1436892348650,-0.058337633,-0.4111123,-0.04428773
34,1436892348666,-0.06383542,-0.28924468,-0.052534413
35,1436892348689,-0.07513642,-0.19975294,-0.047647487
36,1436892348706,-0.08582657,-0.1563815,-0.03390302
