id,attr_time,attr_x,attr_y,attr_z
1,1436966160519,-9.56699,-2.57599,-0.513947
2,1436966160540,-9.46587,-2.55843,-0.547546
3,1436966160560,-9.50807,-2.54587,-0.539749
4,1436966160580,-9.49934,-2.49675,-0.514786
5,1436966160599,-9.47835,-2.45609,-0.562302
6,1436966160617,-9.51215,-2.45165,-0.600525
7,1436966160638,-9.51482,-2.43443,-0.669388
8,1436966160658,-9.51791,-2.39384,-0.652359
9,1436966160678,-9.54109,-2.42558,-0.560135
10,1436966160698,-9.46533,-2.44797,-0.514389
11,1436966160717,-9.49986,-2.40982,-0.51387
12,1436966160738,-9.54808,-2.40509,-0.485031
13,1436966160756,-9.53822,-2.41861,-0.521851
14,1436966160776,-9.49406,-2.45796,-0.544067
15,1436966160797,-9.51121,-2.48961,-0.547394
16,1436966160814,-9.50156,-2.49478,-0.532303
17,1436966160835,-9.51384,-2.47479,-0.49913
18,1436966160856,-9.4975,-2.45404,-0.506119
19,1436966160876,-9.44774,-2.42711,-0.520752
20,1436966160893,-9.44075,-2.40146,-0.53302
21,1436966160915,-9.51347,-2.39062,-0.555405
22,1436966160933,-9.58998,-2.41747,-0.624405
23,1436966160954,-9.5818,-2.4541,-0.613968
24,1436966160974,-9.58639,-2.46872,-0.548431
25,1436966160994,-9.50464,-2.48048,-0.488571
26,1436966161013,-9.48903,-2.50926,-0.543533
27,1436966161034,-9.53326,-2.5486,-0.475388
28,1436966161072,-9.47917,-2.53934,-0.480118
29,1436966161093,-9.49194,-2.52435,-0.576279
30,1436966161111,-9.62563,-2.51517,-0.611542
31,1436966161132,-9.67474,-2.51482,-0.57251
32,1436966161152,-9.64734,-2.50649,-0.62204
33,1436966161171,-9.61446,-2.51077,-0.619171
34,1436966161191,-9.60158,-2.49335,-0.593536
35,1436966161210,-9.54547,-2.46062,-0.548813
36,1436966161231,-9.51541,-2.43237,-0.580337
37,1436966161249,-9.48415,-2.44826,-0.568329
38,1436966161271,-9.50458,-2.44597,-0.577362
39,1436966161290,-9.48384,-2.43324,-0.609497
40,1436966161310,-9.47844,-2.39842,-0.648346
41,1436966161330,-9.56801,-2.42253,-0.665268
42,1436966161349,-9.62546,-2.40092,-0.654007
43,1436966161369,-9.61891,-2.40279,-0.618652
44,1436966161388,-9.59422,-2.46144,-0.640503
45,1436966161408,-9.61824,-2.4312,-0.51152
46,1436966161427,-9.72888,-2.50468,-0.477997
47,1436966161448,-9.71414,-2.56937,-0.471863
48,1436966161468,-9.59271,-2.50192,-0.430618
49,1436966161488,-9.479,-2.44507,-0.385666
50,1436966161507,-9.46526,-2.39748,-0.441422
51,1436966161527,-9.46876,-2.39944,-0.512161
52,1436966161546,-9.4628,-2.3793,-0.572922
53,1436966161567,-9.43419,-2.40575,-0.687164
54,1436966161587,-9.45064,-2.4549,-0.71933
55,1436966161606,-9.48059,-2.53676,-0.800278
56,1436966161626,-9.46118,-2.57683,-0.827118
57,1436966161645,-9.4389,-2.53497,-0.812393
58,1436966161666,-9.42758,-2.52022,-0.859268
59,1436966161686,-9.39706,-2.54071,-0.870514
60,1436966161704,-9.49005,-2.58794,-0.865295
61,1436966161725,-9.485,-2.59047,-0.80043
62,1436966161743,-9.41991,-2.55153,-0.778351
63,1436966161764,-9.43816,-2.54251,-0.704483
64,1436966161783,-9.50359,-2.55052,-0.652618
65,1436966161804,-9.49619,-2.56573,-0.569473
66,1436966161823,-9.51402,-2.56519,-0.477707
67,1436966161843,-9.54636,-2.58717,-0.416412
68,1436966161864,-9.5742,-2.56357,-0.331192
69,1436966161882,-9.61742,-2.54103,-0.285187
70,1436966161902,-9.58308,-2.54158,-0.327148
71,1436966161922,-9.53197,-2.57898,-0.378159
72,1436966161942,-9.37262,-2.55162,-0.464706
73,1436966161962,-9.21806,-2.46687,-0.585281
74,1436966161982,-9.17191,-2.42662,-0.746613
75,1436966162001,-9.16139,-2.41074,-0.79779
76,1436966162020,-9.24823,-2.47029,-0.881012
77,1436966162041,-9.42618,-2.49443,-1.03963
78,1436966162080,-9.63408,-2.48935,-1.00482
79,1436966162101,-9.82265,-2.52647,-0.833313
80,1436966162120,-9.83196,-2.53897,-0.637482
81,1436966162139,-9.75783,-2.51292,-0.369324
82,1436966162159,-9.70563,-2.49648,-0.118393
83,1436966162179,-9.60156,-2.6539,-0.176987
84,1436966162197,-9.60016,-2.84442,-0.401413
85,1436966162219,-9.53029,-2.86215,-0.646439
86,1436966162238,-9.49983,-2.65758,-0.606201
87,1436966162258,-9.50098,-2.58331,-0.767502
88,1436966162278,-9.49454,-2.69214,-0.904816
89,1436966162298,-9.49274,-2.66461,-0.943832
90,1436966162318,-9.42342,-2.65259,-0.947144
91,1436966162336,-9.41798,-2.72313,-0.913788
92,1436966162357,-9.52683,-2.64549,-0.751022
93,1436966162377,-9.59657,-2.52565,-0.682968
94,1436966162397,-9.6114,-2.52322,-0.618393
95,1436966162416,-9.63821,-2.54845,-0.501358
96,1436966162436,-9.55197,-2.55699,-0.443573
97,1436966162456,-9.53612,-2.62126,-0.561966
98,1436966162475,-9.60043,-2.64943,-0.622299
99,1436966162495,-9.5567,-2.66736,-0.704819
100,1436966162514,-9.49937,-2.65839,-0.79805
101,1436966162535,-9.47374,-2.61195,-0.858612
102,1436966162554,-9.49622,-2.56989,-0.890091
103,1436966162574,-9.49808,-2.51508,-0.859283
104,1436966162594,-9.49693,-2.49437,-0.822922
105,1436966162614,-9.50351,-2.4399,-0.783173
106,1436966162634,-9.44362,-2.43208,-0.75032
107,1436966162653,-9.48703,-2.46693,-0.724106
108,1436966162672,-9.53177,-2.52211,-0.671921
109,1436966162693,-9.5135,-2.58984,-0.746475
110,1436966162713,-9.55905,-2.60837,-0.726776
111,1436966162732,-9.50929,-2.6346,-0.732071
112,1436966162753,-9.48445,-2.65297,-0.737411
113,1436966162771,-9.4695,-2.64659,-0.674286
114,1436966162792,-9.47389,-2.63705,-0.740646
115,1436966162811,-9.50514,-2.65721,-0.767075
116,1436966162830,-9.50964,-2.60634,-0.763504
117,1436966162851,-9.47334,-2.58096,-0.795654
118,1436966162869,-9.47606,-2.56689,-0.85672
119,1436966162890,-9.46645,-2.5737,-0.753647
120,1436966162910,-9.44075,-2.51904,-0.753967
121,1436966162930,-9.49286,-2.54085,-0.803314
122,1436966162950,-9.49498,-2.57545,-0.719513
123,1436966162969,-9.5007,-2.58528,-0.636581
124,1436966162990,-9.485,-2.60168,-0.7155
125,1436966163007,-9.52187,-2.6337,-0.750381
126,1436966163028,-9.53189,-2.64755,-0.736298
127,1436966163048,-9.47726,-2.60213,-0.694778
128,1436966163068,-9.5258,-2.54224,-0.643616
129,1436966163088,-9.4994,-2.56451,-0.67157
130,1436966163108,-9.47528,-2.5538,-0.728058
131,1436966163146,-9.46684,-2.56366,-0.728577
132,1436966163167,-9.46773,-2.53145,-0.783615
133,1436966163187,-9.50856,-2.57256,-0.727615
134,1436966163206,-9.51379,-2.53703,-0.776764
135,1436966163227,-9.51865,-2.56972,-0.818741
136,1436966163246,-9.51562,-2.57867,-0.775314
137,1436966163266,-9.52518,-2.52766,-0.722
138,1436966163286,-9.48289,-2.5032,-0.777832
139,1436966163305,-9.48955,-2.51297,-0.69249
140,1436966163324,-9.55635,-2.56396,-0.657471
141,1436966163345,-9.51675,-2.57829,-0.727921
142,1436966163363,-9.49115,-2.59933,-0.756729
143,1436966163384,-9.50459,-2.5733,-0.701508
144,1436966163404,-9.44807,-2.53217,-0.675644
145,1436966163424,-9.49353,-2.5573,-0.707901
146,1436966163444,-9.50209,-2.63249,-0.734161
147,1436966163464,-9.47537,-2.61996,-0.723373
148,1436966163483,-9.48471,-2.61646,-0.726608
149,1436966163502,-9.48427,-2.63542,-0.771164
150,1436966163523,-9.52452,-2.631,-0.710113
151,1436966163542,-9.4973,-2.59293,-0.719223
152,1436966163562,-9.48915,-2.54535,-0.675873
153,1436966163582,-9.46951,-2.54887,-0.727707
154,1436966163601,-9.51793,-2.54605,-0.73558
155,1436966163622,-9.52234,-2.57106,-0.701096
156,1436966163641,-9.5007,-2.59845,-0.750412
157,1436966163661,-9.53296,-2.59186,-0.75528
158,1436966163680,-9.52457,-2.60902,-0.70137
159,1436966163700,-9.48625,-2.62108,-0.72641
160,1436966163720,-9.47832,-2.57802,-0.670166
161,1436966163740,-9.47801,-2.53316,-0.703796
162,1436966163760,-9.49535,-2.54927,-0.727158
163,1436966163779,-9.51979,-2.59059,-0.766357
164,1436966163799,-9.53117,-2.59828,-0.74437
165,1436966163819,-9.54187,-2.58008,-0.77359
166,1436966163838,-9.5892,-2.56387,-0.765182
167,1436966163858,-9.62987,-2.56166,-0.725128
168,1436966163879,-9.52661,-2.50426,-0.691681
169,1436966163898,-9.41309,-2.48233,-0.664398
170,1436966163918,-9.52409,-2.5166,-0.635147
171,1436966163938,-9.51776,-2.53644,-0.650787
172,1436966163956,-9.46405,-2.57457,-0.740509
173,1436966163977,-9.43318,-2.58369,-0.747253
174,1436966163997,-9.47101,-2.60007,-0.776321
175,1436966164017,-9.49358,-2.61218,-0.789444
176,1436966164036,-9.4445,-2.55078,-0.804672
177,1436966164057,-9.47961,-2.58133,-0.781845
178,1436966164076,-9.50491,-2.52655,-0.80011
179,1436966164095,-9.55119,-2.51929,-0.759979
180,1436966164116,-9.57486,-2.522,-0.746704
181,1436966164134,-9.48547,-2.54195,-0.716217
182,1436966164173,-9.4808,-2.51785,-0.714111
183,1436966164194,-9.50671,-2.51808,-0.702164
184,1436966164214,-9.51991,-2.51282,-0.71785
185,1436966164234,-9.52998,-2.5341,-0.759354
186,1436966164254,-9.50909,-2.52769,-0.775391
187,1436966164273,-9.51329,-2.53674,-0.77005
188,1436966164293,-9.50146,-2.55093,-0.758881
189,1436966164313,-9.48483,-2.47766,-0.759186
190,1436966164332,-9.53861,-2.47406,-0.74585
191,1436966164353,-9.53951,-2.48285,-0.788544
192,1436966164372,-9.56169,-2.51657,-0.786148
193,1436966164392,-9.49553,-2.52246,-0.834213
194,1436966164412,-9.49078,-2.44931,-0.735046
195,1436966164431,-9.51656,-2.45572,-0.732147
196,1436966164449,-9.49147,-2.45657,-0.733215
197,1436966164471,-9.4809,-2.49586,-0.742172
198,1436966164490,-9.52296,-2.5374,-0.790985
199,1436966164510,-9.52122,-2.53213,-0.755142
200,1436966164530,-9.55795,-2.50961,-0.760254
201,1436966164550,-9.52161,-2.51512,-0.705002
202,1436966164570,-9.5094,-2.48419,-0.707565
203,1436966164590,-9.51213,-2.48181,-0.749222
204,1436966164609,-9.53966,-2.51987,-0.747116
205,1436966164628,-9.5192,-2.50249,-0.701141
206,1436966164649,-9.5347,-2.4852,-0.720245
207,1436966164668,-9.50093,-2.45525,-0.699936
208,1436966164688,-9.49939,-2.47784,-0.730911
209,1436966164709,-9.50031,-2.49283,-0.765793
210,1436966164727,-9.52864,-2.47591,-0.719635
211,1436966164748,-9.53517,-2.43039,-0.691757
212,1436966164766,-9.5108,-2.47665,-0.724182
213,1436966164787,-9.4894,-2.50168,-0.758285
214,1436966164806,-9.52434,-2.52325,-0.730576
215,1436966164827,-9.50784,-2.52766,-0.761276
216,1436966164846,-9.52275,-2.54005,-0.723495
217,1436966164866,-9.49329,-2.5598,-0.657562
218,1436966164886,-9.5105,-2.563,-0.65004
219,1436966164906,-9.5669,-2.56743,-0.633163
220,1436966164925,-9.52135,-2.59857,-0.631973
221,1436966164946,-9.45476,-2.5275,-0.586853
222,1436966164965,-9.48964,-2.4995,-0.562622
223,1436966164984,-9.53491,-2.49294,-0.549469
224,1436966165005,-9.55768,-2.52597,-0.525253
225,1436966165020,-9.63499,-2.57307,-0.506165
226,1436966165043,-9.51717,-2.79094,-0.596573
227,1436966165064,-9.33835,-2.90956,-0.726868
228,1436966165083,-9.40599,-2.87939,-0.798294
229,1436966165103,-9.38438,-2.77995,-0.738571
230,1436966165123,-9.24344,-2.82541,-0.715164
231,1436966165143,-9.36757,-2.79706,-0.58725
232,1436966165163,-9.35414,-2.74338,-0.395645
233,1436966165182,-9.33548,-3.01099,-0.397049
234,1436966165222,-9.36871,-3.04739,-0.182312
235,1436966165242,-9.27786,-3.25154,-0.069046
236,1436966165260,-9.18913,-3.21652,0.0973511
237,1436966165281,-9.24194,-3.33737,-0.031662
238,1436966165300,-9.2917,-3.34817,-0.356094
239,1436966165320,-9.20451,-3.17363,-0.506622
240,1436966165340,-9.12094,-2.97635,-0.666977
241,1436966165360,-9.03848,-2.73886,-0.717865
242,1436966165380,-9.06064,-2.54956,-0.725937
243,1436966165400,-9.15518,-2.39398,-0.781876
244,1436966165420,-9.26437,-2.38564,-0.943802
245,1436966165439,-9.34058,-2.40613,-0.911575
246,1436966165458,-9.01201,-2.39934,-0.825363
247,1436966165478,-8.77118,-2.39406,-0.774704
248,1436966165499,-8.71347,-2.3159,-0.598938
249,1436966165518,-8.75146,-2.29663,-0.66777
250,1436966165538,-9.03995,-2.30342,-0.824936
251,1436966165557,-9.5284,-2.30467,-0.851044
252,1436966165576,-10.0518,-2.435,-0.82077
253,1436966165598,-10.34,-2.51785,-1.05482
254,1436966165616,-10.2764,-2.75487,-1.22102
255,1436966165637,-10.0869,-2.97256,-1.43105
256,1436966165656,-9.888,-3.23116,-1.6427
257,1436966165676,-9.91692,-3.33371,-1.6367
258,1436966165696,-9.93378,-3.73891,-1.79893
259,1436966165716,-9.71855,-3.87105,-1.81895
260,1436966165736,-9.06674,-3.64929,-1.81442
261,1436966165753,-8.50558,-3.60834,-1.55591
262,1436966165776,-8.3483,-3.7282,-1.35298
263,1436966165793,-8.48041,-3.77516,-1.3553
264,1436966165814,-8.50737,-3.8855,-1.36092
265,1436966165834,-8.40379,-4.03459,-1.44635
266,1436966165853,-8.40782,-4.28101,-1.52351
267,1436966165874,-8.64357,-4.82068,-1.79532
268,1436966165893,-9.25679,-5.30859,-2.22653
269,1436966165913,-9.78557,-5.35968,-2.30888
270,1436966165933,-9.90413,-5.09222,-2.36761
271,1436966165953,-9.9879,-4.93359,-2.15831
272,1436966165973,-10.3094,-4.93495,-1.93562
273,1436966165992,-10.9647,-5.45859,-2.14467
274,1436966166011,-11.6782,-5.53281,-2.49724
275,1436966166032,-12.0729,-5.30127,-2.62444
276,1436966166051,-11.6379,-5.01532,-2.55499
277,1436966166070,-10.5901,-4.77193,-2.23695
278,1436966166091,-9.69405,-4.65692,-1.45961
279,1436966166110,-9.10718,-3.90492,-0.645676
280,1436966166131,-8.58453,-1.35742,0.621063
281,1436966166150,-7.17966,0.952469,3.24947
282,1436966166170,-6.82632,2.02536,2.78824
283,1436966166190,-8.6938,2.37093,0.239014
284,1436966166279,-13.526,1.5688,-2.25598
285,1436966166280,-16.8752,0.435135,-2.77646
286,1436966166281,-14.9332,-1.78221,-1.26949
287,1436966166287,-15.4694,-5.33325,-1.13063
288,1436966166309,-17.484,-7.28387,-1.75769
289,1436966166328,-17.3404,-6.32567,-2.07788
