id,attr_time,attr_x,attr_y,attr_z
1,1436966160522,0.0679016,0.000320435,0.0283508
2,1436966160539,0.0679016,0.0045929,0.0198059
3,1436966160559,0.0732422,-0.00288391,0.0176697
4,1436966160579,0.0764465,-0.00822449,0.0123291
5,1436966160599,0.0689697,-0.00608826,0.0176697
6,1436966160618,0.0700378,-0.0018158,0.0133972
7,1436966160638,0.0796509,0.0045929,0.0155334
8,1436966160658,0.0732422,0.0120697,0.0240784
9,1436966160678,0.0732422,0.0163422,0.0315552
10,1436966160697,0.0721741,0.015274,0.0304871
11,1436966160718,0.052948,0.0163422,0.0304871
12,1436966160737,0.0219727,0.0131378,0.020874
13,1436966160755,0.0038147,0.00672913,0.0187378
14,1436966160775,0.00167847,0.0142059,0.0176697
15,1436966160796,0.00488281,0.0163422,0.0144653
16,1436966160814,0.00701904,0.0195465,0.00805664
17,1436966160835,0.00274658,0.0142059,-0.00689697
18,1436966160856,-0.00152588,0.0131378,-0.0111694
19,1436966160875,-0.00686645,0.0163422,-0.0111694
20,1436966160893,-0.0132751,0.0270233,-0.00689697
21,1436966160918,-0.0260925,0.0398407,-0.000488281
22,1436966160933,-0.0335693,0.0387726,0.00592041
23,1436966160953,-0.0271606,0.0345001,0.0123291
24,1436966160974,-0.0143433,0.0419769,0.0251465
25,1436966160994,-0.0132751,0.0387726,0.0230103
26,1436966161016,-0.00686645,0.0473175,0.0304871
27,1436966161034,0.00167847,0.0345001,0.0294189
28,1436966161053,0.0102234,0.023819,0.0262146
29,1436966161072,0.0123596,0.023819,0.0272827
30,1436966161093,0.015564,0.0302277,0.0251465
31,1436966161111,0.0262451,0.0270233,0.020874
32,1436966161132,0.025177,0.0174103,0.0155334
33,1436966161154,0.0294495,0.015274,0.0155334
34,1436966161171,0.0444031,0.00566101,0.00805664
35,1436966161191,0.0540161,0.00352478,-0.00262451
36,1436966161209,0.0379944,-0.000747681,-0.0090332
37,1436966161231,0.0326538,-0.0018158,-0.0122375
38,1436966161252,0.0465393,0.00245666,-0.00582886
39,1436966161271,0.0550842,-0.0018158,-0.0122375
40,1436966161290,0.0550842,0.00566101,-0.0186462
41,1436966161309,0.0497437,0.0131378,-0.0207825
42,1436966161330,0.0518799,0.0163422,-0.0229187
43,1436966161352,0.0561523,0.0174103,-0.0250549
44,1436966161369,0.0582886,0.0227509,-0.026123
45,1436966161387,0.0743103,0.0270233,-0.0207825
46,1436966161408,0.080719,0.0366364,-0.0250549
47,1436966161427,0.0732422,0.0345001,-0.0325317
48,1436966161451,0.104218,0.0184784,-0.0464172
49,1436966161468,0.103149,0.00779724,-0.0688477
