id,attr_time,attr_x,attr_y,attr_z
1,1436969335819,-0.023677662,-0.064313486,-0.0128680095
2,1436969335838,-0.019096173,-0.06339719,-0.016838633
3,1436969335858,-0.014209252,-0.06553522,-0.0128680095
4,1436969335879,-0.0071843006,-0.061564595,-0.011035413
5,1436969335899,-0.0053517073,-0.06767325,-0.015616903
6,1436969335920,-0.014209252,-0.06797868,-0.021114688
7,1436969335940,-0.021234203,-0.05637224,-0.015922334
8,1436969335960,-0.023983095,-0.063091755,-0.018060364
9,1436969335981,-0.023677662,-0.08111228,-0.014700605
10,1436969336001,-0.025510259,-0.089053534,-0.017449498
11,1436969336020,-0.023983095,-0.086304635,-0.02447445
12,1436969336041,-0.027953722,-0.07225474,-0.019282093
13,1436969336060,-0.027953722,-0.062786326,-0.0128680095
14,1436969336082,-0.033146076,-0.061564595,-0.016227767
15,1436969336099,-0.029480882,-0.060953733,-0.019282093
16,1436969336121,-0.030091748,-0.06675695,-0.019892959
17,1436969336140,-0.024899393,-0.06675695,-0.010119116
18,1436969336160,-0.027037423,-0.068589546,-0.0052321926
19,1436969336180,-0.022150502,-0.08172315,-0.009202817
20,1436969336201,-0.018485308,-0.08050142,-0.0165332
21,1436969336221,-0.022761364,-0.0765308,-0.020503825
22,1436969336243,-0.029480882,-0.06217546,-0.019282093
23,1436969336260,-0.025815692,-0.06400806,-0.018060364
24,1436969336281,-0.025510259,-0.07408734,-0.022030987
25,1436969336300,-0.028870016,-0.0756145,-0.024779882
26,1436969336322,-0.02245593,-0.07103301,-0.026001612
27,1436969336342,-0.01879074,-0.058815703,-0.021114688
28,1436969336360,-0.01879074,-0.062786326,-0.019587526
29,1436969336382,-0.020012472,-0.06767325,-0.02233642
30,1436969336402,-0.020623337,-0.07011671,-0.022947285
31,1436969336422,-0.027648289,-0.06217546,-0.022641852
32,1436969336443,-0.032229777,-0.05270705,-0.015006037
33,1436969336462,-0.02825915,-0.059121136,-0.0165332
34,1436969336482,-0.02337223,-0.06797868,-0.017754931
35,1436969336502,-0.021539636,-0.07042214,-0.020809256
36,1436969336522,-0.022150502,-0.062480893,-0.02813964
37,1436969336546,-0.019401606,-0.051179886,-0.021725554
38,1436969336562,-0.021539636,-0.050874453,-0.01072998
39,1436969336580,-0.02337223,-0.05759397,-0.010119116
40,1436969336601,-0.027037423,-0.06461892,-0.015616903
41,1436969336651,-0.02673199,-0.058815703,-0.017144065
42,1436969336652,-0.023066796,-0.048430994,-0.020809256
43,1436969336660,-0.018179875,-0.047209263,-0.016838633
44,1436969336680,-0.02092877,-0.05362335,-0.018365797
45,1436969336701,-0.031008046,-0.05942657,-0.014395172
46,1436969336723,-0.035589535,-0.060037434,-0.022641852
47,1436969336743,-0.031924345,-0.04812556,-0.024169017
48,1436969336762,-0.02459396,-0.04323864,-0.018976662
49,1436969336782,-0.019096173,-0.042627774,-0.014700605
50,1436969336810,-0.025815692,-0.042627774,-0.016227767
51,1436969336869,-0.029480882,-0.046598397,-0.022947285
52,1436969336870,-0.03161891,-0.043849505,-0.024169017
53,1436969336871,-0.03131348,-0.04690383,-0.023863584
54,1436969336890,-0.025204826,-0.052096184,-0.020809256
55,1436969336900,-0.023677662,-0.051179886,-0.022641852
56,1436969336928,-0.023066796,-0.04690383,-0.020503825
57,1436969336942,-0.015430983,-0.04904186,-0.028750505
58,1436969336963,-0.013903819,-0.04415494,-0.029055938
59,1436969336984,-0.026121125,-0.058204837,-0.0305831
60,1436969337001,-0.035284102,-0.08691551,-0.021725554
61,1436969337022,-0.051166598,-0.08661007,-0.022947285
62,1436969337041,-0.060024146,-0.07805796,-0.014089739
63,1436969337063,-0.053915493,-0.096383914,-0.0073702224
64,1436969337081,-0.0502503,-0.14983463,0.00026559457
65,1436969337103,-0.03131348,-0.24848935,0.01828612
66,1436969337123,-0.014514685,-0.34378433,0.035084914
67,1436969337141,-0.0108494945,-0.45068577,0.01614809
68,1436969337163,-0.06918713,-0.49558437,-0.030888533
69,1436969337183,-0.13088451,-0.46107048,-0.16588975
70,1436969337204,-0.17272878,-0.39845678,-0.27279118
71,1436969337223,-0.19838512,-0.36547005,-0.36839157
72,1436969337243,-0.20541006,-0.36211032,-0.39893484
73,1436969337262,-0.20999157,-0.3844069,-0.4258129
74,1436969337285,-0.23289901,-0.402122,-0.49392438
75,1436969337301,-0.26802376,-0.3217932,-0.572726
76,1436969337321,-0.32116905,-0.23443946,-0.6790166
77,1436969337342,-0.393862,-0.14739117,-0.79569185
78,1436969337362,-0.5514652,-0.045376666,-1.0904343
79,1436969337387,-0.54596746,-0.03468653,-1.2782754
80,1436969337403,-0.48854613,0.09359517,-1.3689888
81,1436969337424,-0.49496022,0.1931662,-1.4917728
82,1436969337441,-0.622631,0.22065514,-1.5476669
83,1436969337461,-0.6149952,0.10153643,-1.3170652
84,1436969337481,-0.47724512,-0.106463194,-1.0125489
85,1436969337502,-0.44945076,-0.44304994,-0.75873446
86,1436969337521,-0.36301333,-0.54078835,-0.4905646
87,1436969337578,-0.25122496,-0.48917028,-0.28561932
88,1436969337590,-0.09453803,-0.07072757,-0.095029384
89,1436969337591,0.06764669,-0.016360566,0.13068531
90,1436969337601,0.19043061,-0.01422254,0.24644427
91,1436969337621,0.32421008,0.05663783,0.3325763
92,1436969337654,0.34467408,0.05847042,0.4119888
93,1436969337661,0.3559751,-0.10524146,0.61296344
94,1436969337681,0.33123505,-0.31507367,0.8536443
95,1436969337705,0.27870062,-0.48458877,0.9651272
96,1436969337722,0.3046624,-0.59423906,0.92786443
97,1436969337742,0.41736704,-0.33798113,0.6215155
98,1436969337761,0.3364274,0.10245272,0.50086963
99,1436969337781,0.34009257,0.23684308,0.57508975
100,1436969337801,0.40056825,0.57465154,0.5662322
101,1436969337827,0.24327043,0.6048894,0.5463791
102,1436969337859,0.1256789,0.38467246,0.6407578
103,1436969337862,0.08902698,0.221266,0.6257916
104,1436969337895,0.040768623,0.084737636,0.55340403
105,1436969337905,0.050542466,0.07588009,0.5341618
106,1436969337931,0.05298593,0.0037979856,0.5191956
107,1436969337942,0.046571843,-0.1476966,0.4758242
108,1436969337971,0.11254529,-0.3022455,0.38572156
109,1436969337981,0.19989902,-0.29338795,0.20795977
110,1436969338002,0.23655093,-0.18495938,0.003319919
111,1436969338022,0.2673996,-0.11135011,-0.09747285
112,1436969338042,0.24418673,-0.09241329,-0.08006319
113,1436969338062,0.177297,-0.11440444,0.008512273
114,1436969338082,-0.031924345,-0.40761977,0.3127232
115,1436969338102,-0.2655803,-0.20878312,0.26965716
116,1436969338125,-0.3132278,0.20171833,0.14809498
117,1436969338141,-0.33735698,0.4112451,0.021035012
118,1436969338166,-0.26405314,0.57373524,-0.09900001
119,1436969338185,-0.16295494,0.54166484,-0.15825394
120,1436969338205,-0.11988894,0.28693402,-0.2327795
121,1436969338224,-0.025510259,0.17453483,-0.2740129
122,1436969338246,0.31657428,0.063357346,-0.28561932
123,1436969338267,0.48242417,-0.12937064,-0.26332274
124,1436969338281,0.34986642,-0.13517386,-0.1561159
