id,attr_time,attr_x,attr_y,attr_z
1,1436964110431,-0.0357056,0.0120697,-0.000488281
2,1436964110450,-0.0282288,0.0163422,-0.00262451
3,1436964110468,-0.0228882,0.0195465,-0.00262451
4,1436964110488,-0.0164795,0.0184784,-0.00476074
5,1436964110510,-0.020752,0.0131378,-0.0101013
6,1436964110529,-0.0186157,0.0206146,-0.0122375
7,1436964110552,-0.0314331,0.0248871,-0.01651
8,1436964110568,-0.0367737,0.0120697,-0.034668
9,1436964110589,-0.0410461,0.00138855,-0.00582886
10,1436964110610,-0.0784302,0.015274,-0.0133057
11,1436964110629,-0.0196838,-0.0231781,-0.0303955
12,1436964110647,-0.0196838,0.0366364,0.00805664
13,1436964110667,-0.0431824,-0.00715637,-0.0143738
14,1436964110687,-0.0378418,-0.0359955,0.00378418
15,1436964110705,-0.0730896,0.0174103,-0.00582886
16,1436964110727,-0.0164795,-0.02211,-0.0218506
17,1436964110747,-0.0282288,0.0291595,-0.0015564
18,1436964110766,-0.0271606,0.0142059,-0.00689697
19,1436964110786,-0.0154114,0.00993347,-0.00689697
20,1436964110806,-0.00900269,0.0163422,-0.00369263
21,1436964110826,0.03479,-0.0509491,-0.0197144
22,1436964110845,-0.0218201,0.0291595,0.000579834
23,1436964110865,-0.0325012,-0.0199738,0.00378418
24,1436964110884,-0.0346375,-0.0263824,0.00271606
25,1436964110902,-0.0389099,-0.0295868,-0.000488281
26,1436964110925,-0.0431824,-0.0274506,-0.00369263
27,1436964110944,-0.0421143,-0.0231781,-0.000488281
28,1436964110963,-0.0367737,-0.0242462,0.00271606
29,1436964110984,-0.0335693,-0.0199738,0.00698853
30,1436964111001,-0.0378418,-0.0157013,0.00805664
31,1436964111021,-0.0442505,-0.0146332,0.00164795
32,1436964111041,-0.0431824,-0.0295868,0.00164795
33,1436964111060,-0.0260925,-0.0445404,-0.00262451
34,1436964111080,0.0038147,-0.0327911,-0.00476074
35,1436964111101,0.0187683,-0.0103607,0.000579834
36,1436964111121,0.00808716,-0.0124969,0.00592041
37,1436964111139,-0.0196838,-0.0189056,0.00698853
38,1436964111159,-0.0346375,-0.0189056,-0.00369263
39,1436964111179,-0.0196838,-0.0157013,-0.0111694
40,1436964111198,0.00915527,-0.00608826,-0.01651
41,1436964111219,0.0294495,-0.0092926,-0.00476074
42,1436964111238,0.0262451,-0.00288391,0.00378418
