id,attr_time,attr_x,attr_y,attr_z
1,1436988059020,-0.5386954,9.731832,-0.2160767
2,1436988059039,-0.65780693,9.807847,-0.19033903
3,1436988059059,-0.736217,9.842564,-0.14604631
4,1436988059080,-0.7966706,9.820416,-0.14903906
5,1436988059098,-0.79966336,9.792884,-0.10175357
6,1436988059120,-0.7230489,9.731233,-0.16639702
7,1436988059140,-0.6434417,9.648633,-0.23642741
8,1436988059159,-0.53091425,9.622895,-0.18555063
9,1436988059183,-0.47345337,9.651027,-0.15143326
10,1436988059200,-0.47644615,9.64564,-0.19153613
11,1436988059226,-0.49200845,9.648633,-0.16519992
12,1436988059279,-0.4985925,9.683948,-0.2681506
13,1436988059280,-0.56203884,9.63726,-0.2885013
14,1436988059281,-0.5859809,9.673173,-0.2136825
15,1436988059299,-0.5650316,9.719262,-0.14664486
16,1436988059319,-0.5327099,9.739613,-0.20051439
17,1436988059339,-0.48722005,9.680356,-0.25258827
18,1436988059363,-0.49799395,9.64564,-0.338181
19,1436988059380,-0.4973954,9.646238,-0.19931729
20,1436988059401,-0.55006784,9.639654,-0.22266077
21,1436988059421,-0.66498953,9.671378,-0.3184288
22,1436988059442,-0.6171055,9.622296,-0.3405752
23,1436988059462,-0.5805939,9.69113,-0.32800564
24,1436988059483,-0.6254852,9.688137,-0.22325931
25,1436988059502,-0.61890113,9.677363,-0.2220622
26,1436988059523,-0.5530606,9.670779,-0.35553896
27,1436988059542,-0.5434838,9.64983,-0.3812766
28,1436988059563,-0.56084174,9.634268,-0.2717419
29,1436988059583,-0.5847838,9.69951,-0.21547815
30,1436988059603,-0.587178,9.704897,-0.23582886
31,1436988059625,-0.6302736,9.6923275,-0.26036942
32,1436988059646,-0.64583594,9.686341,-0.28491
33,1436988059666,-0.59376204,9.692925,-0.3321955
34,1436988059681,-0.5805939,9.703101,-0.3172317
35,1436988059707,-0.641646,9.704298,-0.22804771
36,1436988059777,-0.59376204,9.697714,-0.24181437
37,1436988059778,-0.60693014,9.6845455,-0.28311434
38,1436988059779,-0.59974754,9.665392,-0.28909984
39,1436988059781,-0.5967548,9.643246,-0.29688102
40,1436988059802,-0.59376204,9.646837,-0.260968
41,1436988059821,-0.6290765,9.689933,-0.2789245
42,1436988059847,-0.6560113,9.712678,-0.2741361
43,1436988059860,-0.6733692,9.731233,-0.26515785
44,1436988059880,-0.65242,9.730036,-0.2801216
45,1436988059903,-0.64942724,9.710283,-0.2705448
46,1436988059920,-0.6619968,9.670779,-0.25977087
47,1436988059943,-0.65780693,9.665991,-0.29209262
48,1436988059960,-0.6913257,9.709086,-0.350152
49,1436988059982,-0.6739678,9.697714,-0.34715924
50,1436988060008,-0.6751649,9.731832,-0.26276365
51,1436988060020,-0.7194576,9.762358,-0.17357962
52,1436988060048,-0.7858967,9.745,-0.15442601
53,1436988060060,-0.8074445,9.65821,-0.27353755
54,1436988060082,-0.7769185,9.607333,-0.26156655
55,1436988060103,-0.78050977,9.545682,-0.2753332
56,1436988060120,-0.7930793,9.569624,-0.30765492
57,1436988060141,-0.65541273,9.594165,-0.30166942
58,1436988060160,-0.64703304,9.742605,-0.35314476
59,1436988060180,-0.7278373,9.743802,-0.24899697
60,1436988060203,-0.7529764,9.731233,-0.20231004
61,1436988060222,-0.7212533,9.71986,-0.29568392
62,1436988060243,-0.7284359,9.670779,-0.3549404
63,1436988060262,-0.76554596,9.643845,-0.2633622
64,1436988060337,-0.7721301,9.634866,-0.2184709
65,1436988060338,-0.7966706,9.667787,-0.23163901
66,1436988060339,-0.7990648,9.669582,-0.29747957
67,1436988060343,-0.7954735,9.688137,-0.29807812
68,1436988060361,-0.75596917,9.7007065,-0.23523031
69,1436988060386,-0.7428011,9.725846,-0.27712885
70,1436988060404,-0.78170687,9.644443,-0.2861071
71,1436988060423,-0.7793127,9.639056,-0.26635495
72,1436988060443,-0.78290397,9.683948,-0.2621651
73,1436988060463,-0.7846996,9.690532,-0.2861071
74,1436988060481,-0.7553706,9.687539,-0.31483752
75,1436988060503,-0.7332243,9.679757,-0.3184288
76,1436988060524,-0.7260417,9.679159,-0.33039984
77,1436988060543,-0.7338228,9.65821,-0.3172317
78,1436988060562,-0.7290344,9.664195,-0.28431144
79,1436988060583,-0.736217,9.679757,-0.3238158
80,1436988060602,-0.7649474,9.694122,-0.3345897
81,1436988060621,-0.7667431,9.677363,-0.29568392
82,1436988060642,-0.75836337,9.686341,-0.29149407
83,1436988060667,-0.777517,9.681553,-0.31423897
84,1436988060687,-0.7787141,9.677961,-0.30466217
85,1436988060708,-0.7739257,9.685144,-0.2896984
86,1436988060724,-0.7667431,9.681553,-0.27712885
87,1436988060743,-0.7679402,9.692925,-0.23403321
88,1436988060762,-0.7733272,9.712079,-0.26755205
89,1436988060782,-0.76434886,9.690532,-0.29688102
90,1436988060803,-0.748188,9.704298,-0.2801216
91,1436988060824,-0.7314286,9.682152,-0.18555063
92,1436988060869,-0.8038532,9.625888,-0.3274071
93,1436988060870,-0.7320272,9.617508,-0.32441434
94,1436988060894,-0.7290344,9.685743,-0.30645782
95,1436988060902,-0.8086416,9.717466,-0.20231004
96,1436988060921,-0.8086416,9.680955,-0.12449849
97,1436988060942,-0.7673417,9.698911,-0.2789245
98,1436988060961,-0.7858967,9.668983,-0.31423897
