id,attr_time,attr_x,attr_y,attr_z
1,1436988059011,-9.88431,-1.10449,0.0867615
2,1436988059029,-9.87869,-1.1644,0.0351562
3,1436988059050,-9.87299,-1.19836,-0.00720215
4,1436988059069,-9.81401,-1.18994,0.00088501
5,1436988059089,-9.79868,-1.15004,-0.0201416
6,1436988059110,-9.75038,-1.09602,0.0481262
7,1436988059130,-9.68898,-1.09264,0.0266876
8,1436988059150,-9.70723,-1.16214,-0.0293274
9,1436988059168,-9.75516,-1.22971,-0.0384674
10,1436988059188,-9.80447,-1.2283,-0.0246735
11,1436988059207,-9.97542,-1.17969,0.0244141
12,1436988059229,-9.99533,-1.0807,0.0132141
13,1436988059248,-9.9427,-1.026,-0.0469818
14,1436988059269,-9.86728,-1.03175,-0.0256042
15,1436988059288,-9.80414,-1.12032,-0.0436859
16,1436988059308,-9.73119,-1.20808,-0.00700378
17,1436988059328,-9.66895,-1.19629,-0.0539551
18,1436988059348,-9.59085,-1.18535,-0.0467682
19,1436988059368,-9.55742,-1.21196,0.0190735
20,1436988059388,-9.57973,-1.27827,0.0194092
21,1436988059407,-9.59656,-1.27448,-0.0203247
22,1436988059427,-9.64346,-1.31628,0.0436707
23,1436988059448,-9.70841,-1.34811,0.103882
24,1436988059467,-9.76068,-1.40048,0.0850677
25,1436988059485,-9.82188,-1.44992,0.0838318
26,1436988059507,-9.8871,-1.44502,0.0699768
27,1436988059526,-9.87123,-1.46703,0.0791931
28,1436988059546,-9.85693,-1.48039,0.0397644
29,1436988059567,-9.86025,-1.50543,0.0487976
30,1436988059585,-9.88838,-1.42525,0.0279236
31,1436988059606,-9.74384,-1.4158,0.0301666
32,1436988059625,-9.76666,-1.43706,0.0211182
33,1436988059645,-9.74408,-1.49545,0.0445709
34,1436988059665,-9.69395,-1.44485,0.11261
35,1436988059685,-9.64365,-1.41661,0.0844574
36,1436988059705,-9.64304,-1.38507,0.0729523
37,1436988059725,-9.72307,-1.3777,0.0780182
38,1436988059744,-9.78055,-1.42941,0.0812836
39,1436988059765,-9.85509,-1.50076,0.0105743
40,1436988059784,-9.91283,-1.59024,-0.0384827
41,1436988059805,-9.9019,-1.54776,-0.0336914
42,1436988059824,-9.84845,-1.4464,0.0132751
43,1436988059843,-9.83072,-1.43288,0.0473328
44,1436988059864,-9.72846,-1.41219,0.034729
45,1436988059883,-9.6831,-1.3401,0.0195465
46,1436988059904,-9.68515,-1.32961,0.0495453
47,1436988059924,-9.71385,-1.34886,0.0598602
48,1436988059941,-9.7326,-1.34148,0.056839
49,1436988059963,-9.74223,-1.29814,0.0410004
50,1436988059981,-9.80464,-1.30418,0.0446472
51,1436988060019,-9.82086,-1.29832,0.0619659
52,1436988060020,-9.83467,-1.28612,-0.0180664
53,1436988060046,-9.83614,-1.30579,-0.00183105
54,1436988060059,-9.76642,-1.29187,0.0380249
55,1436988060082,-9.75987,-1.26666,0.0263214
56,1436988060099,-9.79211,-1.28024,-0.0195007
57,1436988060118,-9.74986,-1.31126,-0.0673218
