id,attr_time,attr_x,attr_y,attr_z
1,1436988059006,0.004189853,10.250176,-0.6991069
2,1436988059024,0.04189853,10.287885,-0.7266402
3,1436988059045,0.08619126,10.293272,-0.6410475
4,1436988059063,0.12270284,10.26514,-0.599149
5,1436988059084,0.09636662,10.279505,-0.5895722
6,1436988059105,-0.05267244,10.253169,-0.6356605
7,1436988059124,-0.29448682,10.192716,-0.7422025
8,1436988059146,-0.56443304,10.152613,-0.86490536
9,1436988059166,-0.78769237,10.1304655,-0.9403227
10,1436988059184,-0.8714894,10.068815,-0.9307459
11,1436988059205,-0.7206547,10.00477,-0.86729956
12,1436988059223,-0.44651863,10.009559,-0.8074445
13,1436988059246,-0.17298107,10.070611,-0.7858967
14,1436988059267,-0.023343466,10.08737,-0.7457938
15,1436988059286,0.059855044,10.089765,-0.63206923
16,1436988059306,0.077811554,10.081385,-0.635062
17,1436988059324,0.090381116,10.1304655,-0.65780693
18,1436988059343,0.035314474,10.155605,-0.682946
19,1436988059363,-0.08080431,10.16578,-0.7164649
20,1436988059386,-0.19393034,10.125677,-0.7266402
21,1436988059404,-0.24121583,10.165182,-0.7266402
22,1436988059458,-0.30526072,10.108319,-0.7392098
23,1436988059476,-0.32920274,10.156802,-0.8355764
24,1436988059477,-0.41299978,10.163386,-0.866701
25,1436988059486,-0.45310268,10.0508585,-0.81522566
26,1436988059506,-0.38367084,9.9951935,-0.79128367
27,1436988059527,-0.3238158,9.97604,-0.801459
28,1436988059542,-0.23463176,10.016143,-0.8074445
29,1436988059571,-0.10534488,10.075399,-0.7691373
30,1436988059586,0.0047884034,10.165182,-0.6985083
31,1436988059604,-0.023343466,10.2406,-0.7134721
32,1436988059624,-0.109534726,10.25257,-0.7182605
33,1436988059644,-0.22625206,10.175357,-0.79846627
34,1436988059663,-0.33279404,10.174759,-0.85293436
35,1436988059686,-0.39683893,10.105327,-0.82599956
36,1436988059706,-0.40102878,10.065224,-0.8206126
37,1436988059727,-0.338181,10.077195,-0.86131406
38,1436988059746,-0.29927522,10.086173,-0.89782566
39,1436988059766,-0.2633622,10.096349,-0.8882488
40,1436988059786,-0.2100912,10.117298,-0.83138657
41,1436988059806,-0.17238252,10.13705,-0.80445176
42,1436988059827,-0.16579847,10.150817,-0.8038532
43,1436988059846,-0.14903906,10.148422,-0.82779527
44,1436988059864,-0.1412579,10.178948,-0.8391677
45,1436988059884,-0.13467385,10.175357,-0.82719666
46,1436988059906,-0.14963761,10.147225,-0.8343793
47,1436988059926,-0.14724341,10.143036,-0.86011696
48,1436988059945,-0.16519992,10.14543,-0.89423436
49,1436988059963,-0.20470424,10.170568,-0.9247604
50,1436988059986,-0.33039984,10.281899,-0.9792285
51,1436988060047,-0.5009867,10.274716,-0.9528923
52,1436988060048,-0.5781997,10.185533,-0.9343372
53,1436988060049,-0.44592008,10.139444,-0.97144735
54,1436988060231,-0.30585927,10.1143055,-0.96785605
55,1436988060232,-0.13946225,10.075399,-0.9355343
56,1436988060233,-0.076614454,10.074203,-0.9068039
57,1436988060234,-0.095768064,9.998186,-0.82779527
58,1436988060235,-0.090979666,10.081385,-0.8439561
59,1436988060236,-0.22026655,10.190321,-0.90021986
60,1436988060237,-0.35913026,10.0987425,-0.90141696
61,1436988060238,-0.3172317,10.070611,-0.89543146
62,1436988060239,-0.25498247,10.10413,-0.93613285
63,1436988060250,-0.2088941,10.1460285,-0.94930094
64,1436988060264,-0.16699557,10.144233,-0.94451255
65,1436988060283,-0.15382746,10.131064,-0.9056068
66,1436988060316,-0.22325931,10.157401,-0.9379285
67,1436988060323,-0.350152,10.181343,-0.96426475
68,1436988060344,-0.41718966,10.1304655,-0.9708488
69,1436988060371,-0.4177882,10.10413,-1.0049661
70,1436988060384,-0.41718966,10.153211,-1.0127473
71,1436988060403,-0.38965634,10.103531,-0.9600749
72,1436988060426,-0.29927522,10.073005,-0.931943
73,1436988060444,-0.24480712,10.086173,-0.95588505
74,1436988060464,-0.23702596,10.094553,-0.95109665
75,1436988060486,-0.21667525,10.133459,-0.9487024
76,1436988060507,-0.23702596,10.163386,-0.96905315
77,1436988060526,-0.25558102,10.157401,-0.92655605
78,1436988060546,-0.24480712,10.137649,-0.91338795
79,1436988060565,-0.24600422,10.139444,-0.9504981
80,1436988060583,-0.25139117,10.142437,-0.96785605
81,1436988060603,-0.25917232,10.11251,-0.97264445
82,1436988060626,-0.24959552,10.119692,-0.95947635
83,1436988060646,-0.25498247,10.114903,-0.96665895
84,1436988060665,-0.25917232,10.143634,-0.9876082
85,1436988060686,-0.25737667,10.143634,-0.9720459
86,1436988060707,-0.28790274,10.138845,-0.96546185
87,1436988060726,-0.30945057,10.1304655,-0.9816227
88,1436988060747,-0.30286652,10.111312,-0.9648633
89,1436988060767,-0.28909984,10.0987425,-0.9516952
90,1436988060787,-0.2621651,10.113108,-0.98940384
91,1436988060807,-0.25378537,10.13705,-0.9672575
92,1436988060826,-0.27593175,10.180744,-0.98222125
