id,attr_time,attr_x,attr_y,attr_z
1,1436980333508,-0.45669398,10.043077,-1.1779473
2,1436980333509,-0.43873745,10.051457,-1.1893197
3,1436980333510,-0.45789108,10.040684,-1.2120646
4,1436980333598,-0.46028528,10.073005,-1.2252327
5,1436980333599,-0.4369418,10.060435,-1.1815386
6,1436980333617,-0.45250413,10.0508585,-1.1731589
7,1436980333618,-0.44472298,10.04607,-1.1719618
8,1436980333639,-0.41599256,10.058042,-1.1605892
9,1436980333640,-0.4405331,10.055647,-1.1869255
10,1436980333641,-0.4381389,10.048465,-1.1893197
11,1436980333654,-0.41958386,10.055647,-1.1947067
12,1436980333706,-0.44771573,10.04607,-1.2000936
13,1436980333707,-0.45489833,10.067618,-1.2096704
14,1436980333714,-0.40462008,10.063428,-1.1869255
15,1436980333734,-0.3866636,10.058042,-1.1659763
16,1436980333754,-0.40521863,10.068815,-1.1959038
17,1436980333775,-0.4357447,10.096349,-1.1947067
18,1436980333794,-0.3489549,10.062231,-1.1845313
19,1436980333814,-0.3752911,10.049063,-1.1923125
20,1436980333834,-0.34476504,10.0664215,-1.1893197
21,1436980333854,-0.4381389,10.035895,-1.2294226
22,1436980333874,-0.39384618,10.046669,-1.2210429
23,1436980333897,-0.44831428,10.020931,-1.2066777
24,1436980333915,-0.47644615,10.061633,-1.1976994
25,1436980333938,-0.45848963,10.073005,-1.2886791
26,1436980333957,-0.39085343,10.031107,-1.1869255
27,1436980333975,-0.42078096,10.049662,-1.2419921
28,1436980333998,-0.41000703,10.040684,-1.2473791
29,1436980334015,-0.43514615,10.026319,-1.2000936
30,1436980334036,-0.4321534,10.048465,-1.2312182
31,1436980334054,-0.4429273,10.029311,-1.2683283
32,1436980334077,-0.40282443,10.043077,-1.2192472
33,1436980334098,-0.40701428,10.0664215,-1.2282255
34,1436980334116,-0.4165911,10.040085,-1.2389994
35,1436980334138,-0.40342298,10.044873,-1.2336124
36,1436980334157,-0.40162733,10.033501,-1.2228385
37,1436980334177,-0.46507367,10.05445,-1.2719196
38,1436980334195,-0.46926352,10.064027,-1.2773066
39,1436980334217,-0.4890157,10.056246,-1.2497733
40,1436980334236,-0.45310268,10.057443,-1.2258313
41,1436980334309,-0.47225627,10.073604,-1.2521675
42,1436980334310,-0.39983168,10.065224,-1.2144588
43,1436980334311,-0.47764325,10.035296,-1.2491747
44,1436980334317,-0.47165772,10.045472,-1.2509704
45,1436980334335,-0.4854244,10.04607,-1.2312182
46,1436980334364,-0.4213795,10.059837,-1.2509704
47,1436980334376,-0.47345337,10.042479,-1.2306197
48,1436980334408,-0.39923313,10.07121,-1.1641805
49,1436980334415,-0.3669114,10.070012,-1.2569559
50,1436980334436,-0.42437226,10.056246,-1.2868834
51,1436980334456,-0.41240123,10.014946,-1.2707225
52,1436980334477,-0.5093664,10.05864,-1.2653356
53,1436980334495,-0.5069722,10.005967,-1.2886791
54,1436980334518,-0.55964464,10.020931,-1.3371617
55,1436980334559,-0.56982,10.045472,-1.3156139
56,1436980334560,-0.48482585,10.007763,-1.2868834
57,1436980334575,-0.5422867,10.011953,-1.3479356
58,1436980334595,-0.54647654,10.032902,-1.2904748
59,1436980334615,-0.5327099,10.034698,-1.2814964
60,1436980334636,-0.5686229,10.031107,-1.3054385
61,1436980334655,-0.55365914,10.030508,-1.30484
62,1436980334675,-0.54887074,10.019734,-1.3227965
63,1436980334695,-0.54767364,10.030508,-1.3132197
64,1436980334717,-0.5674258,10.019734,-1.3377602
65,1436980334740,-0.52373165,10.033501,-1.3036429
66,1436980334757,-0.492607,10.019135,-1.2838906
67,1436980334779,-0.5009867,10.064626,-1.2856863
68,1436980334800,-0.51475334,10.042479,-1.2725182
69,1436980334817,-0.48841715,10.064027,-1.2629414
70,1436980334838,-0.49919105,10.028113,-1.2737153
71,1436980334858,-0.5093664,10.070012,-1.2485762
72,1436980334878,-0.4357447,10.058042,-1.2569559
73,1436980334900,-0.35434186,10.098145,-1.0755951
74,1436980334918,-0.5686229,9.9951935,-1.417966
75,1436980334938,-0.50397944,9.97604,-1.3706805
76,1436980334958,-0.56203884,10.05864,-1.3461399
77,1436980335028,-0.48243165,10.037092,-1.2982559
78,1436980335029,-0.61650693,10.015544,-1.3204023
79,1436980335030,-0.57879823,10.070012,-1.3090298
80,1436980335038,-0.28311434,10.070611,-0.96187055
81,1436980335057,-0.24839842,10.047267,-1.1246762
82,1436980335110,-0.24600422,10.040085,-1.1480197
83,1436980335111,-0.25079262,10.099341,-1.2384008
84,1436980335119,-0.36990416,9.9928,-1.2802993
85,1436980335138,-0.4818331,10.040684,-1.283292
86,1436980335156,-0.7577648,10.047267,-1.4221559
87,1436980335177,-0.62488663,9.993997,-1.3874398
88,1436980335199,-0.7332243,10.035895,-1.299453
89,1436980335216,-0.8924387,9.98442,-1.3323733
90,1436980335240,-0.7290344,10.039486,-1.3844471
91,1436980335259,-0.688333,10.061633,-1.3413515
92,1436980335279,-0.65541273,10.014347,-1.3012487
93,1436980335300,-0.59735334,10.031705,-1.2449849
94,1436980335319,-0.5363012,10.053253,-1.1671734
95,1436980335339,-0.65182143,10.01315,-1.2318168
96,1436980335360,-0.5781997,10.051457,-1.2844892
97,1436980335376,-0.46208093,10.035296,-1.2425907
98,1436980335401,-0.55365914,10.044274,-1.2587515
99,1436980335416,-0.53929394,10.016742,-1.1869255
100,1436980335436,-0.5434838,10.02153,-1.2330139
101,1436980335456,-0.56203884,10.022727,-1.2204443
102,1436980335480,-0.56682724,10.015544,-1.2725182
103,1436980335498,-0.5835867,10.01315,-1.2563573
104,1436980335517,-0.58119243,10.033501,-1.2150574
105,1436980335539,-0.5650316,9.983821,-1.1390414
106,1436980335560,-0.52073884,10.034698,-1.2000936
107,1436980335578,-0.6147113,10.029909,-1.2785037
108,1436980335599,-0.7092823,9.974843,-1.3814543
109,1436980335618,-0.7320272,10.040684,-1.3652935
110,1436980335640,-0.84694886,10.011354,-1.365892
111,1436980335721,-0.82240826,10.004171,-1.2982559
112,1436980335722,-0.6799533,10.007165,-1.2551602
113,1436980335723,-0.5386954,10.05864,-1.1324574
114,1436980335724,-0.40761283,10.061633,-1.1300632
115,1436980335736,-0.4285621,10.0508585,-1.1587936
116,1436980335758,-0.40761283,10.041282,-1.2228385
117,1436980335783,-0.3728969,10.064626,-1.1761516
118,1436980335796,-0.48123455,10.044873,-1.1713632
119,1436980335816,-0.49679685,10.040085,-1.2006922
120,1436980335839,-0.45729253,10.068815,-1.1575965
121,1436980335856,-0.5189432,10.023924,-1.246182
122,1436980335880,-0.4758476,10.029311,-1.158195
123,1436980335897,-0.50158525,10.075399,-1.1821371
124,1436980335920,-0.46208093,10.037092,-1.2108675
125,1436980335937,-0.49679685,10.01315,-1.2108675
126,1436980335960,-0.533907,10.05445,-1.186327
127,1436980335980,-0.62368953,10.049063,-1.2108675
128,1436980335999,-0.6386533,10.043077,-1.2072762
129,1436980336020,-0.5009867,10.09575,-1.127669
130,1436980336040,-0.46926352,10.040684,-1.1683705
131,1436980336059,-0.48003745,10.039486,-1.1486182
132,1436980336080,-0.5638345,10.063428,-1.1971009
133,1436980336100,-0.49679685,10.05864,-1.1294646
134,1436980336118,-0.4950012,10.050261,-1.1857284
135,1436980336138,-0.58119243,10.039486,-1.2090719
136,1436980336160,-0.6218939,10.033501,-1.2234371
137,1436980336180,-0.5614403,10.0903635,-1.1851299
138,1436980336199,-0.4770447,10.028712,-1.1168951
139,1436980336218,-0.47465047,10.053253,-1.18094
140,1436980336240,-0.42556936,10.123882,-1.074398
141,1436980336260,-0.33758244,10.056845,-1.1336545
142,1436980336281,-0.3465607,10.06283,-1.1067197
143,1436980336299,-0.31364042,10.065823,-1.0851719
144,1436980336319,-0.3453636,10.07121,-1.0935516
145,1436980336337,-0.3878607,10.050261,-1.1216835
146,1436980336360,-0.33399114,10.037092,-1.1294646
147,1436980336380,-0.31304187,10.059238,-1.1127052
148,1436980336400,-0.3184288,10.09575,-1.086369
149,1436980336469,-0.3764882,10.028113,-1.1731589
150,1436980336470,-0.3728969,10.02572,-1.2072762
151,1436980336471,-0.45370123,10.035895,-1.1857284
152,1436980336481,-0.39803603,10.039486,-1.1695676
153,1436980336498,-0.415394,10.051457,-1.151611
154,1436980336520,-0.52133745,10.059238,-1.2198458
155,1436980336537,-0.5650316,10.1065235,-1.2336124
