id,attr_time,attr_x,attr_y,attr_z
1,1436985153411,-7.69905,-5.91806,-0.168991
2,1436985153430,-7.67647,-5.98955,-0.184219
3,1436985153450,-7.72173,-6.10493,-0.144348
4,1436985153470,-7.8553,-6.21791,-0.121475
5,1436985153490,-7.91843,-6.24292,-0.177231
6,1436985153510,-7.83426,-6.27557,-0.255005
7,1436985153528,-7.78783,-6.29434,-0.346252
8,1436985153549,-7.78127,-6.36172,-0.323715
9,1436985153568,-7.80472,-6.3865,-0.263977
10,1436985153589,-7.87254,-6.36099,-0.247879
11,1436985153609,-7.90511,-6.32631,-0.250916
12,1436985153628,-7.9212,-6.29521,-0.258377
13,1436985153649,-7.84033,-6.22856,-0.307861
14,1436985153667,-7.78,-6.02556,-0.330963
15,1436985153688,-7.73807,-5.94159,-0.343445
16,1436985153708,-7.85498,-5.97134,-0.307434
17,1436985153728,-7.87624,-6.12099,-0.331726
18,1436985153767,-7.84395,-6.17731,-0.22522
19,1436985153787,-7.84785,-6.34694,-0.190292
20,1436985153807,-7.77969,-6.4836,-0.220963
21,1436985153827,-7.74295,-6.35886,-0.130615
22,1436985153845,-7.72958,-6.26009,-0.150543
23,1436985153866,-7.85873,-6.192,-0.216751
24,1436985153885,-7.81825,-6.2319,-0.274246
25,1436985153906,-7.84059,-6.17229,-0.327423
26,1436985153926,-7.88748,-6.12488,-0.320343
27,1436985153946,-7.90753,-6.16186,-0.254303
28,1436985153965,-7.86519,-6.12016,-0.193542
29,1436985153984,-7.80653,-6.22223,-0.234665
30,1436985154005,-7.77228,-6.40013,-0.230774
31,1436985154024,-7.77707,-6.47769,-0.181808
32,1436985154045,-7.80598,-6.42841,-0.0423584
33,1436985154064,-7.80894,-6.20773,-0.117538
34,1436985154085,-7.6615,-6.12315,-0.245041
35,1436985154104,-7.72281,-6.15549,-0.313782
36,1436985154124,-7.89239,-6.19408,-0.165924
37,1436985154144,-7.86632,-6.11259,-0.106415
38,1436985154164,-7.82057,-5.94962,-0.150574
39,1436985154183,-7.82716,-6.00647,-0.232773
40,1436985154202,-7.77293,-6.15765,-0.186493
41,1436985154223,-7.75542,-6.3997,-0.229385
42,1436985154243,-7.75258,-6.53104,-0.204483
43,1436985154263,-7.75198,-6.55566,-0.200653
44,1436985154283,-7.8271,-6.49439,-0.160843
45,1436985154300,-7.84206,-6.35889,-0.130981
46,1436985154322,-7.8345,-6.32251,-0.184052
47,1436985154341,-7.95309,-6.14767,-0.193054
48,1436985154362,-7.98347,-5.98585,-0.113297
49,1436985154382,-7.96811,-5.82986,-0.0636444
50,1436985154401,-7.89087,-5.85138,-0.0894012
51,1436985154422,-7.77188,-6.06749,-0.26384
52,1436985154441,-7.67909,-6.25992,-0.324921
53,1436985154461,-7.65132,-6.4158,-0.256973
54,1436985154481,-7.66757,-6.52245,-0.210373
55,1436985154500,-7.72301,-6.53146,-0.105515
56,1436985154520,-7.80066,-6.37715,-0.0341797
57,1436985154540,-7.83183,-6.25525,-0.0856323
58,1436985154560,-7.85579,-6.14336,-0.146835
59,1436985154580,-7.85408,-6.06819,-0.185074
60,1436985154599,-7.84929,-6.06926,-0.125717
61,1436985154619,-7.91422,-6.11317,-0.12825
62,1436985154639,-7.95332,-6.08765,-0.118179
63,1436985154658,-7.89475,-6.06177,-0.189804
64,1436985154679,-7.7748,-6.15845,-0.233109
65,1436985154698,-7.66389,-6.33699,-0.273514
66,1436985154719,-7.60822,-6.4658,-0.20752
67,1436985154738,-7.61662,-6.5072,-0.136307
68,1436985154758,-7.69365,-6.51237,-0.135635
69,1436985154777,-7.80101,-6.45734,-0.129333
70,1436985154797,-7.85124,-6.32314,-0.173096
71,1436985154818,-7.81989,-6.27773,-0.206253
72,1436985154836,-7.90633,-6.20294,-0.294159
73,1436985154857,-7.89377,-6.10797,-0.194229
74,1436985154877,-7.87836,-6.04051,-0.0887299
75,1436985154897,-7.88596,-6.00928,-0.0653381
76,1436985154917,-7.8667,-6.10202,-0.128387
77,1436985154935,-7.78455,-6.33292,-0.205154
78,1436985154956,-7.7258,-6.49843,-0.283066
79,1436985154996,-7.70053,-6.40846,-0.207794
80,1436985155016,-7.69725,-6.38559,-0.215088
81,1436985155035,-7.78708,-6.35316,-0.164093
82,1436985155056,-7.8295,-6.20371,-0.143295
83,1436985155076,-7.79282,-6.09373,-0.239014
