id,attr_time,attr_x,attr_y,attr_z
1,1436985153419,2.3026235,9.312846,0.08798691
2,1436985153420,2.315193,9.345766,0.14844051
3,1436985153421,2.2960393,9.385271,0.14664486
4,1436985153428,2.2720973,9.4062195,0.15861586
5,1436985153445,2.2104468,9.376292,0.19812019
6,1436985153466,2.167351,9.36911,0.1921347
7,1436985153485,2.144606,9.418191,0.1364695
8,1436985153506,2.1284454,9.428367,0.18016368
9,1436985153526,2.135628,9.4217825,0.17597382
10,1436985153547,2.1775265,9.416994,0.15801731
11,1436985153569,2.2463598,9.336788,0.130484
12,1436985153587,2.224812,9.43076,0.049081136
13,1436985153607,2.2242134,9.371504,0.092176765
14,1436985153625,2.2535424,9.32781,0.08319851
15,1436985153646,2.2828712,9.298481,0.023942016
16,1436985153668,2.331354,9.205706,0.08259996
17,1436985153688,2.2720973,9.257779,0.11911154
18,1436985153705,2.183512,9.441534,0.10055647
19,1436985153726,2.1589713,9.4972,0.13826515
20,1436985153749,2.202067,9.417592,0.17956513
21,1436985153769,2.2188265,9.273342,0.130484
22,1436985153786,2.2080526,9.260174,0.12509704
23,1436985153809,2.1440077,9.297284,0.18435353
24,1436985153826,2.1057005,9.439739,0.15322891
25,1436985153846,2.0667946,9.449316,0.11192893
26,1436985153866,2.0919337,9.451111,0.061650693
27,1436985153886,2.178125,9.378088,0.12988544
28,1436985153906,2.2278047,9.3661175,0.065242
29,1436985153927,2.280477,9.304466,0.13706805
30,1436985153947,2.295441,9.3260145,0.14544775
31,1436985153969,2.3014264,9.321226,0.18136078
32,1436985153986,2.3133974,9.40203,0.15502456
33,1436985154007,2.3301568,9.350554,0.10354923
34,1436985154025,2.336741,9.343372,0.0676362
35,1436985154047,2.3235726,9.324817,0.04189853
36,1436985154071,2.337938,9.348759,0.05865794
37,1436985154131,2.344522,9.336189,0.060453594
38,1436985154132,2.3295584,9.329007,0.12689269
39,1436985154133,2.2996306,9.357738,0.10055647
40,1436985154155,2.2810757,9.378687,0.14604631
41,1436985154166,2.2822728,9.336189,0.1436521
42,1436985154191,2.2505496,9.314043,0.12210429
43,1436985154206,2.267309,9.365519,0.1448492
44,1436985154226,2.2786815,9.35235,0.17537527
45,1436985154247,2.3175871,9.389461,0.16160862
46,1436985154268,2.3361423,9.358934,0.1328782
47,1436985154287,2.309806,9.336189,0.09816227
48,1436985154306,2.2589293,9.356541,0.15562311
49,1436985154326,2.2415714,9.384073,0.11252748
50,1436985154346,2.223615,9.385869,0.10354923
51,1436985154369,2.2200236,9.3661175,0.16220717
52,1436985154387,2.2493525,9.337985,0.18375498
53,1436985154409,2.2517467,9.376292,0.19692309
54,1436985154427,2.2409728,9.370307,0.13347675
55,1436985154447,2.2056582,9.36073,0.16639702
56,1436985154469,2.180519,9.318831,0.12270284
57,1436985154489,2.212841,9.357738,0.15502456
58,1436985154507,2.2529438,9.357738,0.15143326
59,1436985154529,2.296638,9.357139,0.14425065
60,1436985154548,2.2547395,9.335591,0.16639702
61,1436985154567,2.2697031,9.355343,0.17357962
62,1436985154590,2.2631192,9.335591,0.15801731
63,1436985154610,2.2756886,9.31943,0.15203181
64,1436985154627,2.2720973,9.323022,0.18974048
65,1436985154648,2.2307975,9.355942,0.2220622
66,1436985154669,2.1930888,9.378687,0.22924481
67,1436985154690,2.1930888,9.389461,0.19153613
68,1436985154708,2.184709,9.396045,0.23642741
69,1436985154730,2.2188265,9.384073,0.23403321
70,1436985154748,2.2625206,9.427169,0.16639702
71,1436985154769,2.272696,9.405023,0.095768064
72,1436985154787,2.285864,9.386468,0.09636662
73,1436985154853,2.3080103,9.351153,0.1376666
74,1436985154854,2.3630772,9.290101,0.11312603
75,1436985154855,2.3762453,9.279327,0.06703765
76,1436985154876,2.3104045,9.263765,0.055066638
77,1436985154886,2.2421699,9.348759,0.14425065
78,1436985154909,2.2373815,9.385869,0.18495208
79,1436985154928,2.2768857,9.307459,0.14185645
80,1436985154946,2.2918496,9.306861,0.1388637
81,1436985154966,2.3008277,9.327211,0.20829555
82,1436985154986,2.2762873,9.413403,0.15562311
83,1436985155012,2.2870612,9.431359,0.1412579
84,1436985155030,2.2643163,9.411607,0.095768064
85,1436985155048,2.284667,9.41879,0.09636662
86,1436985155067,2.348712,9.329605,0.091578215
87,1436985155090,2.373851,9.288305,0.12509704
88,1436985155111,2.3391352,9.267955,0.11791443
89,1436985155129,2.2463598,9.296685,0.15382746
90,1436985155148,2.2409728,9.350554,0.19632454
91,1436985155167,2.2002714,9.359533,0.16340427
92,1436985155189,2.224812,9.320627,0.17178397
93,1436985155211,2.204461,9.352949,0.15682021
94,1436985155229,2.2014685,9.409213,0.1340753
95,1436985155250,2.211644,9.4457245,0.15861586
96,1436985155271,2.2409728,9.366715,0.20590134
97,1436985155286,2.2242134,9.353547,0.15562311
98,1436985155309,2.1877017,9.409811,0.12150574
99,1436985155329,2.1871033,9.375095,0.1316811
