id,attr_time,attr_x,attr_y,attr_z
1,1436985153411,9.914988,-0.12749124,0.6691794
2,1436985153432,9.937733,-0.13946225,0.7086837
3,1436985153452,9.957485,-0.12569559,0.7386112
4,1436985153472,9.915586,-0.108337626,0.6841431
5,1436985153493,9.91439,-0.074818805,0.74758947
6,1436985153509,9.908403,-0.092775315,0.7882909
7,1436985153532,9.896433,-0.14724341,0.7236475
8,1436985153553,9.897031,-0.12569559,0.7038953
9,1436985153572,9.903615,-0.077213004,0.7110779
10,1436985153592,9.88506,-0.062249243,0.7182605
11,1436985153612,9.834782,-0.10354923,0.7422025
12,1436985153632,9.865907,-0.093373865,0.7577648
13,1436985153653,9.89344,-0.073023155,0.7577648
14,1436985153717,9.883863,-0.10594343,0.770933
15,1436985153718,9.871294,-0.0796072,0.7457938
16,1436985153719,9.877877,0.008379706,0.7667431
17,1436985153732,9.879673,-0.022744916,0.7846996
18,1436985153751,9.896433,-0.11731588,0.79367787
19,1436985153770,9.8994255,-0.12629414,0.825401
20,1436985153820,9.884461,-0.12330139,0.8002619
21,1436985153822,9.865308,-0.12569559,0.81881696
22,1436985153830,9.897031,-0.14963761,0.83976626
23,1436985153850,9.909601,-0.13587095,0.84934306
24,1436985153872,9.904813,-0.11133038,0.8451532
25,1436985153891,9.916184,-0.10295067,0.86011696
26,1436985153910,9.933543,-0.10594343,0.91578215
27,1436985153930,9.914988,-0.13587095,0.8900445
28,1436985153950,9.862315,-0.11252748,0.82121116
29,1436985153973,9.843162,-0.13108255,0.82121116
30,1436985153993,9.865308,-0.16460137,0.8439561
31,1436985154011,9.882068,-0.16879122,0.8595184
32,1436985154034,9.901221,-0.12868834,0.89184016
33,1436985154051,9.877279,-0.11133038,0.8762778
34,1436985154073,9.886257,-0.11851298,0.8379706
35,1436985154093,9.89763,-0.107739076,0.8343793
36,1436985154113,9.896433,-0.07062895,0.87448215
37,1436985154131,9.918579,-0.077811554,0.8948329
38,1436985154153,9.944916,-0.10175357,0.9044097
39,1436985154173,9.946113,-0.1352724,0.8870517
40,1436985154193,9.845556,-0.16639702,0.8343793
41,1436985154213,9.749788,-0.11911154,0.8655039
42,1436985154232,9.803059,-0.1340753,0.9876082
43,1436985154253,9.888053,-0.14544775,0.95708215
44,1436985154273,9.922171,-0.08499416,0.86490536
45,1436985154295,9.93474,-0.06464344,0.93014735
46,1436985154314,9.859323,-0.11671733,0.9463082
47,1436985154343,9.862315,-0.1448492,0.95229375
48,1436985154352,9.886856,-0.14065935,1.039682
49,1436985154371,9.894637,-0.1388637,0.99538934
50,1436985154392,9.852738,-0.13706805,0.88525605
51,1436985154413,9.88506,-0.16819267,0.9211691
52,1436985154436,9.857527,-0.16101007,0.9564836
53,1436985154454,9.878476,-0.19871874,0.89902276
54,1436985154473,9.924564,-0.24480712,0.8762778
55,1436985154495,9.973646,-0.1921347,0.9498995
56,1436985154557,9.988011,-0.15741876,0.98581254
57,1436985154568,9.8916445,-0.15562311,0.9552865
58,1436985154571,9.846154,-0.17178397,0.9307459
59,1436985154572,9.902418,-0.18914193,0.9780314
60,1436985154593,9.922171,-0.13706805,0.9911995
61,1436985154614,9.834782,-0.108936176,0.9151836
62,1436985154630,9.815628,-0.08738836,0.8559271
63,1436985154650,9.865907,-0.11133038,0.91817635
64,1436985154683,9.919776,-0.13826515,0.9660604
65,1436985154691,9.900024,-0.1364695,0.97623575
66,1436985154712,9.8677025,-0.12569559,0.9923966
67,1436985154731,9.868899,-0.08798691,0.93254155
68,1436985154754,9.911396,-0.08499416,0.97264445
69,1436985154774,9.879075,-0.14903906,0.985214
70,1436985154794,9.859921,-0.15203181,0.9756372
71,1436985154814,9.822811,-0.16819267,0.96785605
72,1436985154834,9.860519,-0.16759412,1.0055647
73,1436985154852,9.887454,-0.15382746,0.9816227
74,1436985154874,9.878476,-0.12449849,0.97503865
75,1436985154894,9.8994255,-0.11192893,0.96665895
76,1436985154914,9.929353,-0.12330139,0.9756372
77,1436985154934,9.932944,-0.15023616,0.98341835
78,1436985154952,9.938332,-0.12928689,0.97144735
79,1436985154974,9.910798,-0.13587095,0.9331401
80,1436985154994,9.822212,-0.15861586,0.90740246
81,1436985155012,9.802461,-0.14844051,0.9403227
82,1436985155034,9.8916445,-0.1352724,1.0636241
83,1436985155051,9.940725,-0.1388637,1.0444705
84,1436985155074,9.879075,-0.07062895,0.95588505
85,1436985155094,9.861717,-0.050876785,0.97743285
86,1436985155114,9.8754835,-0.079008654,1.0540473
87,1436985155134,9.860519,-0.13946225,1.055843
88,1436985155152,9.886856,-0.13108255,1.027711
89,1436985155171,9.882068,-0.09935937,1.0085574
90,1436985155191,9.911995,-0.11252748,0.9816227
91,1436985155212,9.956287,-0.091578215,0.96665895
92,1436985155233,9.916184,-0.051475335,0.9804256
93,1436985155286,9.869498,-0.11611878,1.1366472
94,1436985155287,9.842564,-0.1448492,1.134253
95,1436985155291,9.885659,-0.14784196,1.0654198
96,1436985155311,9.922769,-0.11851298,1.110311
97,1436985155331,9.91439,-0.15801731,1.1019313
98,1436985155352,9.928156,-0.2124854,1.1264719
99,1436985155371,9.918579,-0.17238252,1.1312603
100,1436985155391,9.827001,-0.13347675,1.091756
101,1436985155413,9.768343,-0.05746084,1.1055226
102,1436985155433,9.728839,-0.038905777,1.0827777
103,1436985155452,9.757569,-0.0676362,1.1079168
104,1436985155472,9.853337,-0.091578215,1.1240777
105,1436985155491,9.902418,-0.08379706,1.1641805
106,1436985155514,9.879673,-0.092176765,1.1671734
107,1436985155534,9.85633,-0.077811554,1.1558008
108,1436985155554,9.821015,-0.08140286,1.204882
109,1436985155574,9.825205,-0.06943185,1.2012907
110,1436985155594,9.835979,-0.08439561,1.2054806
111,1436985155614,9.846753,-0.10654198,1.1803415
112,1436985155634,9.853935,-0.10474633,1.1306617
113,1436985155654,9.862315,-0.10295067,1.1438298
114,1436985155674,9.868899,-0.095169514,1.1546037
115,1436985155694,9.882068,-0.09696517,1.1695676
116,1436985155715,9.864111,-0.091578215,1.1563994
117,1436985155732,9.847352,-0.108936176,1.1905168
118,1436985155755,9.860519,-0.094570965,1.2695254
119,1436985155772,9.882666,-0.10654198,1.2425907
120,1436985155792,9.81084,-0.11133038,1.186327
121,1436985155812,9.81084,-0.06284779,1.1474211
122,1436985155837,9.838972,-0.09995792,1.2533646
123,1436985155857,9.861118,-0.10115502,1.276708
124,1436985155873,9.82341,-0.09816227,1.2389994
125,1436985155895,9.8515415,-0.08499416,1.2569559
126,1436985155912,9.904214,-0.094570965,1.292869
127,1436985155932,9.829993,-0.11971009,1.2210429
128,1436985155952,9.8198185,-0.10474633,1.2084733
129,1436985155973,9.857527,-0.11252748,1.2623428
130,1436985156079,9.898229,-0.12090719,1.2485762
131,1436985156080,9.91439,-0.12928689,1.3036429
132,1436985156081,9.897031,-0.14065935,1.2970588
133,1436985156082,9.844957,-0.1316811,1.3012487
134,1436985156083,9.832987,-0.10235212,1.228824
135,1436985156096,9.8683,-0.014963761,1.1031284
136,1436985156122,9.928755,0.053869538,1.13964
137,1436985156133,9.977237,0.05805939,1.1324574
138,1436985156152,10.009559,0.11192893,1.0594343
139,1436985156186,9.871892,-0.0053869537,1.1761516
140,1436985156203,9.692925,-0.16280572,1.3736732
141,1436985156212,9.637859,-0.26874915,1.5077485
142,1436985156233,9.855133,-0.23163901,1.5089456
143,1436985156255,10.084976,-0.17477672,1.7136499
144,1436985156275,10.110115,-0.16879122,1.9213469
145,1436985156292,9.879075,-0.27353755,1.8148049
146,1436985156314,9.640253,-0.22685061,1.572392
147,1436985156339,9.494805,-0.219668,1.5029601
148,1436985156354,9.355942,-0.23463176,1.4215573
