id,attr_time,attr_x,attr_y,attr_z
1,1436985153430,-0.00259399,0.0216827,0.0198059
2,1436985153450,-0.0720215,0.0441132,0.00912476
3,1436985153473,-0.122223,0.0174103,-0.0197144
4,1436985153490,-0.171356,-0.0370636,-0.0581665
5,1436985153510,-0.179901,-0.0616302,-0.0709839
6,1436985153528,-0.149994,-0.0562897,-0.062439
7,1436985153550,-0.0944519,-0.0092926,-0.034668
8,1436985153571,-0.0250244,0.00672913,0.0048523
9,1436985153589,0.0230408,0.0206146,0.0230103
10,1436985153609,0.0572205,0.0110016,0.0358276
11,1436985153629,0.0679016,-0.0135651,0.0155334
12,1436985153649,0.0849915,-0.0306549,0.00271606
13,1436985153670,0.0700378,-0.031723,-0.0090332
14,1436985153688,0.0144958,-0.0253143,-0.0133057
15,1436985153708,-0.0431824,-0.0231781,-0.0239868
16,1436985153728,-0.0880432,-0.0199738,-0.026123
17,1436985153747,-0.111542,-0.0189056,-0.00796509
18,1436985153767,-0.114746,-0.0146332,-0.00369263
19,1436985153787,-0.0613403,-0.0114288,0.00805664
20,1436985153810,0.00701904,-0.00822449,0.0198059
21,1436985153827,0.0358582,-0.0018158,0.0326233
22,1436985153845,0.0401306,-0.00502014,0.0358276
23,1436985153866,0.03479,-0.0092926,0.0262146
24,1436985153886,0.0390625,-0.0146332,0.0304871
25,1436985153907,0.0166321,-0.0157013,0.0187378
26,1436985153926,-0.012207,-0.02211,0.000579834
27,1436985153946,-0.0463867,-0.031723,-0.000488281
28,1436985153966,-0.0794983,-0.0349274,-0.0122375
29,1436985153984,-0.0709534,-0.02211,-0.00262451
30,1436985154006,-0.00473022,-0.0189056,0.00912476
31,1436985154025,0.0518799,-0.0135651,0.0155334
32,1436985154045,0.0636291,-0.0146332,0.0347595
33,1436985154065,0.0411987,-0.0092926,0.0240784
34,1436985154085,0.03479,0.0259552,0.0294189
35,1436985154104,0.0411987,0.0291595,0.0283508
36,1436985154125,0.0230408,0.000320435,0.00805664
37,1436985154144,-0.0175476,-0.0167694,-0.0122375
38,1436985154164,-0.0794983,-0.0210419,-0.0282593
39,1436985154183,-0.1297,-0.0199738,-0.0207825
40,1436985154203,-0.137177,0.0110016,-0.0111694
41,1436985154224,-0.067749,0.023819,0.00698853
42,1436985154243,0.0102234,0.033432,0.0219421
43,1436985154263,0.102081,0.0441132,0.0326233
44,1436985154283,0.162964,0.0409088,0.0379639
45,1436985154301,0.192871,0.0302277,0.0326233
46,1436985154323,0.214233,0.0291595,0.0294189
47,1436985154341,0.192871,0.00993347,-0.00369263
48,1436985154362,0.128784,-0.0338593,-0.034668
49,1436985154382,-0.0111389,-0.0648346,-0.0709839
50,1436985154404,-0.1297,-0.0883331,-0.0859375
51,1436985154422,-0.16922,-0.0819244,-0.0827332
52,1436985154441,-0.140381,-0.0477448,-0.0560303
53,1436985154461,-0.0688171,0.00138855,-0.0186462
54,1436985154481,0.0102234,0.0345001,0.00592041
55,1436985154503,0.0817871,0.0483856,0.0198059
56,1436985154520,0.117035,0.0505219,0.0240784
57,1436985154540,0.118103,0.0280914,0.0166016
58,1436985154560,0.0999451,0.0120697,0.00912476
59,1436985154580,0.0764465,0.00672913,0.0048523
60,1436985154600,0.0358582,0.00352478,0.00805664
61,1436985154619,-0.0282288,-0.00715637,-0.00369263
62,1436985154640,-0.107269,-0.0424042,-0.0400085
63,1436985154659,-0.176697,-0.0680389,-0.053894
64,1436985154679,-0.207672,-0.0562897,-0.0528259
65,1436985154701,-0.168152,-0.0263824,-0.0250549
66,1436985154719,-0.09552,0.0216827,0.00592041
67,1436985154738,-0.0100708,0.0644074,0.0401001
68,1436985154759,0.0636291,0.0911102,0.0582581
69,1436985154778,0.113831,0.0900421,0.0678711
70,1436985154801,0.139465,0.0665436,0.0657349
71,1436985154818,0.141602,0.05159,0.0518494
72,1436985154836,0.135193,0.0451813,0.0433044
73,1436985154858,0.0999451,0.0312958,0.0272827
74,1436985154877,0.0379944,0.00993347,0.011261
75,1436985154898,-0.039978,-0.0157013,-0.00796509
76,1436985154917,-0.125427,-0.0391998,-0.0239868
