id,attr_time,attr_x,attr_y,attr_z
1,1436985153433,-0.10536098,-0.016081698,-0.42417952
2,1436985153456,0.010397993,-0.031353332,-0.18258232
3,1436985153476,0.12829497,-0.036545686,0.0385509
4,1436985153495,0.21106723,-0.044181503,0.19035092
5,1436985153554,0.26573965,-0.043265205,0.30641532
6,1436985153555,0.2877308,-0.023717515,0.36841816
7,1436985153557,0.2877308,-0.0072241575,0.38704956
8,1436985153574,0.2211465,-0.0014209375,0.17507929
9,1436985153594,0.10996903,-0.043265205,-0.16517265
10,1436985153614,-0.0060953684,-0.06831068,-0.41807085
11,1436985153634,-0.06870906,-0.083276875,-0.5362733
12,1436985153654,-0.106277265,-0.088774666,-0.5475743
13,1436985153674,-0.080010064,-0.06525636,-0.3866113
14,1436985153697,-0.0033464767,-0.05181732,-0.19449419
15,1436985153715,0.09408653,-0.058536835,-0.014594376
16,1436985153734,0.14784268,-0.0768628,0.09719397
17,1436985153755,0.1866326,-0.09610505,0.15033925
18,1436985153774,0.20954007,-0.0881638,0.14545232
19,1436985153794,0.19457385,-0.07838996,0.066345274
20,1436985153814,0.14203945,-0.09702135,-0.08820363
21,1436985153834,0.08950504,-0.112292975,-0.22931351
22,1436985153854,0.033610873,-0.12481572,-0.34659964
23,1436985153874,0.012230586,-0.11351471,-0.34934855
24,1436985153894,0.022004431,-0.07808452,-0.27390668
25,1436985153914,0.06415413,-0.062812895,-0.15753683
26,1436985153934,0.111801624,-0.06372919,-0.08423301
27,1436985153954,0.1649469,-0.0741139,-0.019175857
28,1436985153974,0.20892921,-0.07625193,0.010451108
29,1436985154006,0.21809217,-0.08236058,-0.025895372
30,1436985154102,0.1967119,-0.09366159,-0.105002426
31,1436985154103,0.1649469,-0.09671591,-0.19693765
32,1436985154104,0.118826576,-0.111987546,-0.2928435
33,1436985154105,0.0919485,-0.11565274,-0.2928435
34,1436985154106,0.08186923,-0.08052798,-0.21098754
35,1436985154158,0.0928648,-0.05212275,-0.099504635
36,1436985154159,0.11516138,-0.04845756,-0.009707451
37,1436985154160,0.14051229,-0.05334448,0.0834495
38,1436985154174,0.1649469,-0.06372919,0.13537306
39,1436985154194,0.1957956,-0.07533563,0.16988695
40,1436985154214,0.22084108,-0.10251913,0.12895897
41,1436985154234,0.2238954,-0.16268936,0.0028152913
42,1436985154254,0.21473241,-0.22041613,-0.20548975
43,1436985154274,0.20312598,-0.25890064,-0.3548463
44,1436985154294,0.18388373,-0.27020165,-0.44006202
45,1436985154314,0.15303503,-0.25890064,-0.44861412
46,1436985154334,0.14234489,-0.2237759,-0.4156274
47,1436985154354,0.13073844,-0.18956743,-0.32247046
48,1436985154374,0.13867968,-0.13886562,-0.14195977
49,1436985154394,0.16097628,-0.09030183,0.040383503
50,1436985154414,0.18144026,-0.051206455,0.17630103
51,1436985154434,0.20587486,-0.014859974,0.24227446
52,1436985154455,0.23397467,0.0010225251,0.27403945
53,1436985154476,0.22267365,-0.009973049,0.18882376
54,1436985154535,0.17136098,-0.044181503,-0.03292033
55,1436985154536,0.11210705,-0.08205515,-0.2610785
56,1436985154537,0.06904106,-0.09732678,-0.37958634
57,1436985154555,0.025669623,-0.09824308,-0.44128373
58,1436985154575,0.024753325,-0.091828994,-0.38233525
59,1436985154595,0.033000007,-0.09213442,-0.27879357
60,1436985154615,0.06629216,-0.09243986,-0.1300479
61,1436985154635,0.10966359,-0.093356155,-0.04055614
62,1436985154655,0.15395132,-0.09854851,0.032442257
63,1436985154676,0.19457385,-0.1040463,0.08131148
64,1436985154695,0.24038875,-0.11137668,0.11918512
65,1436985154715,0.26085275,-0.12115052,0.10177547
66,1436985154735,0.25566038,-0.13947648,0.005869612
67,1436985154756,0.23611271,-0.15627527,-0.1309642
68,1436985154775,0.20159882,-0.16879801,-0.27970988
69,1436985154795,0.16525233,-0.1629948,-0.38752759
70,1436985154815,0.12768412,-0.1620785,-0.4296773
71,1436985154835,0.10813643,-0.16085675,-0.40615898
72,1436985154855,0.09652999,-0.15444268,-0.35240287
73,1436985154875,0.097140856,-0.13825475,-0.24397427
74,1436985154895,0.090421334,-0.10251913,-0.15020646
75,1436985154915,0.10508211,-0.07930625,-0.07812436
76,1436985154935,0.12249176,-0.06953241,-0.025895372
77,1436985154955,0.14142859,-0.06617265,-0.0032933652
78,1436985154975,0.162198,-0.06556179,0.0012881309
79,1436985155013,0.15975454,-0.06647809,-0.03444749
80,1436985155103,0.13959599,-0.086025774,-0.10714045
81,1436985155104,0.11057989,-0.11259841,-0.15814771
82,1436985155105,0.09500283,-0.12176139,-0.17708452
83,1436985155106,0.06843019,-0.10862779,-0.1694487
84,1436985155107,0.057434615,-0.09091269,-0.13829458
85,1436985155159,0.06843019,-0.080222555,-0.087592766
86,1436985155160,0.08125836,-0.07258674,-0.04055614
87,1436985155161,0.08522898,-0.057009675,-0.019481286
88,1436985155177,0.0937811,-0.05212275,-0.007874846
89,1436985155202,0.101416916,-0.060674865,-0.03872355
90,1436985155215,0.09500283,-0.05762054,-0.1037807
91,1436985155238,0.08797788,-0.058842268,-0.16334006
92,1436985155257,0.08186923,-0.0722813,-0.19968654
93,1436985155277,0.072400816,-0.081444286,-0.22992438
94,1436985155300,0.06018351,-0.08572034,-0.24550143
95,1436985155316,0.04643904,-0.08510947,-0.24947205
96,1436985155337,0.042468417,-0.08266601,-0.27085233
97,1436985155356,0.04399558,-0.0863312,-0.28337508
98,1436985155377,0.056212883,-0.081444286,-0.26535454
99,1436985155401,0.071179084,-0.06617265,-0.27085233
100,1436985155421,0.08370182,-0.070143275,-0.30719882
