id,attr_time,attr_x,attr_y,attr_z
1,1437147221421,-0.51235914,10.15381,1.2599486
2,1437147221436,-0.5243302,10.202292,1.2958617
3,1437147221456,-0.5291186,10.187328,1.3144168
4,1437147221477,-0.52492875,10.204087,1.3461399
5,1437147221500,-0.50876784,10.187927,1.3263878
6,1437147221519,-0.52852005,10.117298,1.3413515
7,1437147221540,-0.57640404,10.064626,1.3868413
8,1437147221560,-0.6386533,10.104729,1.3485341
9,1437147221580,-0.62728083,10.169372,1.2904748
10,1437147221598,-0.48602295,10.189722,1.2862848
11,1437147221620,-0.40940848,10.200497,1.3120226
12,1437147221662,-0.39384618,10.0987425,1.3820529
13,1437147221663,-0.46028528,10.064626,1.3018472
14,1437147221679,-0.61530983,10.089166,1.2569559
15,1437147221700,-0.6865373,10.163984,1.2360066
16,1437147221719,-0.6039374,10.159196,1.2623428
17,1437147221739,-0.49440265,10.134656,1.3204023
18,1437147221759,-0.4297592,10.058042,1.3347675
19,1437147221780,-0.44352585,10.053851,1.3084313
20,1437147221800,-0.53929394,10.1621895,1.2563573
21,1437147221819,-0.54049104,10.092757,1.3102269
22,1437147221839,-0.5033809,10.150817,1.3569138
23,1437147221860,-0.5386954,10.125677,1.3479356
24,1437147221880,-0.54408234,10.123283,1.3491327
25,1437147221899,-0.51235914,10.108918,1.3072342
26,1437147221920,-0.5386954,10.081984,1.3742718
27,1437147221998,-0.55485624,10.140641,1.3551182
28,1437147221999,-0.57400984,10.181941,1.3335704
29,1437147222000,-0.60214174,10.141838,1.3461399
30,1437147222001,-0.5674258,10.087969,1.3497312
31,1437147222019,-0.5446809,10.077195,1.3521254
32,1437147222041,-0.56443304,10.169372,1.3215994
33,1437147222081,-0.5422867,10.184336,1.340753
34,1437147222082,-0.49679685,10.123283,1.347337
35,1437147222098,-0.47105917,10.05864,1.3491327
36,1437147222120,-0.51355624,10.0508585,1.3521254
37,1437147222138,-0.533907,10.077793,1.3437457
38,1437147222160,-0.55964464,10.15381,1.3383588
39,1437147222182,-0.55006784,10.189124,1.3174095
40,1437147222200,-0.521936,10.181343,1.2946646
41,1437147222220,-0.50637364,10.1382475,1.3509283
42,1437147222240,-0.50757074,10.1382475,1.3305776
43,1437147222260,-0.50158525,10.156203,1.3024458
44,1437147222280,-0.54288524,10.150817,1.3365631
45,1437147222300,-0.5446809,10.109517,1.3982137
46,1437147222321,-0.53809685,10.110115,1.395221
47,1437147222340,-0.55365914,10.084976,1.3682863
48,1437147222360,-0.51116204,10.149619,1.3096284
49,1437147222380,-0.504578,10.226234,1.2659341
50,1437147222400,-0.4213795,10.180744,1.3365631
51,1437147222421,-0.3728969,10.138845,1.395221
52,1437147222440,-0.4249708,10.074203,1.3724761
53,1437147222461,-0.5291186,10.06283,1.3084313
54,1437147222481,-0.59735334,10.092757,1.2892777
55,1437147222500,-0.56922144,10.149021,1.3096284
56,1437147222521,-0.45370123,10.151415,1.3736732
57,1437147222541,-0.362123,10.201095,1.4131776
58,1437147222560,-0.4141969,10.201095,1.3982137
59,1437147222580,-0.43514615,10.204087,1.4287399
60,1437147222603,-0.4261679,10.277111,1.4413095
61,1437147222711,-0.41180268,10.327988,1.4598645
62,1437147222712,-0.29807812,10.323199,1.5664065
63,1437147222713,-0.090979666,10.240001,1.6795325
64,1437147222714,-0.025139118,10.195708,1.7968484
65,1437147222715,-0.10295067,10.243592,1.7998412
66,1437147222740,-0.30406362,10.316615,1.6418238
67,1437147222741,-0.46028528,10.232818,1.5209166
68,1437147222760,-0.53689975,9.998785,1.555034
69,1437147222803,-0.5530606,9.762358,1.5729905
70,1437147222804,-0.5374983,9.613318,1.5903485
71,1437147222830,-0.50637364,9.485229,1.6047137
72,1437147222839,-0.5686229,9.718064,1.5227122
73,1437147222861,-0.6607997,9.864111,1.377863
74,1437147222879,-0.57640404,9.633669,1.3042414
75,1437147222901,-0.50397944,9.414599,1.3210008
76,1437147222921,-0.26874915,8.67539,1.4389153
77,1437147222941,0.047285482,7.675811,1.6077064
78,1437147222961,0.31663316,6.9862804,1.7782934
79,1437147222981,0.36631286,6.7983356,1.7465701
80,1437147223001,0.30226797,7.3777328,1.1887212
81,1437147223021,0.272939,7.65965,0.45789108
82,1437147223038,0.90859956,7.53156,0.31783026
83,1437147223061,1.8902222,9.370307,0.31543607
84,1437147223083,2.9987376,14.139557,0.44651863
85,1437147223099,5.130774,17.08622,2.1027076
86,1437147223121,6.459556,18.046894,5.345055
87,1437147223142,4.5992613,19.608511,4.770447
88,1437147223161,3.09271,19.608511,2.44029
89,1437147223181,0.9959879,19.608511,0.22325931
90,1437147223201,0.4333505,19.608511,-0.7170634
91,1437147223221,1.3694834,17.952322,0.7164649
92,1437147223241,2.4666264,12.730569,2.420538
93,1437147223261,2.6240451,7.7811556,3.0933087
94,1437147223282,1.5466543,4.5022964,2.7754784
95,1437147223302,-0.107140526,1.335366,1.714847
96,1437147223322,-1.4969746,-1.6849195,0.84096336
97,1437147223341,-2.3259668,-3.335123,0.04369418
98,1437147223364,-2.244564,-1.8513165,-0.6955156
99,1437147223431,-1.4939818,0.3657143,-1.2000936
100,1437147223432,-0.43155485,0.40462008,-0.7637503
101,1437147223433,0.038905777,-0.1328782,0.32680854
102,1437147223442,0.18614918,-0.1400608,0.5907693
103,1437147223460,0.30466217,0.14185645,0.2657564
104,1437147223481,0.6715736,0.41599256,0.075417355
105,1437147223499,1.4371196,2.2720973,0.41958386
106,1437147223519,1.7788919,8.517372,0.504578
107,1437147223540,3.738546,19.45648,-2.1547816
108,1437147223559,4.4406457,13.738528,3.5116954
109,1437147223580,3.4626143,15.0715,5.407305
110,1437147223602,2.5480292,19.608511,0.26156655
111,1437147223622,3.3411086,19.608511,0.12150574
112,1437147223639,4.211401,19.608511,2.111686
113,1437147223660,2.3391352,19.608511,4.402937
114,1437147223679,1.7286136,19.608511,2.7168205
115,1437147223702,2.5360582,19.608511,1.1162965
116,1437147223722,3.4847605,19.608511,1.5215151
117,1437147223742,2.847903,15.640721,1.797447
118,1437147223762,0.6925228,10.498574,1.359308
119,1437147223782,-1.6950948,6.1596823,0.047285482
120,1437147223804,-2.0165164,2.7419596,-0.8690952
121,1437147223820,-0.20231004,-0.5758055,-0.3681085
122,1437147223842,1.7663223,-2.9574378,0.24301147
123,1437147223860,2.3864205,-3.0226796,0.45250413
124,1437147223880,1.8243817,-0.7906851,-0.16340427
125,1437147223903,0.83737206,0.15442601,-1.073201
126,1437147223924,-0.15263036,0.19093758,-1.0408791
127,1437147223943,-0.90979666,0.6697779,-0.5177461
128,1437147223963,-0.9151836,1.2210429,0.11312603
129,1437147223982,0.0011971008,1.0474633,0.46806642
130,1437147224000,0.9552865,1.6071079,1.2060791
131,1437147224021,1.3700819,5.6497173,1.2593501
132,1437147224041,1.8537107,13.84507,-0.020949265
133,1437147224061,2.2104468,17.477074,-0.8074445
134,1437147224079,2.6240451,17.33043,3.5793316
135,1437147224151,1.4443022,19.608511,2.2661119
136,1437147224152,2.0967221,19.608511,0.9103952
137,1437147224153,3.359065,19.608511,1.3521254
138,1437147224160,1.5346833,19.608511,1.1587936
139,1437147224179,-0.017956512,19.608511,0.8086416
140,1437147224199,0.8870517,19.608511,0.36272156
141,1437147224219,3.3614593,17.878103,0.9211691
142,1437147224241,3.638588,12.208633,1.4520833
143,1437147224260,2.235586,7.091625,0.9367314
144,1437147224281,-0.23403321,3.5966895,-0.30406362
145,1437147224300,-1.785476,0.7787141,-0.8475474
146,1437147224321,-1.7675194,-2.1057005,-0.4381389
147,1437147224342,-0.62728083,-3.5368345,0.3321955
148,1437147224362,0.06943185,-2.9532478,0.10474633
149,1437147224379,0.52852005,-0.11971009,-0.40162733
150,1437147224402,0.24301147,0.4417302,-0.3776853
151,1437147224422,-0.18495208,-0.0796072,0.41718966
152,1437147224442,-0.46686932,-0.08200141,0.53929394
153,1437147224462,-0.089782566,0.2160767,0.12090719
154,1437147224482,0.53450555,0.7272388,0.1448492
155,1437147224502,0.49200845,2.831742,0.5363012
156,1437147224525,-0.1388637,9.048885,0.6871359
157,1437147224540,0.002992752,17.997812,-0.2837129
158,1437147224563,2.3666685,19.608511,0.55126494
159,1437147224614,2.7449522,19.608511,4.502895
160,1437147224615,2.8844144,19.608511,2.1110873
161,1437147224622,4.4514194,19.608511,1.7477672
162,1437147224642,3.3141737,19.608511,2.7581203
163,1437147224661,1.9620483,19.608511,1.2551602
164,1437147224682,0.8702923,19.608511,0.17058687
