id,attr_time,attr_x,attr_y,attr_z
1,1437145182007,-6.642114,7.0503254,0.06823475
2,1437145182026,-6.443395,7.105392,-0.2621651
3,1437145182052,-6.381146,7.113772,0.018555064
4,1437145182067,-6.4541693,7.117363,-0.059855044
5,1437145182086,-6.4978633,7.21373,-0.08200141
6,1437145182114,-6.530185,7.140108,-0.017956512
7,1437145182125,-6.55712,7.005434,0.030526072
8,1437145182145,-6.4445925,7.1047935,-0.073023155
9,1437145182170,-6.4350157,7.102998,-0.061052144
10,1437145182190,-6.531981,7.113772,-0.061052144
11,1437145182211,-6.564901,7.207744,0.07062895
12,1437145182231,-6.5726824,7.077859,-0.06404489
13,1437145182248,-6.469133,7.0688806,-0.029927522
14,1437145182265,-6.455366,7.0467343,-0.01436521
15,1437145182285,-6.4182563,7.053318,-0.036511578
16,1437145182305,-6.501455,7.0940194,-0.036511578
17,1437145182327,-6.5349736,7.2310877,0.0035913025
18,1437145182345,-6.5044475,7.1347213,-0.17776948
19,1437145182397,-6.529587,7.047333,0.092775315
20,1437145182398,-6.409278,7.1646485,0.030526072
21,1437145182414,-6.3548098,7.2107368,-0.21428105
22,1437145182441,-6.4002995,7.173627,0.11192893
23,1437145182445,-6.567894,7.105392,0.15083471
24,1437145182465,-6.542156,7.050924,-0.06464344
25,1437145182494,-6.5708866,6.956353,-0.018555064
26,1437145182507,-6.5858502,7.095815,0.08678981
27,1437145182527,-6.4787097,7.088034,-0.078410104
28,1437145182546,-6.59423,7.0407486,0.05686229
29,1437145182567,-6.6361284,7.061698,0.12389994
30,1437145182589,-6.4583592,7.123947,-0.037708677
31,1437145182605,-6.4026937,7.091625,-0.020350715
32,1437145182628,-6.525397,7.153875,0.094570965
33,1437145182649,-6.5110316,7.1311297,0.010175358
34,1437145182669,-6.5098343,7.0826473,-0.05865794
35,1437145182688,-6.573281,7.129334,0.05566519
36,1437145182709,-6.4697313,7.08145,-0.026934769
37,1437145182729,-6.505046,7.0347633,0.08020575
38,1437145182749,-6.4541693,7.0850415,-0.05925649
39,1437145182769,-6.451775,7.1544733,0.075417355
40,1437145182787,-6.612785,7.041946,0.019752163
41,1437145182808,-6.6109896,7.012018,0.08020575
42,1437145182828,-6.5469446,7.1664443,0.05267244
43,1437145182846,-6.4781113,7.0946183,-0.008379706
44,1437145182900,-6.535572,7.0263834,0.05865794
45,1437145182901,-6.56131,7.0754647,0.008978256
46,1437145182918,-6.5427547,7.0646906,0.016759412
47,1437145182959,-6.655881,7.012018,0.12270284
48,1437145182960,-6.5984197,7.020398,-0.0053869537
49,1437145182966,-6.408081,7.047333,-0.05327099
50,1437145183009,-6.4565635,7.067085,0.17717093
51,1437145183010,-6.6002154,7.076063,0.027533319
52,1437145183027,-6.645107,7.053917,-0.01316811
53,1437145183048,-6.6145806,7.073669,0.12689269
54,1437145183068,-6.491279,7.1383123,-0.073621705
55,1437145183087,-6.4188547,7.07726,0.035314474
56,1437145183108,-6.469133,6.996456,0.032920275
57,1437145183126,-6.6534867,7.07726,0.15861586
58,1437145183146,-6.654085,7.069479,0.034117375
59,1437145183166,-6.6026096,6.9796963,-0.02633622
60,1437145183188,-6.4906807,7.0108213,0.11252748
61,1437145183207,-6.4308257,7.153875,-0.009576807
62,1437145183232,-6.5044475,7.1227503,0.024540568
63,1437145183249,-6.681618,7.0383544,0.10474633
64,1437145183268,-6.6109896,7.0371575,-0.093972415
65,1437145183287,-6.5643024,7.0245876,0.1388637
66,1437145183306,-6.542156,7.008427,-0.020949265
67,1437145183337,-6.4978633,6.980295,0.040102877
68,1437145183347,-6.5044475,7.102998,0.04369418
69,1437145183430,-6.6445084,7.0461354,0.09696517
70,1437145183431,-6.5948286,6.962937,0.002992752
71,1437145183432,-6.589442,7.0186024,0.17058687
72,1437145183433,-6.531382,7.0545154,-0.049679685
73,1437145183569,-6.5349736,7.071873,0.093373865
74,1437145183570,-6.5906386,7.111976,0.14185645
75,1437145183571,-6.55293,7.057508,-0.014963761
76,1437145183572,-6.5020533,7.0251865,0.020350715
77,1437145183573,-6.497265,7.020398,0.044891283
78,1437145183574,-6.4966664,7.038953,0.10055647
79,1437145183575,-6.6726403,7.117363,0.21188685
80,1437145183594,-6.6056023,7.1107793,-0.051475335
81,1437145183615,-6.5523314,7.109582,0.20410569
82,1437145183626,-6.4787097,6.996456,-0.065242
83,1437145183646,-6.479308,7.0287776,0.037708677
84,1437145183667,-6.4745197,7.0952168,0.074818805
85,1437145183687,-6.553529,7.079654,0.024540568
86,1437145183706,-6.669647,7.0581064,0.14544775
87,1437145183727,-6.7043633,7.053917,0.21428105
88,1437145183747,-6.4146647,6.9958572,-0.15023616
89,1437145183767,-6.4128695,7.144298,0.11192893
90,1437145183787,-6.4601545,7.1849995,0.03172317
91,1437145183807,-6.5684924,7.0305734,0.008978256
92,1437145183827,-6.7731967,6.9820905,0.2908955
93,1437145183847,-6.6121864,6.95336,-0.089782566
94,1437145183867,-6.5098343,6.9826894,0.06404489
95,1437145183887,-6.6229606,6.991069,0.18255788
96,1437145183907,-6.543952,7.0646906,-0.038307227
97,1437145183939,-6.564901,7.037756,0.093972415
98,1437145183947,-6.6391215,7.055712,0.089782566
99,1437145183971,-6.543952,7.057508,0.055066638
100,1437145183987,-6.539762,7.033566,0.06943185
101,1437145184008,-6.6085954,7.0329676,0.050278235
102,1437145184026,-6.6056023,7.105392,0.025737667
103,1437145184048,-6.591237,7.04434,0.12808979
104,1437145184066,-6.597821,7.0168066,-0.01616086
105,1437145184086,-6.485294,7.032369,-0.06404489
106,1437145184108,-6.5577183,7.0108213,0.17896658
107,1437145184127,-6.7324953,6.9946604,0.073621705
108,1437145184148,-6.693589,7.0688806,0.08020575
109,1437145184168,-6.5026517,7.0227923,-0.019752163
110,1437145184188,-6.542156,6.9623384,0.06464344
111,1437145184207,-6.5816603,6.971317,0.19033903
112,1437145184226,-6.587646,7.04015,-0.090979666
113,1437145184246,-6.6367273,7.089231,0.2184709
114,1437145184268,-6.591836,7.065289,0.090979666
115,1437145184290,-6.4607534,7.041347,0.0077811554
116,1437145184308,-6.479308,7.0383544,0.010773907
117,1437145184327,-6.5349736,7.029975,0.13467385
118,1437145184348,-6.554127,7.0886326,0.027533319
119,1437145184367,-6.583456,7.161656,0.11911154
120,1437145184396,-6.549339,7.1125746,0.05865794
121,1437145184407,-6.509236,7.0461354,0.12988544
122,1437145184426,-6.5032506,7.0209966,0.018555064
123,1437145184446,-6.567295,7.0784574,0.10175357
124,1437145184469,-6.5882444,7.1143703,0.090979666
125,1437145184486,-6.5882444,7.1023993,0.1364695
126,1437145184520,-6.555324,7.008427,-0.05805939
127,1437145184526,-6.5206084,7.0515227,0.16938977
128,1437145184546,-6.469133,7.1251445,-0.022744916
129,1437145184566,-6.5152216,7.0622964,0.0712275
130,1437145184586,-6.631939,7.031172,0.11252748
131,1437145184606,-6.630143,7.1059904,0.13347675
132,1437145184626,-6.533178,7.073669,-0.12749124
133,1437145184646,-6.467337,7.08564,0.15203181
134,1437145184666,-6.499659,7.1047935,0.02633622
135,1437145184687,-6.5230026,7.100005,0.107140526
136,1437145184707,-6.6307416,6.9743094,0.12808979
137,1437145184729,-6.5337763,7.041347,-0.008978256
138,1437145184778,-6.4350157,7.091027,-0.01316811
139,1437145184779,-6.4805055,7.0634937,0.12090719
140,1437145184792,-6.5696893,7.0305734,0.011971008
141,1437145184816,-6.6307416,7.050924,0.21667525
142,1437145184827,-6.6187706,7.04015,0.12270284
143,1437145184849,-6.525397,7.0227923,-0.18555063
144,1437145184869,-6.47033,7.1407065,0.18734628
145,1437145184888,-6.4625487,7.1586633,0.0017956513
146,1437145184909,-6.510433,7.1472907,-0.027533319
147,1437145184936,-6.692991,6.9503675,0.23582886
148,1437145184955,-6.5655,6.9587474,-0.08619126
149,1437145184968,-6.4224463,7.1425023,-0.031124622
150,1437145184988,-6.578069,7.0515227,0.2184709
151,1437145185011,-6.5990186,6.9820905,0.02633622
152,1437145185031,-6.4936733,7.091625,-0.11791443
153,1437145185052,-6.579865,7.1466923,0.14425065
154,1437145185069,-6.646304,7.0467343,0.04070143
155,1437145185090,-6.55712,6.9970546,0.06284779
156,1437145185111,-6.497265,7.1245456,0.04369418
157,1437145185128,-6.4607534,7.0706763,-0.025139118
158,1437145185150,-6.6271505,6.967127,0.22026655
159,1437145185171,-6.625953,7.00723,-0.08379706
160,1437145185188,-6.5259953,7.095815,0.004189853
161,1437145185219,-6.4763155,7.065888,0.109534726
162,1437145185264,-6.5068417,7.041347,0.004189853
163,1437145185265,-6.570288,7.0593038,-0.034715924
164,1437145185272,-6.613982,7.0467343,0.11192893
165,1437145185291,-6.5206084,7.1448965,0.020949265
166,1437145185311,-6.423643,7.0886326,-0.090979666
167,1437145185329,-6.5906386,7.009624,0.18255788
168,1437145185348,-6.667852,6.991069,0.040102877
169,1437145185374,-6.508039,7.1329255,-0.0688333
170,1437145185398,-6.4906807,7.0862384,0.06284779
171,1437145185411,-6.554127,7.08564,0.1592144
172,1437145185458,-6.4607534,7.079654,-0.16460137
173,1437145185459,-6.5804634,7.08145,0.11192893
174,1437145185470,-6.615179,7.073669,0.15442601
175,1437145185489,-6.573281,7.0928226,-0.04249708
176,1437145185510,-6.545149,7.0940194,0.074818805
177,1437145185531,-6.479907,7.0730705,0.060453594
178,1437145185552,-6.4936733,7.0754647,-0.023343466
179,1437145185571,-6.55712,7.03596,0.108936176
180,1437145185591,-6.5457473,7.0383544,0.047285482
181,1437145185611,-6.6056023,7.079654,0.022146367
182,1437145185631,-6.5218053,7.1023993,0.044891283
183,1437145185653,-6.5547256,7.08564,0.044891283
184,1437145185670,-6.5577183,6.9767036,0.109534726
185,1437145185690,-6.4643445,6.9862804,-0.06943185
186,1437145185709,-6.4858923,7.1167645,0.04129998
187,1437145185731,-6.5577183,7.2083426,-0.01616086
188,1437145185791,-6.5882444,7.083844,0.02813187
189,1437145185792,-6.523601,6.994062,0.06943185
190,1437145185793,-6.485294,7.0724716,0.01616086
191,1437145185818,-6.479907,7.053917,-0.046686932
192,1437145185829,-6.63134,7.0970125,0.10414778
193,1437145185872,-6.652888,7.0946183,0.04309563
194,1437145185873,-6.487688,7.062895,-0.036511578
195,1437145185893,-6.4882865,7.0646906,0.05746084
196,1437145185911,-6.4840965,7.052121,0.062249243
197,1437145185928,-6.5026517,7.2179193,-0.09816227
198,1437145185949,-6.628946,7.1101804,-0.0035913025
199,1437145185969,-6.5655,6.993463,0.08798691
200,1437145185988,-6.487688,7.037756,-0.08499416
201,1437145186009,-6.447585,7.0904284,-0.030526072
202,1437145186031,-6.5505357,7.1251445,0.062249243
203,1437145186051,-6.583456,7.1347213,0.047884032
204,1437145186070,-6.530185,7.050924,-0.12509704
205,1437145186092,-6.5098343,7.005434,-0.012569559
206,1437145186112,-6.5068417,7.057508,0.06584055
207,1437145186131,-6.5385647,7.1155677,-0.019752163
208,1437145186151,-6.597223,7.0904284,0.023942016
209,1437145186177,-6.570288,7.1221514,-0.046686932
210,1437145186248,-6.4840965,7.0820484,-0.08678981
211,1437145186249,-6.5361705,7.037756,0.16340427
212,1437145186250,-6.5511346,7.067683,-0.10594343
213,1437145186251,-6.5840545,7.1550717,0.06703765
214,1437145186280,-6.5146227,7.055114,-0.059855044
215,1437145186312,-6.39192,7.123947,-0.061650693
216,1437145186313,-6.38354,7.1484876,-0.10175357
217,1437145186330,-6.533178,7.1305313,0.093972415
218,1437145186350,-6.567894,7.116166,-0.076614454
219,1437145186370,-6.493075,7.132327,-0.16160862
220,1437145186398,-6.3422403,7.0832458,0.06943185
221,1437145186411,-6.4457893,7.1107793,-0.10594343
222,1437145186430,-6.63134,7.0622964,0.076015905
223,1437145186455,-6.633136,7.141904,-0.01316811
224,1437145186470,-6.3787518,7.1808095,-0.17178397
225,1437145186491,-6.4338183,7.105392,-0.013766659
