id,attr_time,attr_x,attr_y,attr_z
1,1437139316407,-8.73846,-3.78992,2.78175
2,1437139316428,-8.71764,-3.77408,2.80344
3,1437139316448,-8.69508,-3.76257,2.7867
4,1437139316488,-8.70235,-3.77043,2.73666
5,1437139316508,-8.74609,-3.78827,2.76044
6,1437139316527,-8.75781,-3.82344,2.78
7,1437139316547,-8.72824,-3.812,2.77083
8,1437139316579,-8.66382,-3.78252,2.7424
9,1437139316584,-8.67564,-3.8006,2.72385
10,1437139316606,-8.6909,-3.79428,2.75461
11,1437139316626,-8.72403,-3.80252,2.69054
12,1437139316646,-8.68622,-3.75589,2.74959
13,1437139316666,-8.66882,-3.77562,2.74274
14,1437139316685,-8.70305,-3.85933,2.74336
15,1437139316705,-8.70848,-3.82166,2.69887
16,1437139316725,-8.70027,-3.79953,2.72202
17,1437139316745,-8.71013,-3.79951,2.78259
18,1437139316765,-8.73196,-3.83975,2.81059
19,1437139316783,-8.67911,-3.79526,2.79198
20,1437139316804,-8.64523,-3.80302,2.79869
21,1437139316824,-8.6165,-3.82703,2.80528
22,1437139316844,-8.70094,-3.88525,2.75832
23,1437139316863,-8.72504,-3.82835,2.81023
24,1437139316883,-8.71535,-3.8662,2.77077
25,1437139316903,-8.72993,-3.89763,2.7735
26,1437139316923,-8.66394,-3.88994,2.80373
27,1437139316943,-8.69812,-3.90006,2.7943
28,1437139316962,-8.74718,-3.94293,2.82368
29,1437139316983,-8.68823,-3.91112,2.84059
30,1437139317003,-8.70547,-3.86871,2.74292
31,1437139317023,-8.67346,-3.81975,2.77953
32,1437139317043,-8.69667,-3.84871,2.8045
33,1437139317063,-8.63765,-3.8224,2.78506
34,1437139317082,-8.65198,-3.8629,2.77396
35,1437139317101,-8.70859,-3.80243,2.80785
36,1437139317122,-8.72968,-3.85591,2.81705
37,1437139317141,-8.77577,-3.86546,2.78929
38,1437139317160,-8.69315,-3.84476,2.7786
39,1437139317181,-8.66911,-3.78979,2.74745
40,1437139317202,-8.64008,-3.75444,2.77283
41,1437139317221,-8.69925,-3.78964,2.74059
42,1437139317241,-8.71315,-3.84225,2.72276
43,1437139317260,-8.74113,-3.88445,2.7103
44,1437139317281,-8.70941,-3.80598,2.78337
45,1437139317300,-8.69638,-3.81834,2.7955
46,1437139317319,-8.67595,-3.83214,2.757
47,1437139317340,-8.65012,-3.92731,2.72293
48,1437139317360,-8.67319,-3.82275,2.77621
49,1437139317379,-8.69627,-3.83717,2.81152
50,1437139317399,-8.68835,-3.88501,2.80028
51,1437139317417,-8.69833,-3.88972,2.73732
52,1437139317439,-8.71372,-3.78517,2.72531
53,1437139317457,-8.72595,-3.79565,2.77995
54,1437139317476,-8.71204,-3.8519,2.74062
55,1437139317498,-8.70552,-3.86549,2.69572
56,1437139317518,-8.74095,-3.84622,2.77788
57,1437139317538,-8.71823,-3.76218,2.76921
58,1437139317576,-8.72896,-3.71703,2.76019
59,1437139317595,-8.71017,-3.76286,2.79645
60,1437139317616,-8.62407,-3.76489,2.81674
61,1437139317635,-8.70216,-3.83569,2.74968
62,1437139317656,-8.75569,-3.8013,2.77356
