id,attr_time,attr_x,attr_y,attr_z
1,1437227272038,1.2372037,9.621698,-2.8909986
2,1437227272039,1.2300211,9.631873,-2.8844144
3,1437227272040,1.2455834,9.637859,-2.895787
4,1437227272047,1.2078748,9.662998,-2.8772318
5,1437227272065,1.2240356,9.655217,-2.8628666
6,1437227272087,1.2246342,9.654618,-2.885013
7,1437227272105,1.2066777,9.634866,-2.8670566
8,1437227272127,1.2294226,9.648034,-2.858677
9,1437227272145,1.1701661,9.648633,-2.8491
10,1437227272167,1.2264298,9.632472,-2.866458
11,1437227272186,1.2336124,9.643246,-2.8407204
12,1437227272208,1.216853,9.65821,-2.8592753
13,1437227272228,1.2276269,9.643845,-2.871845
14,1437227272248,1.240795,9.64983,-2.8790276
15,1437227272268,1.2587515,9.637859,-2.8443117
16,1437227272288,1.2108675,9.649231,-2.866458
17,1437227272308,1.2485762,9.629479,-2.8574798
18,1437227272328,1.2515689,9.644443,-2.8604724
19,1437227272348,1.2150574,9.631873,-2.8526914
20,1437227272368,1.2479776,9.636662,-2.8652608
21,1437227272388,1.2485762,9.64145,-2.8532898
22,1437227272408,1.2473791,9.637859,-2.8742392
23,1437227272428,1.2330139,9.642049,-2.8520927
24,1437227272448,1.2270284,9.631873,-2.8550856
25,1437227272468,1.2354081,9.633071,-2.8413188
26,1437227272488,1.2443863,9.64145,-2.8712463
27,1437227272508,1.2354081,9.6288805,-2.8682537
28,1437227272528,1.2509704,9.627085,-2.8616695
29,1437227272548,1.2252327,9.638457,-2.8496985
30,1437227272568,1.2258313,9.6288805,-2.8622682
31,1437227272588,1.2354081,9.638457,-2.835932
32,1437227272608,1.2378023,9.642049,-2.843713
33,1437227272628,1.2545617,9.6288805,-2.8790276
34,1437227272647,1.2599486,9.642648,-2.8520927
35,1437227272758,1.2348095,9.640253,-2.854487
36,1437227272759,1.2264298,9.634866,-2.8652608
37,1437227272760,1.2258313,9.664794,-2.870648
38,1437227272761,1.2449849,9.64564,-2.847903
39,1437227272762,1.264737,9.635465,-2.8694508
40,1437227272788,1.2078748,9.645041,-2.8389246
41,1437227272789,1.2186487,9.640852,-2.8502972
42,1437227272810,1.1994951,9.650429,-2.8628666
43,1437227272826,1.2210429,9.639654,-2.8802247
44,1437227272846,1.2294226,9.635465,-2.8419175
45,1437227272874,1.1941081,9.663596,-2.8568811
46,1437227272886,1.2174516,9.64564,-2.8778305
47,1437227272907,1.2659341,9.6288805,-2.8496985
48,1437227272926,1.2389994,9.643845,-2.866458
49,1437227272948,1.1869255,9.662998,-2.8712463
50,1437227272969,1.210269,9.638457,-2.870648
51,1437227272988,1.2593501,9.642049,-2.858677
52,1437227273009,1.2467805,9.645041,-2.8574798
53,1437227273029,1.2318168,9.638457,-2.885013
54,1437227273049,1.2186487,9.651027,-2.8485014
55,1437227273069,1.2348095,9.640852,-2.8658595
56,1437227273088,1.2264298,9.637859,-2.858677
57,1437227273109,1.1994951,9.657013,-2.8802247
58,1437227273130,1.240795,9.660006,-2.8658595
59,1437227273146,1.2593501,9.635465,-2.858677
60,1437227273170,1.2312182,9.640852,-2.8886044
61,1437227273187,1.2006922,9.633071,-2.89459
62,1437227273206,1.2575544,9.629479,-2.8844144
63,1437227273226,1.2449849,9.624691,-2.8622682
64,1437227273251,1.1815386,9.647436,-2.896984
65,1437227273272,1.1827357,9.664195,-2.8688521
66,1437227273292,1.2210429,9.650429,-2.8820202
67,1437227273309,1.2413936,9.648034,-2.8951883
68,1437227273327,1.2360066,9.643246,-2.895787
69,1437227273347,1.2276269,9.632472,-2.8921957
70,1437227273368,1.2108675,9.634268,-2.8628666
71,1437227273388,1.2138603,9.646238,-2.8790276
72,1437227273412,1.2156559,9.646837,-2.895787
73,1437227273477,1.2090719,9.643845,-2.9005754
74,1437227273478,1.2437878,9.622895,-2.8814218
75,1437227273479,1.270124,9.636662,-2.8640637
76,1437227273487,1.2120646,9.635465,-2.8933928
77,1437227273515,1.1965023,9.638457,-2.867655
78,1437227273530,1.2096704,9.637859,-2.8808231
79,1437227273546,1.252766,9.640253,-2.8640637
80,1437227273567,1.2485762,9.626487,-2.8868086
81,1437227273587,1.2096704,9.649231,-2.8874073
82,1437227273608,1.2198458,9.632472,-2.8760347
83,1437227273638,1.2665327,9.635465,-2.867655
84,1437227273647,1.2360066,9.6288805,-2.8921957
85,1437227273671,1.2539631,9.63726,-2.8898015
86,1437227273694,1.2623428,9.640852,-2.8550856
87,1437227273708,1.2330139,9.621698,-2.8550856
88,1437227273727,1.2366052,9.613917,-2.8622682
89,1437227273748,1.2455834,9.648633,-2.8568811
90,1437227273769,1.2401965,9.646238,-2.8790276
91,1437227273789,1.2725182,9.628283,-2.8712463
92,1437227273810,1.2515689,9.630077,-2.8682537
93,1437227273830,1.2449849,9.637859,-2.8628666
94,1437227273849,1.2162545,9.65821,-2.8520927
95,1437227273871,1.2521675,9.622895,-2.8628666
96,1437227273890,1.2617443,9.649231,-2.8700492
97,1437227273910,1.246182,9.624691,-2.8658595
98,1437227273936,1.2521675,9.64564,-2.8628666
99,1437227273947,1.2228385,9.646837,-2.854487
100,1437227273967,1.246182,9.642049,-2.8712463
101,1437227274041,1.276708,9.625289,-2.8580782
102,1437227274042,1.22224,9.635465,-2.8724434
103,1437227274043,1.2312182,9.624092,-2.8461072
104,1437227274050,1.2731167,9.643246,-2.8652608
105,1437227274067,1.2826935,9.650429,-2.8724434
106,1437227274088,1.2605472,9.619304,-2.8646624
107,1437227274108,1.2366052,9.622296,-2.8526914
108,1437227274128,1.234211,9.651626,-2.8778305
109,1437227274197,1.2599486,9.640253,-2.8640637
110,1437227274198,1.2509704,9.63726,-2.861071
111,1437227274200,1.2282255,9.621698,-2.8580782
112,1437227274218,1.2653356,9.642049,-2.867655
113,1437227274228,1.2533646,9.636662,-2.8568811
114,1437227274247,1.2210429,9.651626,-2.8419175
115,1437227274269,1.2294226,9.639056,-2.8485014
116,1437227274287,1.228824,9.637859,-2.8790276
117,1437227274312,1.2569559,9.631275,-2.8526914
118,1437227274328,1.216853,9.646238,-2.8401217
119,1437227274348,1.2389994,9.637859,-2.8311436
120,1437227274368,1.2491747,9.646238,-2.846706
121,1437227274389,1.2431892,9.646837,-2.837129
122,1437227274408,1.2324153,9.643845,-2.813187
123,1437227274427,1.1827357,9.662399,-2.8389246
124,1437227274479,1.1713632,9.629479,-2.870648
125,1437227274480,1.2012907,9.665991,-2.77069
126,1437227274489,1.1875241,9.655815,-2.9011738
127,1437227274510,1.3311762,9.657611,-2.8191724
128,1437227274530,1.3156139,9.652225,-2.8221653
129,1437227274550,1.2491747,9.646238,-2.846706
130,1437227274571,1.1839328,9.662998,-2.8502972
131,1437227274590,1.1899183,9.639056,-2.8538885
132,1437227274608,1.2473791,9.6528225,-2.8078
133,1437227274628,1.2587515,9.653421,-2.7874494
134,1437227274647,1.2120646,9.640852,-2.837129
135,1437227274670,1.1803415,9.665392,-2.8496985
136,1437227274695,1.2366052,9.652225,-2.8125885
137,1437227274709,1.2485762,9.665392,-2.8048072
138,1437227274727,1.2234371,9.639654,-2.8413188
139,1437227274748,1.2174516,9.651626,-2.837129
140,1437227274773,1.2425907,9.643845,-2.8042088
141,1437227274790,1.2162545,9.652225,-2.7982233
142,1437227274809,1.2138603,9.651626,-2.8311436
143,1437227274847,1.2120646,9.660604,-2.8335378
144,1437227274848,1.2096704,9.6528225,-2.8107927
145,1437227274867,1.2090719,9.6528225,-2.8161798
146,1437227274887,1.2120646,9.649231,-2.815581
147,1437227274921,1.2270284,9.667188,-2.7922378
148,1437227274932,1.2276269,9.643845,-2.8191724
149,1437227274947,1.2018893,9.630676,-2.8455088
150,1437227274967,1.252766,9.649231,-2.825158
151,1437227274987,1.2569559,9.651626,-2.8173769
152,1437227275008,1.2360066,9.65821,-2.7970262
153,1437227275028,1.2240356,9.648034,-2.825158
154,1437227275061,1.2210429,9.640852,-2.8113914
155,1437227275078,1.2395979,9.663596,-2.806603
156,1437227275088,1.2539631,9.668385,-2.8263552
157,1437227275108,1.2366052,9.657611,-2.818574
158,1437227275128,1.2575544,9.646238,-2.8407204
159,1437227275150,1.2006922,9.662998,-2.830545
160,1437227275171,1.2360066,9.642049,-2.8389246
161,1437227275191,1.2000936,9.679159,-2.8101943
162,1437227275211,1.2354081,9.667787,-2.8233624
163,1437227275231,1.2641385,9.650429,-2.8353333
164,1437227275251,1.2389994,9.665392,-2.8221653
165,1437227275271,1.2306197,9.649231,-2.8473043
166,1437227275291,1.2294226,9.665991,-2.8161798
167,1437227275311,1.2473791,9.652225,-2.8299465
168,1437227275332,1.2354081,9.6288805,-2.8018146
169,1437227275348,1.2108675,9.648633,-2.8078
170,1437227275371,1.204882,9.66659,-2.822764
171,1437227275391,1.2413936,9.638457,-2.8137856
172,1437227275410,1.2563573,9.648034,-2.823961
173,1437227275430,1.2497733,9.651027,-2.7964275
