id,attr_time,attr_x,attr_y,attr_z
1,1437230989515,9.346365,3.0867245,1.4790181
2,1437230989534,9.371504,3.1214404,1.5071499
3,1437230989554,9.40203,3.1322143,1.4891934
4,1437230989574,9.393052,3.1280246,1.4568717
5,1437230989596,9.337387,3.1250317,1.4879963
6,1437230989617,9.343372,3.1322143,1.4879963
7,1437230989635,9.363723,3.122039,1.4694413
8,1437230989655,9.407417,3.1262288,1.4999673
9,1437230989675,9.3978405,3.1381998,1.5011644
10,1437230989696,9.378687,3.1184478,1.4885949
11,1437230989715,9.381081,3.091513,1.496376
12,1437230989736,9.378687,3.115455,1.4784195
13,1437230989757,9.375694,3.120842,1.4790181
14,1437230989777,9.357738,3.1082723,1.4885949
15,1437230989797,9.354745,3.1004913,1.4891934
16,1437230989814,9.361329,3.1214404,1.4796166
17,1437230989834,9.367912,3.1531637,1.5029601
18,1437230989853,9.374496,3.181894,1.5167267
19,1437230989874,9.358934,3.140594,1.5053543
20,1437230989894,9.355343,3.1435869,1.508347
21,1437230989932,9.349358,3.156755,1.5089456
22,1437230989938,9.358934,3.1585505,1.532289
23,1437230989953,9.3738985,3.1591492,1.5029601
24,1437230989973,9.342773,3.1268275,1.5011644
25,1437230989993,9.354745,3.107674,1.4826094
26,1437230990014,9.370906,3.1094694,1.5053543
27,1437230990036,9.372103,3.1615434,1.5077485
28,1437230990054,9.368511,3.13401,1.4856021
29,1437230990110,9.35235,3.103484,1.460463
30,1437230990116,9.365519,3.1196449,1.5077485
31,1437230990117,9.3661175,3.1256304,1.5167267
32,1437230990135,9.388862,3.1501708,1.5143325
33,1437230990154,9.372701,3.1346085,1.4688427
34,1437230990174,9.357139,3.1423898,1.4981717
35,1437230990194,9.341577,3.153762,1.5089456
36,1437230990215,9.371504,3.1352072,1.5310919
37,1437230990235,9.365519,3.139397,1.5023615
38,1437230990255,9.385869,3.13401,1.4808137
39,1437230990274,9.386468,3.0963013,1.4927847
40,1437230990295,9.366715,3.1028855,1.5125369
41,1437230990316,9.375694,3.1172507,1.5197195
42,1437230990335,9.374496,3.1124623,1.4850036
43,1437230990356,9.356541,3.1142578,1.46585
44,1437230990377,9.368511,3.120842,1.5011644
45,1437230990397,9.358934,3.110068,1.5197195
46,1437230990415,9.360131,3.1256304,1.5316905
47,1437230990437,9.36073,3.1292217,1.513734
48,1437230990456,9.358934,3.1334114,1.4867992
49,1437230990477,9.357139,3.1142578,1.4885949
50,1437230990497,9.355942,3.1256304,1.520318
51,1437230990517,9.377489,3.132813,1.5352819
52,1437230990538,9.371504,3.128623,1.4742297
53,1437230990555,9.35235,3.1346085,1.4939818
54,1437230990577,9.359533,3.12982,1.4951789
55,1437230990596,9.386468,3.1064768,1.5029601
56,1437230990622,9.377489,3.1262288,1.5005659
57,1437230990640,9.372701,3.1184478,1.460463
58,1437230990657,9.367314,3.116652,1.4802152
59,1437230990684,9.404425,3.1142578,1.4706384
60,1437230990697,9.3733,3.0753522,1.4814123
61,1437230990715,9.378088,3.0992942,1.4993688
62,1437230990736,9.36073,3.1250317,1.471237
63,1437230990756,9.376891,3.122039,1.4377182
64,1437230990777,9.397242,3.1244333,1.4580688
65,1437230990797,9.388862,3.1232362,1.4814123
66,1437230990824,9.3733,3.115455,1.4891934
67,1437230990890,9.379285,3.064578,1.4580688
68,1437230990891,9.397242,3.079542,1.441908
69,1437230990894,9.400833,3.104681,1.4730326
70,1437230990895,9.382876,3.0974984,1.4532804
71,1437230990915,9.399037,3.079542,1.4574703
72,1437230990936,9.399636,3.0945058,1.4550761
73,1437230990956,9.386468,3.0831332,1.4682442
74,1437230990975,9.375095,3.0879216,1.429937
75,1437230990996,9.376292,3.0831332,1.4437037
76,1437230991016,9.372701,3.0879216,1.435324
77,1437230991035,9.416994,3.0909145,1.4413095
78,1437230991057,9.391854,3.1028855,1.447295
79,1437230991076,9.371504,3.0825348,1.4652514
80,1437230991098,9.379884,3.0867245,1.46585
81,1437230991118,9.399037,3.117849,1.448492
82,1437230991138,9.379884,3.1399956,1.4586674
83,1437230991157,9.370307,3.084929,1.4437037
84,1437230991177,9.374496,3.0657754,1.4466964
85,1437230991198,9.394249,3.0334535,1.4532804
86,1437230991218,9.419987,3.0142999,1.4413095
87,1437230991238,9.419388,3.0705638,1.4251486
88,1437230991256,9.378687,3.080739,1.4401124
89,1437230991281,9.3978405,3.091513,1.436521
90,1437230991298,9.372701,3.116652,1.4634558
91,1437230991318,9.35235,3.1381998,1.4305356
92,1437230991338,9.366715,3.1627405,1.4041992
93,1437230991357,9.374496,3.1423898,1.4041992
94,1437230991377,9.406818,3.1226375,1.4311341
95,1437230991397,9.399037,3.1052797,1.4263457
96,1437230991418,9.4062195,3.0657754,1.3940239
97,1437230991438,9.396045,3.043629,1.3844471
98,1437230991456,9.432556,3.0376434,1.3880384
99,1437230991477,9.397242,3.083732,1.4167689
100,1437230991496,9.387066,3.0723593,1.3976152
101,1437230991515,9.408614,3.0681696,1.4215573
102,1437230991546,9.432556,3.093907,1.4083891
103,1437230991602,9.416395,3.1112652,1.4185646
104,1437230991603,9.389461,3.1238346,1.4173675
105,1437230991604,9.384672,3.0945058,1.3826514
106,1437230991628,9.387066,3.0951042,1.4095862
107,1437230991636,9.393052,3.1250317,1.4532804
108,1437230991736,9.40203,3.1250317,1.4395138
109,1437230991737,9.3733,3.1172507,1.4053963
110,1437230991738,9.387665,3.1244333,1.3868413
111,1437230991739,9.372103,3.1477766,1.388637
112,1437230991740,9.398438,3.151368,1.4556746
113,1437230991787,9.404425,3.140594,1.429937
114,1437230991788,9.3738985,3.1190462,1.3736732
115,1437230991796,9.370906,3.1184478,1.3485341
116,1437230991829,9.344569,3.0974984,1.441908
117,1437230991836,9.427169,3.0693667,1.4772224
118,1437230991857,9.412206,3.0310593,1.2078748
119,1437230991877,9.227852,3.0544028,1.246182
120,1437230991897,9.297284,2.9819782,1.3652935
121,1437230991917,9.366715,2.9299042,1.721431
122,1437230991937,9.567828,3.2824504,1.6729485
123,1437230991959,9.54209,3.1741128,1.6238673
124,1437230991979,9.458294,2.8862102,1.5382746
125,1437230991996,9.443929,2.7024553,1.4239515
126,1437230992019,9.513959,2.7395654,1.3431472
127,1437230992036,9.43076,2.7527335,1.4030021
128,1437230992057,9.487024,2.689287,1.4879963
129,1437230992080,9.479243,2.4959552,1.5729905
130,1437230992096,9.7007065,2.496554,1.632247
131,1437230992118,9.77792,2.4768016,1.6783354
132,1437230992136,9.671976,2.4534583,1.7633295
133,1437230992157,9.491813,2.3660698,1.6358383
134,1437230992184,9.358934,2.3870192,1.602918
135,1437230992197,9.482236,2.6491842,1.650802
136,1437230992219,9.493608,2.8191724,1.7561469
137,1437230992237,9.335591,2.8323407,1.8219875
138,1437230992256,9.285313,2.5432408,1.881244
139,1437230992277,9.384672,2.333748,1.8728642
140,1437230992296,9.2494,2.484583,1.9560628
141,1437230992317,9.4457245,2.8401217,2.0608091
142,1437230992337,9.835979,3.1316159,1.9422961
143,1437230992357,9.630676,3.0921116,1.7836803
144,1437230992382,9.475652,2.6898856,1.661576
145,1437230992455,9.367314,2.2613235,1.6519991
146,1437230992456,9.384672,2.0709844,1.7040731
147,1437230992457,9.238028,2.1392193,1.6807296
148,1437230992458,8.957906,2.2649148,1.8082209
149,1437230992476,8.887876,2.633622,2.0853498
150,1437230992497,9.765948,3.0071173,2.1272483
151,1437230992516,10.127473,3.406949,2.2661119
152,1437230992543,9.5570545,3.4261026,1.9835961
153,1437230992556,8.738237,3.0238767,1.7872716
154,1437230992579,9.016563,3.2722752,1.8118122
155,1437230992597,9.512163,3.4889505,1.2659341
156,1437230992619,9.1033535,3.3560722,1.067814
157,1437230992639,8.91062,3.5182793,1.0354922
158,1437230992657,8.992621,3.5051112,1.2916719
159,1437230992681,9.118916,3.5865142,1.282095
160,1437230992699,8.981249,3.8402996,1.3868413
161,1437230992717,8.65863,4.2676644,1.6238673
162,1437230992741,8.599374,4.657321,1.7489643
163,1437230992759,8.652046,4.9745526,1.8788497
164,1437230992791,8.567052,4.8494554,2.1583729
165,1437230992799,8.704121,4.6459484,2.4103625
166,1437230992816,8.630499,4.3760023,2.3247697
167,1437230992909,8.525154,4.2634745,2.148796
168,1437230992910,8.607754,4.0276456,2.083554
169,1437230992911,8.723274,3.7367504,2.1691468
170,1437230992912,8.843582,3.469797,2.1458032
171,1437230992918,8.910022,3.3512838,2.0787656
172,1437230992936,8.734647,3.1800983,1.9273324
173,1437230992962,8.765771,3.1998506,1.91596
174,1437230992976,8.890269,3.321955,1.7830818
175,1437230992996,8.872911,3.4991257,1.560421
176,1437230993019,9.205107,3.870227,1.5370775
177,1437230993040,9.503185,3.9653966,1.423353
178,1437230993058,9.631873,3.7415388,1.412579
179,1437230993078,9.920973,3.5739446,2.0398598
180,1437230993108,10.02153,3.5835214,2.4881742
181,1437230993166,10.029311,3.9199066,2.8622682
182,1437230993167,10.165182,4.3305125,2.879626
183,1437230993168,9.859921,4.718373,2.883816
184,1437230993187,9.425972,5.0451818,2.8616695
185,1437230993197,9.03452,5.129577,2.7886465
186,1437230993219,8.991425,4.860828,2.2577322
187,1437230993237,9.1668,4.5896845,1.0223241
188,1437230993257,9.747394,4.369418,1.2084733
189,1437230993279,9.07582,4.609437,0.6314707
190,1437230993297,7.9385743,4.1341877,0.9223662
191,1437230993318,7.6351094,3.0346506,1.1061212
192,1437230993337,7.7608047,2.31639,1.2180501
193,1437230993359,7.8505874,3.3255463,1.1480197
194,1437230993376,8.488044,4.398747,2.2876596
195,1437230993400,9.7641535,4.19524,2.8173769
196,1437230993419,10.854114,3.1621418,3.1082723
197,1437230993439,10.996569,2.510919,4.1186256
198,1437230993460,10.79785,1.8423382,6.127361
199,1437230993479,12.7257805,2.0859482,9.3583355
200,1437230993500,15.151706,2.3582888,9.785701
201,1437230993521,14.192827,2.0440497,9.551069
202,1437230993539,11.331757,1.4562732,9.546879
203,1437230993560,8.829816,0.88046765,8.931569
204,1437230993581,7.713519,1.0977415,8.175002
205,1437230993599,6.3488245,2.1272483,6.615778
206,1437230993617,4.4597993,2.6701334,4.2796354
207,1437230993639,2.8245595,3.3901896,0.8714894
208,1437230993659,0.99658644,1.9033904,-0.55485624
209,1437230993679,-0.47524905,0.34715924,-0.7374141
210,1437230993697,-1.3563153,-1.1623849,-0.51834464
211,1437230993719,1.0779893,-3.454833,-1.8237832
212,1437230993738,5.919065,-2.046444,-0.5955577
