id,attr_time,attr_x,attr_y,attr_z
1,1437232431010,1.4317327,9.44333,-1.881244
2,1437232431029,1.4263457,9.441534,-1.8896236
3,1437232431050,1.441908,9.443929,-1.8716671
4,1437232431069,1.4269443,9.419987,-1.8650831
5,1437232431137,1.4227544,9.428367,-1.8908207
6,1437232431138,1.4155718,9.461287,-1.8602947
7,1437232431139,1.435324,9.479841,-1.8644845
8,1437232431148,1.423353,9.482236,-1.8896236
9,1437232431168,1.3874398,9.369708,-1.9949685
10,1437232431188,1.3748703,9.318831,-1.8698715
11,1437232431208,1.4532804,9.417592,-1.7962499
12,1437232431228,1.4562732,9.515156,-1.8549078
13,1437232431248,1.3868413,9.472659,-1.8872294
14,1437232431268,1.4275428,9.463681,-1.8602947
15,1437232431288,1.46585,9.48882,-1.8189948
16,1437232431308,1.4431051,9.486425,-1.8770541
17,1437232431328,1.3533225,9.396643,-1.9129672
18,1437232431348,1.3700819,9.386468,-1.8543092
19,1437232431368,1.4167689,9.404425,-1.8381484
20,1437232431388,1.4550761,9.4696665,-1.83336
21,1437232431449,1.4359225,9.515755,-1.8315643
22,1437232431450,1.4598645,9.488221,-1.9075803
23,1437232431451,1.4610616,9.462483,-1.8992004
24,1437232431468,1.471237,9.433155,-1.8950106
25,1437232431488,1.4754268,9.43076,-1.8507179
26,1437232431508,1.4808137,9.448717,-1.8501194
27,1437232431528,1.4562732,9.456498,-1.8650831
28,1437232431548,1.441908,9.462483,-1.8950106
29,1437232431567,1.4000094,9.455301,-1.9165585
30,1437232431587,1.3868413,9.474455,-1.9141643
31,1437232431608,1.4287399,9.458893,-1.9357121
32,1437232431628,1.471237,9.440337,-1.8860323
33,1437232431647,1.5047557,9.469068,-1.87047
34,1437232431668,1.4754268,9.458893,-1.977012
35,1437232431688,1.4311341,9.389461,-1.8968062
36,1437232431712,1.4580688,9.44752,-1.8357542
37,1437232431732,1.4437037,9.490017,-1.9117701
38,1437232431749,1.3862427,9.428965,-1.9213469
39,1437232431769,1.4251486,9.494206,-1.8890251
40,1437232431789,1.4275428,9.496002,-1.8561049
41,1437232431809,1.4000094,9.439739,-1.9327193
42,1437232431827,1.3826514,9.357738,-1.9542671
43,1437232431852,1.3820529,9.376292,-1.8806454
44,1437232431869,1.3964181,9.446322,-1.8483237
45,1437232431887,1.4275428,9.49301,-1.8644845
46,1437232431911,1.4251486,9.479841,-1.8896236
47,1437232431930,1.4359225,9.426571,-1.941099
48,1437232431948,1.4191631,9.39365,-1.9195513
49,1437232431968,1.4323312,9.413403,-1.8716671
50,1437232431990,1.436521,9.437943,-1.8782512
51,1437232432012,1.4275428,9.406818,-1.8800468
52,1437232432031,1.4012065,9.372103,-1.8668787
53,1437232432050,1.4059949,9.380483,-1.8537107
54,1437232432074,1.388637,9.423578,-1.905186
55,1437232432093,1.3688848,9.424775,-1.9470845
56,1437232432183,1.3844471,9.400234,-1.9351135
57,1437232432184,1.436521,9.417592,-1.9315223
58,1437232432185,1.411382,9.450513,-1.8986019
59,1437232432186,1.3587095,9.365519,-2.0578163
60,1437232432210,1.3946224,9.306861,-1.8980033
61,1437232432211,1.4281414,9.376292,-1.804031
62,1437232432231,1.3652935,9.49301,-2.010531
63,1437232432250,1.3144168,9.433753,-1.939902
64,1437232432269,1.3934253,9.490616,-1.9440918
65,1437232432350,1.4107834,9.484032,-1.8950106
66,1437232432359,1.436521,9.4535055,-1.922544
67,1437232432361,1.3509283,9.422979,-1.9608512
68,1437232432369,1.3581109,9.406818,-1.9381063
69,1437232432370,1.4012065,9.434352,-1.875857
70,1437232432389,1.4137762,9.473258,-1.8686744
71,1437232432410,1.3922282,9.511565,-1.8674773
72,1437232432431,1.3479356,9.523536,-1.9560628
73,1437232432452,1.3275849,9.4535055,-1.9237411
74,1437232432473,1.3491327,9.43076,-1.8387469
75,1437232432492,1.3389573,9.415198,-1.8387469
76,1437232432514,1.3623008,9.406818,-1.8602947
77,1437232432532,1.3623008,9.405023,-1.8800468
78,1437232432551,1.3628993,9.416395,-1.8890251
79,1437232432569,1.3820529,9.4535055,-1.9285295
80,1437232432596,1.3814543,9.48044,-1.927931
81,1437232432612,1.3521254,9.491214,-1.9297266
82,1437232432632,1.3443443,9.467272,-1.9087774
83,1437232432652,1.3670892,9.43495,-1.8734628
84,1437232432677,1.3425486,9.329007,-1.9285295
85,1437232432692,1.3467385,9.370906,-1.7962499
86,1437232432710,1.411382,9.524135,-1.8351556
87,1437232432731,1.3497312,9.530719,-1.9201498
88,1437232432752,1.34195,9.48882,-1.8890251
89,1437232432771,1.4143747,9.459491,-1.927931
90,1437232432790,1.4030021,9.455301,-1.917157
91,1437232432812,1.364695,9.463681,-1.9566613
92,1437232432831,1.3389573,9.422979,-1.9165585
93,1437232432860,1.347337,9.412804,-1.9033904
94,1437232432917,1.3682863,9.471462,-1.9027919
95,1437232432918,1.3844471,9.503185,-1.894412
96,1437232432919,1.3796587,9.482236,-1.91596
97,1437232432934,1.3844471,9.435549,-1.9614497
98,1437232432951,1.4036007,9.392453,-1.9177556
99,1437232432970,1.4227544,9.393052,-1.8674773
100,1437232432990,1.4149733,9.427169,-1.8794483
101,1437232433010,1.4131776,9.454702,-1.8866309
102,1437232433063,1.359308,9.452309,-1.8716671
103,1437232433064,1.3694834,9.454104,-1.9428947
104,1437232433083,1.3964181,9.435549,-1.9728222
105,1437232433090,1.3784616,9.434352,-1.951873
106,1437232433110,1.4012065,9.461885,-1.9285295
107,1437232433130,1.4239515,9.479243,-1.9165585
108,1437232433150,1.3479356,9.443929,-1.9871874
109,1437232433173,1.316811,9.3738985,-1.9027919
110,1437232433190,1.3628993,9.411008,-1.8309658
111,1437232433211,1.364695,9.51755,-1.8632874
112,1437232433230,1.292869,9.4457245,-1.9099745
113,1437232433253,1.3413515,9.449316,-1.8549078
114,1437232433270,1.400608,9.515755,-1.8501194
115,1437232433292,1.3401544,9.522339,-1.8764555
116,1437232433317,1.3180081,9.479243,-1.8992004
117,1437232433330,1.3210008,9.4457245,-1.905186
118,1437232433350,1.3868413,9.455301,-1.8902222
119,1437232433375,1.3982137,9.478644,-1.8483237
120,1437232433394,1.3533225,9.469068,-1.8339585
121,1437232433412,1.3557167,9.455301,-1.858499
122,1437232433431,1.3652935,9.428965,-1.8770541
123,1437232433452,1.3700819,9.442133,-1.8782512
124,1437232433475,1.3551182,9.476251,-1.858499
125,1437232433494,1.3551182,9.500791,-1.8650831
126,1437232433513,1.3640964,9.467871,-1.8596961
127,1437232433533,1.3754689,9.433155,-1.8614918
128,1437232433551,1.400608,9.408015,-1.8722657
129,1437232433574,1.4431051,9.437943,-1.9237411
130,1437232433599,1.4646529,9.443929,-1.8818425
131,1437232433677,1.435324,9.464878,-1.9003977
132,1437232433678,1.42455,9.460688,-1.9213469
133,1437232433679,1.3802572,9.3822775,-2.0500352
134,1437232433680,1.3880384,9.35235,-1.8992004
135,1437232433692,1.4065934,9.458294,-1.8171991
136,1437232433710,1.3904326,9.513959,-1.8980033
137,1437232433732,1.3551182,9.504382,-1.9219455
138,1437232433750,1.4036007,9.509171,-1.9452889
139,1437232433794,1.4263457,9.482236,-1.8842367
140,1437232433795,1.4305356,9.392453,-1.9596541
141,1437232433811,1.388637,9.329605,-1.9309237
142,1437232433832,1.3916297,9.354146,-1.8926164
143,1437232433854,1.401805,9.395446,-1.8495208
144,1437232433870,1.477821,9.556456,-1.9003977
145,1437232433892,1.30484,9.461287,-1.9129672
146,1437232433913,1.3311762,9.41041,-2.0021513
147,1437232433933,1.3736732,9.421184,-1.9285295
148,1437232433953,1.3760674,9.427768,-1.8710686
149,1437232433976,1.3982137,9.435549,-1.8495208
150,1437232433994,1.423353,9.387665,-1.8710686
151,1437232434013,1.4454993,9.368511,-1.8842367
152,1437232434032,1.4371196,9.378687,-1.8986019
153,1437232434057,1.4197617,9.3661175,-1.939902
154,1437232434073,1.3694834,9.403227,-1.9201498
155,1437232434091,1.3461399,9.403826,-1.922544
156,1437232434112,1.3611037,9.433155,-1.9381063
157,1437232434134,1.365892,9.4217825,-2.046444
158,1437232434154,1.3862427,9.423578,-1.963844
159,1437232434175,1.4131776,9.409811,-1.822586
160,1437232434194,1.4030021,9.511565,-1.9267339
161,1437232434215,1.3587095,9.446322,-1.9662381
162,1437232434234,1.3958195,9.378088,-1.9285295
163,1437232434254,1.4682442,9.433155,-1.8920178
164,1437232434274,1.4329298,9.462483,-1.9123687
165,1437232434293,1.3652935,9.479243,-2.0003555
166,1437232434477,1.3772645,9.448118,-1.9859903
167,1437232434478,1.4095862,9.451111,-1.9416976
168,1437232434479,1.4413095,9.466674,-1.9177556
169,1437232434480,1.4514848,9.457695,-1.899799
170,1437232434481,1.4305356,9.467871,-1.9542671
171,1437232434482,1.4407109,9.441534,-1.9153614
172,1437232434483,1.4556746,9.43914,-1.8752584
173,1437232434484,1.4215573,9.494206,-1.8794483
174,1437232434485,1.4000094,9.48463,-1.8896236
175,1437232434513,1.3958195,9.441534,-1.8788497
176,1437232434514,1.4287399,9.449914,-1.8549078
177,1437232434740,1.4053963,9.435549,-1.8315643
178,1437232434741,1.3838485,9.440936,-1.8411411
179,1437232434742,1.3640964,9.456498,-1.834557
180,1437232434743,1.3425486,9.46847,-1.8525136
181,1437232434744,1.3503298,9.450513,-1.8441339
182,1437232434745,1.3413515,9.414599,-1.9578584
183,1437232434746,1.3467385,9.383475,-1.8579005
184,1437232434747,1.3982137,9.449914,-1.8022354
185,1437232434748,1.3754689,9.512163,-1.8722657
186,1437232434749,1.3605051,9.475053,-1.7890673
187,1437232434750,1.4107834,9.456498,-1.8076223
188,1437232434814,1.4275428,9.464878,-1.7932571
189,1437232434815,1.38325,9.452907,-1.8381484
190,1437232434816,1.3503298,9.423578,-1.8387469
191,1437232434817,1.3611037,9.443929,-1.845331
192,1437232434834,1.3688848,9.483433,-1.8124107
193,1437232434887,1.38325,9.503185,-1.8106151
194,1437232434888,1.3742718,9.513959,-1.7872716
195,1437232434892,1.4227544,9.478644,-1.8435353
196,1437232434913,1.4664485,9.436148,-1.8177977
197,1437232434932,1.4407109,9.407417,-1.7962499
198,1437232434954,1.4407109,9.424775,-1.7968484
199,1437232434974,1.4568717,9.454702,-1.7968484
200,1437232434993,1.4449008,9.481637,-1.7717092
201,1437232435014,1.4377182,9.490017,-1.8363527
202,1437232435036,1.42455,9.475652,-1.8620903
203,1437232435057,1.3994108,9.487024,-1.8579005
204,1437232435073,1.412579,9.448717,-1.8249803
205,1437232435092,1.4359225,9.4295635,-1.8201919
206,1437232435112,1.4610616,9.45171,-1.8010383
207,1437232435155,1.4437037,9.42238,-1.9099745
208,1437232435156,1.4167689,9.363124,-1.7699136
209,1437232435171,1.5143325,9.527127,-1.780089
210,1437232435191,1.4688427,9.546879,-1.857302
211,1437232435211,1.4185646,9.502586,-1.8369513
212,1437232435232,1.4999673,9.459491,-1.8501194
213,1437232435254,1.4610616,9.450513,-1.8106151
214,1437232435274,1.4191631,9.431359,-1.846528
215,1437232435292,1.3928268,9.400833,-1.8118122
216,1437232435312,1.4275428,9.425373,-1.8249803
217,1437232435332,1.4580688,9.467272,-1.7878702
218,1437232435355,1.4682442,9.508572,-1.7968484
219,1437232435372,1.4688427,9.537901,-1.7687165
220,1437232435395,1.477821,9.507375,-1.7872716
221,1437232435415,1.4526819,9.454702,-1.7956513
222,1437232435435,1.4616601,9.404425,-1.7717092
223,1437232435453,1.4766239,9.403227,-1.7669208
224,1437232435472,1.4867992,9.450513,-1.7567455
225,1437232435495,1.448492,9.475053,-1.7675194
226,1437232435513,1.429937,9.52174,-1.8052281
227,1437232435535,1.4221559,9.532514,-1.8447324
228,1437232435553,1.4251486,9.504382,-1.8602947
229,1437232435573,1.4377182,9.451111,-1.8154035
230,1437232435592,1.4526819,9.420585,-1.7328035
231,1437232435616,1.484405,9.425373,-1.7435774
232,1437232435636,1.4502877,9.442133,-1.8082209
233,1437232435658,1.42455,9.381081,-1.7992426
234,1437232435675,1.4502877,9.44333,-1.7489643
235,1437232435692,1.4640543,9.5253315,-1.7788919
236,1437232435715,1.4460979,9.487024,-1.8237832
237,1437232435735,1.4478935,9.494805,-1.8136078
238,1437232435753,1.4520833,9.516952,-1.7914615
239,1437232435836,1.4012065,9.51755,-1.8118122
240,1437232435837,1.4143747,9.412206,-1.8764555
241,1437232435838,1.3964181,9.343372,-1.8058267
242,1437232435839,1.4251486,9.448717,-1.7417817
243,1437232435856,1.4401124,9.542689,-1.7477672
244,1437232435874,1.448492,9.603143,-1.8189948
245,1437232435894,1.365892,9.407417,-1.8513165
246,1437232435912,1.4640543,9.411607,-1.8590976
247,1437232435941,1.4826094,9.440337,-1.7902644
248,1437232435953,1.4335283,9.476849,-1.7633295
249,1437232435974,1.4377182,9.470264,-1.7950528
250,1437232435997,1.3688848,9.389461,-1.821389
251,1437232436013,1.4036007,9.407417,-1.775899
252,1437232436036,1.4383167,9.474455,-1.7459716
253,1437232436055,1.4101849,9.494805,-1.7729063
254,1437232436074,1.3808558,9.440936,-1.8189948
255,1437232436093,1.365892,9.387665,-1.8106151
256,1437232436112,1.3838485,9.356541,-1.8118122
257,1437232436135,1.3982137,9.398438,-1.8255788
258,1437232436155,1.3742718,9.428965,-1.863886
259,1437232436175,1.3557167,9.370307,-1.9087774
260,1437232436195,1.4030021,9.388862,-1.7711107
261,1437232436219,1.4502877,9.469068,-1.804031
262,1437232436236,1.3868413,9.514558,-1.882441
263,1437232436255,1.3377602,9.486425,-1.8387469
264,1437232436274,1.4449008,9.500193,-1.804031
265,1437232436294,1.4431051,9.416395,-1.7794905
266,1437232436314,1.4347254,9.4062195,-1.8501194
267,1437232436334,1.3688848,9.403227,-1.8243817
268,1437232436353,1.3922282,9.442732,-1.7878702
269,1437232436373,1.4095862,9.48463,-1.7477672
270,1437232436394,1.441908,9.51336,-1.7489643
271,1437232436413,1.4287399,9.510367,-1.7591397
272,1437232436433,1.436521,9.490616,-1.8327614
273,1437232436454,1.4586674,9.40203,-1.834557
274,1437232436474,1.4945804,9.398438,-1.8016368
275,1437232436493,1.4664485,9.493608,-1.7890673
276,1437232436576,1.4586674,9.499594,-1.8387469
277,1437232436577,1.4143747,9.499594,-1.8393455
278,1437232436578,1.388637,9.459491,-1.83336
279,1437232436579,1.423353,9.454104,-1.816002
280,1437232436593,1.4395138,9.46847,-1.8100165
281,1437232436614,1.4089876,9.469068,-1.7956513
282,1437232436633,1.4227544,9.467272,-1.8243817
283,1437232436661,1.4407109,9.460688,-1.7794905
284,1437232436674,1.4502877,9.5013895,-1.8022354
285,1437232436694,1.435324,9.490017,-1.8285716
286,1437232436720,1.3988123,9.388264,-1.7681179
287,1437232436737,1.4622587,9.45171,-1.7208325
288,1437232436754,1.4879963,9.539098,-1.7615339
289,1437232436776,1.4149733,9.527127,-1.8064252
290,1437232436795,1.4167689,9.498995,-1.7687165
291,1437232436814,1.471237,9.497798,-1.7681179
292,1437232436833,1.4413095,9.476251,-1.7669208
293,1437232436855,1.4036007,9.425373,-1.8381484
294,1437232436875,1.3868413,9.393052,-1.8082209
295,1437232436897,1.4119805,9.421184,-1.7669208
296,1437232436914,1.3922282,9.485827,-1.7441759
297,1437232436935,1.4197617,9.547478,-1.775899
298,1437232436966,1.4341269,9.527725,-1.79206
299,1437232436974,1.4101849,9.473856,-1.8034325
300,1437232436993,1.4520833,9.418191,-1.7848774
301,1437232437016,1.4520833,9.412804,-1.7220296
302,1437232437037,1.4628572,9.423578,-1.7190368
303,1437232437056,1.4496891,9.451111,-1.7561469
304,1437232437078,1.4395138,9.474455,-1.7717092
305,1437232437099,1.4203602,9.518747,-1.7818847
306,1437232437119,1.3928268,9.510367,-1.7914615
307,1437232437138,1.3976152,9.463681,-1.7926586
308,1437232437156,1.4305356,9.428367,-1.7741034
309,1437232437175,1.4772224,9.423578,-1.7304093
310,1437232437196,1.4742297,9.462483,-1.7118542
311,1437232437215,1.4694413,9.519346,-1.7525556
312,1437232437305,1.4466964,9.490017,-1.87047
313,1437232437306,1.4431051,9.408614,-1.7675194
314,1437232437307,1.5119383,9.476251,-1.7513585
315,1437232437308,1.4742297,9.483433,-1.7830818
316,1437232437317,1.4478935,9.433155,-1.7860745
317,1437232437334,1.4951789,9.428367,-1.7824832
318,1437232437354,1.5490485,9.458893,-1.763928
319,1437232437374,1.4891934,9.439739,-1.8171991
320,1437232437405,1.448492,9.407417,-1.8716671
321,1437232437414,1.4413095,9.454702,-1.8207904
322,1437232437435,1.42455,9.496601,-1.7908629
323,1437232437460,1.4550761,9.552865,-1.7878702
324,1437232437477,1.4646529,9.535507,-1.7579426
325,1437232437498,1.4885949,9.486425,-1.780089
326,1437232437517,1.489792,9.44333,-1.7926586
327,1437232437535,1.4909891,9.411008,-1.8046296
328,1437232437555,1.4718355,9.416395,-1.7465701
329,1437232437574,1.4640543,9.450513,-1.7411832
330,1437232437594,1.423353,9.492412,-1.7878702
331,1437232437615,1.3904326,9.491214,-1.8273745
332,1437232437636,1.3976152,9.48882,-1.8261774
333,1437232437658,1.3976152,9.4972,-1.7962499
334,1437232437681,1.3814543,9.501988,-1.7794905
335,1437232437695,1.3748703,9.478046,-1.8261774
336,1437232437717,1.4185646,9.425972,-1.8106151
337,1437232437738,1.4502877,9.40203,-1.7687165
338,1437232437758,1.4425066,9.405023,-1.7597382
339,1437232437778,1.4083891,9.397242,-1.8357542
340,1437232437797,1.34195,9.376292,-1.7220296
341,1437232437816,1.3910311,9.561244,-1.7609353
342,1437232437835,1.4969746,9.561244,-1.9632454
343,1437232437854,1.5466543,9.433155,-1.9524715
344,1437232437876,1.4975731,9.4457245,-1.9189527
345,1437232437897,1.400608,9.470264,-1.8052281
346,1437232437918,1.3174095,9.476251,-1.775899
347,1437232437937,1.2838906,9.371504,-1.7836803
348,1437232438118,1.2952632,9.320627,-1.7082629
349,1437232438119,1.335366,9.43076,-1.6579847
350,1437232438120,1.3617022,9.572617,-1.6986861
351,1437232438121,1.3664906,9.613318,-1.7531542
352,1437232438122,1.4443022,9.522937,-1.8866309
353,1437232438123,1.4975731,9.446322,-1.8543092
354,1437232438124,1.5119383,9.445126,-1.8142064
355,1437232438125,1.4766239,9.437345,-1.7866731
356,1437232438126,1.4885949,9.435549,-1.8273745
357,1437232438152,1.4137762,9.3978405,-1.8339585
358,1437232438154,1.4257472,9.400234,-1.8255788
359,1437232438174,1.42455,9.444528,-1.8441339
360,1437232438211,1.412579,9.478046,-1.8776526
361,1437232438215,1.3940239,9.419987,-1.9087774
362,1437232438241,1.3988123,9.389461,-1.8417397
363,1437232438257,1.4047978,9.333197,-1.8070238
364,1437232438277,1.4209588,9.366715,-1.7298107
365,1437232438297,1.4041992,9.399037,-1.8321629
366,1437232438316,1.3814543,9.423578,-1.7483658
367,1437232438335,1.4107834,9.458294,-1.7411832
368,1437232438355,1.4221559,9.522339,-1.8686744
369,1437232438375,1.3826514,9.438541,-1.9183542
370,1437232438397,1.4466964,9.458294,-1.8836381
371,1437232438417,1.4790181,9.490017,-1.8776526
372,1437232438438,1.4454993,9.463681,-1.8201919
373,1437232438459,1.429937,9.439739,-1.8848352
374,1437232438482,1.4431051,9.449914,-1.9033904
375,1437232438497,1.4616601,9.476251,-1.8800468
376,1437232438516,1.472434,9.527127,-1.8435353
377,1437232438535,1.4784195,9.495404,-1.7980455
378,1437232438555,1.447295,9.457097,-1.8046296
379,1437232438575,1.4425066,9.41041,-1.7717092
380,1437232438595,1.4359225,9.400833,-1.7351977
381,1437232438615,1.4053963,9.427169,-1.7441759
382,1437232438655,1.3964181,9.471462,-1.7256209
383,1437232438656,1.4700398,9.494805,-1.7753005
384,1437232438675,1.4275428,9.485827,-1.8106151
