id,attr_time,attr_x,attr_y,attr_z
1,1437227272051,0.016449,0.00814819,-0.00088501
2,1437227272072,-0.000640869,0.00814819,0.00231934
3,1437227272092,0.00149536,-0.000396729,0.00231934
4,1437227272111,0.0132446,0.0102844,-0.00088501
5,1437227272131,0.0111084,0.015625,0.00445557
6,1437227272151,0.0153809,0.00280762,0.00445557
7,1437227272170,0.0121765,-0.0110779,0.00765991
8,1437227272192,0.0196533,-0.00680542,0.00445557
9,1437227272210,0.0228577,0.00494385,-0.00088501
10,1437227272228,0.0121765,-0.00146484,-0.00088501
11,1437227272249,0.00363159,-0.0110779,-0.00088501
12,1437227272269,0.0153809,-0.00894165,-0.0072937
13,1437227272290,0.0271301,0.00387573,-0.00408936
14,1437227272309,-0.00918579,0.0124207,-0.0137024
15,1437227272327,-0.0145264,0.00494385,-0.0072937
16,1437227272348,-0.0134583,-0.00787353,0.000183105
17,1437227272367,-0.0305481,-0.012146,-0.00195312
18,1437227272390,-0.0155945,-0.00253296,-0.00302124
19,1437227272408,0.00897217,0.00814819,-0.00408936
20,1437227272427,0.0143127,0.00280762,-0.00195312
21,1437227272447,0.0228577,-0.00894165,0.00125122
22,1437227272467,0.026062,0.00494385,-0.00088501
23,1437227272486,0.0303345,0.0102844,0.00231934
24,1437227272506,0.00363159,0.00601196,-0.00408936
25,1437227272529,0.00363159,-0.0057373,0.00338745
26,1437227272545,0.0249939,-0.000396729,0.00125122
27,1437227272565,0.04422,0.0134888,0.0065918
28,1437227272586,0.0346069,0.0145569,0.00231934
29,1437227272605,0.0249939,-0.00146484,0.00445557
30,1437227272628,0.0292664,-0.00466919,0.00338745
31,1437227272643,0.0185852,0.00601196,0.00231934
32,1437227272665,-0.000640869,0.0124207,-0.00515747
33,1437227272685,-0.00704956,0.0017395,-0.00408936
34,1437227272700,-0.00170898,-0.0142822,0.00445557
35,1437227272722,-0.0134583,0.000671387,-0.00302124
36,1437227272742,0.00256348,0.00387573,0.000183105
37,1437227272761,0.000427246,0.0017395,-0.00195312
38,1437227272781,-0.011322,-0.00360107,0.000183105
39,1437227272801,-0.0187988,0.00494385,-0.00622559
40,1437227272821,-0.0027771,0.00387573,0.00125122
41,1437227272840,-0.000640869,-0.00253296,0.000183105
42,1437227272860,-0.00491333,-0.0100098,0.00231934
43,1437227272880,-0.0145264,-0.00787353,0.00231934
44,1437227272899,-0.00704956,-0.00253296,0.000183105
45,1437227272922,0.00897217,0.000671387,0.00338745
46,1437227272942,-0.00170898,-0.00787353,0.0065918
47,1437227272960,-0.0305481,-0.021759,0.00338745
48,1437227272981,-0.0487061,-0.021759,0.000183105
49,1437227273000,-0.0187988,-0.0100098,0.00125122
50,1437227273023,0.00469971,0.00601196,0.00338745
51,1437227273040,-0.0209351,0.00708008,0.00231934
52,1437227273060,-0.0444336,-0.0174866,0.00445557
53,1437227273080,-0.0155945,-0.0196228,0.00231934
54,1437227273100,0.0111084,-0.00466919,0.00765991
55,1437227273122,0.00149536,0.00387573,0.00125122
56,1437227273138,-0.0145264,-0.00253296,-0.00088501
57,1437227273159,-0.00384521,-0.0057373,-0.00302124
58,1437227273178,0.0111084,0.00280762,0.00338745
59,1437227273199,0.00683594,0.00814819,0.00125122
60,1437227273220,-0.0145264,0.000671387,0.000183105
61,1437227273238,-0.0187988,-0.00146484,-0.00088501
62,1437227273258,0.0100403,0.00280762,0.0065918
63,1437227273277,0.0324707,0.00601196,0.0065918
64,1437227273297,0.0196533,0.0113525,0.0065918
65,1437227273321,0.00683594,0.0102844,0.00231934
66,1437227273337,0.00790405,0.00280762,0.00338745
67,1437227273357,0.0185852,-0.00146484,0.00872803
68,1437227273376,0.0132446,0.000671387,0.00552368
69,1437227273396,0.0153809,0.00494385,0.0065918
70,1437227273417,0.0217896,0.00921631,0.0065918
71,1437227273436,0.00897217,0.00387573,0.0065918
72,1437227273455,-0.00811768,-0.00466919,0.00445557
73,1437227273475,-0.000640869,-0.00894165,0.00552368
74,1437227273494,0.00363159,-0.0057373,0.0065918
75,1437227273515,0.00363159,0.000671387,0.00872803
76,1437227273535,-0.00384521,-0.000396729,0.00125122
77,1437227273554,-0.00384521,-0.00253296,0.0065918
78,1437227273574,-0.0027771,-0.00787353,0.00552368
79,1437227273597,-0.00704956,-0.00787353,0.00765991
80,1437227273614,0.00256348,-0.0153503,0.00872803
81,1437227273633,0.0121765,-0.00466919,0.00445557
82,1437227273653,0.00576782,0.000671387,0.00338745
83,1437227273672,-0.00811768,-0.000396729,0.00445557
84,1437227273693,-0.0166626,-0.0142822,0.00231934
85,1437227273713,-0.00918579,-0.0196228,-0.00195312
86,1437227273732,0.0100403,-0.0132141,0.00125122
87,1437227273752,0.0111084,-0.012146,0.00125122
88,1437227273770,0.00256348,-0.0174866,-0.00088501
89,1437227273792,-0.00598145,-0.0196228,-0.00195312
90,1437227273811,-0.0123901,-0.0164185,-0.00408936
91,1437227273831,-0.0134583,-0.0174866,-0.00302124
92,1437227273851,-0.00811768,-0.0185547,-0.00408936
93,1437227273871,-0.0102539,-0.0132141,-0.00302124
94,1437227273892,-0.0102539,-0.00680542,-0.00515747
95,1437227273910,-0.00704956,-0.0110779,-0.00195312
96,1437227273929,-0.0102539,-0.0100098,0.000183105
97,1437227273949,-0.0027771,-0.0153503,0.00231934
98,1437227273970,-0.00598145,-0.0132141,-0.00408936
99,1437227273991,-0.00704956,-0.012146,-0.00088501
100,1437227274009,-0.00384521,-0.0174866,0.00231934
101,1437227274029,0.00149536,-0.0100098,0.000183105
102,1437227274049,-0.00918579,-0.000396729,-0.00195312
103,1437227274068,-0.0155945,-0.00680542,-0.00302124
104,1437227274087,-0.0209351,-0.0174866,-0.0072937
105,1437227274108,-0.0230713,-0.012146,-0.0072937
106,1437227274127,-0.0220032,-0.00680542,-0.010498
107,1437227274147,-0.0155945,0.0017395,-0.00836182
108,1437227274167,-0.00704956,-0.00787353,-0.00088501
109,1437227274188,-0.00811768,-0.0110779,0.000183105
110,1437227274207,-0.00704956,-0.00894165,-0.0072937
111,1437227274226,0.0196533,-0.00360107,0.00872803
112,1437227274246,0.0303345,-0.00146484,0.00765991
113,1437227274264,0.0153809,-0.000396729,0.0236816
114,1437227274288,-0.0145264,-0.0100098,-0.00195312
115,1437227274305,-0.0252075,-0.012146,0.00338745
116,1437227274326,0.0100403,-0.0100098,0.0236816
117,1437227274345,-0.00170898,0.000671387,0.0183411
118,1437227274365,-0.0177307,0.00601196,0.0172729
119,1437227274385,-0.0155945,-0.00466919,0.0162048
120,1437227274404,-0.00384521,-0.00787353,0.0183411
121,1437227274424,-0.0337524,-0.00787353,-0.0072937
122,1437227274444,-0.0305481,-0.0132141,0.00979614
123,1437227274464,0.016449,-0.0100098,0.0108643
124,1437227274486,-0.00811768,0.00708008,0.00445557
125,1437227274504,-0.0241394,-0.00787353,0.00445557
126,1437227274523,0.00469971,-0.0132141,-0.00195312
127,1437227274543,0.00897217,-0.000396729,0.00979614
128,1437227274562,-0.0220032,0.00921631,0.00125122
129,1437227274584,-0.0305481,-0.00253296,0.00552368
130,1437227274602,-0.00598145,-0.0174866,0.00552368
131,1437227274621,0.0121765,-0.00360107,0.00338745
132,1437227274642,0.00363159,0.00814819,0.00445557
133,1437227274662,-0.000640869,-0.00466919,0.000183105
134,1437227274681,0.0121765,-0.0142822,0.00765991
135,1437227274700,0.026062,-0.00894165,0.00231934
136,1437227274724,0.0185852,0.00601196,-0.00408936
137,1437227274741,0.00790405,0.00708008,-0.00088501
138,1437227274760,0.0196533,-0.0057373,0.000183105
139,1437227274780,0.0132446,-0.00466919,0.00125122
140,1437227274799,-0.0102539,0.00814819,-0.00088501
141,1437227274822,-0.011322,0.0134888,-0.00302124
142,1437227274840,0.00149536,0.000671387,0.00338745
143,1437227274859,0.0153809,-0.00146484,0.00125122
144,1437227274879,0.0217896,0.0102844,-0.00088501
145,1437227274897,0.026062,0.00814819,-0.00088501
146,1437227274918,0.0303345,0.000671387,-0.00088501
147,1437227274937,0.0217896,0.00280762,-0.00302124
148,1437227274958,0.0217896,0.0134888,0.000183105
149,1437227274978,0.0303345,0.0113525,0.00231934
150,1437227274998,0.0217896,0.00708008,-0.00088501
151,1437227275020,0.0100403,0.0017395,-0.00195312
152,1437227275037,0.00790405,0.00601196,0.00338745
153,1437227275057,0.0217896,0.00921631,0.00765991
154,1437227275076,0.0324707,0.00601196,0.0065918
155,1437227275097,0.0303345,-0.000396729,0.000183105
156,1437227275116,0.0175171,0.0017395,0.000183105
157,1437227275136,0.0121765,0.0017395,0.00231934
158,1437227275156,0.0121765,-0.00253296,0.00338745
159,1437227275176,0.00790405,-0.00894165,0.0065918
160,1437227275195,-0.00384521,-0.00680542,0.00338745
161,1437227275214,-0.00918579,-0.00253296,0.0065918
162,1437227275234,-0.0027771,-0.00146484,0.00552368
163,1437227275254,0.00363159,-0.00146484,0.00872803
164,1437227275274,0.00256348,-0.00253296,0.00872803
165,1437227275294,-0.000640869,-0.00894165,0.00979614
166,1437227275317,-0.00384521,-0.00787353,0.0065918
167,1437227275334,0.0100403,-0.00253296,0.0130005
168,1437227275354,0.00576782,-0.00146484,0.0108643
169,1437227275373,-0.00811768,-0.00894165,0.00979614
170,1437227275391,-0.00918579,-0.00253296,0.00979614
171,1437227275414,0.00683594,0.000671387,0.0108643
172,1437227275432,0.00256348,-0.00360107,0.00872803
173,1437227275452,-0.0134583,-0.012146,0.00872803
174,1437227275472,-0.02948,-0.0057373,0.00445557
175,1437227275492,-0.0198669,0.0102844,0.00872803
176,1437227275514,-0.0187988,-0.000396729,0.00231934
177,1437227275530,-0.0123901,-0.012146,0.00872803
178,1437227275551,-0.00918579,-0.00360107,0.00872803
179,1437227275570,-0.00384521,0.00814819,0.00979614
180,1437227275591,-0.00384521,0.00387573,0.0065918
181,1437227275613,0.000427246,-0.0057373,0.00765991
182,1437227275630,0.00149536,-0.00680542,0.0108643
183,1437227275650,-0.00704956,0.0017395,0.00979614
184,1437227275670,-0.0187988,-0.00466919,0.0065918
185,1437227275689,-0.00704956,-0.00360107,0.00445557
186,1437227275710,-0.0027771,0.0017395,0.00765991
187,1437227275729,-0.0230713,0.000671387,0.0065918
188,1437227275750,-0.0284119,-0.00360107,0.00552368
189,1437227275769,-0.011322,-0.00787353,0.00765991
190,1437227275789,0.00576782,-0.00360107,0.0065918
191,1437227275808,-0.00384521,-0.00253296,0.00125122
192,1437227275828,-0.0145264,-0.00253296,-0.00195312
193,1437227275850,-0.00704956,0.000671387,-0.00088501
194,1437227275868,0.0132446,0.0017395,0.00445557
195,1437227275887,0.0346069,-0.0110779,0.0204773
196,1437227275906,0.00256348,-0.039917,0.0290222
197,1437227275926,-0.0305481,-0.0345764,0.00445557
198,1437227275949,-0.106384,0.00387573,-0.0553589
199,1437227275967,-0.126678,0.0668945,-0.155762
200,1437227275986,0.0463562,0.18866,-0.23053
201,1437227276006,0.46933,0.0134888,-0.27005
202,1437227276025,0.614594,-0.177704,-0.17926
203,1437227276046,-0.143768,-0.25354,-0.11731
204,1437227276065,-0.993988,-0.340057,-0.135468
205,1437227276085,-0.89679,-0.421234,0.0877686
