id,attr_time,attr_x,attr_y,attr_z
1,1437227272044,-0.023717504,-0.014806835,-0.0041299807
2,1437227272045,-0.024633802,-0.008698182,0.0013678065
3,1437227272046,-0.027382694,-0.005338423,0.007781891
4,1437227272047,-0.02432837,-0.0016732328,0.0032004025
5,1437227272048,-0.021579474,-0.008087318,0.0035058344
6,1437227272049,-0.016081689,-0.012668807,0.0016732393
7,1437227272060,-0.0093621705,-0.008698182,-0.0029082503
8,1437227272077,-0.0050861137,-0.017555729,-0.0077951723
9,1437227272098,-0.0017263554,-0.022137217,-0.0019919523
10,1437227272119,-0.0060024117,-0.023664381,-0.0010756543
11,1437227272142,-0.0035589505,-0.022748083,-0.00015935674
12,1437227272157,-0.0020317873,-0.017555729,0.0004515089
13,1437227272179,-0.0035589505,-0.02122092,0.0074764583
14,1437227272198,0.0022442685,-0.019693758,0.012057949
15,1437227272217,0.0043822983,-0.018166594,0.012057949
16,1437227272241,0.007436623,-0.012057941,0.010836218
17,1437227272260,0.00010624062,-0.014806835,0.009614488
18,1437227272277,-0.008751305,-0.014501402,0.011447083
19,1437227272299,-0.0060024117,-0.019388326,0.010530785
20,1437227272321,0.0025497014,-0.026107842,0.010836218
21,1437227272341,0.006825759,-0.02580241,0.009919919
22,1437227272360,0.0098800855,-0.026718708,0.0035058344
23,1437227272377,0.012018113,-0.026718708,0.0071710264
24,1437227272404,0.0046877293,-0.032216493,0.014195977
25,1437227272417,-0.0032535177,-0.027940437,0.013279678
26,1437227272437,-0.0060024117,-0.020304622,0.006254729
27,1437227272457,-0.010583901,-0.016028566,0.005949296
28,1437227272477,-0.012416497,-0.008087318,0.006560161
29,1437227272497,-0.010889334,-0.0022840984,0.007781891
30,1437227272518,-0.010889334,-0.002894964,0.011447083
31,1437227272537,-0.016081689,-0.0059492886,0.0041167
32,1437227272557,-0.008751305,-0.010836212,0.0038112672
33,1437227272578,-0.0029480858,-0.016028566,-0.00046478957
34,1437227272600,-0.0001991922,-0.019082893,0.0035058344
35,1437227272620,-0.0001991922,-0.019082893,0.00869819
36,1437227272644,-0.0011154898,-0.020610055,0.011752516
37,1437227272658,-0.007224142,-0.019693758,0.015112275
38,1437227272688,-0.0093621705,-0.01999919,0.01114165
39,1437227272745,-0.010278469,-0.023053516,0.008087324
40,1437227272746,-0.0050861137,-0.022137217,0.0071710264
41,1437227272747,0.0022442685,-0.020915488,0.010530785
42,1437227272765,0.00926922,-0.023053516,0.0074764583
43,1437227272777,0.016905036,-0.025496978,0.0025895368
44,1437227272806,0.007436623,-0.02702414,0.0032004025
45,1437227272819,-0.0023372201,-0.020304622,0.004422133
46,1437227272838,-0.004780681,-0.016028566,-0.00015935674
47,1437227272862,-0.0038643833,-0.009309048,0.002284104
48,1437227272878,-0.0038643833,-0.009003615,0.006254729
49,1437227272900,0.00010624062,-0.008087318,0.005949296
50,1437227272919,-0.0008100569,-0.015112268,0.0074764583
51,1437227272942,-0.0023372201,-0.0138905365,0.006560161
52,1437227272959,-0.0050861137,-0.011141643,0.0129742455
53,1437227272981,-0.004475249,-0.0138905365,0.013279678
54,1437227273000,-0.008445872,-0.018166594,0.016334005
55,1437227273020,-0.007224142,-0.019388326,0.016639438
56,1437227273041,-0.0035589505,-0.02458068,0.011752516
57,1437227273060,-0.0053915465,-0.026718708,0.011447083
58,1437227273080,-0.004780681,-0.026413275,0.011447083
59,1437227273098,0.00010624062,-0.025496978,0.0007569408
60,1437227273120,-0.004169816,-0.021526352,-0.0035191155
61,1437227273142,-0.01852515,-0.01663943,-0.0019919523
62,1437227273158,-0.020663178,-0.023664381,0.004422133
63,1437227273180,-0.011500198,-0.03191106,0.006254729
64,1437227273202,-0.004780681,-0.027329572,0.0068655936
65,1437227273220,0.00041167345,-0.025191545,0.006254729
66,1437227273241,0.0037714327,-0.024275247,0.0041167
67,1437227273261,-0.0069187097,-0.024886113,0.0041167
68,1437227273278,-0.014249093,-0.025191545,0.0041167
69,1437227273302,-0.028298993,-0.016028566,-0.009627768
70,1437227273321,-0.02799356,-0.014806835,-0.0102386335
71,1437227273342,-0.025855532,-0.012057941,-0.014209257
72,1437227273362,-0.015470823,-0.018472027,-0.017263584
73,1437227273382,-0.014554525,-0.014806835,-0.024593966
74,1437227273401,-0.015776256,-0.015112268,-0.025815697
75,1437227273422,-0.014859958,-0.016334,-0.027953725
76,1437227273482,-0.017608851,-0.023664381,-0.030702619
77,1437227273483,-0.013638227,-0.028856736,-0.029480888
78,1437227273484,-0.011500198,-0.02824587,-0.035894975
79,1437227273498,-0.009667603,-0.026107842,-0.023983102
80,1437227273521,-0.014554525,-0.026107842,-0.012682094
81,1437227273540,-0.017914284,-0.019693758,-0.008406037
82,1437227273558,-0.017608851,-0.02244265,-0.0077951723
83,1437227273580,-0.017914284,-0.008698182,-0.00168652
84,1437227273598,-0.01272193,-0.01663943,-0.00077022193
85,1437227273623,-0.01638712,-0.015417701,0.0053384304
86,1437227273638,-0.008445872,-0.014195969,0.0041167
87,1437227273662,-0.00814044,-0.015112268,0.0013678065
88,1437227273684,-0.009973036,-0.01663943,0.0071710264
89,1437227273701,-0.01272193,-0.015112268,0.0050329976
90,1437227273721,-0.01852515,-0.014195969,0.005643863
91,1437227273742,-0.018830582,-0.012363374,0.011447083
92,1437227273762,-0.013638227,-0.0138905365,0.01694487
93,1437227273782,-0.010278469,-0.015112268,0.01694487
94,1437227273802,-0.011500198,-0.01663943,0.014195977
95,1437227273821,-0.009973036,-0.012668807,0.007781891
96,1437227273842,-0.007224142,-0.013279673,0.005643863
97,1437227273863,-0.011805631,-0.016028566,0.001978672
98,1437227273880,-0.010583901,-0.013585106,0.0004515089
99,1437227273901,-0.0111947665,-0.015417701,0.0028949697
100,1437227273922,-0.018830582,-0.012668807,0.016028572
101,1437227273944,-0.017608851,-0.01297424,0.016028572
102,1437227273966,-0.017914284,-0.017555729,0.017861169
103,1437227273982,-0.013638227,-0.02458068,0.022137225
104,1437227274000,-0.013027362,-0.016334,0.024580685
105,1437227274021,-0.00814044,-0.016334,0.03435453
106,1437227274041,-0.015470823,-0.016028566,0.036492556
107,1437227274062,-0.017914284,-0.021831784,0.03282737
108,1437227274083,-0.014249093,-0.0313002,0.025496984
109,1437227274102,-0.0038643833,-0.034659956,0.021220926
110,1437227274120,0.0037714327,-0.03282736,0.013279678
111,1437227274143,0.005604028,-0.03282736,0.005949296
112,1437227274212,0.0022442685,-0.038019713,0.0028949697
113,1437227274213,-0.0011154898,-0.02458068,0.0041167
114,1437227274214,-0.015470823,-0.016944863,0.008087324
115,1437227274222,-0.027077261,-0.015112268,0.0074764583
116,1437227274248,-0.023412071,-0.015417701,0.009309055
117,1437227274262,-0.014554525,-0.016334,0.0050329976
118,1437227274279,-0.0093621705,-0.015417701,-0.00046478957
119,1437227274299,-0.009056738,-0.019082893,0.0028949697
120,1437227274323,0.0022442685,-0.029773034,0.0025895368
121,1437227274342,0.005298595,-0.035881687,0.00014607608
122,1437227274384,0.00926922,-0.03527082,-0.0041299807
123,1437227274385,0.0046877293,-0.036492553,-0.009933201
124,1437227274399,-0.0020317873,-0.032521926,-0.00168652
125,1437227274424,-0.0056969794,-0.021831784,0.0068655936
126,1437227274442,-0.011500198,-0.020915488,0.012057949
127,1437227274462,-0.011500198,-0.021831784,0.01114165
128,1437227274482,-0.013332794,-0.019693758,0.014806842
129,1437227274502,-0.0093621705,-0.022748083,0.008392757
130,1437227274522,0.0059094606,-0.02580241,0.008392757
131,1437227274542,0.011712681,-0.028856736,0.001978672
132,1437227274562,0.0098800855,-0.032216493,0.0041167
133,1437227274584,0.00041167345,-0.026413275,-0.00015935674
134,1437227274601,-0.0053915465,-0.023664381,0.0007569408
135,1437227274622,-0.016692553,-0.018472027,0.0035058344
136,1437227274641,-0.019441448,-0.020915488,0.0047275657
137,1437227274661,-0.015776256,-0.02244265,0.0038112672
138,1437227274681,-0.0035589505,-0.016028566,-0.0050462787
139,1437227274702,-0.0032535177,-0.02122092,-0.008406037
140,1437227274723,-0.004780681,-0.024275247,-0.0102386335
141,1437227274743,-0.0111947665,-0.025191545,-0.0102386335
142,1437227274763,-0.016692553,-0.024886113,-0.013292959
143,1437227274782,-0.017303418,-0.02458068,-0.010849498
144,1437227274802,-0.013332794,-0.024275247,-0.0120712295
145,1437227274820,-0.010583901,-0.02580241,-0.0120712295
146,1437227274842,-0.010583901,-0.029162169,-0.0026028175
