id,attr_time,attr_x,attr_y,attr_z
1,1437233612925,0.0848999,-0.0088501,0.00624084
2,1437233612944,0.110535,-0.00991821,0.0030365
3,1437233612966,0.136169,-0.0131226,0.00730896
4,1437233612985,0.116943,-0.00137329,0.0243988
5,1437233613005,0.112671,-0.00991821,0.0243988
6,1437233613027,0.0848999,-0.0248718,0.026535
7,1437233613044,0.0539246,-0.0323486,0.0190582
8,1437233613064,0.0165405,-0.0312805,0.00837707
9,1437233613084,-0.0592957,-0.00457764,0.000900269
10,1437233613104,-0.11377,0.0114441,-0.010849
11,1437233613125,-0.125519,0.0125122,-0.0119171
12,1437233613144,-0.109497,0.0189209,-0.0172577
13,1437233613163,-0.0785217,0.00183105,-0.0247345
14,1437233613183,-0.0486145,-0.0109863,-0.0258026
15,1437233613203,-0.0208435,-0.0109863,-0.0172577
16,1437233613220,0.0133362,-0.0088501,-0.0161896
17,1437233613242,0.0411072,-0.00671387,-0.00337219
18,1437233613260,0.0795593,-0.00350952,0.0030365
19,1437233613281,0.0881042,-0.00457764,0.00624084
20,1437233613301,0.0806274,-0.00564575,0.00517273
21,1437233613324,0.0603333,-0.00778198,0.00837707
22,1437233613341,0.0432434,-0.00564575,0.00196838
23,1437233613361,0.0293579,0.000762939,-0.00123596
24,1437233613381,-0.00802612,0.00396729,-0.00230408
25,1437233613400,-0.0272522,-0.00671387,-0.00550842
26,1437233613422,-0.0496826,-0.00244141,-0.00550842
27,1437233613439,-0.0357971,-0.00671387,-0.00550842
28,1437233613459,-0.0614319,0.000762939,-0.0183258
29,1437233613479,-0.0454102,-0.0120544,-0.0151215
30,1437233613499,-0.0133667,-0.0195312,-0.00871277
31,1437233613521,-0.00375366,-0.0259399,-0.0172577
32,1437233613537,0.000518799,-0.00457764,-0.0119171
33,1437233613559,0.0122681,0.00610352,0.00410461
34,1437233613577,0.0218811,-0.00350952,0.00517273
35,1437233613597,0.0218811,-0.0205994,-0.00871277
36,1437233613619,0.0218811,-0.0184631,-0.00657654
37,1437233613637,0.0240173,-0.00564575,0.0030365
38,1437233613660,0.0379028,-0.000305176,0.0137177
39,1437233613677,0.00158691,0.00717163,0.0030365
40,1437233613697,-0.00909424,0.000762939,-0.00444031
41,1437233613715,-0.0144348,0.00289917,0.000900269
42,1437233613736,-0.00161743,-0.0088501,0.00624084
43,1437233613757,-0.0411377,0.0135803,0.0030365
44,1437233613776,-0.0240479,0.0050354,-0.000167847
45,1437233613796,-0.025116,-0.00244141,-0.00550842
46,1437233613815,-0.0122986,-0.0152588,-0.0140533
47,1437233613835,-0.0219116,-0.0205994,-0.0161896
48,1437233613854,-0.016571,-0.0152588,-0.0183258
49,1437233613875,0.0176086,-0.0141907,0.00410461
50,1437233613894,0.00265503,-0.0088501,0.00410461
51,1437233613914,-0.0112305,-0.00350952,-0.00123596
52,1437233613933,0.00265503,0.00610352,-0.00123596
53,1437233613956,0.0154724,0.010376,0.00517273
54,1437233613974,0.030426,0.0125122,0.0115814
55,1437233613993,0.0165405,0.0189209,0.0105133
56,1437233614013,0.00158691,0.0157166,0.0030365
57,1437233614031,-0.00375366,0.0114441,0.0030365
58,1437233614055,-0.00802612,0.00930786,0.00517273
59,1437233614071,0.00372314,0.0114441,0.00730896
60,1437233614092,0.0218811,0.0157166,0.0158539
61,1437233614111,-0.00268555,0.00823975,-0.00123596
62,1437233614131,-0.0219116,0.00396729,-0.00230408
63,1437233614154,-0.000549316,0.0050354,0.00624084
64,1437233614171,0.00372314,0.0114441,0.016922
65,1437233614191,0.00692749,0.0135803,0.0158539
66,1437233614210,-0.00482178,0.010376,0.0147858
67,1437233614230,-0.0144348,0.010376,0.0137177
68,1437233614249,-0.0144348,0.0050354,0.000900269
69,1437233614269,0.0122681,-0.00137329,-0.00337219
70,1437233614289,0.0400391,0.00289917,0.00517273
71,1437233614310,0.0250854,-0.00244141,-0.00337219
72,1437233614329,-0.00268555,-0.017395,-0.0172577
