id,attr_time,attr_x,attr_y,attr_z
1,1437232431034,-0.0315247,-0.0131226,-0.00550842
2,1437232431054,-0.0155029,-0.0205994,0.000900269
3,1437232431075,0.000518799,-0.0205994,0.0030365
4,1437232431093,0.000518799,-0.0163269,0.000900269
5,1437232431114,-0.00695801,-0.00457764,-0.00123596
6,1437232431134,-0.0176392,0.000762939,-0.00550842
7,1437232431154,-0.016571,0.000762939,-0.00978088
8,1437232431174,-0.00588989,0.00183105,-0.00337219
9,1437232431191,-0.00268555,0.0050354,-0.00550842
10,1437232431213,-0.00268555,0.00396729,-0.00337219
11,1437232431232,-0.00268555,-0.000305176,-0.00123596
12,1437232431253,-0.0133667,0.00289917,-0.00337219
13,1437232431273,-0.0304565,0.0114441,-0.00550842
14,1437232431292,-0.0336609,0.0146484,-0.00871277
15,1437232431311,-0.0293884,0.00717163,-0.00764465
16,1437232431332,-0.00695801,-0.00244141,-0.00550842
17,1437232431351,0.0272217,0.00396729,0.00517273
18,1437232431371,0.0560608,0.0135803,0.00837707
19,1437232431391,0.0464478,0.0146484,0.00196838
20,1437232431409,0.0272217,0.00930786,0.00624084
21,1437232431431,0.0165405,0.0125122,0.0115814
22,1437232431450,0.0229492,0.010376,0.0137177
23,1437232431470,0.0389709,0.0125122,0.00624084
24,1437232431490,0.0336304,0.010376,0.00730896
25,1437232431508,0.0154724,0.0050354,0.00517273
26,1437232431529,0.00692749,0.00183105,0.00624084
27,1437232431549,0.0101318,-0.00457764,0.0115814
28,1437232431569,0.0154724,-0.00457764,0.0137177
29,1437232431589,0.0122681,-0.0152588,0.00837707
30,1437232431609,0.000518799,-0.00991821,0.0030365
31,1437232431628,-0.00161743,-0.00457764,0.00410461
32,1437232431648,0.00158691,-0.000305176,0.00196838
33,1437232431668,0.00265503,-0.00457764,0.000900269
34,1437232431685,0.00265503,-0.0152588,0.000900269
35,1437232431707,-0.00588989,-0.0184631,-0.00123596
36,1437232431726,-0.0176392,-0.0195312,-0.00230408
37,1437232431747,-0.0400696,-0.0291443,-0.00764465
38,1437232431767,-0.0699768,-0.0387573,-0.0183258
39,1437232431787,-0.0827942,-0.035553,-0.0236664
40,1437232431806,-0.0795898,-0.0205994,-0.0215302
41,1437232431825,-0.0657043,-0.0152588,-0.0193939
42,1437232431846,-0.0422058,-0.0163269,-0.0119171
43,1437232431865,-0.000549316,-0.00671387,-0.00337219
44,1437232431885,0.0357666,0.00717163,0.00730896
45,1437232431906,0.0400391,0.0221252,0.00517273
46,1437232431925,0.0357666,0.0135803,0.00837707
47,1437232431944,0.020813,0.00823975,0.00410461
48,1437232431965,0.00799561,0.00396729,0.000900269
49,1437232431984,-0.00482178,0.00289917,-0.00337219
50,1437232432003,-0.0155029,-0.00137329,-0.010849
51,1437232432024,-0.0219116,-0.00564575,-0.0119171
52,1437232432042,-0.0144348,-0.0088501,-0.00444031
53,1437232432063,0.000518799,-0.00137329,-0.00123596
54,1437232432083,0.0218811,0.00396729,0.0030365
55,1437232432103,0.0293579,0.010376,0.000900269
56,1437232432123,0.0229492,0.0157166,0.00410461
57,1437232432142,0.0133362,0.0210571,-0.000167847
58,1437232432162,0.0144043,0.0210571,-0.00230408
59,1437232432181,0.0112,0.0167847,-0.00444031
60,1437232432202,0.00265503,0.0178528,-0.00550842
61,1437232432222,-0.00909424,0.019989,-0.000167847
62,1437232432241,-0.0144348,0.0178528,-0.00550842
63,1437232432261,-0.0101624,0.00823975,-0.00978088
64,1437232432281,0.0218811,-0.0131226,-0.00230408
65,1437232432301,0.00906372,0.0242615,0.000900269
66,1437232432319,-0.052887,0.0146484,-0.0119171
67,1437232432340,-0.0144348,0.0050354,-0.00123596
68,1437232432359,-0.0240479,0.0157166,-0.0193939
69,1437232432379,0.0528564,-0.063324,0.000900269
70,1437232432400,0.0261536,0.0317383,-0.0183258
71,1437232432419,0.0165405,-0.00244141,0.00944519
72,1437232432439,-0.0293884,0.0157166,-0.0225983
73,1437232432459,-0.0261841,-0.00137329,0.00410461
74,1437232432478,-0.0176392,0.0135803,-0.0215302
75,1437232432499,-0.025116,-0.0088501,-0.0119171
76,1437232432518,-0.0422058,-0.000305176,-0.0172577
77,1437232432537,-0.044342,-0.00350952,-0.0129852
78,1437232432558,-0.0101624,-0.0740051,-0.010849
79,1437232432577,-0.0272522,0.0424194,0.00730896
80,1437232432597,-0.034729,-0.00564575,-0.00764465
81,1437232432617,-0.0112305,-0.00991821,0.0158539
82,1437232432635,-0.0261841,0.0178528,-0.00550842
83,1437232432657,-0.00588989,-0.0195312,0.00730896
84,1437232432675,0.0101318,0.0114441,0.00944519
85,1437232432695,0.0154724,-0.0120544,-0.00123596
86,1437232432716,0.0229492,-0.0184631,-0.000167847
87,1437232432736,0.000518799,-0.00457764,-0.00337219
88,1437232432755,-0.00588989,-0.00350952,-0.00657654
89,1437232432775,-0.0133667,0.00289917,-0.000167847
90,1437232432795,-0.0112305,0.00823975,0.00196838
91,1437232432814,0.000518799,0.00396729,-0.000167847
92,1437232432835,0.0133362,0.00610352,0.000900269
93,1437232432854,0.0314941,0.019989,0.00410461
94,1437232432874,0.0282898,0.0167847,0.0254669
95,1437232432894,0.0742188,-0.0195312,0.0788727
96,1437232432914,0.0987854,0.0434875,0.054306
97,1437232432933,0.085968,0.0360107,0.0329437
98,1437232432952,0.113739,0.0349426,0.0617828
99,1437232432973,0.151123,-0.0537109,0.0222626
100,1437232432992,0.0806274,-0.017395,-0.00978088
101,1437232433012,0.0186768,-0.0238037,-0.0236664
102,1437232433032,0.0336304,-0.00671387,-0.0140533
103,1437232433052,0.0432434,0.0135803,-0.00444031
104,1437232433072,-0.0176392,-0.00671387,-0.0161896
105,1437232433092,-0.0966797,-0.00991821,-0.0279388
106,1437232433111,-0.147949,-0.00564575,-0.03862
107,1437232433129,-0.152222,-0.000305176,-0.029007
108,1437232433151,-0.112701,0.000762939,-0.0279388
109,1437232433169,-0.0870666,-0.00564575,-0.0258026
110,1437232433190,-0.0795898,-0.0238037,-0.0300751
111,1437232433210,-0.0657043,-0.0291443,-0.0247345
112,1437232433230,-0.0304565,-0.0227356,-0.0183258
113,1437232433250,0.00799561,-0.0184631,-0.0183258
114,1437232433268,0.00585938,-0.0141907,-0.0161896
115,1437232433289,-0.0101624,-0.00137329,-0.010849
116,1437232433308,-0.00161743,0.00717163,0.000900269
117,1437232433329,-0.0155029,0.0050354,0.0105133
118,1437232433348,-0.0197754,-0.00671387,0.00624084
119,1437232433367,0.00372314,-0.00991821,0.00624084
120,1437232433389,0.0496521,0.0125122,0.0243988
121,1437232433408,0.0998535,0.0125122,0.026535
122,1437232433428,0.132965,0.0167847,0.0361481
123,1437232433446,0.140442,0.00717163,0.0297394
124,1437232433467,0.0966492,-0.0109863,0.0329437
125,1437232433486,0.0389709,-0.0195312,0.0201263
126,1437232433507,-0.00909424,-0.0195312,0.0115814
127,1437232433527,-0.0518188,-0.0302124,-0.000167847
128,1437232433546,-0.0838623,-0.0280762,-0.00337219
129,1437232433565,-0.0849304,-0.0152588,-0.00444031
130,1437232433586,-0.0475464,0.0050354,-0.00123596
131,1437232433605,-0.0133667,0.00289917,0.00517273
132,1437232433625,-0.00482178,0.00289917,0.0147858
133,1437232433645,0.0314941,0.0125122,0.0190582
134,1437232433664,0.0240173,0.00183105,0.0233307
135,1437232433685,0.0475159,0.00289917,0.0222626
136,1437232433704,0.0635376,-0.00564575,0.0254669
137,1437232433724,0.0891724,0.0424194,0.0243988
138,1437232433744,0.10733,0.0776672,-0.0183258
139,1437232433763,0.0774231,0.0210571,0.0863495
140,1437232433784,-0.0155029,0.135345,0.0190582
141,1437232433802,-0.0422058,-0.00778198,-0.0930939
142,1437232433823,0.0325623,-0.0227356,-0.029007
143,1437232433843,0.0272217,-0.0526428,-0.0161896
144,1437232433863,0.00906372,-0.00671387,-0.0215302
145,1437232433882,0.0197449,-0.00137329,-0.00550842
146,1437232433902,0.00372314,-0.0163269,-0.00230408
147,1437232433922,-0.0155029,-0.0120544,0.0179901
148,1437232433941,-0.0379333,-0.0227356,0.0158539
149,1437232433962,-0.0240479,0.00823975,0.00837707
150,1437232433981,-0.0464783,-0.045166,0.00517273
151,1437232434001,-0.0390015,-0.0184631,-0.0119171
152,1437232434021,-0.0496826,-0.0163269,0.000900269
153,1437232434040,0.0411072,0.100098,0.0340118
154,1437232434061,-0.0475464,-0.045166,0.00837707
155,1437232434078,-0.0475464,-0.00244141,0.0115814
156,1437232434100,-0.00802612,-0.0088501,0.00517273
