id,attr_time,attr_x,attr_y,attr_z
1,1436170463003,-8.8782,-3.57832,3.07758
2,1436170463023,-8.87891,-3.43561,3.06374
3,1436170463043,-8.87477,-3.2963,3.12344
4,1436170463082,-8.78612,-3.29204,3.04878
5,1436170463101,-8.7348,-3.34229,3.06702
6,1436170463122,-8.75131,-3.37282,3.12086
7,1436170463140,-8.77406,-3.39867,3.0975
8,1436170463162,-8.81898,-3.41885,3.16525
9,1436170463181,-8.81873,-3.43492,3.13387
10,1436170463201,-8.79344,-3.42889,3.14215
11,1436170463221,-8.78787,-3.42783,3.13684
12,1436170463239,-8.75394,-3.39014,3.15176
13,1436170463261,-8.70796,-3.35104,3.12708
14,1436170463280,-8.6982,-3.38852,3.09091
15,1436170463300,-8.69743,-3.38292,3.16946
16,1436170463320,-8.81848,-3.49437,2.99593
17,1436170463340,-8.92848,-3.57809,3.02965
18,1436170463360,-8.87596,-3.40701,3.1143
19,1436170463379,-8.82858,-3.33333,3.08527
20,1436170463399,-8.73639,-3.24669,3.05963
21,1436170463417,-8.6879,-3.20988,3.14537
22,1436170463438,-8.76512,-3.32132,3.10936
23,1436170463458,-8.85124,-3.47086,3.03951
24,1436170463476,-8.8165,-3.45799,3.06163
25,1436170463498,-8.82735,-3.33806,3.03766
26,1436170463516,-8.76712,-3.2581,3.10095
27,1436170463538,-8.74399,-3.26323,3.09309
28,1436170463556,-8.74794,-3.2679,3.16107
29,1436170463578,-8.77242,-3.38191,3.10106
30,1436170463596,-8.77232,-3.35588,3.10176
31,1436170463617,-8.80893,-3.37863,3.12161
32,1436170463637,-8.78346,-3.4256,3.08597
33,1436170463656,-8.77002,-3.45732,3.06676
34,1436170463676,-8.81422,-3.45332,3.10077
35,1436170463696,-8.77507,-3.43164,3.1993
36,1436170463716,-8.74606,-3.39929,3.13849
37,1436170463734,-8.69498,-3.3976,3.15643
38,1436170463754,-8.6906,-3.3835,3.16151
39,1436170463773,-8.80144,-3.50775,3.06454
40,1436170463794,-8.83101,-3.51955,3.17523
41,1436170463815,-8.79927,-3.39787,3.18791
42,1436170463834,-8.76372,-3.36714,3.07924
43,1436170463855,-8.65311,-3.3073,3.09212
44,1436170463873,-8.66766,-3.28848,3.11266
45,1436170463893,-8.71628,-3.38548,3.05463
46,1436170463913,-8.79363,-3.48279,3.04483
47,1436170463934,-8.84486,-3.40555,3.06357
48,1436170463953,-8.86877,-3.38374,3.02287
49,1436170463973,-8.89189,-3.34766,3.03119
50,1436170463993,-8.85411,-3.30977,3.05782
51,1436170464013,-8.77109,-3.29704,3.06172
52,1436170464032,-8.68353,-3.29274,3.09879
53,1436170464052,-8.66481,-3.3345,3.05455
54,1436170464072,-8.73923,-3.35797,2.993
55,1436170464090,-8.83203,-3.42038,3.08156
56,1436170464112,-8.87068,-3.40707,3.1048
57,1436170464131,-8.81747,-3.36276,3.13193
58,1436170464151,-8.72321,-3.31651,3.06918
59,1436170464171,-8.7025,-3.28488,3.02345
60,1436170464210,-8.72995,-3.34222,3.07396
61,1436170464230,-8.73903,-3.33087,3.06766
62,1436170464250,-8.85014,-3.43306,3.00172
63,1436170464270,-8.88536,-3.46205,3.04689
64,1436170464290,-8.82454,-3.3024,3.11209
65,1436170464309,-8.77017,-3.29756,3.09587
66,1436170464329,-8.66017,-3.17801,3.09865
67,1436170464349,-8.62613,-3.16003,3.08504
68,1436170464367,-8.69081,-3.29317,3.0052
69,1436170464388,-8.7684,-3.41116,3.03612
70,1436170464407,-8.82617,-3.39169,3.02252
71,1436170464427,-8.75946,-3.37349,2.99928
72,1436170464448,-8.78258,-3.36574,3.00334
73,1436170464468,-8.81911,-3.37834,3.0289
74,1436170464486,-8.7963,-3.40056,3.05161
75,1436170464506,-8.74793,-3.41127,3.15193
76,1436170464525,-8.70357,-3.36694,3.13567
77,1436170464547,-8.63055,-3.25877,3.18416
78,1436170464567,-8.72711,-3.32867,3.16159
79,1436170464587,-8.79688,-3.34904,3.19724
80,1436170464606,-8.79744,-3.3315,3.19418
81,1436170464625,-8.73459,-3.3253,3.11215
82,1436170464646,-8.67499,-3.3078,3.01205
83,1436170464666,-8.67854,-3.32466,3.02998
84,1436170464684,-8.69374,-3.31113,3.05394
85,1436170464706,-8.84885,-3.52155,2.93361
86,1436170464723,-8.82671,-3.50932,3.01791
87,1436170464745,-8.84805,-3.32562,3.09283
88,1436170464764,-8.80663,-3.32138,3.088
89,1436170464785,-8.67627,-3.15315,3.10178
90,1436170464804,-8.69434,-3.23152,3.15297
91,1436170464928,-8.78517,-3.39252,3.12187
92,1436170464929,-8.7899,-3.44257,3.11913
93,1436170464930,-8.82669,-3.42609,3.07944
94,1436170464931,-8.82274,-3.37663,3.04576
95,1436170464932,-8.74008,-3.32933,3.07785
96,1436170464933,-8.74029,-3.29288,3.13316
97,1436170464943,-8.77365,-3.42058,3.0567
98,1436170464960,-8.7603,-3.46484,3.08263
99,1436170464982,-8.79619,-3.437,3.07782
100,1436170465001,-8.76424,-3.47314,3.06282
101,1436170465021,-8.7132,-3.4261,3.0825
102,1436170465041,-8.717,-3.38078,3.19354
103,1436170465062,-8.73091,-3.42532,3.18101
104,1436170465081,-8.72116,-3.44325,3.18219
105,1436170465100,-8.692,-3.43871,3.19844
106,1436170465121,-8.73473,-3.45929,3.14906
107,1436170465140,-8.71463,-3.37265,3.17911
108,1436170465160,-8.88448,-3.51137,3.10417
109,1436170465180,-8.84274,-3.55186,3.13062
110,1436170465200,-8.73578,-3.38916,3.16417
111,1436170465219,-8.72981,-3.40138,3.11232
112,1436170465240,-8.59892,-3.32568,3.076
113,1436170465259,-8.63774,-3.33388,3.05664
114,1436170465279,-8.74565,-3.44472,3.06252
115,1436170465299,-8.83813,-3.50253,3.08197
116,1436170465339,-8.86516,-3.51527,3.00838
117,1436170465357,-8.86603,-3.44,3.0191
118,1436170465378,-8.77826,-3.40901,3.09485
119,1436170465396,-8.73598,-3.38365,3.1581
120,1436170465414,-8.72078,-3.39767,3.16461
121,1436170465435,-8.70268,-3.42334,3.16991
122,1436170465455,-8.72205,-3.45869,3.18285
123,1436170465475,-8.7547,-3.45755,3.20229
124,1436170465494,-8.7206,-3.46033,3.22412
125,1436170465515,-8.68925,-3.43552,3.19276
126,1436170465535,-8.6619,-3.41769,3.15347
127,1436170465554,-8.63715,-3.43724,3.1254
128,1436170465573,-8.7001,-3.52478,3.02209
129,1436170465594,-8.76965,-3.54727,3.01582
130,1436170465614,-8.80373,-3.48228,3.00722
131,1436170465634,-8.98279,-3.6156,3.00836
132,1436170465655,-8.80716,-3.46576,3.17142
133,1436170465674,-8.67998,-3.26419,3.20621
134,1436170465695,-8.63997,-3.2373,3.11914
135,1436170465715,-8.63312,-3.25558,3.17203
136,1436170465734,-8.78331,-3.34897,3.23366
137,1436170465754,-8.85513,-3.53149,3.1543
138,1436170465773,-8.85287,-3.58533,3.12494
139,1436170465794,-8.79793,-3.47414,3.1028
140,1436170465812,-8.75937,-3.32973,3.12253
141,1436170465834,-8.7494,-3.28094,3.05386
142,1436170465853,-8.77707,-3.36366,3.05217
143,1436170465869,-8.81932,-3.42641,3.07539
144,1436170465891,-8.81313,-3.43338,3.10139
145,1436170465911,-8.79486,-3.39616,3.18401
146,1436170465930,-8.74097,-3.41795,3.18182
147,1436170465950,-8.72742,-3.3988,3.22284
148,1436170465970,-8.74094,-3.36591,3.24208
149,1436170465989,-8.69507,-3.33273,3.22926
150,1436170466010,-8.67177,-3.32855,3.18309
151,1436170466029,-8.74182,-3.41566,3.10454
152,1436170466049,-8.76085,-3.44536,3.07443
153,1436170466068,-8.86545,-3.48454,3.0078
154,1436170466090,-8.98126,-3.58536,2.99515
155,1436170466110,-8.75839,-3.42383,3.17767
156,1436170466130,-8.63557,-3.23579,3.14853
157,1436170466149,-8.57379,-3.18513,3.09035
158,1436170466170,-8.58025,-3.205,3.10364
159,1436170466190,-8.74207,-3.3076,3.18388
160,1436170466209,-8.85184,-3.45479,3.15355
161,1436170466229,-8.85576,-3.541,3.05415
162,1436170466249,-8.83762,-3.46126,3.05869
163,1436170466267,-8.74103,-3.38602,3.14714
164,1436170466289,-8.68207,-3.31163,3.16934
165,1436170466308,-8.65865,-3.32253,3.15752
166,1436170466328,-8.73613,-3.42688,3.17082
167,1436170466347,-8.80038,-3.48907,3.11678
168,1436170466368,-8.82355,-3.42348,3.13246
169,1436170466388,-8.76828,-3.38696,3.17769
170,1436170466406,-8.677,-3.31827,3.16878
171,1436170466427,-8.69936,-3.343,3.14517
172,1436170466467,-8.6942,-3.40506,3.12785
173,1436170466486,-8.75372,-3.4341,3.05432
174,1436170466506,-8.73837,-3.46718,3.02354
175,1436170466526,-8.76361,-3.40366,3.16153
176,1436170466546,-8.79175,-3.43927,3.14827
177,1436170466566,-8.83826,-3.5146,3.13733
178,1436170466583,-8.72191,-3.45996,3.26474
179,1436170466606,-8.65904,-3.36168,3.22786
180,1436170466624,-8.6739,-3.24471,3.24461
181,1436170466645,-8.68956,-3.23932,3.25409
182,1436170466665,-8.77734,-3.29082,3.23329
183,1436170466684,-8.79256,-3.44423,3.11139
