id,attr_time,attr_x,attr_y,attr_z
1,1438260082018,-9.094376,3.3985693,-1.1803415
2,1438260082038,-9.069835,3.4237084,-1.2198458
3,1438260082058,-9.09617,3.4506433,-1.2312182
4,1438260082078,-9.065046,3.4302924,-1.2156559
5,1438260082098,-9.102755,3.3973722,-1.2012907
6,1438260082118,-9.054273,3.3746274,-1.1737574
7,1438260082138,-9.069835,3.3381157,-1.151611
8,1438260082158,-9.097368,3.3291376,-1.1426327
9,1438260082178,-9.099762,3.3518825,-1.1300632
10,1438260082200,-9.030929,3.3566709,-1.1414356
11,1438260082218,-9.1350765,3.3800142,-1.1737574
12,1438260082238,-9.192537,3.3686419,-1.1821371
13,1438260082258,-9.060856,3.3704374,-1.1629834
14,1438260082278,-9.068039,3.3614593,-1.1252748
15,1438260082298,-9.018958,3.3441012,-1.0761937
16,1438260082318,-8.987235,3.402759,-1.0690111
17,1438260082338,-8.96449,3.470994,-1.1480197
18,1438260082358,-9.025542,3.515885,-1.2228385
19,1438260082378,-9.037513,3.5236664,-1.2683283
20,1438260082398,-9.089587,3.5164838,-1.2886791
21,1438260082418,-9.059061,3.494936,-1.282095
22,1438260082438,-9.122507,3.4261026,-1.2360066
23,1438260082458,-9.041104,3.406949,-1.1911154
24,1438260082478,-9.064447,3.4045548,-1.1779473
25,1438260082498,-8.983644,3.4129345,-1.1707647
26,1438260082523,-8.992023,3.4799721,-1.2120646
27,1438260082538,-9.012374,3.53863,-1.2797008
28,1438260082558,-9.049484,3.594894,-1.3084313
29,1438260082578,-9.024943,3.6128504,-1.328782
30,1438260082598,-9.054871,3.6062663,-1.3245921
31,1438260082618,-9.009979,3.5811272,-1.2755109
32,1438260082638,-8.995614,3.5338416,-1.2479776
33,1438260082658,-8.98484,3.5140896,-1.2030864
34,1438260082678,-8.965088,3.5284548,-1.2024878
35,1438260082698,-8.9842415,3.5553896,-1.1959038
36,1438260082719,-9.006389,3.5871127,-1.2557588
37,1438260082743,-8.967483,3.5871127,-1.2797008
38,1438260082759,-9.056666,3.5781345,-1.2838906
39,1438260082779,-9.167996,3.5206735,-1.2575544
40,1438260082798,-9.013571,3.4715924,-1.2108675
41,1438260082818,-9.006987,3.4231098,-1.1336545
42,1438260082838,-8.9842415,3.4093432,-1.1085154
43,1438260082859,-8.948329,3.4201171,-1.0929531
44,1438260082878,-8.966286,3.4650085,-1.1390414
45,1438260082898,-8.990228,3.484162,-1.2024878
46,1438260082919,-9.066842,3.496133,-1.2683283
47,1438260082939,-9.11712,3.4500446,-1.2641385
48,1438260082959,-9.060856,3.4344823,-1.2826935
49,1438260082979,-9.091382,3.3608606,-1.2042835
50,1438260082999,-9.054273,3.321955,-1.1611878
51,1438260083019,-9.073426,3.3123782,-1.1540052
52,1438260083039,-9.026739,3.3213563,-1.1767502
53,1438260083059,-9.051279,3.3985693,-1.2162545
54,1438260083079,-9.0716305,3.4440591,-1.3072342
55,1438260083099,-9.071032,3.4662056,-1.3425486
56,1438260083119,-9.069835,3.472191,-1.3628993
57,1438260083139,-9.087193,3.4518404,-1.311424
58,1438260083159,-9.04709,3.4153287,-1.2970588
59,1438260083179,-9.073426,3.4153287,-1.2623428
60,1438260083199,-9.03871,3.417723,-1.258153
61,1438260083219,-9.009381,3.4314895,-1.2611457
62,1438260083239,-9.02614,3.457826,-1.2802993
