id,attr_time,attr_x,attr_y,attr_z
1,1436168796305,-0.027533319,9.977836,1.7950528
2,1436168796324,-0.16101007,10.0341,1.7046716
3,1436168796344,-0.3405752,10.100538,1.6693572
4,1436168796364,-0.41000703,10.113707,1.638831
5,1436168796384,-0.3716998,10.1460285,1.5999253
6,1436168796404,-0.24361002,10.140042,1.6352397
7,1436168796424,-0.046686932,10.079589,1.7591397
8,1436168796444,0.05207389,10.004171,1.8632874
9,1436168796464,-0.05566519,10.040684,1.7232267
10,1436168796484,-0.16819267,10.171766,1.726818
11,1436168796504,-0.36032736,10.325593,1.6831238
12,1436168796524,-0.30825347,9.943718,1.6190789
13,1436168796544,-0.15023616,10.068815,1.5071499
14,1436168796564,-0.16101007,9.877279,1.8004397
15,1436168796584,-0.091578215,9.9712515,1.7411832
16,1436168796604,-0.06284779,10.166379,1.6645688
17,1436168796624,-0.15442601,10.212467,1.7082629
18,1436168796644,-0.3226187,10.195109,1.5490485
19,1436168796664,-0.3776853,10.212467,1.5215151
20,1436168796684,-0.2789245,10.105926,1.6591818
21,1436168796704,-0.16759412,10.04607,1.79206
22,1436168796727,-0.15322891,10.018537,1.7465701
23,1436168796745,-0.25617957,10.031107,1.6154876
24,1436168796766,-0.31783026,10.089765,1.5933412
25,1436168796786,-0.25857377,10.1304655,1.6825253
26,1436168796806,-0.21547815,10.09156,1.7286136
27,1436168796826,-0.2220622,10.01315,1.6968905
28,1436168796857,-0.2669535,9.940725,1.6226702
29,1436168796875,-0.31124622,10.001778,1.6675615
30,1436168796885,-0.31543607,10.074203,1.6124948
31,1436168796907,-0.338181,10.386047,1.6753427
32,1436168796932,-0.36631286,10.098145,1.697489
33,1436168796947,-0.16998832,10.084377,1.5646108
34,1436168796966,-0.12928689,10.040085,1.6232687
35,1436168796986,-0.08020575,9.998785,1.797447
36,1436168797007,-0.045489833,10.078991,1.666963
37,1436168797029,-0.09756372,10.119094,1.6334441
38,1436168797047,-0.2633622,10.116699,1.543063
39,1436168797067,-0.29029694,10.180744,1.4496891
40,1436168797089,-0.22325931,10.196306,1.6005238
41,1436168797108,-0.15981296,10.163386,1.7447745
42,1436168797129,-0.16579847,10.11251,1.7615339
43,1436168797148,-0.29388827,10.072407,1.6867151
44,1436168797167,-0.3878607,10.078991,1.6591818
45,1436168797186,-0.49320555,10.09994,1.6196774
46,1436168797206,-0.47764325,10.074203,1.6358383
47,1436168797226,-0.41838676,10.102334,1.6591818
48,1436168797256,-0.3453636,10.065224,1.6897079
49,1436168797313,-0.2908955,10.038888,1.685518
50,1436168797314,-0.27473465,10.046669,1.6376339
51,1436168797315,-0.28191724,10.068815,1.5855601
52,1436168797334,-0.3357868,10.368091,1.6915035
53,1436168797346,-0.33039984,10.047267,1.6226702
54,1436168797380,-0.20290859,10.022128,1.4257472
55,1436168797388,-0.17597382,9.986216,1.4850036
56,1436168797407,-0.095169514,9.954493,1.7232267
57,1436168797428,-0.024540568,10.101137,1.6142905
58,1436168797448,-0.08020575,10.158598,1.6400281
59,1436168797469,-0.24600422,10.113108,1.6280571
60,1436168797487,-0.3669114,10.185533,1.4945804
61,1436168797506,-0.38606504,10.08318,1.54845
62,1436168797526,-0.29927522,10.1065235,1.6555905
63,1436168797547,-0.2148796,10.110115,1.7657237
64,1436168797572,-0.2801216,10.099341,1.7669208
65,1436168797590,-0.39564183,10.077195,1.6573862
66,1436168797612,-0.48482585,10.078991,1.5514427
67,1436168797627,-0.44951138,10.132261,1.5777789
68,1436168797647,-0.3309984,10.157401,1.6747441
69,1436168797666,-0.21906945,10.068216,1.6897079
70,1436168797686,-0.18974048,10.022727,1.6962919
71,1436168797709,-0.28191724,10.027515,1.5807717
72,1436168797772,-0.3788824,10.214862,1.6310499
73,1436168797773,-0.374094,10.314819,1.7196354
74,1436168797774,-0.207697,9.99639,1.6053122
75,1436168797793,-0.15622166,10.061633,1.4347254
76,1436168797820,-0.15083471,9.862315,1.6124948
77,1436168797828,-0.06284779,10.001179,1.6819267
78,1436168797848,-0.053869538,10.049662,1.6651673
79,1436168797868,-0.08020575,10.089166,1.6567876
80,1436168797887,-0.21547815,10.111312,1.5358804
81,1436168797906,-0.32202014,10.185533,1.3299791
82,1436168797933,-0.28550854,10.14543,1.5041572
83,1436168797954,-0.047884032,10.043676,1.6783354
