id,attr_time,attr_x,attr_y,attr_z
1,1436166025003,-0.1352724,10.052056,-0.8265981
2,1436166025025,-0.15801731,10.044873,-0.8086416
3,1436166025043,-0.15861586,10.053253,-0.8146271
4,1436166025063,-0.14724341,10.049662,-0.8379706
5,1436166025086,-0.1316811,10.044274,-0.8511387
6,1436166025105,-0.16101007,10.046669,-0.84694886
7,1436166025128,-0.14724341,10.037092,-0.81761986
8,1436166025143,-0.15682021,10.043077,-0.8265981
9,1436166025164,-0.15023616,10.034698,-0.8194155
10,1436166025183,-0.12808979,10.026319,-0.7918822
11,1436166025203,-0.14664486,10.036493,-0.8146271
12,1436166025226,-0.16879122,10.038888,-0.8194155
13,1436166025246,-0.16579847,10.043676,-0.8415619
14,1436166025267,-0.16879122,10.040684,-0.8391677
15,1436166025284,-0.13706805,10.04607,-0.8062474
16,1436166025311,-0.15622166,10.032304,-0.84335756
17,1436166025357,-0.15741876,10.041282,-0.85173726
18,1436166025358,-0.13347675,10.044873,-0.85293436
19,1436166025369,-0.15861586,10.035296,-0.8403648
20,1436166025385,-0.12270284,10.035296,-0.8026561
21,1436166025404,-0.16460137,10.035296,-0.825401
22,1436166025425,-0.12629414,10.047267,-0.81283146
23,1436166025444,-0.18076223,10.037092,-0.83258367
24,1436166025464,-0.12749124,10.044274,-0.82121116
25,1436166025490,-0.15143326,10.043077,-0.8391677
26,1436166025504,-0.13946225,10.037092,-0.84455466
27,1436166025525,-0.17657238,10.023924,-0.8415619
28,1436166025545,-0.15502456,10.038888,-0.83856916
29,1436166025566,-0.16579847,10.0508585,-0.8194155
30,1436166025588,-0.15143326,10.043077,-0.8265981
31,1436166025607,-0.14844051,10.037092,-0.83976626
32,1436166025627,-0.15622166,10.056845,-0.8391677
33,1436166025647,-0.17477672,10.034698,-0.82480246
34,1436166025667,-0.1592144,10.043077,-0.83617496
35,1436166025685,-0.1592144,10.014946,-0.8319851
36,1436166025707,-0.16879122,10.049662,-0.81343
37,1436166025727,-0.15083471,10.05445,-0.84455466
38,1436166025747,-0.16220717,10.036493,-0.85473
39,1436166025767,-0.16819267,10.032902,-0.8355764
40,1436166025786,-0.18495208,10.025121,-0.8343793
41,1436166025806,-0.14185645,10.034698,-0.81522566
42,1436166025827,-0.15981296,10.032304,-0.8355764
43,1436166025845,-0.16699557,10.052654,-0.8511387
44,1436166025865,-0.1364695,10.052056,-0.87807345
45,1436166025886,-0.17238252,10.04607,-0.86011696
46,1436166025908,-0.20231004,10.02572,-0.83018947
47,1436166025928,-0.16101007,10.023325,-0.8265981
48,1436166025949,-0.14664486,10.041282,-0.83737206
49,1436166025970,-0.19871874,10.049662,-0.8194155
50,1436166025986,-0.11731588,10.043676,-0.82240826
51,1436166026006,-0.11552023,10.044873,-0.82899237
52,1436166026026,-0.16998832,10.020332,-0.8415619
53,1436166026046,-0.15263036,10.025121,-0.8283938
54,1436166026114,-0.16699557,10.041282,-0.85054016
55,1436166026115,-0.11372458,10.061034,-0.8283938
56,1436166026116,-0.18195933,10.041881,-0.81402856
57,1436166026134,-0.16460137,10.019135,-0.8110358
58,1436166026145,-0.17896658,10.037092,-0.8367735
59,1436166026168,-0.17776948,10.028113,-0.8415619
60,1436166026186,-0.15143326,10.03769,-0.85173726
61,1436166026204,-0.18076223,10.043676,-0.85652566
62,1436166026227,-0.16220717,10.029909,-0.8391677
63,1436166026245,-0.11731588,10.043676,-0.8110358
64,1436166026266,-0.17058687,10.038289,-0.82121116
65,1436166026286,-0.12868834,10.045472,-0.8194155
66,1436166026305,-0.13227965,10.005967,-0.82480246
67,1436166026324,-0.1364695,10.0269165,-0.8379706
68,1436166026348,-0.16280572,10.0341,-0.8319851
69,1436166026368,-0.1400608,10.028113,-0.82599956
70,1436166026388,-0.16280572,10.056845,-0.8242039
71,1436166026408,-0.14903906,10.043676,-0.8319851
72,1436166026428,-0.16699557,10.042479,-0.8439561
73,1436166026448,-0.18195933,10.04607,-0.8403648
74,1436166026468,-0.15861586,10.035895,-0.8439561
75,1436166026488,-0.16579847,10.036493,-0.8571242
76,1436166026510,-0.18315643,10.055647,-0.85413146
77,1436166026527,-0.16699557,10.053253,-0.8439561
78,1436166026574,-0.17657238,10.023924,-0.82360536
79,1436166026575,-0.18255788,10.043077,-0.8367735
80,1436166026585,-0.16759412,10.026319,-0.84216046
81,1436166026606,-0.17178397,10.053851,-0.84934306
82,1436166026627,-0.17836803,10.053253,-0.83617496
83,1436166026647,-0.16340427,10.011354,-0.82599956
84,1436166026670,-0.16579847,10.044873,-0.85413146
85,1436166026688,-0.16759412,10.047866,-0.84934306
86,1436166026706,-0.16519992,10.03769,-0.825401
87,1436166026726,-0.19512744,10.044873,-0.8331822
88,1436166026747,-0.16101007,10.041881,-0.83497787
89,1436166026766,-0.17956513,10.024523,-0.8367735
90,1436166026789,-0.19273324,10.031107,-0.85413146
91,1436166026841,-0.18555063,10.050261,-0.86610246
92,1436166026842,-0.1945289,10.029909,-0.8439561
93,1436166026856,-0.19752164,10.043077,-0.83018947
94,1436166026865,-0.20949265,10.0269165,-0.84096336
95,1436166026886,-0.18195933,10.046669,-0.84575176
96,1436166026907,-0.1921347,10.043676,-0.84575176
97,1436166026925,-0.2100912,10.022128,-0.85652566
98,1436166026967,-0.1400608,10.068815,-0.85413146
99,1436166026968,-0.19752164,10.026319,-0.8451532
100,1436166026986,-0.19093758,10.015544,-0.825401
101,1436166027006,-0.19812019,10.057443,-0.84575176
102,1436166027026,-0.17537527,10.034698,-0.88166475
103,1436166027051,-0.17776948,10.041282,-0.8319851
104,1436166027069,-0.16220717,10.029311,-0.83497787
105,1436166027089,-0.18734628,10.041282,-0.83976626
106,1436166027109,-0.16101007,10.045472,-0.86849666
107,1436166027129,-0.15562311,10.029311,-0.85473
108,1436166027149,-0.15801731,10.038888,-0.88525605
109,1436166027169,-0.21068975,10.038888,-0.8678981
110,1436166027189,-0.17717093,10.020332,-0.84096336
111,1436166027209,-0.108936176,10.040684,-0.82899237
112,1436166027229,-0.16340427,10.029909,-0.84096336
113,1436166027248,-0.20350714,10.031107,-0.87448215
114,1436166027267,-0.16579847,10.06283,-0.8834604
115,1436166027289,-0.18435353,10.035296,-0.87927055
116,1436166027309,-0.15562311,10.0269165,-0.84934306
117,1436166027328,-0.18734628,10.040085,-0.85473
118,1436166027348,-0.19033903,10.059238,-0.8738836
119,1436166027376,-0.14425065,10.030508,-0.8487445
