id,attr_time,attr_x,attr_y,attr_z
1,1436167051114,0.20290859,10.044274,-0.81642276
2,1436167051136,0.25019407,10.027515,-0.7679402
3,1436167051155,0.22325931,10.035895,-0.801459
4,1436167051179,0.11731588,10.071808,-0.8463503
5,1436167051196,0.075417355,10.055647,-0.8499416
6,1436167051216,0.19153613,9.999982,-0.8523358
7,1436167051290,0.3453636,10.011953,-0.76195467
8,1436167051291,0.2885013,10.062231,-0.777517
9,1436167051292,0.19033903,10.053253,-0.81402856
10,1436167051295,0.13587095,10.029311,-0.85532856
11,1436167051315,0.23283611,10.029909,-0.8343793
12,1436167051335,0.24959552,10.033501,-0.789488
13,1436167051355,0.19093758,10.022727,-0.78769237
14,1436167051375,0.19572599,10.040684,-0.82779527
15,1436167051396,0.2693477,10.037092,-0.87807345
16,1436167051415,0.2088941,10.037092,-0.80325466
17,1436167051435,0.16879122,10.057443,-0.8158242
18,1436167051454,0.17238252,10.042479,-0.83138657
19,1436167051474,0.17836803,10.053253,-0.8523358
20,1436167051495,0.19752164,10.022727,-0.86011696
21,1436167051515,0.23104046,10.019734,-0.8062474
22,1436167051539,0.09816227,10.041881,-0.7990648
23,1436167051554,0.095768064,10.040085,-0.8882488
24,1436167051577,0.18674773,10.031705,-0.87208796
25,1436167051595,0.22266077,10.048465,-0.83976626
26,1436167051614,0.142455,10.051457,-0.80086046
27,1436167051634,0.219668,10.056246,-0.82121116
28,1436167051655,0.25677812,10.016143,-0.8050503
29,1436167051676,0.28550854,10.071808,-0.85413146
30,1436167051699,0.17836803,10.048465,-0.8319851
31,1436167051720,0.142455,10.055647,-0.8331822
32,1436167051736,0.1945289,10.035895,-0.8265981
33,1436167051757,0.28670564,10.044873,-0.83856916
34,1436167051780,0.19093758,10.024523,-0.8319851
35,1436167051795,0.1388637,10.035895,-0.8242039
36,1436167051814,0.089184016,10.007165,-0.8690952
37,1436167051834,0.25498247,10.01315,-0.80924016
38,1436167051855,0.25198972,10.043676,-0.8074445
39,1436167051876,0.35194764,10.04607,-0.7787141
40,1436167051899,0.15023616,10.056845,-0.8242039
41,1436167051915,0.15502456,10.060435,-0.84096336
42,1436167051942,0.16759412,10.023325,-0.8523358
43,1436167051963,0.22445641,10.026319,-0.82779527
44,1436167051975,0.2681506,10.038888,-0.8122329
