id,attr_time,attr_x,attr_y,attr_z
1,1438346160002,-9.295488,2.7670987,0.46387658
2,1438346160072,-9.321226,2.8119898,0.41180268
3,1438346160073,-9.329605,2.8377275,0.3728969
4,1438346160074,-9.287707,2.8401217,0.35673606
5,1438346160082,-9.309854,2.8341362,0.3561375
6,1438346160101,-9.337985,2.8030117,0.36032736
7,1438346160122,-9.376891,2.759916,0.39264908
8,1438346160141,-9.313444,2.7623103,0.41479546
9,1438346160173,-9.271546,2.742558,0.40402153
10,1438346160180,-9.283517,2.7509377,0.39444473
11,1438346160202,-9.337985,2.8030117,0.37469256
12,1438346160225,-9.364322,2.8209682,0.32142156
13,1438346160241,-9.314043,2.8461072,0.31304187
14,1438346160263,-9.35235,2.802413,0.3226187
15,1438346160280,-9.383475,2.735974,0.32800564
16,1438346160304,-9.367314,2.6719291,0.3669114
17,1438346160323,-9.376292,2.6611552,0.36990416
18,1438346160343,-9.394848,2.633622,0.40342298
19,1438346160363,-9.442133,2.6743233,0.39983168
20,1438346160383,-9.303867,2.654571,0.46148238
21,1438346160403,-9.422979,2.7766755,0.4201824
22,1438346160423,-9.432556,2.7257986,0.44232875
23,1438346160443,-9.260772,2.7563248,0.4830302
24,1438346160460,-9.279925,2.847903,0.51954174
25,1438346160483,-9.163807,2.819771,0.54049104
26,1438346160508,-9.236232,2.947861,0.41060558
27,1438346160525,-9.207501,2.9706059,0.40282443
28,1438346160550,-9.278131,2.939481,0.46208093
29,1438346160564,-9.205107,2.8455088,0.5255273
30,1438346160582,-9.229049,2.8287494,0.5674258
31,1438346160600,-9.090784,2.8568811,0.5117606
32,1438346160622,-9.225458,2.8173769,0.5722142
33,1438346160645,-9.339182,2.8443117,0.48722005
34,1438346160666,-9.259575,2.825158,0.4441244
35,1438346160686,-9.294889,2.870648,0.36032736
36,1438346160702,-9.243414,2.8030117,0.33638534
37,1438346160727,-9.464279,2.8161798,0.35553896
38,1438346160785,-9.3499565,2.819771,0.338181
39,1438346160786,-9.306861,2.7976246,0.32142156
40,1438346160787,-9.320028,2.842516,0.28191724
41,1438346160800,-9.36073,2.8951883,0.23223756
42,1438346160821,-9.260772,2.9430726,0.21547815
43,1438346160846,-9.345168,2.8604724,0.24241292
44,1438346160862,-9.375095,2.8473043,0.30585927
45,1438346160882,-9.431359,2.7832594,0.35553896
46,1438346160902,-9.276933,2.8018146,0.39803603
47,1438346160922,-9.312247,2.7994204,0.41718966
48,1438346160942,-9.3026705,2.7970262,0.46387658
49,1438346160962,-9.31524,2.7754784,0.48961425
50,1438346160982,-9.34397,2.8311436,0.4902128
51,1438346161000,-9.216479,2.8760347,0.4794389
52,1438346161024,-9.238626,2.9574378,0.45310268
53,1438346161043,-9.250597,2.9364884,0.46746787
54,1438346161064,-9.3343935,2.8921957,0.516549
55,1438346161084,-9.300875,2.831742,0.56922144
56,1438346161104,-9.22067,2.8245595,0.6039374
57,1438346161124,-9.215282,2.8167782,0.61890113
58,1438346161144,-9.289502,2.7754784,0.6278794
59,1438346161161,-9.296086,2.7898436,0.6500258
60,1438346161184,-9.269751,2.7922378,0.6266823
61,1438346161201,-9.291298,2.7605145,0.623091
62,1438346161221,-9.291897,2.7563248,0.66139823
63,1438346161242,-9.188348,2.7688942,0.65780693
64,1438346161264,-9.425373,2.7246015,0.65660983
65,1438346161284,-9.431359,2.633622,0.6823475
66,1438346161304,-9.307459,2.5899277,0.676362
67,1438346161322,-9.308656,2.5246856,0.6793547
68,1438346161343,-9.222465,2.4714148,0.6997054
69,1438346161364,-9.260174,2.4073699,0.712275
70,1438346161384,-9.343372,2.4007857,0.7212533
71,1438346161404,-9.363723,2.3666685,0.6967127
72,1438346161425,-9.524733,2.372654,0.7374141
73,1438346161441,-9.533113,2.404377,0.7182605
74,1438346161462,-9.419388,2.3540988,0.7236475
75,1438346161524,-9.36073,2.2960393,0.76075757
76,1438346161534,-9.36492,2.2403743,0.7930793
