id,attr_time,attr_x,attr_y,attr_z
1,1436183316117,-9.554062,-0.2136825,-1.6376339
2,1436183316178,-9.597756,-0.23642741,-1.6106992
3,1436183316179,-9.566033,-0.24959552,-1.5526398
4,1436183316180,-9.494206,-0.23523031,-1.5376761
5,1436183316201,-9.446921,-0.26396075,-1.5263035
6,1436183316214,-9.457695,-0.26874915,-1.5382746
7,1436183316246,-9.536105,-0.24779987,-1.5741876
8,1436183316253,-9.516354,-0.24839842,-1.54845
9,1436183316275,-9.461885,-0.29269117,-1.4772224
10,1436183316300,-9.45171,-0.28311434,-1.4915876
11,1436183316320,-9.495404,-0.29029694,-1.5616181
12,1436183316336,-9.513959,-0.31124622,-1.5616181
13,1436183316358,-9.531916,-0.31244332,-1.4850036
14,1436183316383,-9.55047,-0.22984336,-1.4454993
15,1436183316393,-9.55047,-0.20709845,-1.4520833
16,1436183316414,-9.52174,-0.2705448,-1.501763
17,1436183316433,-9.537901,-0.32800564,-1.5574282
18,1436183316465,-9.566033,-0.38307226,-1.5388732
19,1436183316473,-9.533711,-0.34596214,-1.5340848
20,1436183316686,-9.461885,-0.25139117,-1.532289
21,1436183316687,-9.458893,-0.2172738,-1.5574282
22,1436183316688,-9.452309,-0.16400282,-1.5753847
23,1436183316700,-9.52593,-0.24061728,-1.5765818
24,1436183316701,-9.574412,-0.29568392,-1.5340848
25,1436183316702,-9.531317,-0.30226797,-1.5095441
26,1436183316703,-9.478046,-0.23762453,-1.4802152
27,1436183316704,-9.4295635,-0.22625206,-1.4664485
28,1436183316705,-9.47206,-0.2861071,-1.4754268
29,1436183316706,-9.51755,-0.36032736,-1.5089456
30,1436183316707,-9.507375,-0.374094,-1.5825673
31,1436183316736,-9.459491,-0.31483752,-1.6059108
32,1436183316737,-9.427169,-0.2825158,-1.5873557
33,1436183316753,-9.466674,-0.25737667,-1.5981296
34,1436183316781,-9.43076,-0.27114335,-1.6436194
35,1436183316793,-9.420585,-0.23762453,-1.6304513
36,1436183316813,-9.403826,-0.2112883,-1.6280571
37,1436183316833,-9.376891,-0.2112883,-1.6280571
38,1436183316854,-9.457097,-0.31004912,-1.5927427
39,1436183316901,-9.546879,-0.3561375,-1.572392
40,1436183316902,-9.540894,-0.320823,-1.572392
41,1436183316914,-9.494206,-0.29448682,-1.5807717
42,1436183316934,-9.544485,-0.26156655,-1.638831
43,1436183316953,-9.581595,-0.25139117,-1.6639702
44,1436183316998,-9.546879,-0.25558102,-1.6675615
45,1436183316999,-9.524135,-0.26635495,-1.650802
46,1436183317012,-9.5013895,-0.29388827,-1.6484078
47,1436183317037,-9.445126,-0.35434186,-1.560421
48,1436183317052,-9.509769,-0.3890578,-1.5490485
49,1436183317072,-9.618706,-0.23882163,-1.6729485
50,1436183317092,-9.625289,-0.12868834,-1.7998412
51,1436183317112,-9.559449,-0.12449849,-1.8189948
52,1436183317132,-9.515755,-0.15382746,-1.8297687
53,1436183317152,-9.469068,-0.22984336,-1.7770962
54,1436183317172,-9.500791,-0.25019407,-1.7244238
55,1436183317192,-9.437345,-0.2705448,-1.6915035
56,1436183317212,-9.437943,-0.30645782,-1.7483658
57,1436183317232,-9.441534,-0.29029694,-1.8070238
58,1436183317252,-9.448717,-0.27952304,-1.8070238
59,1436183317272,-9.452907,-0.2621651,-1.8171991
60,1436183317292,-9.501988,-0.25797522,-1.8112136
61,1436183317312,-9.498397,-0.2621651,-1.7818847
62,1436183317332,-9.482236,-0.26156655,-1.7681179
63,1436183317352,-9.455301,-0.26635495,-1.7328035
64,1436183317372,-9.51755,-0.26755205,-1.7423803
65,1436183317392,-9.54209,-0.28670564,-1.7525556
66,1436183317412,-9.543886,-0.3405752,-1.7968484
67,1436183317432,-9.518148,-0.3417723,-1.8183962
68,1436183317452,-9.434352,-0.338181,-1.9135658
69,1436183317477,-9.368511,-0.30346507,-1.9321208
70,1436183317492,-9.411008,-0.33518824,-1.8429368
71,1436183317516,-9.500791,-0.3764882,-1.763928
72,1436183317532,-9.542689,-0.38187516,-1.8010383
73,1436183317552,-9.539098,-0.34835634,-1.857302
74,1436183317573,-9.496601,-0.28491,-1.8890251
75,1436183317593,-9.433753,-0.30645782,-1.8782512
76,1436183317613,-9.425972,-0.3274071,-1.8309658
77,1436183317635,-9.443929,-0.32441434,-1.7669208
78,1436183317655,-9.461885,-0.2896984,-1.775899
79,1436183317677,-9.458893,-0.26635495,-1.8309658
80,1436183317692,-9.454104,-0.25198972,-1.946486
81,1436183317716,-9.426571,-0.31902736,-1.9147629
82,1436183317735,-9.418191,-0.3549404,-1.8668787
83,1436183317755,-9.512762,-0.3842694,-1.8291701
84,1436183317774,-9.484032,-0.37708676,-1.8561049
85,1436183317796,-9.428965,-0.34117374,-1.8483237
86,1436183317817,-9.460688,-0.30107087,-1.8136078
87,1436183317836,-9.541492,-0.29209262,-1.8417397
88,1436183317856,-9.518148,-0.3226187,-1.8495208
89,1436183317893,-9.41879,-0.33518824,-1.8866309
90,1436183317894,-9.396643,-0.30705637,-1.8513165
91,1436183317914,-9.412206,-0.28072014,-1.8788497
92,1436183317933,-9.431359,-0.29209262,-1.9482816
93,1436183317955,-9.46009,-0.30107087,-1.9446903
94,1436183317973,-9.434352,-0.25917232,-1.9273324
95,1436183317993,-9.394249,-0.22565351,-1.8830396
96,1436183318015,-9.3978405,-0.25857377,-1.9057846
97,1436183318039,-9.438541,-0.2645593,-1.9434932
98,1436183318058,-9.459491,-0.25438392,-1.9734207
99,1436183318076,-9.438541,-0.22325931,-1.9500773
100,1436183318093,-9.406818,-0.2100912,-1.9231426
101,1436183318115,-9.376292,-0.2220622,-1.8626889
102,1436183318135,-9.425972,-0.25558102,-1.9369092
103,1436183318155,-9.475053,-0.30107087,-2.034473
104,1436183318175,-9.604341,-0.3274071,-2.119467
105,1436183318196,-9.603742,-0.15083471,-2.147599
106,1436183318218,-9.452907,-0.15622166,-2.0159178
107,1436183318236,-9.401431,-0.1448492,-2.0135236
108,1436183318254,-9.445126,-0.17357962,-2.0189106
109,1436183318281,-9.379285,-0.12868834,-2.0081367
110,1436183318311,-9.272144,-0.13227965,-2.006341
111,1436183318313,-9.276335,-0.1340753,-1.9393034
112,1436183318336,-9.326612,-0.11911154,-1.8830396
113,1436183318355,-9.486425,-0.11133038,-1.9201498
114,1436183318376,-9.622296,-0.1340753,-1.9243397
115,1436183318396,-9.58818,-0.11851298,-2.0207062
116,1436183318415,-9.370906,-0.09935937,-2.0290859
117,1436183318434,-9.305065,-0.11312603,-1.9363106
118,1436183318454,-9.461885,-0.11552023,-1.9428947
119,1436183318475,-9.576208,-0.12509704,-2.0362685
120,1436183318498,-9.578603,-0.12150574,-2.0153193
121,1436183318515,-9.457695,-0.1364695,-1.9428947
122,1436183318538,-9.324219,-0.12030864,-1.9081788
123,1436183318556,-9.3260145,-0.09816227,-1.9710265
124,1436183318580,-9.446322,-0.05925649,-2.0266917
125,1436183318600,-9.5492735,-0.037708677,-2.0213048
126,1436183318620,-9.523536,-0.03172317,-1.9979613
127,1436183318639,-9.39365,-0.023942016,-1.9375077
128,1436183318654,-9.371504,-0.026934769,-1.9033904
129,1436183318675,-9.401431,-0.026934769,-1.9027919
130,1436183318695,-9.417592,-0.02633622,-1.910573
131,1436183318717,-9.371504,-0.049679685,-1.9369092
132,1436183318739,-9.398438,-0.039504327,-1.9506758
133,1436183318781,-9.46009,-0.035913024,-1.9818004
134,1436183318782,-9.51336,0.006584055,-2.0242975
135,1436183318804,-9.5013895,-0.021547815,-2.046444
136,1436183318832,-9.44752,-0.020350715,-1.9818004
137,1436183318835,-9.4457245,-0.04249708,-1.9835961
138,1436183318855,-9.450513,-0.020350715,-1.9494787
139,1436183318877,-9.467871,-0.02932897,-1.9219455
140,1436183318895,-9.44333,-0.06943185,-1.9363106
141,1436183318917,-9.427768,-0.11971009,-1.9554642
142,1436183318938,-9.428965,-0.09995792,-1.9434932
143,1436183318957,-9.401431,-0.091578215,-1.9153614
144,1436183318978,-9.394848,-0.08439561,-1.8908207
145,1436183318995,-9.472659,-0.08080431,-1.9512744
146,1436183319016,-9.576807,-0.093972415,-2.0003555
147,1436183319035,-9.497798,-0.094570965,-1.9608512
148,1436183319055,-9.3822775,-0.08080431,-1.9297266
149,1436183319080,-9.398438,-0.027533319,-1.9680338
150,1436183319102,-9.510966,-0.009576807,-2.0925324
151,1436183319121,-9.52174,-0.048482586,-2.1577742
152,1436183319138,-9.433155,-0.0688333,-2.0069396
153,1436183319155,-9.384672,-0.065242,-1.91596
154,1436183319175,-9.3499565,-0.077811554,-1.8926164
155,1436183319195,-9.363723,-0.08259996,-1.8716671
156,1436183319225,-9.403227,-0.11492168,-1.8602947
157,1436183319286,-9.458294,-0.12330139,-1.8369513
158,1436183319287,-9.464878,-0.108337626,-1.822586
159,1436183319288,-9.425972,-0.016759412,-1.8740613
160,1436183319316,-9.451111,-0.005985504,-1.8746599
161,1436183319318,-9.451111,-0.08678981,-1.9147629
162,1436183319358,-9.415796,-0.15682021,-1.9919758
163,1436183319359,-9.411008,-0.17357962,-1.9674352
164,1436183319382,-9.436746,-0.11312603,-1.9375077
165,1436183319396,-9.49301,-0.08020575,-1.9285295
166,1436183319442,-9.540894,-0.074220255,-1.9692309
167,1436183319443,-9.509171,-0.10295067,-1.9524715
168,1436183319457,-9.470863,-0.14425065,-1.9560628
169,1436183319480,-9.378687,-0.14425065,-1.9267339
170,1436183319498,-9.39365,-0.10534488,-1.934515
171,1436183319521,-9.478046,-0.10594343,-1.9728222
172,1436183319540,-9.507375,-0.15682021,-2.0009542
173,1436183319560,-9.46847,-0.16519992,-2.0003555
174,1436183319579,-9.403826,-0.17597382,-1.9566613
175,1436183319596,-9.396643,-0.1400608,-1.929128
176,1436183319615,-9.467272,-0.08200141,-1.9752164
