id,attr_time,attr_x,attr_y,attr_z
1,1438346754002,-8.482059,4.6950297,-1.4838065
2,1438346754019,-8.450933,4.673482,-1.4496891
3,1438346754040,-8.522161,4.6495395,-1.4371196
4,1438346754060,-8.461707,4.644751,-1.4526819
5,1438346754083,-8.485051,4.657321,-1.4694413
6,1438346754099,-8.511986,4.675876,-1.4664485
7,1438346754173,-8.501212,4.669292,-1.4664485
8,1438346754174,-8.482059,4.678869,-1.4616601
9,1438346754175,-8.470686,4.673482,-1.4496891
10,1438346754190,-8.448539,4.7040076,-1.4790181
11,1438346754223,-8.453926,4.6884456,-1.42455
12,1438346754224,-8.455722,4.694431,-1.4700398
13,1438346754260,-8.47727,4.705205,-1.4652514
14,1438346754261,-8.416218,4.696825,-1.4640543
15,1438346754279,-8.511986,4.7141833,-1.496376
16,1438346754313,-8.548497,4.684854,-1.4915876
17,1438346754322,-8.462905,4.6962266,-1.4610616
18,1438346754346,-8.511986,4.650737,-1.4670471
19,1438346754359,-8.458116,4.6722846,-1.4407109
20,1438346754381,-8.449737,4.642357,-1.4065934
21,1438346754403,-8.491036,4.630985,-1.4161704
22,1438346754423,-8.444948,4.650737,-1.4131776
23,1438346754442,-8.455722,4.63697,-1.4383167
24,1438346754463,-8.479664,4.6279917,-1.4359225
25,1438346754483,-8.492832,4.6441526,-1.4628572
26,1438346754503,-8.555679,4.595072,-1.4981717
27,1438346754522,-8.495226,4.5902834,-1.4814123
28,1438346754542,-8.576031,4.574721,-1.4646529
29,1438346754564,-8.495226,4.590882,-1.4676456
30,1438346754580,-8.469488,4.5801077,-1.429937
31,1438346754603,-8.497022,4.5777135,-1.4311341
32,1438346754621,-8.509591,4.581305,-1.4221559
33,1438346754642,-8.472482,4.607043,-1.4227544
34,1438346754660,-8.476072,4.6112323,-1.4556746
35,1438346754685,-8.477868,4.629189,-1.4796166
36,1438346754701,-8.478467,4.6363716,-1.4580688
37,1438346754726,-8.486248,4.6273932,-1.4718355
38,1438346754743,-8.49343,4.6022544,-1.4700398
39,1438346754761,-8.5060005,4.602853,-1.4670471
40,1438346754781,-8.491635,4.5992613,-1.4802152
41,1438346754802,-8.464102,4.584896,-1.4580688
42,1438346754824,-8.496424,4.607641,-1.5005659
43,1438346754841,-8.484452,4.6220064,-1.5221137
44,1438346754914,-8.449737,4.6255975,-1.5191209
45,1438346754915,-8.566454,4.617218,-1.5765818
46,1438346754916,-8.528745,4.613028,-1.5795746
47,1438346754923,-8.452729,4.608838,-1.5298948
48,1438346754941,-8.498817,4.6285906,-1.5508442
49,1438346754961,-8.458116,4.614824,-1.5292963
50,1438346755003,-8.459911,4.621408,-1.5460558
51,1438346755004,-8.450335,4.6040497,-1.5185224
52,1438346755022,-8.4234,4.6004586,-1.5292963
53,1438346755041,-8.4425535,4.621408,-1.5616181
54,1438346755062,-8.506598,4.587889,-1.6005238
55,1438346755083,-8.512584,4.6519337,-1.6418238
56,1438346755104,-8.550293,4.594473,-1.6687586
57,1438346755121,-8.485649,4.630985,-1.6651673
58,1438346755143,-8.590396,4.5938745,-1.6436194
59,1438346755164,-8.492233,4.6058455,-1.6035166
60,1438346755183,-8.513782,4.5801077,-1.578976
61,1438346755203,-8.508993,4.589086,-1.5759833
62,1438346755224,-8.495825,4.569334,-1.553837
63,1438346755244,-8.492233,4.581305,-1.555034
64,1438346755264,-8.480263,4.590882,-1.5454572
65,1438346755282,-8.450335,4.6046486,-1.5352819
66,1438346755302,-8.471284,4.5980644,-1.555034
67,1438346755324,-8.479065,4.618415,-1.5167267
68,1438346755341,-8.449138,4.6459484,-1.572392
69,1438346755363,-8.483255,4.6459484,-1.5873557
70,1438346755382,-8.505402,4.669292,-1.6238673
71,1438346755404,-8.503606,4.646547,-1.6262615
72,1438346755424,-8.582016,4.6621094,-1.7280151
73,1438346755441,-8.684368,4.629189,-1.7585411
74,1438346755464,-8.634688,4.51726,-1.7549498
75,1438346755483,-8.789713,4.473566,-1.8614918
76,1438346755504,-8.911219,4.248511,-1.869273
77,1438346755523,-8.674192,4.19105,-1.8525136
78,1438346755542,-8.731653,4.1012673,-1.8207904
79,1438346755633,-9.0554695,3.7978024,-1.6938977
80,1438346755634,-9.091981,3.4560301,-1.702876
81,1438346755635,-8.74961,3.4326868,-1.8405426
82,1438346755636,-8.417415,3.4877534,-1.9961656
83,1438346755644,-8.7532015,3.429694,-2.019509
84,1438346755662,-8.896255,3.4153287,-2.2104468
85,1438346755685,-8.672397,3.6804867,-2.4247277
86,1438346755705,-8.215105,4.1653123,-2.581548
87,1438346755721,-8.21271,4.56275,-2.6300306
88,1438346755744,-8.279149,4.7758336,-2.6623523
89,1438346755761,-7.9984293,5.09127,-2.5312698
90,1438346755783,-7.81647,5.319318,-2.3870192
91,1438346755803,-7.60997,5.7377043,-2.1517887
92,1438346755824,-7.315483,6.0082493,-1.9931729
93,1438346755844,-7.1311297,6.223129,-1.763928
94,1438346755861,-7.1371155,6.341642,-1.6124948
95,1438346755883,-7.203554,6.52001,-1.5867572
96,1438346755904,-7.12694,6.646304,-1.5652094
97,1438346755924,-7.0994067,6.5601125,-1.5400703
98,1438346755944,-7.2005615,6.4697313,-1.5903485
99,1438346755964,-7.313688,6.143522,-1.5945383
100,1438346755985,-7.726089,5.73531,-1.6597804
101,1438346756004,-7.8086886,5.3115363,-1.6567876
102,1438346756026,-7.466318,5.1571107,-1.79206
103,1438346756043,-7.0036387,5.1756654,-1.9686323
104,1438346756065,-7.2149267,5.294777,-2.1206641
105,1438346756083,-7.5124063,5.4683566,-2.2397757
106,1438346756104,-6.827665,5.8005524,-2.3145945
107,1438346756123,-6.805518,6.069301,-2.4504654
108,1438346756145,-6.7522473,6.455965,-2.2786815
109,1438346756167,-5.819107,7.6404963,-2.2984335
110,1438346756186,-5.527613,8.491036,-2.360683
111,1438346756204,-5.557541,8.755595,-2.27928
112,1438346756222,-5.7790046,8.837597,-2.3116016
113,1438346756242,-5.6425347,8.706514,-2.27928
114,1438346756263,-5.4857144,8.428787,-2.2026656
115,1438346756294,-5.6856303,7.8853035,-2.0883424
116,1438346756364,-5.8586116,7.2203135,-1.9500773
117,1438346756365,-5.7365074,6.5146227,-2.0009542
118,1438346756366,-5.367202,6.029797,-2.142212
119,1438346756367,-5.436035,5.866991,-2.2140381
120,1438346756382,-5.8693852,6.3033347,-2.349909
121,1438346756405,-6.3829417,6.969521,-2.4115596
122,1438346756422,-6.3141084,7.4429746,-2.319383
123,1438346756442,-5.931635,7.8811135,-2.1643584
124,1438346756477,-5.415086,8.264186,-1.9416976
125,1438346756482,-5.629367,8.938153,-1.8543092
126,1438346756502,-5.8484364,9.320028,-1.721431
127,1438346756523,-5.752668,9.677363,-1.4257472
128,1438346756545,-4.9200845,9.994595,-1.22224
129,1438346756565,-4.891354,9.588778,-0.7308301
130,1438346756583,-6.397307,8.314464,-0.14784196
131,1438346756605,-6.6002154,7.4208283,0.3196259
132,1438346756625,-5.571906,6.7342906,0.4985925
133,1438346756645,-5.571307,6.3607955,0.8050503
134,1438346756665,-6.030994,6.4164605,0.7170634
135,1438346756685,-6.0250087,6.3458314,0.7769185
136,1438346756708,-5.5246205,6.3619924,0.6679823
137,1438346756724,-5.671265,6.5098343,0.45370123
138,1438346756748,-6.0501475,6.749853,0.30765492
139,1438346756773,-6.541558,7.1125746,0.0053869537
140,1438346756782,-6.4601545,7.3005195,-0.061650693
141,1438346756802,-5.9244523,7.597999,-0.13347675
142,1438346756822,-5.3648076,8.050503,-0.31663316
143,1438346756842,-5.9531827,8.228871,-0.22146365
144,1438346756863,-6.1638722,8.632893,-0.23822308
145,1438346756886,-5.6443305,9.045294,-0.219668
146,1438346756903,-5.717354,9.211093,-0.15143326
147,1438346756928,-6.0226145,9.246407,-0.12150574
148,1438346756943,-5.3247046,9.539098,-0.22565351
149,1438346756969,-4.955399,9.734824,-0.34955344
150,1438346756983,-5.719149,9.446322,-0.2645593
151,1438346757096,-5.527613,9.482236,-0.3369839
152,1438346757097,-4.9518075,9.389461,-0.43514615
153,1438346757098,-5.5264163,8.878897,-0.37828386
154,1438346757099,-6.1638722,8.297705,-0.28790274
155,1438346757100,-6.0561333,7.757812,-0.3226187
156,1438346757109,-5.687426,7.3992805,-0.37110126
157,1438346757122,-6.173449,7.2448545,-0.51355624
158,1438346757143,-6.0806737,7.4016747,-0.5117606
159,1438346757207,-5.405509,7.6704235,-0.50278234
160,1438346757208,-6.1279593,7.6889787,-0.6572084
161,1438346757209,-7.514202,7.33763,-1.0121487
162,1438346757223,-5.48332,7.445369,-1.2186487
163,1438346757257,-3.8109705,7.793725,-1.4862007
164,1438346757263,-5.9250507,7.6560583,-1.7729063
165,1438346757284,-6.872556,7.607576,-2.067393
166,1438346757302,-6.294955,7.7637978,-2.0709844
167,1438346757322,-6.569091,7.7201033,-2.0775685
168,1438346757342,-6.881534,7.409456,-1.9847932
169,1438346757362,-7.107786,7.2245035,-1.7992426
170,1438346757382,-7.177817,7.187992,-1.9063832
171,1438346757402,-6.937798,7.5333557,-1.9913772
