id,attr_time,attr_x,attr_y,attr_z
1,1438346754018,-0.12712635,-0.10538751,-0.0310479
2,1438346754039,-0.13567847,-0.1090527,-0.04204347
3,1438346754059,-0.1323187,-0.11882655,-0.04906842
4,1438346754082,-0.12682092,-0.11241247,-0.053955346
5,1438346754098,-0.12376659,-0.11332876,-0.05700967
6,1438346754169,-0.12743178,-0.122797176,-0.051817317
7,1438346754170,-0.13628933,-0.11882655,-0.046930395
8,1438346754171,-0.13659476,-0.11913198,-0.04173804
9,1438346754183,-0.14331427,-0.117299385,-0.0441815
10,1438346754203,-0.14056538,-0.12218631,-0.043876067
11,1438346754224,-0.1323187,-0.11668852,-0.051511884
12,1438346754255,-0.1341513,-0.11119074,-0.057315104
13,1438346754261,-0.13690019,-0.1136342,-0.055177074
14,1438346754278,-0.1350676,-0.10966357,-0.05945313
15,1438346754302,-0.13659476,-0.10722011,-0.07075414
16,1438346754321,-0.13781649,-0.10599838,-0.06922697
17,1438346754341,-0.13354044,-0.111496165,-0.071670435
18,1438346754359,-0.13659476,-0.12371347,-0.07808452
19,1438346754380,-0.13567847,-0.13196015,-0.06892154
20,1438346754402,-0.13201328,-0.123102605,-0.06708895
21,1438346754422,-0.13323501,-0.12829496,-0.06739438
22,1438346754441,-0.13567847,-0.11791025,-0.0731976
23,1438346754462,-0.13659476,-0.1127179,-0.07777909
24,1438346754482,-0.13628933,-0.109969005,-0.075946495
25,1438346754502,-0.1454523,-0.10386035,-0.07655736
26,1438346754521,-0.15186639,-0.097140834,-0.070448704
27,1438346754542,-0.15797505,-0.08950502,-0.064645484
28,1438346754562,-0.15675332,-0.092559345,-0.06159116
29,1438346754579,-0.15889135,-0.09744626,-0.053955346
30,1438346754602,-0.15247726,-0.09561367,-0.05364991
31,1438346754619,-0.14667404,-0.0977517,-0.049679287
32,1438346754641,-0.14972836,-0.10294405,-0.044792365
33,1438346754659,-0.14148168,-0.10080603,-0.0432652
34,1438346754684,-0.13537303,-0.09897342,-0.05120645
35,1438346754699,-0.13445674,-0.104471214,-0.058536835
36,1438346754725,-0.13842736,-0.0977517,-0.061285727
37,1438346754742,-0.14056538,-0.09378107,-0.06647808
38,1438346754759,-0.14667404,-0.088588715,-0.049679287
39,1438346754780,-0.14484145,-0.08950502,-0.05334448
40,1438346754800,-0.14667404,-0.09317021,-0.04998472
41,1438346754824,-0.14148168,-0.09225391,-0.05792597
42,1438346754840,-0.13109697,-0.088283285,-0.06159116
43,1438346754896,-0.12651548,-0.08919959,-0.04998472
44,1438346754897,-0.12987524,-0.08919959,-0.055177074
45,1438346754915,-0.12956981,-0.09164305,-0.057315104
46,1438346754922,-0.13384587,-0.088588715,-0.04784669
47,1438346754940,-0.13292956,-0.09439194,-0.049373858
48,1438346754960,-0.1323187,-0.111801594,-0.048152126
49,1438346754979,-0.12895894,-0.111801594,-0.053039044
50,1438346755017,-0.12437746,-0.10538751,-0.052428182
51,1438346755021,-0.121934,-0.10508208,-0.05487164
52,1438346755040,-0.11613078,-0.10233319,-0.056704238
53,1438346755061,-0.11399275,-0.100195155,-0.06525635
54,1438346755083,-0.121017694,-0.09927886,-0.056398805
55,1438346755103,-0.12651548,-0.097140834,-0.055177074
56,1438346755120,-0.1323187,-0.09530824,-0.054260775
57,1438346755142,-0.1454523,-0.094086505,-0.046930395
58,1438346755163,-0.14423057,-0.10172232,-0.048152126
59,1438346755183,-0.14972836,-0.11821568,-0.044486932
60,1438346755202,-0.13751106,-0.1258515,-0.049679287
61,1438346755223,-0.13903822,-0.13562535,-0.04754126
62,1438346755243,-0.12804265,-0.13806881,-0.041432604
63,1438346755263,-0.12559919,-0.14051226,-0.04173804
64,1438346755280,-0.12498832,-0.13440362,-0.04204347
65,1438346755301,-0.122239426,-0.13104385,-0.043876067
66,1438346755323,-0.12285029,-0.1362362,-0.042654335
67,1438346755340,-0.12651548,-0.13287646,-0.0432652
68,1438346755362,-0.13262413,-0.12615693,-0.045097798
69,1438346755381,-0.13476217,-0.11516136,-0.045097798
70,1438346755403,-0.14423057,-0.116077654,-0.044486932
71,1438346755423,-0.14759034,-0.11210703,-0.04784669
72,1438346755440,-0.15430985,-0.11455049,-0.050901018
73,1438346755463,-0.15736417,-0.12951669,-0.052733615
74,1438346755482,-0.14850664,-0.16036539,-0.046014097
75,1438346755503,-0.12590462,-0.19090864,-0.037767418
76,1438346755522,-0.086198375,-0.24955171,-0.004780695
77,1438346755540,-0.022362962,-0.30239156,0.012934402
78,1438346755562,0.049108267,-0.37264106,0.02942776
79,1438346755634,0.16975415,-0.42884064,0.08012957
80,1438346755635,0.34568334,-0.5119183,0.15648773
81,1438346755636,0.48251718,-0.6059916,0.25208813
82,1438346755644,0.63340086,-0.65058476,0.30462256
83,1438346755661,0.7906987,-0.6631075,0.37975898
84,1438346755684,0.94341505,-0.690291,0.49796137
85,1438346755704,1.0564251,-0.7474069,0.6033357
86,1438346755720,1.1153736,-0.7813099,0.6625896
87,1438346755743,1.1358376,-0.8118532,0.66991997
88,1438346755760,1.1352267,-0.84453446,0.7010741
89,1438346755781,1.1083486,-0.8744669,0.7343663
90,1438346755802,1.0658935,-0.9037884,0.73894775
91,1438346755823,1.0176351,-0.91539484,0.7343663
92,1438346755843,0.97029305,-0.89890146,0.7093208
93,1438346755860,0.89912724,-0.8680528,0.6442636
94,1438346755882,0.83284837,-0.81521297,0.57798475
95,1438346755903,0.7561848,-0.7605405,0.540722
96,1438346755923,0.67096907,-0.692429,0.49551794
97,1438346755943,0.61507493,-0.6389783,0.44787046
98,1438346755963,0.54757434,-0.59743947,0.4081642
99,1438346755984,0.5100061,-0.55590063,0.38678393
100,1438346756004,0.51153326,-0.5555952,0.40449902
101,1438346756024,0.54604715,-0.59194165,0.47413763
102,1438346756042,0.58330995,-0.62737185,0.5361405
103,1438346756064,0.6196564,-0.6420326,0.6024194
104,1438346756082,0.6425639,-0.6527228,0.6592299
105,1438346756104,0.6605844,-0.6566934,0.79514736
106,1438346756122,0.68288094,-0.6591369,0.8745599
107,1438346756144,0.69051677,-0.6741031,0.8788359
108,1438346756166,0.68562984,-0.69945395,0.9142661
109,1438346756185,0.6691365,-0.7345787,0.8403514
110,1438346756204,0.61935097,-0.75076663,0.6809156
111,1438346756221,0.54421455,-0.75259924,0.538584
112,1438346756241,0.48099,-0.7251103,0.47047248
113,1438346756262,0.38264072,-0.6753248,0.42190868
114,1438346756289,0.286124,-0.6249284,0.35776782
115,1438346756358,0.21068212,-0.5894982,0.2948487
116,1438346756361,0.17219761,-0.55926037,0.22582093
117,1438346756362,0.15356624,-0.5198596,0.1775626
118,1438346756363,0.1260773,-0.4948141,0.11281087
119,1438346756381,0.07598634,-0.4645763,0.07493722
120,1438346756404,0.014594391,-0.4236483,0.12716621
121,1438346756421,-0.052600794,-0.36103463,0.20841128
122,1438346756441,-0.09566679,-0.3338511,0.2472012
123,1438346756462,-0.15186639,-0.34667927,0.19039074
124,1438346756481,-0.21020402,-0.4260918,0.06516338
125,1438346756501,-0.26182213,-0.54398876,-0.027077273
126,1438346756522,-0.2813698,-0.6557771,-0.11290384
127,1438346756544,-0.2746503,-0.8042174,-0.21216944
128,1438346756564,-0.29847407,-0.91722745,-0.28791672
129,1438346756582,-0.3186326,-0.9233361,-0.4122278
130,1438346756604,-0.27190143,-0.87629944,-0.42108536
131,1438346756624,-0.17263581,-0.86591476,-0.3202926
132,1438346756644,-0.08528208,-0.873856,-0.32823384
133,1438346756664,0.045748517,-0.9242524,-0.33617508
134,1438346756684,0.15784228,-0.94929785,-0.28180808
135,1438346756707,0.24916664,-0.928223,-0.1620785
136,1438346756723,0.32430306,-0.8576681,-0.09977023
137,1438346756747,0.37072885,-0.77520126,-0.06739438
138,1438346756772,0.41562742,-0.72419405,0.034314685
139,1438346756781,0.4464761,-0.6548608,0.12502816
140,1438346756801,0.47029984,-0.5910254,0.19833198
141,1438346756821,0.48770952,-0.583695,0.23376217
142,1438346756841,0.4828226,-0.5690342,0.18153322
143,1438346756862,0.4843498,-0.5827787,0.14610302
144,1438346756885,0.47976828,-0.59438515,0.21940684
145,1438346756902,0.47701937,-0.59285796,0.24659035
146,1438346756924,0.48343349,-0.6001884,0.20932758
147,1438346756943,0.49351275,-0.63378596,0.21513078
