id,attr_time,attr_x,attr_y,attr_z
1,1436281189215,-0.93732995,9.975441,1.9698294
2,1436281189216,-0.93732995,10.002377,1.9632454
3,1436281189228,-0.91697925,9.997588,2.0254946
4,1436281189237,-0.9403227,9.9712515,2.007538
5,1436281189258,-0.9684546,9.952697,1.9812019
6,1436281189279,-0.95468795,9.949704,1.982399
7,1436281189297,-0.94331545,9.952697,1.9949685
8,1436281189319,-0.9247604,9.968858,1.9895816
9,1436281189338,-0.87807345,10.026319,1.9339164
10,1436281189358,-0.90381116,10.045472,1.9776106
11,1436281189379,-0.919972,9.995792,2.006341
12,1436281189398,-0.985214,9.957485,2.0242975
13,1436281189418,-0.91578215,9.89763,2.0626047
14,1436281189439,-0.8511387,9.9550905,2.0135236
15,1436281189460,-0.8319851,10.010158,1.9740193
16,1436281189479,-0.83737206,9.99639,1.9740193
17,1436281189501,-0.8583213,10.017939,1.9560628
18,1436281189520,-0.9744401,9.978435,1.9303252
19,1436281189539,-0.99658644,9.929353,1.9674352
20,1436281189560,-0.9463082,9.959281,1.9931729
21,1436281189579,-0.90620536,10.027515,2.0590134
22,1436281189600,-0.85413146,10.061633,2.0817583
23,1436281189619,-0.8972271,9.983223,2.030283
24,1436281189640,-0.9498995,9.950302,1.9632454
25,1436281189660,-0.9660604,9.940725,1.9303252
26,1436281189681,-0.9032126,9.919178,2.0201077
27,1436281189701,-0.86729956,9.949105,2.0266917
28,1436281189720,-0.89423436,9.974843,1.9859903
29,1436281189740,-0.93732995,9.968858,1.9835961
30,1436281189759,-0.93613285,9.986814,2.0231004
31,1436281189781,-0.92895025,9.952098,2.0296845
32,1436281189801,-0.9451111,9.983821,1.9482816
33,1436281189821,-0.94690675,9.988609,1.9387048
34,1436281189841,-0.91817635,9.983821,1.9806033
35,1436281189858,-0.9235633,9.946711,2.0165164
36,1436281189887,-0.943914,9.946711,1.982399
37,1436281189952,-0.9487024,9.955689,1.9925743
38,1436281189953,-0.91338795,9.967062,2.0284874
39,1436281189954,-0.878672,10.016143,2.0416555
40,1436281189961,-0.87567925,10.033501,2.005144
41,1436281189978,-0.84335756,9.994595,2.007538
42,1436281189998,-0.8726865,9.962872,1.9883845
43,1436281190017,-0.95947635,9.930551,1.9674352
44,1436281190039,-1.027711,9.933543,1.9339164
45,1436281190059,-0.97623575,9.9790325,1.9369092
46,1436281190083,-0.89184016,10.040085,2.022502
47,1436281190098,-0.86251116,10.02153,2.0362685
48,1436281190121,-0.9379285,10.018537,2.0153193
49,1436281190144,-0.9187749,9.959879,2.0242975
50,1436281190161,-0.8619126,9.913192,2.0009542
51,1436281190181,-0.8798691,9.938332,1.9806033
52,1436281190202,-0.89603,9.976639,1.9488802
53,1436281190220,-0.8810662,9.993398,1.9458874
54,1436281190240,-0.89902276,9.993398,1.9722236
55,1436281190262,-0.9564836,10.003573,2.0021513
56,1436281190280,-0.96905315,10.01734,2.0027497
57,1436281190301,-0.98700964,10.02572,2.011728
58,1436281190320,-0.94930094,10.014946,2.0087352
59,1436281190341,-0.8996213,9.980828,2.007538
60,1436281190362,-0.89064306,9.916783,2.0015526
61,1436281190378,-0.9367314,9.961076,1.9554642
62,1436281190399,-0.943914,9.969456,1.9488802
63,1436281190418,-0.8912416,9.956886,2.018312
64,1436281190440,-0.9020155,9.967062,2.0278888
65,1436281190459,-0.9504981,9.986814,1.9871874
66,1436281190481,-0.9768343,9.992201,1.9728222
67,1436281190501,-0.97743285,9.9951935,1.9674352
68,1436281190519,-0.93254155,9.983821,1.9764135
69,1436281190540,-0.87567925,9.947908,2.0009542
70,1436281190561,-0.8619126,9.953894,2.0308816
71,1436281190581,-0.91578215,9.964667,1.9919758
72,1436281190667,-0.9451111,9.997588,1.9794062
73,1436281190668,-0.92895025,10.010756,1.9913772
74,1436281190669,-0.91338795,10.005369,2.0248961
75,1436281190670,-0.92775315,9.989806,2.0248961
76,1436281190678,-0.94451255,9.988011,1.982399
77,1436281190698,-0.93373865,9.991004,1.9847932
78,1436281190719,-0.931943,9.977836,1.9716251
79,1436281190738,-0.9103952,9.953295,1.963844
80,1436281190758,-0.91099375,9.946113,1.9668367
81,1436281190782,-0.9115923,9.986814,2.007538
82,1436281190798,-0.88286185,10.011953,2.0266917
83,1436281190821,-0.88944596,10.033501,2.0003555
84,1436281190839,-0.99419224,10.020332,1.9919758
85,1436281190859,-1.0097545,9.99639,2.0207062
86,1436281190884,-0.95708215,9.97604,2.0602105
87,1436281190902,-0.86370826,9.916184,2.0655975
88,1436281190922,-0.8631097,9.96347,2.0039468
89,1436281190941,-0.85652566,9.997588,1.9764135
90,1436281190961,-0.8619126,9.973047,2.0171149
91,1436281190982,-0.94211835,9.965266,1.9740193
92,1436281191002,-1.0001777,9.96347,1.9728222
93,1436281191019,-0.96306765,9.986216,2.0111294
94,1436281191039,-0.89782566,10.00477,2.0320787
95,1436281191059,-0.9528923,9.99639,2.0219033
96,1436281191083,-1.01574,10.016742,1.982399
97,1436281191099,-0.98461545,9.914988,2.0153193
98,1436281191119,-0.9247604,9.886856,2.0284874
99,1436281191139,-0.92416185,9.929353,1.9668367
100,1436281191159,-0.908001,10.016742,1.9632454
101,1436281191180,-0.90261406,9.983223,2.0416555
102,1436281191199,-0.99898064,9.955689,2.043451
103,1436281191219,-1.0235212,9.950901,2.0003555
104,1436281191240,-0.98820674,9.97604,1.9788077
105,1436281191259,-0.9415198,10.013748,1.9877859
106,1436281191279,-0.92057055,10.0341,2.0111294
107,1436281191299,-0.9552865,10.006566,1.9758149
108,1436281191319,-0.98820674,9.961675,1.9782091
109,1436281191339,-1.0049661,9.941324,1.9961656
110,1436281191359,-0.9744401,9.959281,1.99437
111,1436281191387,-0.9451111,9.97604,1.9901801
