id,attr_time,attr_x,attr_y,attr_z
1,1436281189209,9.768343,-0.56982,1.0881647
2,1436281189229,9.920375,-0.75836337,1.1522095
3,1436281189251,10.005369,-0.8463503,1.1773487
4,1436281189268,10.08737,-0.84455466,1.1647792
5,1436281189290,9.991004,-0.6123171,1.0761937
6,1436281189309,9.786898,-0.39683893,0.9935937
7,1436281189329,9.669582,-0.47225627,1.043872
8,1436281189351,9.694721,-0.5931635,1.1677719
9,1436281189369,9.642049,-0.7194576,1.1546037
10,1436281189390,9.532514,-0.7332243,1.0630256
11,1436281189408,9.655815,-0.7015011,0.82599956
12,1436281189430,9.900622,-0.7715315,0.8355764
13,1436281189449,9.881469,-0.74758947,0.9552865
14,1436281189470,9.694721,-0.63087213,1.0319009
15,1436281189490,9.770737,-0.6242881,1.0301052
16,1436281189508,10.024523,-0.6464345,0.92416185
17,1436281189531,10.032304,-0.504578,0.6937199
18,1436281189579,9.846753,-0.34835634,0.44352585
19,1436281189580,9.682152,-0.045489833,0.31004912
20,1436281189588,9.289502,0.17597382,0.29149407
21,1436281189607,9.527127,0.3298013,0.3309984
22,1436281189628,10.119692,0.49200845,0.12090719
23,1436281189647,10.203489,0.7392098,-0.26874915
24,1436281189668,10.017939,1.0714053,-0.36511576
25,1436281189687,10.01315,1.1031284,0.7769185
26,1436281189708,10.4967785,0.6631939,1.7351977
27,1436281189728,11.133038,0.1316811,1.9847932
28,1436281189748,11.240178,-0.11731588,2.1637597
29,1436281189769,10.967239,0.079008654,1.8267759
30,1436281189790,10.196905,0.6374562,1.4281414
31,1436281189809,9.645041,1.1192893,0.85173726
32,1436281189830,9.224859,1.234211,0.5153519
33,1436281189850,9.269751,1.0444705,0.40282443
34,1436281189869,9.549872,0.8206126,0.48722005
35,1436281189890,10.043676,0.5093664,0.59376204
36,1436281189916,9.935339,0.9367314,0.41180268
37,1436281189931,9.682152,1.5316905,0.40880993
38,1436281189950,9.69951,1.3401544,0.79128367
39,1436281189970,9.378687,1.1701661,0.6895301
40,1436281189988,9.306861,1.4616601,0.7134721
41,1436281190008,9.42238,1.1899183,0.7206547
42,1436281190030,9.533711,0.80205756,0.6907272
43,1436281190050,9.94312,0.21667525,1.1701661
44,1436281190070,10.3770685,-0.1340753,1.1306617
45,1436281190090,10.726024,0.25977087,0.76315176
46,1436281190111,10.931327,1.0791864,0.47465047
47,1436281190130,11.216236,1.7142484,0.94570965
48,1436281190151,11.097723,1.87047,1.8154035
49,1436281190171,11.0935335,1.927931,1.447295
50,1436281190191,12.178705,3.198055,-0.7679402
51,1436281190211,15.330073,4.975151,-2.574964
52,1436281190231,18.330008,2.5198972,-1.2324153
53,1436281190248,17.293917,-4.7961845,-1.2611457
54,1436281190268,11.672931,-8.008006,-3.7606924
55,1436281190343,6.740875,-3.8031895,-4.577115
56,1436281190349,6.892308,1.0079589,-2.6144683
57,1436281190350,9.25359,1.887828,-1.3054385
58,1436281190351,11.235989,1.1755531,-1.7190368
59,1436281190370,10.884041,-0.054468088,-1.0486604
60,1436281190391,8.664616,-1.905186,-0.9660604
61,1436281190408,7.314286,-2.463035,-1.3090298
62,1436281190432,7.61416,-1.7130513,-1.2791022
63,1436281190459,7.7877398,-1.2372037,-1.1474211
64,1436281190468,7.7039423,-1.1408371,-0.96426475
65,1436281190495,7.4854717,-0.98461545,-0.7026982
66,1436281190509,7.169437,-0.6967127,-0.50757074
67,1436281190530,6.6804214,-0.58777654,-0.93972415
68,1436281190551,6.761824,-0.9816227,-1.448492
69,1436281190571,6.8402343,-2.0039468,-1.1432313
70,1436281190591,7.445967,-2.0308816,-0.79248077
71,1436281190611,8.686762,-1.8698715,-0.53929394
72,1436281190630,9.935339,-2.0039468,-0.49679685
73,1436281190651,10.2974615,-2.5091233,-0.18195933
74,1436281190671,10.264542,-2.6844985,0.20051439
75,1436281190691,11.143812,-1.4652514,0.36631286
76,1436281190711,13.061567,-0.5201403,0.7350199
77,1436281190731,15.683218,-0.95468795,0.44113165
78,1436281190751,15.77719,-1.0684125,-0.6326678
79,1436281190771,14.446014,-0.6799533,-1.1013328
80,1436281190790,11.675324,-2.124854,-2.2762873
81,1436281190811,13.017275,-5.4551888,-3.9881415
82,1436281190832,17.274763,-4.7159786,-5.8825536
83,1436281190852,17.193361,1.2180501,-4.9733553
84,1436281190872,9.886856,4.722563,-1.1444284
85,1436281190898,5.3438582,1.9135658,-1.027711
86,1436281190908,7.3609734,-3.25372,-1.2617443
87,1436281190930,10.172364,-5.5641246,-0.8050503
88,1436281190950,9.797073,-3.3153708,-1.1192893
89,1436281190970,7.703344,-0.10115502,-1.0929531
90,1436281190989,6.785766,1.2922704,-0.6937199
91,1436281191074,6.803124,1.2958617,-1.459266
92,1436281191075,6.3422403,0.31783026,-1.7830818
93,1436281191076,6.3901243,-1.158195,-0.85772276
94,1436281191077,6.4631476,-1.6891093,-0.3357868
95,1436281191089,6.5086374,-1.8207904,-0.17836803
96,1436281191112,6.3045316,-0.45130703,-0.2717419
97,1436281191150,6.819285,1.2599486,-0.37229836
98,1436281191151,7.3466077,1.3587095,-0.1352724
99,1436281191173,8.330027,0.45729253,0.39205053
100,1436281191192,9.825205,-0.30166942,0.84694886
101,1436281191214,10.86788,-0.12749124,0.6362591
102,1436281191230,10.589554,0.3800795,0.2741361
103,1436281191250,10.158598,-0.073621705,1.3575124
104,1436281191269,11.419744,-0.74519527,2.2756886
105,1436281191292,14.057555,-0.3465607,1.894412
106,1436281191312,14.705187,1.5622166,-0.33279404
107,1436281191333,14.621988,2.597709,-1.3479356
108,1436281191349,15.387534,1.6783354,-0.741604
109,1436281191369,15.867572,0.8122329,-0.5434838
110,1436281191389,15.151706,-1.5125369,-0.60214174
111,1436281191408,11.548432,-3.1226375,-1.5251064
112,1436281191432,7.5453267,-2.6689363,-2.8520927
113,1436281191456,6.803723,-0.30047232,-3.615843
114,1436281191472,10.150817,2.1888988,-2.3906105
115,1436281191492,12.864046,2.183512,-1.5328877
116,1436281191512,11.336545,0.21428105,-0.96905315
117,1436281191532,8.64666,-2.272696,-0.6254852
118,1436281191549,7.394492,-2.9951463,-0.93373865
119,1436281191572,7.5387425,-1.3030443,-1.389834
120,1436281191610,7.6907744,0.61530983,-1.6424223
121,1436281191611,7.04434,0.664391,-1.2850877
122,1436281191629,5.9849057,-1.1360487,-0.5255273
123,1436281191650,5.9519854,-2.1853075,-0.4285621
124,1436281191669,6.2901664,-2.0799627,-0.50158525
125,1436281191690,6.729502,-0.84455466,-0.7350199
126,1436281191709,6.314707,0.2837129,-1.3359646
127,1436281191729,6.479308,-0.1412579,-0.83497787
128,1436281191762,7.587824,-1.3676877,0.25019407
129,1436281191777,9.81503,-2.3900118,1.0618285
130,1436281191791,12.785636,-2.5396495,1.654992
131,1436281191810,13.725958,-1.5113398,1.3928268
132,1436281191829,12.674904,-0.39444473,1.0905589
133,1436281191851,12.806585,0.04369418,0.45130703
134,1436281191869,14.122199,-1.18094,-0.91338795
135,1436281191891,16.180016,-4.1491513,-4.650737
136,1436281191910,17.340605,-2.8125885,-7.0036387
137,1436281191929,15.402498,2.1404164,-5.767632
138,1436281191950,11.522096,4.597466,-3.2082303
139,1436281191973,9.723452,4.0426097,-2.9167361
140,1436281191992,8.334216,0.45609543,-1.8148049
141,1436281192012,9.065046,-2.9783869,-1.0767922
142,1436281192032,9.93474,-4.3754034,-1.2844892
143,1436281192052,9.14226,-2.2427685,-1.4000094
144,1436281192071,7.049727,0.94451255,-0.9151836
145,1436281192092,5.353435,2.5911248,-0.85413146
146,1436281192112,5.0613422,1.7561469,-1.6454151
147,1436281192132,5.281609,-0.56682724,-0.78769237
148,1436281192152,5.8346696,-1.7896658,0.15502456
149,1436281192170,6.4104753,-1.3245921,-0.24480712
150,1436281192194,6.427833,-0.18375498,-0.57400984
151,1436281192210,6.927024,1.1007342,-0.8810662
152,1436281192232,7.6321163,1.8189948,-0.33997664
153,1436281192250,8.608951,1.650802,0.8523358
154,1436281192270,9.144054,1.3156139,1.0600328
155,1436281192290,10.4405155,1.1755531,0.6925228
156,1436281192315,12.304999,0.7703344,1.0875661
157,1436281192335,13.988722,-0.56802434,1.5562311
158,1436281192356,14.805144,-1.4646529,0.95349085
159,1436281192373,14.797363,-0.38486794,0.9127894
160,1436281192395,13.475165,0.3669114,1.1629834
161,1436281192420,12.768278,0.93972415,-0.7380127
162,1436281192563,13.399749,2.80361,-2.0566192
163,1436281192564,14.720749,2.9221232,-2.071583
164,1436281192565,14.932037,-0.08798691,-2.3546975
165,1436281192566,12.194866,-4.4603977,-2.7150247
166,1436281192567,8.851962,-6.1524997,-4.291008
167,1436281192568,7.303512,-3.1292217,-3.9755719
168,1436281192569,8.842984,1.6298528,-2.2529438
169,1436281192570,10.023924,3.7271736,-1.508347
170,1436281192593,10.824784,4.6860514,-2.0201077
171,1436281192610,9.065644,1.4119805,-2.5270798
172,1436281192630,7.3059063,-1.8483237,-1.9207484
