id,attr_time,attr_x,attr_y,attr_z
1,1436293824034,1.9608512,9.859921,-1.3718776
2,1436293824035,1.9506758,9.885659,-1.3623008
3,1436293824039,1.9393034,9.842564,-1.3946224
4,1436293824062,1.9177556,9.822212,-1.4095862
5,1436293824129,1.9315223,9.816826,-1.3850456
6,1436293824130,1.9512744,9.842564,-1.377863
7,1436293824131,2.007538,9.849746,-1.3922282
8,1436293824143,1.9644425,9.831191,-1.4065934
9,1436293824158,1.8441339,9.842564,-1.4167689
10,1436293824178,1.917157,9.874885,-1.3640964
11,1436293824200,2.0057425,9.846154,-1.3694834
12,1436293824220,1.9620483,9.813833,-1.4131776
13,1436293824242,1.939902,9.8198185,-1.4089876
14,1436293824264,1.9195513,9.841965,-1.3401544
15,1436293824280,1.9369092,9.85214,-1.3628993
16,1436293824302,1.9321208,9.834782,-1.441908
17,1436293824323,1.9506758,9.828198,-1.4197617
18,1436293824342,1.951873,9.844358,-1.4143747
19,1436293824362,1.9381063,9.861717,-1.3760674
20,1436293824384,1.9949685,9.827001,-1.4089876
21,1436293824402,1.9620483,9.816227,-1.411382
22,1436293824423,1.9524715,9.837775,-1.395221
23,1436293824443,1.91596,9.864111,-1.3790601
24,1436293824459,1.934515,9.849147,-1.4191631
25,1436293824482,1.9626468,9.837176,-1.4167689
26,1436293824502,1.9626468,9.824607,-1.4377182
27,1436293824523,1.970428,9.81922,-1.4329298
28,1436293824542,1.9261353,9.850345,-1.4107834
29,1436293824564,1.9818004,9.846753,-1.395221
30,1436293824583,1.9590555,9.81503,-1.4305356
31,1436293824600,1.9542671,9.840169,-1.4281414
32,1436293824622,1.9297266,9.850345,-1.4173675
33,1436293824640,1.9165585,9.831191,-1.4466964
34,1436293824661,2.0308816,9.828796,-1.4478935
35,1436293824683,1.9686323,9.817424,-1.4508862
36,1436293824702,1.8980033,9.856929,-1.429937
37,1436293824720,1.922544,9.8515415,-1.3664906
38,1436293824793,1.9303252,9.813833,-1.4371196
39,1436293824794,2.0189106,9.840169,-1.4460979
40,1436293824795,1.9806033,9.856929,-1.4586674
41,1436293824806,1.851915,9.821015,-1.4425066
42,1436293824819,1.9081788,9.832388,-1.4544775
43,1436293824843,2.0099323,9.853337,-1.4305356
44,1436293824865,1.9788077,9.845556,-1.4191631
45,1436293824884,1.846528,9.846753,-1.4610616
46,1436293824900,2.007538,9.855731,-1.4215573
47,1436293824925,1.9494787,9.840169,-1.4293385
48,1436293824943,1.9141643,9.825205,-1.4862007
49,1436293824964,1.9560628,9.835381,-1.4293385
50,1436293824987,1.9608512,9.841366,-1.4221559
51,1436293825002,1.9129672,9.846154,-1.4155718
