id,attr_time,attr_x,attr_y,attr_z
1,1436285439614,0.18195933,9.482236,-1.5897499
2,1436285439615,0.23762453,9.495404,-1.4209588
3,1436285439616,0.1412579,9.493608,-1.4580688
4,1436285439617,0.055066638,9.487024,-1.7687165
5,1436285439618,0.004189853,9.481637,-1.9470845
6,1436285439619,0.08619126,9.466075,-1.7172412
7,1436285439620,0.18435353,9.4457245,-1.42455
8,1436285439621,0.06464344,9.472659,-1.6172832
9,1436285439622,0.046088383,9.499594,-1.9069817
10,1436285439962,0.24899697,9.473258,-1.7753005
11,1436285439963,0.3645172,9.481637,-1.5873557
12,1436285439964,0.26156655,9.446921,-1.5837644
13,1436285439965,0.076015905,9.460688,-1.7986441
14,1436285439966,0.12868834,9.503783,-1.8154035
15,1436285439967,0.23523031,9.439739,-1.7603368
16,1436285439968,0.219668,9.39365,-1.6921021
17,1436285439969,0.20530279,9.448717,-1.6071079
18,1436285439970,0.108337626,9.496601,-1.7495629
19,1436285439971,0.089782566,9.474455,-1.6950948
20,1436285439972,0.24660277,9.46009,-1.7316064
21,1436285439973,0.31783026,9.408015,-1.733402
22,1436285439974,0.23104046,9.449316,-1.6023195
23,1436285439975,0.2633622,9.5013895,-1.6118963
24,1436285439976,0.23582886,9.515755,-1.726818
25,1436285439977,0.2124854,9.512163,-1.7411832
26,1436285439978,0.24301147,9.515156,-1.6885108
27,1436285440008,0.19991584,9.501988,-1.6214731
28,1436285440009,0.18614918,9.544485,-1.608305
29,1436285440017,0.18195933,9.522339,-1.7142484
30,1436285440032,0.12389994,9.464878,-1.5993267
31,1436285440052,0.092176765,9.432556,-1.6376339
32,1436285440072,0.05865794,9.4774475,-1.6340426
33,1436285440092,0.20350714,9.534908,-1.6214731
34,1436285440112,0.24839842,9.464279,-1.7124528
35,1436285440132,0.25617957,9.487623,-1.6328455
36,1436285440152,0.4189853,9.3978405,-1.5191209
37,1436285440172,0.30705637,9.387665,-1.5107412
38,1436285440192,0.22026655,9.558251,-1.851915
39,1436285440212,0.20530279,9.629479,-1.8962077
40,1436285440232,0.28072014,9.464279,-1.6346412
41,1436285440252,0.2861071,9.448118,-1.4149733
42,1436285440272,0.20410569,9.489418,-1.7106571
43,1436285440292,0.16340427,9.516952,-1.7070658
44,1436285440317,0.23702596,9.502586,-1.7711107
45,1436285440333,0.27353755,9.470264,-1.7866731
46,1436285440355,0.31663316,9.444528,-1.5556326
47,1436285440377,0.38367084,9.421184,-1.4790181
48,1436285440397,0.25139117,9.487623,-1.7555484
49,1436285440418,0.15502456,9.506178,-1.8369513
50,1436285440437,0.25139117,9.470264,-1.6927006
51,1436285440455,0.37349546,9.433753,-1.4736311
52,1436285440477,0.23403321,9.444528,-1.5005659
53,1436285440496,0.0676362,9.476849,-2.0213048
54,1436285440517,0.34596214,9.520543,-1.6352397
55,1436285440536,0.44651863,9.479243,-1.4862007
56,1436285440554,0.3393781,9.536105,-1.7944542
57,1436285440574,0.5009867,9.582792,-1.5292963
58,1436285440607,0.3345897,9.4972,-1.4383167
59,1436285440615,-0.0011971008,9.485229,-1.903989
60,1436285440635,0.023343466,9.5385,-2.1350293
61,1436285440655,0.29568392,9.509769,-1.5460558
62,1436285440675,0.34237084,9.461287,-1.3964181
63,1436285440693,0.19393034,9.484032,-1.7866731
64,1436285440718,0.23762453,9.457695,-1.7980455
65,1436285440735,0.38606504,9.464279,-1.596334
66,1436285440754,0.25977087,9.456498,-1.809418
67,1436285440778,0.24720132,9.4696665,-1.7357962
68,1436285440797,0.43394905,9.492412,-1.4269443
69,1436285440817,0.30945057,9.456498,-1.8004397
70,1436285440838,0.093373865,9.478644,-2.022502
71,1436285440858,0.3573346,9.46847,-1.5921441
72,1436285440878,0.46627077,9.470264,-1.340753
73,1436285440897,0.30346507,9.49301,-1.6346412
74,1436285440918,0.1340753,9.518747,-1.8890251
75,1436285440938,0.20829555,9.479841,-1.7938557
76,1436285440958,0.33997664,9.452907,-1.5292963
77,1436285440976,0.3429694,9.4217825,-1.5975311
78,1436285440996,0.34476504,9.457097,-1.6825253
79,1436285441018,0.32621,9.506178,-1.7244238
80,1436285441037,0.25558102,9.543886,-1.7992426
81,1436285441057,0.29209262,9.4696665,-1.7663223
82,1436285441076,0.37469256,9.388862,-1.4873978
83,1436285441097,0.29029694,9.514558,-1.5640123
84,1436285441119,0.15981296,9.5492735,-1.899799
85,1436285441138,0.20530279,9.490017,-1.8477252
86,1436285441158,0.39324763,9.488221,-1.4945804
87,1436285441177,0.3184288,9.461287,-1.5053543
88,1436285441195,0.17717093,9.504981,-1.9009962
89,1436285441216,0.37349546,9.54209,-1.6478093
90,1436285441236,0.36391866,9.470264,-1.5263035
91,1436285441256,0.2136825,9.442732,-1.8034325
92,1436285441335,0.12090719,9.467272,-1.910573
93,1436285441336,0.2789245,9.475053,-1.520318
94,1436285441337,0.31483752,9.446322,-1.7202339
95,1436285441338,0.24899697,9.457695,-1.7998412
96,1436285441357,0.19572599,9.466674,-1.6328455
97,1436285441378,0.2885013,9.465476,-1.5676036
98,1436285441396,0.2645593,9.49301,-1.7118542
99,1436285441423,0.20111294,9.497798,-1.905186
100,1436285441435,0.350152,9.476849,-1.6250644
101,1436285441458,0.45250413,9.454702,-1.6142905
102,1436285441481,0.31423897,9.487623,-1.7130513
103,1436285441496,0.25198972,9.486425,-1.7597382
104,1436285441519,0.22685061,9.515156,-1.8602947
105,1436285441538,0.39564183,9.564836,-1.8387469
