id,attr_time,attr_x,attr_y,attr_z
1,1436285439623,-5.024831,8.447941,0.9223662
2,1436285439638,-5.1505265,8.395866,0.973243
3,1436285439663,-5.2241483,8.449737,0.961272
4,1436285439678,-5.2744265,8.5060005,0.95468795
5,1436285439699,-5.318719,8.554482,0.9816227
6,1436285439719,-5.3318872,8.534731,1.0139444
7,1436285439739,-5.295376,8.405443,0.997185
8,1436285439761,-5.231331,8.433576,1.0103531
9,1436285439781,-5.1523223,8.502409,0.985214
10,1436285439801,-5.105635,8.54311,1.0103531
11,1436285439822,-5.204396,8.457518,0.97982705
12,1436285439842,-5.345055,8.368932,0.92296475
13,1436285439861,-5.354632,8.395268,0.90620536
14,1436285439880,-5.275025,8.468291,0.90979666
15,1436285439901,-5.185841,8.4904375,0.9504981
16,1436285439921,-5.1583076,8.461707,0.961272
17,1436285439942,-5.181651,8.415619,0.94451255
18,1436285439960,-5.2235494,8.43178,0.93972415
19,1436285439981,-5.2037973,8.55149,0.9504981
20,1436285440007,-5.1996074,8.600571,1.0055647
21,1436285440022,-5.2247467,8.521563,0.98341835
22,1436285440044,-5.230732,8.420407,0.97862995
23,1436285440061,-5.201403,8.432977,0.9648633
24,1436285440107,-5.2061915,8.411429,0.9487024
25,1436285440108,-5.2241483,8.491635,0.9391256
26,1436285440159,-5.2127757,8.539519,0.92775315
27,1436285440160,-5.1463366,8.470686,0.9163807
28,1436285440161,-5.1660886,8.454525,0.8900445
29,1436285440179,-5.1702785,8.443152,0.85413146
30,1436285440203,-5.1481323,8.470686,0.9151836
31,1436285440219,-5.2181625,8.458116,0.92895025
32,1436285440251,-5.286996,8.4664955,0.9103952
33,1436285440299,-5.286996,8.540716,0.88286185
34,1436285440300,-5.2516813,8.544308,0.9115923
35,1436285440316,-5.246893,8.502409,0.9768343
36,1436285440321,-5.2319293,8.42759,0.99778354
37,1436285440351,-5.1702785,8.336611,0.9367314
38,1436285440359,-5.109226,8.359954,0.908001
39,1436285440381,-5.048773,8.520366,0.842759
40,1436285440399,-5.026028,8.661623,0.8870517
41,1436285440422,-5.109825,8.638878,0.9564836
42,1436285440477,-5.2235494,8.5473,0.95468795
43,1436285440478,-5.306748,8.489241,0.9187749
44,1436285440480,-5.286996,8.491036,0.89064306
45,1436285440509,-5.217564,8.520366,0.8912416
46,1436285440519,-5.113416,8.53892,0.92057055
47,1436285440540,-5.070919,8.53054,0.8810662
48,1436285440573,-5.1020436,8.544906,0.85891986
49,1436285440579,-5.1343656,8.544308,0.86131406
50,1436285440599,-5.1762643,8.505402,0.8936358
51,1436285440622,-5.233725,8.478467,0.8750807
52,1436285440639,-5.1942205,8.543709,0.8678981
53,1436285440659,-5.133767,8.579023,0.8678981
54,1436285440679,-5.0481744,8.574235,0.9175778
55,1436285440702,-5.029619,8.5383215,0.91338795
56,1436285440739,-5.106832,8.542512,0.87567925
57,1436285440740,-5.185841,8.566454,0.8242039
58,1436285440776,-5.216367,8.589797,0.8535329
59,1436285440778,-5.1666875,8.544906,0.9498995
60,1436285440798,-5.1768627,8.485051,0.97623575
61,1436285440818,-5.1559134,8.473679,0.8439561
62,1436285440838,-5.092467,8.48984,0.7835025
63,1436285440858,-5.0385976,8.48984,0.801459
64,1436285440881,-5.026028,8.504803,0.87089086
65,1436285440898,-5.0757074,8.565256,0.8912416
66,1436285440918,-5.131373,8.55149,0.8924387
67,1436285440938,-5.1900306,8.526351,0.8122329
68,1436285440958,-5.158906,8.577228,0.84694886
69,1436285440978,-5.101445,8.583213,0.943914
70,1436285440998,-5.1702785,8.5862055,0.943914
71,1436285441018,-5.1984105,8.528745,0.9211691
72,1436285441038,-5.144541,8.533533,0.89782566
73,1436285441058,-5.099051,8.558673,0.8714894
74,1436285441078,-5.0613422,8.580819,0.8738836
75,1436285441098,-5.0547585,8.573038,0.88286185
76,1436285441118,-5.0691237,8.524555,0.88166475
77,1436285441138,-5.113416,8.513782,0.8834604
78,1436285441158,-5.159505,8.550891,0.86849666
79,1436285441178,-5.1487308,8.560468,0.8924387
80,1436285441198,-5.181651,8.555081,0.93134445
81,1436285441218,-5.1720743,8.55149,0.94930094
82,1436285441238,-5.1241903,8.583812,0.96306765
83,1436285441261,-5.0882773,8.604761,0.9355343
84,1436285441282,-5.113416,8.586804,0.9391256
85,1436285441301,-5.080496,8.532336,0.9355343
86,1436285441323,-5.0451818,8.516175,0.9367314
87,1436285441342,-5.0266266,8.500613,0.88525605
88,1436285441362,-4.9679685,8.535329,0.8726865
89,1436285441382,-4.9823337,8.550293,0.88286185
90,1436285441402,-5.143344,8.499416,0.8798691
91,1436285441423,-5.2660465,8.511387,0.87807345
92,1436285441442,-5.237316,8.613739,0.9259575
93,1436285441463,-5.179257,8.604162,1.0019734
94,1436285441482,-5.1864395,8.557475,1.0043676
95,1436285441502,-5.2265425,8.5060005,0.9151836
96,1436285441522,-5.177461,8.536526,0.9516952
97,1436285441542,-5.111022,8.535329,1.0127473
98,1436285441562,-5.0374002,8.517971,1.0540473
99,1436285441591,-4.9775453,8.541314,0.9876082
100,1436285441606,-4.9757495,8.507795,0.9415198
101,1436285441621,-5.04159,8.473679,0.8762778
102,1436285441641,-5.0541596,8.503606,0.92655605
103,1436285441659,-5.085284,8.503007,0.99658644
104,1436285441679,-5.171476,8.527548,0.96905315
105,1436285441702,-5.1571107,8.544308,0.9056068
106,1436285441721,-5.1355624,8.525752,0.878672
107,1436285441740,-5.112818,8.534731,0.87567925
108,1436285441762,-5.0900726,8.524555,0.95827925
109,1436285441784,-5.094861,8.524555,0.96067345
110,1436285441801,-5.0942626,8.522161,0.95708215
111,1436285441824,-5.122993,8.492832,0.9056068
112,1436285441843,-5.134964,8.525154,0.9163807
113,1436285441860,-5.1517234,8.549096,0.96306765
114,1436285441883,-5.1726727,8.535329,0.97503865
115,1436285441903,-5.2037973,8.421006,0.9648633
116,1436285441923,-5.1984105,8.290522,0.9864111
117,1436285441945,-5.175067,8.411429,0.96187055
118,1436285441960,-5.2037973,8.701726,1.0319009
119,1436285441984,-5.2780175,8.700529,1.1013328
120,1436285442004,-5.390545,8.567052,1.0169371
