id,attr_time,attr_x,attr_y,attr_z
1,1436291534838,-0.20590134,9.929952,2.3546975
2,1436291534839,-0.23223756,9.951499,2.3397336
3,1436291534840,-0.23104046,9.964069,2.372654
4,1436291534841,-0.20051439,9.934141,2.393603
5,1436291534859,-0.15322891,9.936536,2.3930047
6,1436291534882,-0.18435353,9.973047,2.3600843
7,1436291534896,-0.1921347,9.919776,2.3660698
8,1436291534916,-0.19033903,9.956287,2.3493104
9,1436291534942,-0.18914193,9.97185,2.3511062
10,1436291534957,-0.23523031,9.945514,2.3612814
11,1436291534979,-0.23223756,9.974843,2.417545
12,1436291535013,-0.18674773,9.913791,2.4241292
13,1436291535019,-0.12868834,9.931747,2.381632
14,1436291535042,-0.12150574,9.946711,2.3558946
15,1436291535059,-0.12749124,10.009559,2.3397336
16,1436291535077,-0.17956513,10.010756,2.3636756
17,1436291535099,-0.23523031,9.961076,2.35769
18,1436291535119,-0.2681506,9.936536,2.3852234
19,1436291535140,-0.24061728,9.929353,2.3756466
20,1436291535159,-0.17477672,10.005369,2.3888147
21,1436291535180,-0.12569559,10.029311,2.379238
22,1436291535198,-0.14425065,9.994595,2.4109612
23,1436291535217,-0.20350714,9.943718,2.3624785
24,1436291535239,-0.25019407,9.933543,2.3127987
25,1436291535261,-0.25198972,9.962274,2.3451207
26,1436291535282,-0.21787235,9.980828,2.3798366
27,1436291536864,-0.23702596,9.967062,2.3690627
28,1436291536865,-0.25558102,9.937733,2.3570917
29,1436291536866,-0.24959552,9.920375,2.3774424
30,1436291536867,-0.26635495,9.932944,2.3870192
31,1436291536868,-0.25977087,9.950302,2.3624785
32,1436291536869,-0.20350714,9.988011,2.344522
33,1436291536870,-0.1352724,9.9928,2.3630772
34,1436291536871,-0.16400282,9.949704,2.3894134
35,1436291536872,-0.23642741,9.946711,2.392406
36,1436291536873,-0.23882163,9.900622,2.4019828
37,1436291536874,-0.21068975,9.911995,2.404377
38,1436291536875,-0.19512744,9.953894,2.356493
39,1436291536876,-0.1592144,10.011354,2.315193
40,1436291536877,-0.17776948,9.974244,2.3714569
41,1436291536878,-0.18495208,9.916783,2.4139538
42,1436291536879,-0.19093758,9.941324,2.380435
43,1436291536880,-0.20350714,10.008362,2.3511062
44,1436291536881,-0.20350714,9.989208,2.4037786
45,1436291536882,-0.16519992,9.953894,2.460641
46,1436291536883,-0.12808979,9.929952,2.4450784
47,1436291536884,-0.12210429,9.979631,2.3852234
48,1436291536885,-0.11432313,10.005967,2.3780408
49,1436291536886,-0.13706805,9.948506,2.4103625
50,1436291536887,-0.2088941,9.886257,2.385822
51,1436291536888,-0.26515785,9.932345,2.3612814
52,1436291536889,-0.2621651,10.033501,2.3588872
53,1436291536890,-0.25737667,10.048465,2.4091654
54,1436291536891,-0.2896984,10.030508,2.3876176
55,1436291536892,-0.28491,9.947908,2.3888147
56,1436291536893,-0.2681506,9.870096,2.356493
57,1436291536894,-0.27832595,9.88506,2.3116016
58,1436291536895,-0.26156655,9.976639,2.336741
59,1436291536896,-0.19093758,10.05864,2.4277205
60,1436291536897,-0.15562311,9.951499,2.4534583
61,1436291536898,-0.16998832,9.870096,2.4426842
62,1436291536899,-0.16280572,9.863512,2.396596
63,1436291536900,-0.073621705,9.949704,2.3959973
64,1436291536901,-0.06943185,10.020332,2.421735
65,1436291536902,-0.0700304,9.9928,2.397793
66,1436291536903,-0.12150574,9.99639,2.3798366
67,1436291536904,-0.23942018,10.035296,2.3570917
68,1436291536905,-0.3417723,9.953894,2.4157495
69,1436291536906,-0.37229836,9.8916445,2.4480712
70,1436291536907,-0.374094,9.907207,2.3840263
71,1436291536908,-0.32680854,9.887454,2.3235726
72,1436291536909,-0.17836803,9.902418,2.3409307
73,1436291536910,-0.050278235,9.909002,2.3702598
74,1436291536911,0.01436521,9.926959,2.429516
75,1436291536912,0.006584055,9.968858,2.4019828
76,1436291536913,-0.04189853,9.949704,2.372654
77,1436291536914,-0.09816227,10.080188,2.372654
78,1436291536915,-0.23523031,10.0748005,2.4277205
79,1436291536916,-0.3669114,9.9951935,2.475006
80,1436291536917,-0.35793316,9.961675,2.48578
81,1436291536918,-0.23343466,9.922769,2.4492683
82,1436291536919,-0.12928689,9.908403,2.4355016
83,1436291536920,-0.06404489,9.907805,2.4271219
84,1436291536921,0.044292733,9.911396,2.3948002
85,1436291536922,0.060453594,9.94312,2.369661
86,1436291536923,0.02932897,9.870695,2.397793
87,1436291536924,-0.074818805,9.885659,2.4277205
88,1436291536925,-0.12449849,9.90601,2.4121583
89,1436291536926,-0.20949265,9.932944,2.4654293
90,1436291536927,-0.15263036,10.034698,2.4827871
91,1436291536928,-0.15622166,10.183139,2.433706
92,1436291536929,-0.19752164,10.1304655,2.3822308
93,1436291536930,-0.15382746,9.811439,2.4905684
94,1436291536931,-0.18614918,9.657611,2.4486697
95,1436291536932,-0.36750996,9.676167,2.372654
96,1436291536933,-0.46447513,9.76535,2.3104045
97,1436291536934,-0.46806642,9.940127,2.3092074
98,1436291536935,-0.3645172,9.933543,2.3888147
99,1436291536936,-0.18854338,10.032902,2.445677
100,1436291536937,-0.02633622,10.002377,2.4504654
101,1436291536938,0.01436521,10.041282,2.534861
102,1436291536939,-0.11911154,10.105926,2.4061728
103,1436291536940,-0.24001873,9.973646,2.3834279
104,1436291536941,-0.30047232,9.955689,2.3953989
105,1436291536942,-0.37708676,9.940127,2.4139538
106,1436291536943,-0.3226187,9.911396,2.4450784
107,1436291536944,-0.14305355,9.888652,2.4372973
108,1436291536945,0.08200141,9.8754835,2.5025394
109,1436291536946,0.10235212,9.918579,2.4899697
110,1436291536957,-0.030526072,9.939528,2.393603
111,1436291536977,-0.12629414,9.925163,2.3822308
112,1436291536997,-0.15562311,9.910199,2.3942018
113,1436291537017,-0.14903906,9.973047,2.372654
114,1436291537037,-0.05267244,10.08737,2.4504654
115,1436291537057,-0.025139118,10.15381,2.4779987
116,1436291537077,-0.11492168,10.067019,2.463035
117,1436291537097,-0.20590134,9.935937,2.4301147
118,1436291537119,-0.24779987,9.799467,2.408567
119,1436291537141,-0.25258827,9.706094,2.3995886
120,1436291537158,-0.24301147,9.800665,2.3277626
121,1436291537181,-0.18555063,10.015544,2.308609
122,1436291537201,-0.15382746,10.050261,2.3953989
123,1436291537222,-0.06284779,10.030508,2.4648306
124,1436291537241,0.008978256,9.977237,2.5234885
125,1436291537259,-0.037708677,9.954493,2.5073278
126,1436291537280,-0.08798691,9.958083,2.4744074
127,1436291537299,-0.1604115,9.983821,2.4624364
128,1436291537318,-0.22565351,9.939528,2.4301147
129,1436291537344,-0.23223756,9.92636,2.35769
130,1436291537364,-0.20231004,9.957485,2.284667
131,1436291537384,-0.17717093,9.928156,2.3385365
132,1436291537402,-0.093972415,9.972448,2.433706
133,1436291537422,-0.047285482,9.960478,2.4863784
134,1436291537508,-0.05865794,9.922769,2.456451
135,1436291537509,-0.0712275,9.942521,2.4127567
136,1436291537510,-0.12569559,9.977836,2.3989902
137,1436291537511,-0.12629414,9.974843,2.4007857
138,1436291537527,-0.10654198,9.94312,2.4133554
139,1436291537542,-0.0664391,9.920375,2.4181437
140,1436291537562,-0.09636662,9.944317,2.3642743
