id,attr_time,attr_x,attr_y,attr_z
1,1436286769061,-0.0135345,-0.0153961,-0.00300598
2,1436286769081,-0.0167389,-0.0121918,-0.00621033
3,1436286769103,-0.0124664,-0.00578308,-0.0040741
4,1436286769121,-0.0295563,-0.0100555,0.000198364
5,1436286769140,-0.0434418,-0.0153961,0.00126648
6,1436286769160,-0.0391693,-0.0186005,-0.00621033
7,1436286769179,-0.02742,-0.00791931,-0.00514221
8,1436286769202,-0.0210114,-0.00578308,-0.00193787
9,1436286769219,-0.0263519,-0.00791931,0.00233459
10,1436286769239,-0.0284882,-0.0100555,0.00233459
11,1436286769260,-0.0167389,-0.0121918,-0.00621033
12,1436286769277,-0.00926208,-0.0068512,-0.00300598
13,1436286769299,-0.0220795,-0.00578308,-0.000869751
14,1436286769318,-0.0316925,-0.0068512,0.00233459
15,1436286769338,-0.0284882,-0.0100555,0.00233459
16,1436286769358,-0.0220795,-0.0121918,-0.00300598
17,1436286769378,-0.0103302,-0.00791931,0.000198364
18,1436286769400,-0.0103302,0.00382996,0.00233459
19,1436286769417,-0.0348969,0.00062561,0.00126648
20,1436286769437,-0.0242157,-0.0164642,0.00233459
21,1436286769454,-0.0263519,-0.0228729,0.000198364
22,1436286769476,-0.0381012,-0.023941,-0.0040741
23,1436286769495,-0.0220795,-0.0121918,-0.00193787
24,1436286769516,-0.0167389,-0.00471497,0.00340271
25,1436286769535,-0.0295563,-0.00578308,0.00233459
26,1436286769556,-0.0316925,-0.00791931,0.00126648
27,1436286769575,-0.00712585,-0.0111237,0.00553894
28,1436286769597,-0.00178528,-0.00578308,0.00233459
29,1436286769615,0.0206451,0.00596619,-0.000869751
30,1436286769634,0.0494843,0.0177155,-0.0040741
31,1436286769654,0.0633698,0.0166473,-0.0040741
32,1436286769675,0.0537567,0.00489807,0.000198364
33,1436286769696,0.0345306,0.00489807,-0.00193787
34,1436286769714,0.0270538,0.00596619,0.000198364
35,1436286769734,0.0174408,0.00810242,-0.000869751
36,1436286769753,0.00248718,0.00489807,-0.000869751
37,1436286769772,-0.0103302,-0.00364685,0.000198364
38,1436286769793,-0.017807,-0.00898743,0.00126648
39,1436286769811,-0.0284882,-0.0121918,-0.00193787
40,1436286769832,-0.0295563,-0.0111237,-0.0040741
41,1436286769853,-0.0316925,-0.00791931,-0.00193787
42,1436286769872,-0.0284882,-0.00578308,-0.0040741
43,1436286769891,-0.0220795,-0.00578308,-0.000869751
44,1436286769912,-0.0242157,-0.00791931,0.00340271
45,1436286769934,-0.0199432,-0.00791931,0.00233459
46,1436286769951,-0.0124664,-0.00578308,0.00126648
47,1436286769971,-0.00605774,-0.00364685,0.00340271
48,1436286769989,-0.0113983,-0.0132599,0.00553894
49,1436286770011,-0.00819397,-0.0111237,0.00233459
50,1436286770033,-0.017807,-0.00791931,0.00126648
51,1436286770050,-0.02742,-0.0068512,0.000198364
52,1436286770070,-0.0231476,-0.014328,0.00340271
53,1436286770089,-0.0263519,-0.023941,0.00553894
54,1436286770109,-0.0220795,-0.0164642,-0.000869751
55,1436286770130,-0.017807,-0.00578308,0.00447083
56,1436286770148,-0.0113983,0.00276184,0.00447083
57,1436286770168,0.00141907,-0.00898743,0.00553894
58,1436286770188,0.0035553,-0.0068512,0.00340271
59,1436286770208,0.00782776,-0.00364685,-0.000869751
60,1436286770230,0.000350952,-0.00151062,-0.00193787
61,1436286770247,-0.00605774,0.0070343,0.000198364
62,1436286770267,-0.0124664,0.00062561,0.00233459
63,1436286770287,-0.00605774,-0.00471497,-0.000869751
64,1436286770306,0.0121002,-0.0121918,-0.00193787
65,1436286770327,0.00782776,-0.0100555,0.00233459
66,1436286770346,-0.00498962,0.00276184,-0.00193787
67,1436286770366,0.0035553,0.00382996,-0.00300598
68,1436286770386,0.0206451,0.00169373,0.00233459
69,1436286770404,0.0121002,-0.00578308,0.00233459
70,1436286770426,0.0035553,-0.00364685,0.00233459
71,1436286770445,0.00248718,0.00810242,0.000198364
72,1436286770465,0.00462341,0.0070343,-0.00300598
73,1436286770484,0.0035553,0.00917053,0.00340271
74,1436286770504,-0.00178528,0.00062561,-0.000869751
75,1436286770524,-0.00392151,-0.00364685,-0.000869751
76,1436286770543,-0.00178528,-0.00151062,-0.00193787
77,1436286770565,-0.00285339,-0.00151062,-0.00300598
78,1436286770582,-0.00285339,-0.00791931,0.00340271
79,1436286770603,-0.00392151,-0.00471497,0.00233459
80,1436286770625,-0.00605774,-0.000442505,-0.00300598
81,1436286770643,-0.00498962,-0.00257874,-0.00193787
82,1436286770662,-0.0103302,-0.00898743,0.00233459
83,1436286770682,-0.0113983,-0.0186005,0.00553894
84,1436286770702,-0.0188751,-0.0175323,0.000198364
85,1436286770723,-0.00605774,-0.00364685,-0.0040741
86,1436286770742,-0.00712585,0.00382996,0.00233459
87,1436286770761,-0.00926208,0.00169373,0.00874329
88,1436286770781,-0.00498962,-0.00364685,0.00660706
89,1436286770801,0.00248718,-0.00151062,0.00233459
90,1436286770820,0.000350952,-0.00257874,-0.00193787
91,1436286770840,-0.00498962,0.00382996,-0.000869751
92,1436286770861,-0.00605774,0.00489807,-0.000869751
93,1436286770880,-0.00392151,-0.00257874,0.00233459
94,1436286770898,-0.00285339,-0.00578308,-0.000869751
95,1436286770920,0.0035553,0.00169373,-0.000869751
96,1436286770938,-0.00392151,0.0102386,0.00447083
97,1436286770959,0.00569153,0.0113068,0.00447083
98,1436286770979,0.00569153,0.0145111,0.00233459
99,1436286770999,0.0163727,0.013443,0.00447083
100,1436286771021,0.0153046,0.0155792,0.00447083
101,1436286771037,0.00462341,0.0187836,0.000198364
102,1436286771060,-0.00498962,0.0155792,0.00126648
103,1436286771077,-0.00605774,0.0145111,0.00233459
104,1436286771098,-0.0370331,0.013443,0.00126648
105,1436286771116,-0.0754852,0.0166473,-0.00300598
106,1436286771136,-0.0925751,0.0198517,0.000198364
107,1436286771159,-0.120346,0.0241241,0.000198364
108,1436286771177,-0.0968475,0.0177155,0.00447083
109,1436286771196,-0.0370331,0.00810242,0.00340271
110,1436286771215,0.00782776,0.00596619,0.00340271
111,1436286771236,-0.00926208,0.0070343,0.00553894
112,1436286771257,-0.0295563,0.0113068,0.00233459
113,1436286771276,-0.017807,0.0070343,0.0098114
114,1436286771295,0.0217133,0.00169373,0.0098114
115,1436286771315,0.0441437,0.00382996,0.00874329
116,1436286771335,0.0462799,0.0070343,0.0098114
117,1436286771357,0.0131683,0.0177155,0.0119476
118,1436286771374,0.019577,0.0219879,0.0108795
119,1436286771394,0.0420074,0.023056,0.0130157
120,1436286771414,0.0462799,0.0166473,0.0130157
121,1436286771433,0.0420074,0.0166473,0.0162201
122,1436286771456,0.0291901,0.00917053,0.0130157
123,1436286771473,0.0259857,0.0070343,0.00660706
124,1436286771492,0.0334625,0.00917053,0.00767517
125,1436286771513,0.0323944,0.0123749,0.00660706
126,1436286771531,0.0334625,0.0155792,0.0162201
127,1436286771554,0.0334625,0.0177155,0.0194244
128,1436286771571,0.0484161,0.0177155,0.0140839
129,1436286771592,0.0430756,0.0187836,0.0108795
130,1436286771611,0.0291901,0.0273285,0.0108795
131,1436286771631,0.0249176,0.0219879,0.00767517
132,1436286771653,0.0227814,0.0166473,0.00874329
133,1436286771671,0.0174408,0.013443,0.00660706
134,1436286771691,0.00569153,0.0123749,0.00767517
135,1436286771709,-0.0242157,0.0113068,0.00874329
136,1436286771730,-0.0156708,0.00596619,0.0108795
137,1436286771749,-0.00392151,-0.000442505,0.00447083
138,1436286771770,-0.0103302,-0.00364685,0.00233459
139,1436286771789,-0.0113983,-0.0068512,0.00126648
140,1436286771810,-0.0167389,-0.0111237,0.000198364
141,1436286771828,-0.0156708,-0.0153961,-0.00300598
142,1436286771850,-0.0135345,-0.0175323,-0.0040741
143,1436286771869,-0.0220795,-0.0260773,-0.00514221
144,1436286771888,-0.0242157,-0.0228729,-0.00621033
145,1436286771908,-0.0327606,-0.0218048,-0.00621033
146,1436286771928,-0.0327606,-0.0164642,-0.00621033
147,1436286771947,-0.0338287,-0.0164642,-0.0040741
148,1436286771967,-0.0295563,-0.0164642,-0.00621033
149,1436286771990,-0.0338287,-0.0196686,-0.00514221
150,1436286772006,-0.0370331,-0.0175323,-0.00834656
151,1436286772025,-0.0402374,-0.0100555,-0.00727844
152,1436286772047,-0.0391693,-0.0111237,-0.00621033
153,1436286772065,-0.035965,-0.0164642,-0.0040741
154,1436286772088,-0.0402374,-0.0175323,-0.00834656
155,1436286772106,-0.0391693,-0.0132599,-0.012619
156,1436286772125,-0.0338287,-0.0100555,-0.00834656
157,1436286772144,-0.0188751,-0.00791931,-0.00621033
158,1436286772164,-0.0188751,-0.00791931,-0.00514221
159,1436286772187,-0.0146027,-0.0132599,-0.00621033
160,1436286772204,-0.0188751,-0.0068512,-0.00727844
161,1436286772224,-0.0231476,-0.00257874,-0.00300598
162,1436286772243,-0.0167389,0.00169373,-0.00300598
163,1436286772264,-0.0124664,-0.00791931,-0.000869751
164,1436286772286,-0.0188751,-0.00898743,0.00126648
165,1436286772303,-0.0167389,-0.00471497,0.00340271
166,1436286772323,-0.0113983,-0.000442505,0.00340271
167,1436286772342,-0.0124664,-0.00257874,0.00233459
168,1436286772362,-0.000717163,-0.00578308,-0.000869751
169,1436286772383,0.00141907,-0.0111237,0.00126648
170,1436286772402,-0.0146027,-0.0068512,-0.00300598
171,1436286772422,-0.0167389,-0.00578308,-0.00193787
172,1436286772441,-0.000717163,-0.0164642,0.00660706
173,1436286772462,-0.00712585,-0.0218048,0.00447083
174,1436286772483,-0.0113983,-0.0164642,0.00233459
175,1436286772500,-0.0135345,-0.0111237,0.00340271
176,1436286772520,-0.0188751,-0.00791931,0.000198364
177,1436286772540,-0.0146027,-0.00791931,0.00447083
178,1436286772559,-0.00285339,-0.00791931,-0.00193787
179,1436286772580,-0.000717163,-0.0196686,0.00126648
180,1436286772600,-0.0156708,-0.0175323,0.000198364
181,1436286772619,-0.02742,-0.0111237,-0.00621033
182,1436286772639,-0.02742,-0.014328,-0.00941467
183,1436286772657,-0.0113983,-0.0250092,-0.00514221
184,1436286772679,-0.0103302,-0.0260773,-0.0040741
185,1436286772698,-0.00498962,-0.0228729,-0.0040741
186,1436286772718,-0.000717163,-0.0121918,-0.00621033
187,1436286772738,0.00141907,-0.0111237,-0.00834656
188,1436286772758,-0.00605774,0.00382996,-0.0104828
189,1436286772778,0.00996399,0.0187836,-0.00300598
190,1436286772797,0.0366669,0.0209198,0.00447083
191,1436286772817,0.075119,0.00062561,0.00553894
192,1436286772835,0.0676422,-0.0346222,-0.00727844
193,1436286772857,0.0323944,-0.0314178,-0.0200958
194,1436286772876,-0.0113983,-0.0367584,-0.0297089
195,1436286772896,-0.0562592,-0.00578308,-0.0243683
196,1436286772916,-0.063736,-0.0153961,-0.0211639
197,1436286772936,-0.00178528,0.00062561,-0.0158234
198,1436286772955,-0.0840301,0.023056,-0.0222321
199,1436286772974,-0.190842,0.0262604,-0.0361176
200,1436286772995,-0.259201,0.0337372,-0.0393219
201,1436286773017,-0.298721,-0.014328,-0.0446625
202,1436286773034,-0.232498,0.00169373,-0.0393219
203,1436286773055,-0.212204,0.0305328,-0.0361176
204,1436286773074,-0.261337,0.0636444,-0.00941467
205,1436286773094,-0.324356,0.0657806,-0.0254364
206,1436286773116,-0.33931,0.0679169,-0.0521393
207,1436286773133,-0.380966,0.0743256,-0.0820465
208,1436286773152,-0.405533,0.0529633,-0.0980682
209,1436286773172,-0.59993,0.0679169,-0.0970001
210,1436286773192,-0.618088,0.175797,-0.0884552
211,1436286773213,-0.535843,0.30397,-0.012619
212,1436286773233,-0.468552,0.460983,0.0386505
213,1436286773252,-0.221817,0.531479,0.14119
214,1436286773271,-0.0284882,0.630814,0.222366
215,1436286773292,-0.190842,0.760056,0.257614
216,1436286773312,-0.410873,0.852982,0.207413
217,1436286773331,-0.0402374,0.882889,0.268295
218,1436286773351,0.148819,0.95018,0.320633
219,1436286773369,0.287674,0.934158,0.379379
220,1436286773390,0.384872,0.948044,0.410355
221,1436286773411,0.367783,0.990768,0.347336
222,1436286773430,0.321854,1.01747,0.266159
223,1436286773450,0.188339,0.891434,0.219162
224,1436286773469,0.283401,0.78569,0.136917
225,1436286773488,0.588882,0.695969,0.0760345
226,1436286773508,0.459641,0.661789,-0.0606842
227,1436286773528,0.265244,0.687424,-0.127975
228,1436286773549,0.266312,0.913864,-0.1707
229,1436286773568,0.322922,1.07942,-0.202744
230,1436286773588,0.332535,1.07301,-0.20488
231,1436286773608,0.240677,1.08476,-0.100204
232,1436286773628,0.362442,1.11253,0.00767517
233,1436286773648,0.593155,1.05699,0.115555
234,1436286773666,0.593155,1.18089,0.0269012
235,1436286773686,0.468185,1.31548,0.0311737
236,1436286773707,0.321854,1.38383,0.0589447
237,1436286773726,0.56218,1.34538,0.0108795
238,1436286773746,0.926407,1.05272,0.0546722
239,1436286773766,0.677536,0.720535,-0.0104828
240,1436286773784,0.139206,0.522934,-0.178177
241,1436286773806,-0.586044,0.354172,-0.353348
242,1436286773824,-0.819962,0.297562,-0.478317
243,1436286773845,-0.578568,0.299698,-0.626785
244,1436286773864,-0.432236,0.204636,-0.689804
245,1436286773885,-0.476028,0.330673,-1.03267
246,1436286773904,-0.779373,0.198227,-1.8893
247,1436286773924,-0.814621,0.0145111,-1.23454
