id,attr_time,attr_x,attr_y,attr_z
1,1436379712126,9.952697,-0.19572599,1.3724761
2,1436379712127,9.918579,-0.20350714,1.3688848
3,1436379712128,9.873688,-0.22325931,1.359308
4,1436379712129,9.8677025,-0.2100912,1.3281834
5,1436379712130,9.862315,-0.19512744,1.3323733
6,1436379712131,9.885659,-0.16759412,1.3257892
7,1436379712132,9.89763,-0.16400282,1.3808558
8,1436379712139,9.91798,-0.16579847,1.4568717
9,1436379712167,9.922769,-0.16460137,1.489792
10,1436379712180,9.930551,-0.13946225,1.4796166
11,1436379712202,9.911396,-0.14425065,1.4568717
12,1436379712220,9.8683,-0.13826515,1.4161704
13,1436379712240,9.856929,-0.10654198,1.4197617
14,1436379712266,9.842564,-0.08678981,1.4215573
15,1436379712281,9.834184,-0.060453594,1.4317327
16,1436379712302,9.861118,-0.04070143,1.4449008
17,1436379712323,9.916783,-0.039504327,1.4209588
18,1436379712342,9.888652,-0.055066638,1.441908
19,1436379712364,9.818023,-0.065242,1.4323312
20,1436379712382,9.828198,-0.04070143,1.4754268
21,1436379712402,9.822811,-0.03232172,1.4873978
22,1436379712423,9.855133,-0.044292733,1.5071499
23,1436379712442,9.88925,-0.060453594,1.4646529
24,1436379712463,9.889849,-0.06823475,1.4718355
25,1436379712482,9.887454,-0.10354923,1.447295
26,1436379712503,9.865308,-0.08379706,1.4556746
27,1436379712524,9.876082,-0.05327099,1.4562732
28,1436379712543,9.871892,-0.054468088,1.4784195
29,1436379712561,9.844957,-0.09876082,1.4748282
30,1436379712582,9.868899,-0.092176765,1.4748282
31,1436379712600,9.877877,-0.046088383,1.4784195
32,1436379712624,9.865907,-0.08140286,1.4856021
33,1436379712644,9.837775,-0.073023155,1.5005659
34,1436379712664,9.859323,-0.054468088,1.4969746
35,1436379712683,9.857527,-0.032920275,1.5095441
36,1436379712700,9.858126,-0.02633622,1.4909891
37,1436379712723,9.831789,-0.050278235,1.5095441
38,1436379712741,9.831191,-0.06344634,1.5280992
39,1436379712763,9.822212,-0.107140526,1.5406688
