id,attr_time,attr_x,attr_y,attr_z
1,1436380820021,1.910573,9.466075,-0.20350714
2,1436380820037,2.2373815,9.543886,-0.036511578
3,1436380820060,2.6144683,9.263765,-0.3854665
4,1436380820078,2.6683378,9.182362,-0.7942764
5,1436380820100,2.5953147,9.308656,-0.50397944
6,1436380820117,2.529474,9.414001,-0.05626374
7,1436380820138,2.2756886,9.3822775,-0.0700304
8,1436380820158,2.1068976,9.3738985,-0.2741361
9,1436380820180,2.3403323,9.378687,-0.4141969
10,1436380820200,2.4642322,9.358934,-0.5662287
11,1436380820220,2.5037365,9.297284,-0.6895301
12,1436380820238,2.4612393,9.279925,-0.5470751
13,1436380820263,2.4259248,9.314642,-0.3764882
14,1436380820280,2.405574,9.289502,-0.30107087
15,1436380820299,2.3708582,9.372701,-0.34955344
16,1436380820320,2.3127987,9.433753,-0.28491
17,1436380820339,2.2780828,9.446921,-0.338181
18,1436380820360,2.3582888,9.390657,-0.4429273
19,1436380820378,2.4708161,9.267955,-0.533907
20,1436380820399,2.4917655,9.280524,-0.54049104
21,1436380820417,2.4115596,9.356541,-0.39803603
22,1436380820506,2.3451207,9.411008,-0.32202014
23,1436380820507,2.3062148,9.361927,-0.3465607
24,1436380820508,2.391209,9.351752,-0.4177882
25,1436380820509,2.4552538,9.312247,-0.4854244
26,1436380820517,2.417545,9.324817,-0.45789108
27,1436380820538,2.2882583,9.413403,-0.33518824
28,1436380820558,2.3690627,9.38168,-0.41479546
29,1436380820577,2.4588451,9.292496,-0.51714754
30,1436380820600,2.492364,9.27394,-0.5033809
31,1436380820617,2.4271219,9.360131,-0.3489549
32,1436380820638,2.319383,9.38168,-0.25079262
33,1436380820664,2.315193,9.391854,-0.31423897
34,1436380820677,2.409764,9.3343935,-0.4333505
35,1436380820700,2.509722,9.258977,-0.4830302
36,1436380820721,2.4636335,9.266159,-0.41359833
37,1436380820741,2.3469162,9.376292,-0.29328972
38,1436380820760,2.3014264,9.415796,-0.23523031
39,1436380820781,2.4025815,9.367314,-0.38845924
40,1436380820801,2.4893713,9.287108,-0.47165772
41,1436380820821,2.461838,9.298481,-0.4141969
42,1436380820841,2.4019828,9.345766,-0.3286042
