id,attr_time,attr_x,attr_y,attr_z
1,1436380820022,2.2290018,9.900622,1.13964
2,1436380820044,2.3451207,9.869498,1.1438298
3,1436380820062,2.3882163,9.882068,1.2629414
4,1436380820082,2.4145525,9.8683,1.2982559
5,1436380820100,2.391209,9.881469,1.3916297
6,1436380820123,2.273893,9.858126,1.3174095
7,1436380820140,2.204461,9.865308,1.2156559
8,1436380820162,2.235586,9.832388,1.1923125
9,1436380820181,2.268506,9.884461,1.2617443
10,1436380820203,2.2529438,9.884461,1.3491327
11,1436380820223,2.2278047,9.913192,1.3257892
12,1436380820242,2.2242134,9.88925,1.2156559
13,1436380820266,2.1571758,9.8916445,1.1917139
14,1436380820343,2.1278467,9.888053,1.2066777
15,1436380820344,2.1374235,9.88925,1.2797008
16,1436380820345,2.2870612,9.923966,1.2473791
17,1436380820346,2.4007857,9.873089,1.2276269
18,1436380820360,2.3558946,9.8515415,1.1755531
19,1436380820380,2.2720973,9.879673,1.1324574
20,1436380820400,2.260725,9.89763,1.158195
21,1436380820425,2.2547395,9.877279,1.1821371
22,1436380820441,2.2349873,9.870695,1.228824
23,1436380820460,2.2559366,9.878476,1.1791444
24,1436380820482,2.3223755,9.887454,1.2018893
25,1436380820500,2.328361,9.867104,1.2186487
26,1436380820523,2.3020248,9.868899,1.2605472
27,1436380820541,2.268506,9.874885,1.1677719
28,1436380820564,2.248754,9.892242,1.1911154
29,1436380820583,2.220622,9.874287,1.1593921
30,1436380820603,2.178125,9.894637,1.2234371
31,1436380820623,2.2343888,9.898229,1.2186487
32,1436380820643,2.248754,9.917382,1.2060791
33,1436380820663,2.260725,9.8754835,1.2605472
34,1436380820683,2.2140381,9.910199,1.204882
35,1436380820705,2.255338,9.918579,1.168969
36,1436380820720,2.2278047,9.8677025,1.2611457
37,1436380820743,2.207454,9.862914,1.2743138
38,1436380820763,2.1493945,9.894637,1.2551602
39,1436380820783,2.1601684,9.918579,1.2000936
40,1436380820803,2.1823149,9.919178,1.2018893
41,1436380820823,2.1936872,9.88925,1.2306197
42,1436380820843,2.2002714,9.89763,1.2252327
43,1436380820864,2.1733365,9.903615,1.1971009
44,1436380820883,2.1811178,9.895236,1.1558008
45,1436380820903,2.1841104,9.861717,1.2539631
46,1436380820924,2.2188265,9.864111,1.2773066
47,1436380820944,2.2188265,9.914988,1.2677298
48,1436380820963,2.2110453,9.901221,1.2629414
49,1436380820987,2.184709,9.888652,1.2090719
50,1436380821073,2.204461,9.886257,1.2036849
51,1436380821103,2.1829133,9.872491,1.2174516
52,1436380821104,2.208651,9.909002,1.2401965
53,1436380821105,2.2014685,9.896433,1.2755109
54,1436380821106,2.167351,9.879673,1.2659341
55,1436380821107,2.1751323,9.913192,1.2114661
56,1436380821144,2.1691468,9.903615,1.2084733
57,1436380821145,2.1679497,9.927557,1.1917139
58,1436380821182,2.146402,9.92636,1.1994951
59,1436380821183,2.123657,9.903017,1.1988965
60,1436380821217,2.1655555,9.89763,1.1976994
61,1436380821221,2.1888988,9.869498,1.2216414
62,1436380821241,2.220622,9.913791,1.2138603
63,1436380821261,2.224812,9.87668,1.2395979
64,1436380821281,2.1996727,9.892841,1.1797429
65,1436380821300,2.2230163,9.848549,1.2036849
66,1436380821323,2.219425,9.847352,1.2485762
67,1436380821343,2.2092497,9.927557,1.2671312
