id,attr_time,attr_x,attr_y,attr_z
1,1436372950614,9.848549,-0.02932897,1.3862427
2,1436372950636,9.860519,-0.0700304,1.4131776
3,1436372950657,9.954493,-0.08259996,1.4688427
4,1436372950675,9.929952,-0.049679685,1.3904326
5,1436372950694,9.788693,-0.048482586,1.3826514
6,1436372950716,9.838972,0.022146367,1.3916297
7,1436372950737,9.824607,0.002992752,1.2880806
8,1436372950758,9.855133,-0.04189853,1.2916719
9,1436372950778,9.9473095,-0.017956512,1.4203602
10,1436372950797,9.922171,0.05925649,1.4239515
11,1436372950818,9.870695,0.073621705,1.3198037
12,1436372950835,9.8437605,0.006584055,1.3174095
13,1436372950863,9.864111,-0.017357962,1.3024458
14,1436372950920,9.849147,-0.02873042,1.2671312
15,1436372950921,9.847352,-0.040102877,1.3024458
16,1436372950923,9.824607,-0.074818805,1.3311762
17,1436372950943,9.826403,-0.10295067,1.3485341
18,1436372950954,9.85633,-0.13227965,1.3521254
19,1436372950976,9.908403,-0.16519992,1.3730747
20,1436372950995,9.865907,-0.23044191,1.4131776
21,1436372951014,9.807249,-0.207697,1.4251486
22,1436372951036,9.755175,-0.19812019,1.4030021
23,1436372951054,9.792285,-0.20051439,1.4335283
24,1436372951076,9.8437605,-0.23283611,1.4580688
25,1436372951100,9.881469,-0.19153613,1.4634558
26,1436372951116,9.881469,-0.15741876,1.4550761
27,1436372951135,9.861717,-0.12449849,1.4293385
28,1436372951158,9.865308,-0.12449849,1.4395138
29,1436372951179,9.925163,-0.1436521,1.4215573
30,1436372951198,9.915586,-0.1376666,1.3904326
31,1436372951218,9.884461,-0.12030864,1.3844471
32,1436372951238,9.874287,-0.10354923,1.4041992
33,1436372951258,9.838373,-0.10115502,1.4748282
34,1436372951277,9.821015,-0.11971009,1.5029601
35,1436372951298,9.816826,-0.12449849,1.5502456
36,1436372951321,9.79827,-0.10414778,1.5053543
37,1436372951340,9.813234,-0.11192893,1.508347
38,1436372951357,9.818622,-0.1412579,1.5472529
39,1436372951379,9.817424,-0.142455,1.5358804
40,1436372951397,9.844957,-0.14185645,1.5610195
41,1436372951417,9.829395,-0.1376666,1.5155296
