id,attr_time,attr_x,attr_y,attr_z
1,1436375913612,-0.077141665,-0.060183506,-0.07820402
2,1436375913632,-0.07805796,-0.06598672,-0.077593155
3,1436375913651,-0.078363396,-0.07117908,-0.082174644
4,1436375913675,-0.08050142,-0.07148451,-0.082174644
5,1436375913723,-0.07775253,-0.07453884,-0.07270624
6,1436375913724,-0.06950585,-0.07912033,-0.065986715
7,1436375913743,-0.06828412,-0.07942576,-0.06751388
8,1436375913750,-0.07408734,-0.078509465,-0.06507042
9,1436375913771,-0.0756145,-0.07820403,-0.059878062
10,1436375913794,-0.05026359,-0.065375865,-0.051936816
11,1436375913810,-0.049652725,-0.060794372,-0.05132595
12,1436375913831,-0.060953736,-0.05254769,-0.04766076
13,1436375913854,-0.052707054,-0.040635817,-0.04552273
14,1436375913872,-0.048430998,-0.033610865,-0.045217298
15,1436375913894,-0.06889498,-0.033000004,-0.044606432
16,1436375913912,-0.05117989,-0.030861974,-0.050715085
17,1436375913933,-0.05117989,-0.02689135,-0.049798787
18,1436375913954,-0.06614609,-0.02444789,-0.034221724
19,1436375913975,-0.049347296,-0.024142457,-0.007954519
20,1436375913999,-0.047820132,-0.03513803,-0.015895765
21,1436375914011,-0.053928785,-0.030861974,-0.04766076
22,1436375914031,-0.05026359,-0.032083705,-0.06812474
23,1436375914052,-0.059426572,-0.031778272,-0.07850945
24,1436375914074,-0.06034287,-0.027502215,-0.07912032
25,1436375914094,-0.07072758,-0.01864467,-0.07453883
26,1436375914115,-0.084472045,-0.017422939,-0.071484506
27,1436375914136,-0.08080685,-0.018033804,-0.07209537
28,1436375914151,-0.07317104,-0.023531592,-0.07576056
29,1436375914174,-0.07347647,-0.022004427,-0.08034205
30,1436375914194,-0.06675696,-0.033916302,-0.07576056
31,1436375914213,-0.049958162,-0.04094125,-0.07545513
32,1436375914234,-0.039878882,-0.035748895,-0.07087364
33,1436375914254,-0.05331792,-0.026585918,-0.05712917
34,1436375914274,-0.05912114,-0.0039839037,-0.05590744
35,1436375914294,-0.065535225,0.0036519133,-0.061099794
36,1436375914313,-0.07683623,0.009760566,-0.06262696
37,1436375914335,-0.072865605,0.0152583495,-0.06384869
38,1436375914355,-0.055455945,0.011593159,-0.065681286
39,1436375914375,-0.044154942,0.0021247491,-0.07117907
40,1436375914394,-0.054234218,-0.012536015,-0.081869215
41,1436375914417,-0.051485322,-0.010397989,-0.09011589
42,1436375914492,-0.042016912,-0.017422939,-0.094697386
43,1436375914493,-0.03010504,-0.0198664,-0.08522897
44,1436375914494,-0.041100614,-0.017728372,-0.08278551
45,1436375914495,-0.053623352,-0.021393564,-0.07973118
46,1436375914513,-0.045376673,-0.015590344,-0.07820402
47,1436375914537,-0.041100614,-0.015590344,-0.06720845
48,1436375914551,-0.038962588,-0.015590344,-0.053158544
49,1436375914571,-0.029799607,-0.009787124,-0.04552273
50,1436375914593,-0.039268017,-0.0067327954,-0.04552273
51,1436375914613,-0.03865715,-0.0021513067,-0.047355324
52,1436375914634,-0.036824558,-0.0009295754,-0.052853115
53,1436375914652,-0.045682102,0.003957346,-0.04796619
54,1436375914674,-0.059732005,-0.0006241463,-0.052853115
55,1436375914693,-0.054234218,0.0051790737,-0.05224225
56,1436375914715,-0.054234218,-0.0036784708,-0.051631384
57,1436375914734,-0.069811285,-0.010703422,-0.054685708
58,1436375914755,-0.072560176,-0.021698996,-0.054074846
59,1436375914775,-0.07103301,-0.020477265,-0.056212872
60,1436375914795,-0.07927969,-0.025058754,-0.0592672
61,1436375914815,-0.08538835,-0.033000004,-0.0592672
62,1436375914833,-0.08722094,-0.03147284,-0.057434604
63,1436375914855,-0.085999206,-0.030861974,-0.055296574
