id,attr_time,attr_x,attr_y,attr_z
1,1436468770501,-1.0109516,9.395446,-1.4263457
2,1436468770519,-1.0648212,9.411607,-1.4496891
3,1436468770540,-1.1540052,9.40203,-1.3874398
4,1436468770561,-1.1372458,9.423578,-1.3299791
5,1436468770581,-1.1965023,9.437345,-1.3575124
6,1436468770598,-1.2192472,9.368511,-1.3910311
7,1436468770619,-1.2635399,9.3499565,-1.3563153
8,1436468770638,-1.3958195,9.405023,-1.4000094
9,1436468770660,-1.4622587,9.5013895,-1.3569138
10,1436468770683,-1.3640964,9.466075,-1.3479356
11,1436468770703,-1.1827357,9.495404,-1.2922704
12,1436468770729,-1.0809821,9.458294,-1.359308
13,1436468770738,-1.039682,9.397242,-1.4616601
14,1436468770834,-1.074398,9.374496,-1.4335283
15,1436468770835,-1.1504139,9.349358,-1.4526819
16,1436468770836,-1.2270284,9.366715,-1.2677298
17,1436468770837,-1.1246762,9.405622,-1.3682863
18,1436468770838,-1.1127052,9.461885,-1.4305356
19,1436468770868,-1.1067197,9.421184,-1.4838065
20,1436468770879,-1.2072762,9.420585,-1.4443022
21,1436468770908,-1.2761095,9.43495,-1.3126211
22,1436468770918,-1.276708,9.430161,-1.2880806
23,1436468770940,-1.2120646,9.435549,-1.2671312
24,1436468770959,-1.1755531,9.506178,-1.3221979
25,1436468770979,-1.1192893,9.481039,-1.3431472
26,1436468771001,-1.043872,9.475053,-1.3497312
27,1436468771024,-0.98820674,9.48463,-1.3102269
28,1436468771040,-0.97503865,9.4062195,-1.4000094
29,1436468771060,-1.0193313,9.374496,-1.3982137
30,1436468771082,-1.1540052,9.348759,-1.4790181
31,1436468771103,-1.2485762,9.362526,-1.4598645
32,1436468771123,-1.311424,9.383475,-1.3904326
33,1436468771143,-1.2653356,9.414001,-1.3790601
34,1436468771161,-1.2078748,9.420585,-1.2761095
35,1436468771179,-1.2114661,9.448118,-1.3628993
36,1436468771199,-1.2090719,9.471462,-1.3611037
37,1436468771223,-1.1623849,9.379884,-1.3742718
38,1436468771240,-1.2324153,9.378088,-1.3617022
39,1436468771261,-1.2988545,9.436148,-1.3467385
40,1436468771305,-1.2515689,9.473856,-1.3467385
41,1436468771314,-1.1414356,9.454702,-1.328782
42,1436468771319,-1.0097545,9.409213,-1.3808558
43,1436468771343,-1.0163386,9.43495,-1.3377602
44,1436468771362,-1.0540473,9.414599,-1.3754689
45,1436468771378,-1.1216835,9.448717,-1.3425486
46,1436468771401,-1.1474211,9.448118,-1.3772645
47,1436468771419,-1.0785879,9.406818,-1.388637
48,1436468771441,-1.0893618,9.436746,-1.3814543
49,1436468771460,-1.0372878,9.382876,-1.2258313
50,1436468771482,-1.1444284,9.475652,-1.3587095
51,1436468771502,-1.2264298,9.455301,-1.4311341
52,1436468771519,-1.2192472,9.437345,-1.340753
53,1436468771539,-1.1707647,9.427768,-1.3569138
54,1436468771559,-1.0773908,9.433155,-1.3718776
55,1436468771584,-1.0606314,9.463082,-1.3694834
56,1436468771604,-1.1139023,9.448118,-1.3760674
57,1436468771625,-1.0857705,9.415198,-1.3910311
58,1436468771642,-1.0803835,9.414001,-1.3700819
59,1436468771659,-1.0163386,9.399037,-1.3575124
60,1436468771679,-1.067814,9.476251,-1.3940239
61,1436468771703,-1.049259,9.507974,-1.353921
62,1436468771722,-1.0576386,9.426571,-1.3192052
63,1436468771827,-1.1013328,9.418191,-1.3317747
64,1436468771828,-1.1270704,9.438541,-1.3634979
65,1436468771829,-1.1204864,9.403227,-1.282095
66,1436468771830,-1.1192893,9.473258,-1.4371196
67,1436468771831,-1.1420342,9.443929,-1.4107834
68,1436468771951,-1.1665748,9.431957,-1.3335704
69,1436468771952,-1.1845313,9.443929,-1.3317747
70,1436468771960,-1.1127052,9.426571,-1.3395559
71,1436468771961,-1.0702082,9.450513,-1.3958195
