id,attr_time,attr_x,attr_y,attr_z
1,1436465583015,0.5662287,9.985018,-1.323395
2,1436465583034,0.60932434,9.985617,-1.2910733
3,1436465583075,0.60932434,9.980229,-1.3024458
4,1436465583076,0.61291564,9.980229,-1.2982559
5,1436465583097,0.5919664,9.988011,-1.3030443
6,1436465583117,0.5793968,9.964667,-1.2982559
7,1436465583138,0.5626374,9.974244,-1.3293805
8,1436465583158,0.55246204,9.979631,-1.3162124
9,1436465583178,0.5907693,9.97604,-1.3180081
10,1436465583195,0.5955577,9.995792,-1.3150153
11,1436465583218,0.5686229,9.9928,-1.3263878
12,1436465583234,0.55844754,9.987412,-1.3245921
13,1436465583259,0.57640404,9.986814,-1.3245921
14,1436465583279,0.5835867,9.997588,-1.3335704
15,1436465583298,0.5734113,9.986814,-1.3305776
16,1436465583315,0.5907693,9.982025,-1.3401544
17,1436465583336,0.60453594,9.974244,-1.2934675
18,1436465583355,0.5979519,9.980828,-1.3090298
19,1436465583382,0.6159084,9.956287,-1.2892777
20,1436465583401,0.62129533,9.9790325,-1.335366
21,1436465583421,0.5823896,9.972448,-1.3263878
22,1436465583437,0.58538234,9.9790325,-1.3449428
23,1436465583539,0.6063316,9.98442,-1.3443443
24,1436465583540,0.61650693,9.968858,-1.3862427
25,1436465583541,0.56802434,9.987412,-1.3682863
26,1436465583542,0.56802434,9.982624,-1.3545196
27,1436465583543,0.5793968,10.003573,-1.3623008
28,1436465583564,0.62847793,9.987412,-1.3628993
29,1436465583649,0.65780693,9.978435,-1.3305776
30,1436465583650,0.56682724,9.965266,-1.3718776
31,1436465583664,0.57161564,9.979631,-1.3515269
32,1436465583665,0.5823896,9.982624,-1.3724761
33,1436465583666,0.6135142,9.986814,-1.3652935
34,1436465583677,0.58538234,9.983223,-1.3892355
35,1436465583696,0.6302736,10.01734,-1.3144168
36,1436465583718,0.57281274,9.951499,-1.4490906
37,1436465583738,0.57879823,9.954493,-1.4012065
38,1436465583759,0.635062,10.001778,-1.3617022
39,1436465583779,0.58657944,9.964667,-1.395221
40,1436465583799,0.59974754,9.958682,-1.3988123
41,1436465583819,0.61411273,9.967062,-1.400608
42,1436465583838,0.6159084,9.973646,-1.3982137
43,1436465583858,0.6039374,9.985018,-1.3838485
44,1436465583879,0.61530983,9.973047,-1.4077905
45,1436465583899,0.63087213,9.978435,-1.4161704
46,1436465583919,0.63087213,9.96347,-1.4053963
47,1436465583938,0.6194997,9.982025,-1.376666
48,1436465583959,0.6003461,9.964069,-1.3772645
49,1436465583979,0.6003461,9.97604,-1.3652935
50,1436465583999,0.6428431,9.965266,-1.3700819
51,1436465584019,0.66618663,9.987412,-1.377863
52,1436465584038,0.6512229,9.974244,-1.3748703
53,1436465584059,0.5955577,9.946113,-1.3790601
54,1436465584078,0.60693014,9.959281,-1.3688848
55,1436465584101,0.6075287,9.972448,-1.3742718
