id,attr_time,attr_x,attr_y,attr_z
1,1436472360023,-8.95961,-3.32269,1.3037
2,1436472360037,-8.98257,-3.4133,1.36246
3,1436472360056,-9.20143,-3.60361,1.18851
4,1436472360076,-9.46021,-3.69803,1.10616
5,1436472360094,-9.65416,-3.68456,1.2561
6,1436472360115,-9.81281,-3.68553,1.24905
7,1436472360134,-9.82597,-3.73305,1.07715
8,1436472360155,-9.88236,-3.51538,1.02179
9,1436472360174,-9.922,-3.12242,1.02519
10,1436472360195,-9.87106,-2.78073,1.04184
11,1436472360214,-9.7455,-2.62743,0.938034
12,1436472360233,-9.48431,-2.73947,0.771591
13,1436472360254,-9.13782,-2.70792,0.837769
14,1436472360272,-8.87363,-2.92072,1.00333
15,1436472360293,-8.78186,-3.24417,0.857086
16,1436472360313,-8.75266,-3.50687,0.573471
17,1436472360334,-8.57845,-3.89305,0.541122
18,1436472360353,-8.41431,-4.31807,0.553696
19,1436472360374,-8.43228,-4.67923,0.562943
20,1436472360393,-8.58063,-5.02603,0.302994
21,1436472360412,-8.51645,-4.90918,0.346817
22,1436472360433,-8.26018,-5.54245,0.231201
23,1436472360453,-8.47841,-5.8714,0.0656891
24,1436472360472,-8.96313,-4.96632,0.265671
25,1436472360491,-9.08026,-3.92134,0.48436
26,1436472360511,-8.76679,-4.21919,0.69693
27,1436472360532,-8.56255,-4.28432,0.688217
28,1436472360551,-8.81363,-3.67642,0.965576
29,1436472360572,-9.17195,-4.40773,0.884476
30,1436472360589,-9.19882,-3.93631,1.06853
31,1436472360610,-8.78687,-4.33028,0.932571
32,1436472360629,-8.64525,-4.37982,0.658081
33,1436472360647,-8.59801,-3.51144,0.932861
34,1436472360671,-8.4597,-3.79333,0.542557
35,1436472360690,-8.62509,-3.52383,0.783035
36,1436472360709,-8.84197,-4.24863,0.938126
37,1436472360729,-8.35481,-5.26494,-0.52034
38,1436472360749,-8.33063,-4.2608,-1.11183
39,1436472360769,-8.35348,-4.04716,-0.705017
40,1436472360789,-9.10393,-5.80788,-0.824478
41,1436472360806,-9.39183,-6.42522,-0.214554
42,1436472360828,-9.07222,-4.591,0.477722
43,1436472360847,-9.18629,-3.57501,0.437149
44,1436472360868,-9.50557,-3.15637,-0.337021
45,1436472360905,-9.14232,-4.07916,-0.757797
46,1436472360925,-8.98648,-4.27005,-0.38858
47,1436472360945,-9.20068,-3.46883,0.450989
48,1436472360965,-9.20721,-3.13916,0.216812
49,1436472360987,-9.45943,-3.29692,-0.156601
50,1436472361007,-9.99142,-3.18132,0.140472
51,1436472361026,-10.0379,-3.86198,-0.113083
52,1436472361046,-9.53641,-4.56822,-0.785843
53,1436472361066,-9.0343,-4.33463,-0.957199
54,1436472361085,-8.97353,-3.38391,-0.686615
55,1436472361106,-8.93765,-3.62096,-1.0314
56,1436472361124,-8.68643,-4.82066,-1.18657
57,1436472361145,-8.50797,-5.34668,-1.07948
58,1436472361165,-8.49228,-4.3071,-1.26263
59,1436472361183,-8.15073,-3.65918,-1.30218
60,1436472361204,-7.99568,-3.5153,-1.21944
61,1436472361222,-8.13832,-4.27924,-1.42683
62,1436472361243,-8.76718,-4.62503,-1.16264
63,1436472361263,-10.1315,-4.6561,-0.958633
64,1436472361283,-11.5041,-5.24788,-0.903961
65,1436472361302,-11.457,-4.76831,-1.34705
66,1436472361323,-9.71117,-4.57938,-1.13881
67,1436472361342,-8.17006,-4.89745,-0.870575
68,1436472361362,-8.02325,-3.47343,-0.262604
69,1436472361382,-7.89478,-3.45372,0.141693
70,1436472361400,-7.47534,-4.36685,-0.247742
71,1436472361421,-7.33823,-4.96465,-0.336624
72,1436472361440,-7.17629,-5.56052,-0.951813
73,1436472361461,-6.64908,-6.17555,-1.33089
74,1436472361481,-6.53625,-6.12868,-1.5885
75,1436472361501,-7.66551,-6.97482,-2.65144
76,1436472361521,-9.32852,-7.83548,-3.69858
77,1436472361539,-10.4402,-7.38579,-3.34901
78,1436472361560,-10.3931,-6.14142,-2.39783
79,1436472361579,-9.26813,-4.75026,-1.92476
80,1436472361600,-8.25537,-4.76508,-1.83475
81,1436472361618,-7.5603,-4.7128,-1.24918
82,1436472361638,-7.11655,-4.67911,-0.770309
83,1436472361659,-6.80199,-5.17209,-1.07201
84,1436472361679,-6.74309,-5.02548,-1.28081
85,1436472361699,-6.73294,-4.78426,-1.43173
86,1436472361717,-6.37421,-5.52391,-2.41013
87,1436472361737,-6.10884,-6.6492,-3.40999
88,1436472361757,-6.31461,-6.8273,-3.9323
89,1436472361777,-6.8387,-6.62639,-3.53618
90,1436472361797,-7.61084,-6.21651,-3.0882
91,1436472361817,-7.96977,-5.56697,-2.41243
92,1436472361836,-8.07263,-5.13875,-1.52254
93,1436472361857,-8.35121,-5.05955,-0.65947
94,1436472361877,-8.53197,-4.37558,-0.0554352
95,1436472361896,-9.04242,-2.83273,1.28166
96,1436472361916,-9.64481,-2.8295,2.12492
97,1436472361936,-9.89319,-1.14899,3.61328
98,1436472361975,-9.98619,-1.55562,4.02208
99,1436472361995,-9.07686,-4.20909,2.96577
100,1436472362015,-8.70059,-4.89052,2.32877
101,1436472362034,-8.93484,-4.3101,2.1944
102,1436472362055,-9.22043,-4.47992,1.10867
103,1436472362073,-9.53235,-4.75415,0.245972
104,1436472362094,-9.91922,-5.00941,-0.011261
105,1436472362114,-9.77708,-4.96016,0.214218
106,1436472362134,-9.07289,-4.64017,0.476852
107,1436472362153,-8.80078,-4.31586,0.702774
108,1436472362173,-8.82623,-4.00624,0.817169
109,1436472362193,-8.90712,-3.75412,1.04405
110,1436472362212,-9.21077,-3.9713,0.992828
111,1436472362233,-9.10989,-4.30695,0.997559
112,1436472362251,-8.70749,-4.423,0.848282
113,1436472362271,-8.65828,-4.89101,1.08041
114,1436472362291,-8.80199,-4.43896,1.30185
115,1436472362311,-8.63756,-3.68396,1.52615
116,1436472362331,-8.74533,-3.38409,1.82391
117,1436472362350,-8.88156,-3.20549,2.10083
118,1436472362370,-8.94405,-2.84779,2.65105
119,1436472362389,-8.75442,-1.56497,3.37306
120,1436472362411,-8.63603,-0.939545,3.15558
121,1436472362430,-8.62099,-0.655304,2.93326
122,1436472362450,-8.10468,-0.010849,3.19116
123,1436472362469,-7.56601,0.108582,2.54541
124,1436472362489,-8.31059,0.285431,1.85645
125,1436472362509,-8.8214,-1.39252,0.424774
126,1436472362529,-9.61139,-3.51775,-1.0042
127,1436472362549,-10.3798,-5.16072,-1.77292
128,1436472362567,-10.1194,-5.22075,-1.61073
129,1436472362589,-10.006,-5.15999,-2.08456
130,1436472362608,-10.0441,-5.38979,-2.52962
131,1436472362627,-9.69402,-5.39615,-2.60692
132,1436472362647,-9.39755,-5.47696,-2.17516
133,1436472362665,-9.15355,-4.93263,-1.26944
134,1436472362687,-9.04871,-3.86012,-0.249374
135,1436472362706,-8.98973,-3.37383,0.131378
136,1436472362727,-8.76616,-3.30919,0.202316
137,1436472362746,-8.79094,-3.61079,-0.134933
138,1436472362766,-9.36638,-3.88641,-0.675888
139,1436472362786,-9.52635,-4.2186,-1.03127
140,1436472362806,-9.549,-4.27295,-0.890747
141,1436472362826,-9.53526,-3.84164,-0.351013
142,1436472362845,-9.42786,-3.16852,-0.04216
143,1436472362865,-9.43579,-3.29341,-0.159119
144,1436472362884,-9.57404,-3.56,-0.510727
145,1436472362905,-9.42699,-3.66142,-1.00047
146,1436472362924,-9.15436,-3.51338,-1.15585
147,1436472362945,-9.07666,-3.14937,-1.33241
148,1436472362963,-9.05049,-3.27905,-1.50023
149,1436472362982,-8.97487,-3.66377,-1.37747
150,1436472363004,-9.13678,-3.74435,-0.904175
151,1436472363043,-9.19884,-3.99644,-0.74588
152,1436472363064,-9.17549,-4.1861,-0.924316
153,1436472363083,-9.1532,-4.32632,-0.547409
154,1436472363102,-9.11089,-4.15636,0.34996
155,1436472363123,-8.74643,-3.16696,0.683014
156,1436472363142,-8.32578,-1.88074,0.986267
157,1436472363160,-8.55475,-1.65254,1.83337
158,1436472363181,-9.336,-2.19107,2.62325
159,1436472363200,-9.62927,-2.93721,2.13586
160,1436472363221,-9.28084,-3.20024,0.961136
161,1436472363241,-9.13216,-3.35249,0.26857
162,1436472363261,-9.34692,-3.4119,0.445038
163,1436472363280,-9.4975,-3.09006,0.790192
164,1436472363299,-9.48111,-2.73955,0.831726
165,1436472363320,-9.55434,-2.6163,0.662292
166,1436472363339,-9.58572,-2.76373,0.521149
167,1436472363360,-9.63396,-2.84167,0.542801
168,1436472363379,-9.68893,-2.71814,1.00333
169,1436472363399,-9.47743,-2.58914,1.07657
170,1436472363419,-9.48525,-2.79523,0.892136
171,1436472363439,-9.50377,-3.16734,0.50705
172,1436472363458,-9.33128,-3.40732,0.293396
173,1436472363477,-9.59023,-3.73485,0.709427
174,1436472363497,-10.0253,-4.04437,0.773636
175,1436472363514,-9.85886,-5.11423,1.97066
176,1436472363538,-9.34775,-5.19704,2.8358
177,1436472363557,-9.0883,-4.4185,3.20612
178,1436472363577,-9.00836,-4.2603,2.58012
179,1436472363597,-9.35317,-4.04565,1.87448
180,1436472363616,-9.57956,-3.68048,1.33304
181,1436472363636,-9.60262,-3.4931,1.46802
182,1436472363657,-10.0051,-3.02013,1.21437
