id,attr_time,attr_x,attr_y,attr_z
1,1436472360002,-6.637924,6.969521,-0.040102877
2,1436472360019,-6.6959834,6.918046,-0.010773907
3,1436472360039,-6.8222775,7.041347,-0.0712275
4,1436472360062,-6.877943,6.9078703,-0.0005985504
5,1436472360082,-6.903082,6.8982935,0.046088383
6,1436472360102,-6.8851256,6.84203,0.1316811
7,1436472360122,-6.9982514,6.938995,0.18495208
8,1436472360142,-6.83365,7.0036387,0.1592144
9,1436472360161,-6.766014,7.101801,0.22325931
10,1436472360179,-6.704962,7.1700354,0.2681506
11,1436472360201,-6.4643445,7.149685,0.31483752
12,1436472360220,-6.3206925,7.0365586,0.32202014
13,1436472360240,-6.2686186,7.08145,0.077213004
14,1436472360263,-6.652888,7.2047515,-0.090381116
15,1436472360282,-7.073669,7.48188,-0.16699557
16,1436472360302,-7.143699,7.4327993,-0.090381116
17,1436472360323,-6.782175,7.228095,0.16400282
18,1436472360341,-6.683414,7.079654,0.3764882
19,1436472360361,-6.661866,7.091027,0.49440265
20,1436472360381,-6.623559,6.9330096,0.62009823
21,1436472360399,-6.693589,6.896498,0.6739678
22,1436472360419,-6.661866,6.811504,0.7290344
23,1436472360489,-6.607398,6.7809777,0.6967127
24,1436472360490,-6.872556,6.897695,0.56802434
25,1436472360491,-7.0132155,6.939594,0.52852005
26,1436472360501,-6.915652,6.9306154,0.52971715
27,1436472360522,-6.7241154,7.013814,0.44592008
28,1436472360539,-6.8569937,6.8731546,0.5494693
29,1436472360562,-6.806117,6.723517,0.5638345
30,1436472360582,-6.7468605,6.5631056,0.5614403
31,1436472360599,-6.8408327,6.479907,0.54408234
32,1436472360620,-7.0664864,6.413468,0.56982
33,1436472360640,-7.1472907,6.3589997,0.49081135
34,1436472360663,-7.268198,6.5487404,0.35434186
35,1436472360683,-7.259818,6.591237,0.22565351
36,1436472360704,-7.4645224,6.685808,0.31184477
37,1436472360723,-7.2568254,6.807314,0.24839842
38,1436472360743,-7.1706343,6.637326,0.4345476
39,1436472360763,-7.0706763,6.6534867,0.480636
40,1436472360783,-6.8264675,6.6385226,0.2908955
41,1436472360803,-6.8653736,6.6486983,-0.073023155
42,1436472360823,-7.0515227,6.5241995,-0.22864626
43,1436472360843,-7.3753386,6.3446345,-0.2885013
44,1436472360863,-7.631518,6.2243257,-0.21428105
45,1436472360882,-7.502231,6.149507,-0.24839842
46,1436472360907,-7.5309615,6.2500634,-0.24181437
47,1436472361025,-7.567473,6.3362546,-0.2220622
48,1436472361026,-7.3873096,6.3063273,-0.15622166
49,1436472361027,-7.3765354,6.3524156,-0.10594343
50,1436472361028,-7.675212,6.59423,0.06823475
51,1436472361029,-7.4830775,6.6708446,0.3298013
52,1436472361030,-7.267599,6.8330517,0.45250413
53,1436472361042,-6.773795,6.6480994,0.6392518
54,1436472361060,-6.601413,6.55712,0.56682724
55,1436472361081,-6.8246717,6.342839,0.45070848
56,1436472361102,-7.1580644,6.30932,0.23163901
57,1436472361133,-7.293337,6.305729,0.109534726
58,1436472361184,-7.3579803,6.3925185,0.022146367
59,1436472361185,-7.4471645,6.5720835,-0.073023155
60,1436472361186,-7.4974427,6.5487404,0.05327099
61,1436472361204,-7.2472486,6.5948286,0.061650693
62,1436472361220,-7.144298,6.6522894,0.11971009
63,1436472361247,-7.0329676,6.6588736,0.15502456
64,1436472361262,-7.1245456,6.791752,0.17896658
65,1436472361280,-7.0820484,6.8809357,0.2136825
66,1436472361302,-6.8222775,6.938995,0.11192893
67,1436472361320,-6.7923503,6.880337,0.022146367
68,1436472361343,-7.1221514,6.84203,-0.06584055
