id,attr_time,attr_x,attr_y,attr_z
1,1436472360001,1.1085154,9.852738,1.7956513
2,1436472360020,1.2054806,9.929952,1.7435774
3,1436472360040,1.2623428,10.1699705,1.6310499
4,1436472360063,1.151611,10.011354,1.8489223
5,1436472360079,1.2360066,9.788693,2.1493945
6,1436472360105,1.4694413,9.788095,2.417545
7,1436472360120,1.6226702,9.826403,2.4420857
8,1436472360140,1.7202339,9.892242,2.3732524
9,1436472360161,1.5454572,9.744401,2.4582467
10,1436472360181,1.3467385,9.715072,2.5312698
11,1436472360201,1.1815386,9.691729,2.520496
12,1436472360221,0.9552865,9.815628,2.4612393
13,1436472360241,0.8774749,9.932944,2.356493
14,1436472360263,0.89184016,9.634268,2.1859062
15,1436472360279,1.0235212,9.51336,1.9955671
16,1436472360301,1.2970588,9.76116,2.022502
17,1436472360319,1.3892355,9.927557,2.1529858
18,1436472360339,1.496376,10.019734,2.0386627
19,1436472360358,1.882441,9.668385,1.9740193
20,1436472360382,2.1290438,9.498995,2.0518308
21,1436472360403,2.1811178,9.606734,2.1990743
22,1436472360422,2.2816741,9.883265,2.5127146
23,1436472360439,2.3133974,9.792285,2.9191303
24,1436472360460,2.2493525,9.484032,3.0400376
25,1436472360479,2.203264,9.434352,2.707842
26,1436472360500,1.9686323,9.687539,2.2002714
27,1436472360519,1.6675615,9.958083,2.0093338
28,1436472360604,1.7351977,10.080188,2.1691468
29,1436472360605,2.142212,9.880871,2.3331497
30,1436472360606,2.508525,9.564836,2.3971944
31,1436472360607,2.6970682,9.660604,2.4588451
32,1436472360618,2.5941176,9.954493,2.606687
33,1436472360641,2.0733786,9.883265,2.7030537
34,1436472360658,1.5711949,9.654618,2.6791117
35,1436472360679,1.3144168,9.4535055,2.260725
36,1436472360701,1.1486182,9.454104,1.774702
37,1436472360721,0.90859956,9.940725,1.6358383
38,1436472360741,0.4417302,10.090961,1.8914193
39,1436472360760,0.32142156,9.912594,2.1362264
40,1436472360782,0.581791,9.889849,2.03148
41,1436472360802,1.0127473,10.04607,1.6142905
42,1436472360822,1.5149311,10.522516,1.3239936
43,1436472360842,2.3277626,10.964247,1.6364368
44,1436472360862,3.003526,10.4644575,2.8496985
45,1436472360881,3.1908724,9.79827,3.928885
46,1436472360902,2.7641058,9.456498,3.642778
47,1436472360923,1.5969325,9.710882,2.5803509
48,1436472360964,0.21428105,9.816826,1.6627731
49,1436472360965,-0.7679402,9.822811,1.2354081
50,1436472360999,-0.9115923,9.790489,1.3880384
51,1436472361000,-0.38486794,9.718064,1.7513585
52,1436472361019,0.08559271,9.746197,1.8764555
53,1436472361039,0.43035775,10.245986,1.899799
54,1436472361060,1.1240777,11.104307,1.5927427
55,1436472361080,2.1080947,10.820595,1.9596541
56,1436472361100,2.5773582,10.697293,2.3373394
57,1436472361119,3.2770636,10.33936,3.0250738
58,1436472361149,3.0657754,9.704298,3.5523968
59,1436472361160,2.3439236,9.473258,3.364452
60,1436472361179,1.4838065,9.504981,2.7563248
61,1436472361203,0.7404069,9.604341,2.1637597
62,1436472361221,0.2705448,9.61272,1.8459295
63,1436472361441,0.18914193,9.572019,1.8968062
64,1436472361442,0.39743748,9.542689,2.0626047
65,1436472361443,0.57640404,9.405023,2.1877017
66,1436472361444,0.7230489,9.606135,2.2427685
67,1436472361445,0.7966706,9.929952,2.1613655
