id,attr_time,attr_x,attr_y,attr_z
1,1436468770522,0.04525716,-0.28423825,-0.08455171
2,1436468770548,0.051976677,-0.27874047,-0.07997022
3,1436468770562,0.06175052,-0.2839328,-0.07722133
4,1436468770584,0.05930706,-0.2857654,-0.07355613
5,1436468770605,0.062361386,-0.26988292,-0.06592032
6,1436468770622,0.06724831,-0.27904588,-0.064393155
7,1436468770643,0.06052879,-0.2845437,-0.06683662
8,1436468770665,0.055336434,-0.29156864,-0.06622575
9,1436468770685,0.05808533,-0.3016479,-0.06683662
10,1436468770705,0.054420136,-0.3196684,-0.070196375
11,1436468770724,0.044035427,-0.32089016,-0.08668974
12,1436468770743,0.034567017,-0.33096942,-0.093714684
13,1436468770765,0.03395615,-0.33982697,-0.08943863
14,1436468770783,0.048311483,-0.34624106,-0.08699517
15,1436468770805,0.058696195,-0.3547932,-0.08546801
16,1436468770825,0.05839076,-0.36090183,-0.080581084
17,1436468770842,0.06938633,-0.37708977,-0.07905392
18,1436468770864,0.063277684,-0.38900164,-0.0732507
19,1436468770885,0.08160364,-0.35754207,-0.06530945
20,1436468770904,0.11367407,-0.36762136,-0.052481283
21,1436468770925,0.08679599,-0.4045787,-0.060422532
22,1436468770944,0.055336434,-0.364567,-0.08363541
23,1436468770964,0.06969177,-0.35570946,-0.08455171
24,1436468770985,0.08129821,-0.37525716,-0.06775291
25,1436468771003,0.084963396,-0.37311915,-0.06072796
26,1436468771023,0.087712295,-0.35815293,-0.06622575
27,1436468771042,0.080687344,-0.3447139,-0.06622575
28,1436468771106,0.08160364,-0.3578475,-0.058284502
29,1436468771107,0.10023503,-0.36609417,-0.046067197
30,1436468771108,0.10848171,-0.36670506,-0.033849895
31,1436468771141,0.119782716,-0.34868452,-0.03476619
32,1436468771142,0.105121955,-0.34410304,-0.03323903
33,1436468771162,0.09259921,-0.34685194,-0.043318305
34,1436468771182,0.09168292,-0.33982697,-0.046067197
35,1436468771202,0.09321008,-0.33005315,-0.04545633
36,1436468771223,0.08313081,-0.32822055,-0.05309215
37,1436468771242,0.08251994,-0.33188573,-0.060422532
38,1436468771264,0.07244066,-0.3269988,-0.05645191
