id,attr_time,attr_x,attr_y,attr_z
1,1436468772400,0.0956268,0.034729,0.0232544
2,1436468772401,0.0753326,0.0390015,0.0211182
3,1436468772402,0.0646515,0.0379333,0.0232544
4,1436468772403,0.0539703,0.034729,0.0221863
5,1436468772404,0.050766,0.0411377,0.0211182
6,1436468772405,0.0646515,0.0432739,0.0179138
7,1436468772406,0.0849457,0.0486145,0.010437
8,1436468772407,0.109512,0.0336609,0.010437
9,1436468772408,0.12233,0.0357971,0.0115051
10,1436468772409,0.10524,0.0625,0.02005
11,1436468772410,0.0988312,0.0486145,0.0179138
12,1436468772411,0.116989,0.0411377,0.028595
13,1436468772412,0.0892181,0.0357971,0.0339355
14,1436468772413,0.0486298,0.0400696,0.0371399
15,1436468772414,0.0347443,0.0454102,0.0307312
16,1436468772415,0.0496979,0.0454102,0.0232544
17,1436468772416,0.0614471,0.0379333,0.0243225
18,1436468772417,0.0742645,0.0229797,0.0232544
19,1436468772418,0.0753326,0.0293884,0.0211182
20,1436468772419,0.0571747,0.0336609,0.0189819
21,1436468772420,0.0454254,0.0379333,0.0157776
22,1436468772421,0.0539703,0.0304565,0.0221863
23,1436468772422,0.0731964,0.00802612,0.0253906
24,1436468772423,0.0806732,-0.00692749,0.0264587
25,1436468772424,0.0828095,0.000549316,0.0317993
26,1436468772425,0.0614471,0.00909424,0.0414124
27,1436468772426,0.00483704,0.0101624,0.038208
28,1436468772427,-0.0485687,0.00909424,0.0424805
29,1436468772428,-0.0709991,0.00909424,0.047821
30,1436468772429,-0.0795441,0.016571,0.0542297
31,1436468772430,-0.0528412,0.0176392,0.0595703
32,1436468772431,-0.0175934,0.016571,0.0520935
33,1436468772432,0.0219269,0.0187073,0.0499573
34,1436468772433,0.0454254,0.0219116,0.0317993
35,1436468772434,0.0486298,0.0464783,0.0339355
36,1436468772435,0.0368805,0.0475464,0.0307312
37,1436468772436,0.0625153,0.0315247,0.0264587
38,1436468772437,0.0689239,0.0208435,0.0360718
39,1436468772438,0.00376892,0.0101624,0.0392761
40,1436468772439,-0.0742035,0.00482178,0.0275269
41,1436468772440,-0.113724,0.00161743,0.0093689
42,1436468772441,-0.123337,0.0122986,-0.00665283
43,1436468772442,-0.109451,0.00268555,-0.0237427
44,1436468772443,-0.0859528,-0.0346985,-0.0248108
45,1436468772444,-0.0645905,-0.0421753,-0.0162659
46,1436468772445,-0.050705,-0.0496521,-0.017334
47,1436468772446,-0.0485687,-0.0443115,-0.0151978
48,1436468772447,-0.0624542,-0.0421753,-0.0141296
49,1436468772448,-0.0912933,-0.0421753,-0.0151978
50,1436468772449,-0.101974,-0.0368347,-0.0162659
51,1436468772450,-0.0934296,-0.0282898,-0.0194702
52,1436468772451,-0.0688629,-0.0218811,-0.0162659
53,1436468772452,-0.0592499,-0.0165405,-0.0109253
54,1436468772453,-0.0539093,-0.0282898,-0.00772095
55,1436468772454,-0.0464325,-0.0346985,-0.00558472
56,1436468772455,-0.0357513,-0.0336304,-0.0045166
57,1436468772456,-0.0293427,-0.0197449,-0.0045166
58,1436468772457,-0.0261383,-0.00906372,-0.00665283
59,1436468772458,-0.00904846,-0.0186768,-0.0045166
60,1436468772459,-0.0272064,0.00161743,0.00189209
61,1436468772460,-0.0293427,-0.0144043,-0.00665283
62,1436468772461,-0.00904846,-0.00372314,0.00189209
