id,attr_time,attr_x,attr_y,attr_z
1,1436472360023,-0.201675,0.0511017,-0.0583649
2,1436472360036,-0.273239,0.0874176,-0.0572968
3,1436472360056,-0.312759,0.0425568,-0.0177765
4,1436472360075,-0.320236,-0.0215302,-0.00282288
5,1436472360094,-0.257217,-0.0503693,-0.0284576
6,1436472360116,-0.157883,-0.0653229,-0.0711823
7,1436472360134,-0.0713654,-0.0695953,-0.127792
8,1436472360155,-0.0553436,-0.0856171,-0.196152
9,1436472360174,-0.135452,-0.105911,-0.279465
10,1436472360194,-0.315964,-0.11232,-0.363846
11,1436472360215,-0.50502,-0.153976,-0.421524
12,1436472360233,-0.673782,-0.20845,-0.437546
13,1436472360254,-0.809433,-0.234085,-0.403366
14,1436472360272,-0.999557,-0.223404,-0.364914
15,1436472360292,-1.09142,-0.195633,-0.297623
16,1436472360313,-1.07112,-0.198837,-0.211105
17,1436472360334,-1.06151,-0.244766,-0.0957489
18,1436472360353,-1.04549,-0.250107,0.02388
19,1436472360373,-1.03908,-0.237289,0.138168
20,1436472360393,-1.01344,-0.241562,0.230026
21,1436472360413,-1.26125,-0.315262,0.217209
22,1436472360432,-1.23454,-0.28215,0.247116
23,1436472360452,-0.713303,-0.304581,0.412674
24,1436472360472,-0.149338,-0.256516,0.473557
25,1436472360491,-0.27858,-0.305649,0.365677
26,1436472360512,-0.378983,-0.283218,0.321884
27,1436472360531,-0.277512,-0.166794,0.377426
28,1436472360551,-0.521042,-0.171066,0.321884
29,1436472360571,-0.313827,-0.116592,0.33577
30,1436472360589,-0.252945,-0.1465,0.314407
31,1436472360611,-0.289261,-0.124069,0.221481
32,1436472360629,0.015152,0.00837707,0.32402
33,1436472360647,-0.121567,0.0788727,0.312271
34,1436472360671,-0.48259,0.209183,0.288773
35,1436472360690,-0.891678,0.228409,0.333633
36,1436472360710,-1.3766,0.179276,0.169144
37,1436472360729,-1.34349,0.315994,0.0345612
38,1436472360749,-0.968582,0.111984,0.353928
39,1436472360768,-1.23241,0.129074,0.069809
40,1436472360788,-1.29863,0.215591,-0.0850677
41,1436472360807,-0.485794,-0.020462,-0.00923157
42,1436472360828,-0.211288,-0.056778,-0.0231171
43,1436472360847,-0.525314,0.0382843,-0.0743866
44,1436472360868,-1.05724,0.0788727,-0.304031
45,1436472360885,-1.0818,-0.00764465,-0.464249
46,1436472360905,-0.654556,-0.0503693,-0.445023
47,1436472360925,-0.279648,-0.139023,-0.255966
48,1436472360946,-0.163223,-0.0856171,-0.211105
49,1436472360965,-0.218765,-0.0546417,-0.102158
50,1436472360987,-0.611832,-0.121933,-0.186539
51,1436472361006,-1.2762,-0.238358,-0.469589
52,1436472361026,-1.49837,-0.3676,-0.674667
53,1436472361046,-1.0818,-0.336624,-0.623398
54,1436472361065,-0.892746,-0.222336,-0.533676
55,1436472361085,-1.21532,-0.114456,-0.589218
56,1436472361105,-1.36165,-0.0535736,-0.671463
57,1436472361124,-1.31145,-0.0535736,-0.665054
58,1436472361145,-0.794479,0.00196838,-0.517654
59,1436472361165,-0.298874,0.016922,-0.496292
60,1436472361183,-0.324509,-0.0300751,-0.359573
61,1436472361204,-0.494339,-0.00123596,-0.304031
62,1436472361222,-0.393936,0.0126495,-0.184402
63,1436472361244,-0.367233,0.0468292,-0.141678
64,1436472361263,-0.502884,0.00730896,-0.356369
65,1436472361283,-0.524246,-0.111252,-0.451431
66,1436472361302,-0.617172,-0.414597,-0.45784
67,1436472361322,-0.447342,-0.304581,-0.56572
68,1436472361343,-0.119431,-0.110184,-0.426865
69,1436472361362,-0.365097,-0.0514374,-0.48027
70,1436472361382,-0.847885,-0.105911,-0.520859
71,1436472361400,-0.948288,-0.189224,-0.475998
72,1436472361421,-1.07753,-0.237289,-0.453568
73,1436472361440,-1.13628,-0.361191,-0.468521
74,1436472361461,-1.02199,-0.46373,-0.32753
75,1436472361481,-0.927994,-0.278946,-0.191879
76,1436472361500,-0.533859,0.0788727,-0.0765228
77,1436472361520,0.102737,0.0372162,0.0591278
78,1436472361541,0.538528,0.000900269,0.0997162
79,1436472361560,0.573776,0.0649872,-0.182266
80,1436472361579,0.0920563,0.235886,-0.578537
81,1436472361599,-0.180313,0.337357,-0.733414
82,1436472361618,-0.232651,0.325607,-0.70137
83,1436472361639,-0.29567,0.320267,-0.608444
84,1436472361659,-0.132248,0.291428,-0.49202
85,1436472361678,-0.0425262,0.156845,-0.27626
86,1436472361698,-0.34053,-0.00123596,-0.156631
87,1436472361716,-0.341599,-0.0589142,-0.0605011
88,1436472361738,0.132645,-0.0578461,0.203323
89,1436472361757,1.16444,-0.114456,0.655136
90,1436472361777,2.2881,-0.00444031,1.03966
91,1436472361797,3.19279,0.109848,1.31416
92,1436472361817,4.24382,0.120529,1.44768
93,1436472361837,4.75331,0.277542,1.37184
94,1436472361856,4.84731,0.348038,1.3665
95,1436472361876,5.06841,0.382217,1.35368
96,1436472361895,4.62407,0.414261,1.18385
97,1436472361916,3.6179,0.453781,0.866623
98,1436472361938,1.90038,0.252975,0.67009
99,1436472361954,-0.33519,-0.0258026,0.288773
100,1436472361976,-1.02199,-0.144363,0.0345612
101,1436472361995,-0.554153,-0.105911,0.0783539
102,1436472362015,-0.336258,-0.0364838,0.170212
103,1436472362033,-0.464432,0.0372162,0.116806
104,1436472362054,-0.395004,0.0831451,0.158463
105,1436472362074,-0.293533,0.156845,0.09758
106,1436472362094,-0.100204,0.054306,0.0655365
107,1436472362114,0.228775,0.0254669,-0.0754547
108,1436472362133,0.405014,0.0756683,-0.110703
109,1436472362153,0.508621,0.0511017,-0.108566
110,1436472362173,0.471237,0.0478973,-0.0615692
111,1436472362193,0.241592,0.0617828,0.0687408
112,1436472362212,0.0771027,-0.0642548,0.11467
113,1436472362232,0.308884,-0.236221,0.191574
114,1436472362251,0.745743,-0.237289,0.177689
115,1436472362272,0.916641,-0.294968,0.288773
116,1436472362291,1.04161,-0.363327,0.352859
117,1436472362311,0.976456,-0.307785,0.349655
118,1436472362331,0.779922,-0.29924,0.38063
119,1436472362350,0.980728,-0.343033,0.416946
120,1436472362371,1.00529,-0.240494,0.296249
121,1436472362389,-0.0553436,-0.0781403,0.253525
122,1436472362410,-1.06792,0.0468292,0.197983
123,1436472362430,-1.96513,0.162186,-0.0455475
124,1436472362450,-2.92644,0.311722,0.109329
125,1436472362470,-3.38786,0.559525,0.461807
126,1436472362489,-3.76918,0.733627,0.34111
127,1436472362509,-3.81297,0.796646,0.0879669
128,1436472362529,-3.43486,0.585159,0.0922394
129,1436472362548,-2.61241,0.0788727,0.230026
130,1436472362568,-2.13924,-0.0599823,0.15419
131,1436472362588,-2.05165,-0.0247345,0.0505829
132,1436472362608,-1.84657,-0.115524,0.0708771
133,1436472362627,-1.41399,-0.166794,0.02388
134,1436472362647,-0.917313,-0.188156,-0.0188446
135,1436472362666,-0.566971,-0.1465,-0.0733185
136,1436472362687,-0.531723,-0.106979,-0.0487518
137,1436472362706,-0.581924,-0.125137,-0.0209808
138,1436472362726,-0.563766,-0.113388,0.00144958
139,1436472362746,-0.495407,-0.0493011,0.0783539
140,1436472362767,-0.328781,-0.0995026,0.125351
141,1436472362786,-0.104477,-0.150772,0.17662
142,1436472362806,0.158279,-0.158249,0.139236
143,1436472362826,0.27684,-0.153976,0.0997162
144,1436472362845,0.0877838,-0.145432,0.0302887
145,1436472362865,-0.0393219,-0.0717316,0.00144958
146,1436472362884,0.0792389,-0.0631866,-0.00923157
147,1436472362904,0.411423,-0.094162,-0.0102997
148,1436472362924,0.756424,-0.0717316,-0.0572968
149,1436472362944,0.791672,-0.0151215,-0.0861359
150,1436472362964,0.630386,0.0308075,-0.21431
151,1436472362982,0.610092,0.0297394,-0.187607
152,1436472363004,0.803421,0.0831451,-0.158768
153,1436472363024,1.06725,0.100235,-0.138474
154,1436472363043,1.39088,0.03508,-0.0989533
155,1436472363063,1.72093,-0.127274,-0.0754547
156,1436472363082,1.94844,-0.283218,-0.0455475
157,1436472363105,2.07768,-0.247971,0.0719452
158,1436472363123,1.79997,-0.0920258,0.163803
159,1436472363142,1.00957,0.0991669,0.270615
160,1436472363160,0.25441,0.139755,0.296249
161,1436472363181,-0.0115509,0.0521698,0.332565
162,1436472363201,0.121964,-0.0546417,0.385971
163,1436472363221,0.305679,-0.029007,0.422287
164,1436472363241,0.528915,0.0585785,0.40947
165,1436472363260,0.676315,0.0649872,0.390244
166,1436472363280,0.62825,0.0575104,0.374222
167,1436472363299,0.412491,0.0179901,0.32402
168,1436472363320,0.224503,-0.0225983,0.263138
169,1436472363339,0.191391,-0.00657654,0.221481
170,1436472363360,0.201004,0.00517273,0.180893
171,1436472363379,0.0856476,0.0105133,0.118942
172,1436472363401,-0.0179596,-0.00764465,0.130692
173,1436472363419,0.0717621,-0.0151215,0.117874
174,1436472363438,0.361221,-0.0375519,0.142441
175,1436472363458,0.750015,0.00730896,0.175552
176,1436472363476,1.22319,0.105576,0.246048
177,1436472363498,1.769,0.00730896,0.212936
178,1436472363514,2.57329,0.0681915,0.202255
179,1436472363538,3.2195,0.115189,0.216141
180,1436472363557,3.47798,0.158981,0.158463
181,1436472363577,3.67558,0.121597,0.253525
182,1436472363598,3.90416,0.0115814,0.361404
183,1436472363616,3.98106,-0.195633,0.336838
184,1436472363635,3.87532,-0.249039,0.216141
185,1436472363657,3.53993,-0.272537,0.0666046
186,1436472363676,2.38423,-0.388962,-0.184402
187,1436472363698,0.570572,-0.334488,-0.603104
188,1436472363716,-0.974991,-0.243698,-1.02074
189,1436472363735,-1.7654,-0.143295,-1.33049
190,1436472363755,-1.77394,0.026535,-1.5377
191,1436472363775,-1.19395,0.255112,-1.70967
192,1436472363794,-0.628922,0.534958,-1.83357
193,1436472363814,-0.0660248,0.687698,-1.80367
194,1436472363833,1.63976,0.608658,-1.45653
195,1436472363854,2.08409,0.375809,-0.936356
196,1436472363874,1.48381,0.680222,-1.21727
197,1436472363894,0.70195,0.691971,-1.05919
198,1436472363913,-0.0510712,0.656723,-0.944901
199,1436472363933,-0.311691,0.502914,-0.669327
200,1436472363953,-0.0980682,0.180344,-0.228195
201,1436472363972,-0.0104828,0.00837707,0.0826263
202,1436472363993,-0.486862,-0.1465,0.24498
203,1436472364013,-1.15443,-0.176407,0.177689
204,1436472364032,-1.37126,-0.160385,0.09758
205,1436472364051,-1.21104,-0.236221,0.0441742
206,1436472364071,-1.01131,-0.314194,0.0260162
207,1436472364092,-0.983536,-0.31633,-0.0167084
208,1436472364109,-1.06258,-0.297104,-0.175858
209,1436472364131,-1.20357,-0.273605,-0.355301
210,1436472364149,-1.2025,-0.130478,-0.462112
211,1436472364169,-1.03801,-0.0802765,-0.44075
212,1436472364190,-0.882065,-0.0236664,-0.441818
213,1436472364210,-0.633194,-0.00764465,-0.387344
214,1436472364232,-0.40889,0.054306,-0.28801
215,1436472364250,-0.107681,0.0511017,-0.177994
216,1436472364269,0.445602,0.0115814,-0.0904083
217,1436472364288,0.881393,0.158981,-0.226059
218,1436472364309,0.678452,0.117325,-0.282669
219,1436472364328,0.600479,0.0179901,-0.223923
220,1436472364348,0.856827,-0.0183258,-0.29335
221,1436472364368,1.00636,0.0201263,-0.192947
222,1436472364388,0.867508,0.0532379,-0.176926
223,1436472364407,0.54921,0.0788727,-0.204697
224,1436472364426,0.225571,0.107712,-0.187607
225,1436472364447,0.0098114,0.135483,-0.203629
226,1436472364466,-0.338394,0.122665,-0.251694
227,1436472364487,-0.57338,0.0735321,-0.207901
228,1436472364506,-0.716507,0.12587,-0.185471
229,1436472364527,-0.626785,0.129074,-0.12886
230,1436472364546,-0.565903,0.11412,-0.0434113
231,1436472364566,-0.778458,0.0831451,-0.059433
232,1436472364585,-1.08714,0.0916901,-0.0743866
233,1436472364605,-1.44176,0.132278,-0.176926
234,1436472364625,-1.26979,0.0511017,-0.165176
235,1436472364643,-0.844681,-0.0653229,-0.129929
236,1436472364665,-0.611832,0.0521698,-0.113907
237,1436472364685,-0.11409,0.0105133,-0.0839996
238,1436472364704,0.184982,-0.00764465,0.0249481
239,1436472364725,0.0642853,0.123734,0.0377655
240,1436472364742,-0.0884552,0.217728,0.0249481
241,1436472364763,0.0674896,0.163254,0.00999451
242,1436472364781,0.0867157,0.126938,-0.00389099
243,1436472364803,-0.0702972,0.146164,-0.0669098
244,1436472364823,-0.214493,0.0532379,-0.105362
245,1436472364843,-0.476181,-0.0161896,-0.137405
246,1436472364862,-0.622513,-0.048233,-0.12352
247,1436472364882,-0.744278,-0.0610504,-0.125656
248,1436472364902,-0.869247,-0.0695953,-0.149155
249,1436472364920,-0.817978,-0.102707,-0.130997
250,1436472364941,-0.641739,-0.118729,-0.0605011
251,1436472364960,-0.609695,-0.0802765,-0.0231171
252,1436472364981,-0.537064,-0.0824127,-0.0348663
253,1436472365001,-0.413162,-0.143295,-0.0380707
254,1436472365018,-0.459091,-0.202042,-0.0434113
255,1436472365039,-0.550949,-0.212723,-0.0605011
256,1436472365059,-0.558426,-0.226608,-0.0519562
257,1436472365080,-0.447342,-0.187088,0.00144958
258,1436472365099,-0.0841827,-0.153976,-0.00175476
259,1436472365120,0.202072,-0.199905,0.0644684
260,1436472365140,0.0664215,-0.197769,0.00679016
261,1436472365159,-0.0393219,-0.205246,0.0121307
262,1436472365178,0.0749664,-0.255447,0.0868988
263,1436472365199,0.205276,-0.250107,0.132828
264,1436472365218,0.402878,-0.211655,0.222549
265,1436472365236,0.555618,-0.181747,0.268478
266,1436472365259,0.680588,-0.150772,0.302658
267,1436472365276,0.976456,-0.16893,0.37529
268,1436472365297,1.47633,-0.332352,0.628433
269,1436472365317,1.38234,-0.252243,0.604935
270,1436472365337,1.45924,-0.375076,0.904007
271,1436472365357,0.943344,-0.408188,0.917892
272,1436472365376,0.335587,-0.396439,0.86235
273,1436472365396,-0.133316,-0.403915,0.796127
274,1436472365416,-0.307419,-0.39537,0.702133
275,1436472365436,-0.302078,-0.426346,0.573959
276,1436472365456,-0.178177,-0.434891,0.552597
277,1436472365475,-0.106613,-0.364395,0.515213
278,1436472365495,-0.305283,-0.273605,0.425491
279,1436472365515,-0.438797,-0.269333,0.353928
280,1436472365535,-0.41423,-0.270401,0.329361
281,1436472365554,-0.419571,-0.166794,0.316544
282,1436472365574,-0.319168,-0.123001,0.304794
283,1436472365593,-0.208084,-0.104843,0.273819
284,1436472365614,-0.306351,-0.117661,0.240707
285,1436472365633,-0.582993,-0.076004,0.211868
286,1436472365654,-0.738937,-0.0866852,0.223618
287,1436472365674,-1.11064,-0.160385,0.216141
288,1436472365693,-1.6447,-0.166794,0.145645
289,1436472365713,-1.80812,-0.110184,0.125351
290,1436472365733,-1.79637,-0.124069,0.0879669
291,1436472365755,-1.59877,-0.0471649,0.0965118
292,1436472365771,-1.29756,0.0308075,0.0836945
293,1436472365792,-1.35097,0.0457611,0.0751495
294,1436472365811,-1.73122,-0.00123596,-0.00175476
295,1436472365831,-1.66499,-0.0770721,-0.0434113
296,1436472365852,-1.27513,-0.20845,0.0527191
297,1436472365869,-1.3264,-0.244766,0.113602
298,1436472365891,-1.44496,-0.302444,0.0772858
299,1436472365910,-1.15764,-0.321671,0.160599
300,1436472365930,-1.26338,-0.403915,0.169144
301,1436472365950,-1.42039,-0.388962,0.163803
302,1436472365970,-1.54964,-0.273605,0.157394
303,1436472365989,-1.52614,-0.318466,0.192642
304,1436472366009,-1.15871,-0.323807,0.252457
305,1436472366029,-1.07646,-0.41246,0.348587
306,1436472366049,-1.18007,-0.33876,0.283432
307,1436472366069,-1.10423,-0.261856,0.367813
308,1436472366088,-0.866043,-0.211655,0.415878
309,1436472366108,-0.642807,-0.181747,0.509872
310,1436472366128,-0.582993,-0.145432,0.578232
311,1436472366149,-0.586197,0.0179901,0.600662
312,1436472366167,-0.707962,0.10878,0.594254
313,1436472366185,-0.479385,0.136551,0.606003
314,1436472366204,-0.434525,0.1483,0.660477
315,1436472366227,-0.811569,0.209183,0.643387
316,1436472366247,-1.13307,0.153641,0.438309
317,1436472366267,-1.66393,-0.0503693,0.297318
318,1436472366285,-1.97368,-0.12941,-0.0711823
319,1436472366306,-2.00572,-0.165726,-0.235672
320,1436472366326,-1.45885,-0.212723,-0.210037
321,1436472366345,-0.554153,-0.254379,-0.141678
322,1436472366363,0.0845795,-0.222336,-0.0626373
323,1436472366386,0.824783,-0.230881,0.0708771
324,1436472366404,1.64403,-0.142227,0.231094
325,1436472366424,2.17595,0.0115814,0.290909
326,1436472366444,2.17168,-0.106979,0.26741
327,1436472366464,2.00291,-0.13475,0.00572205
328,1436472366484,2.09157,-0.114456,-0.141678
329,1436472366502,2.16206,0.00730896,-0.266647
330,1436472366523,2.21333,0.211319,-0.463181
331,1436472366543,2.54445,0.141891,-0.597763
332,1436472366563,2.48997,0.250839,-0.776138
333,1436472366583,2.33083,0.246567,-0.970535
334,1436472366602,1.0854,0.406784,-1.37001
335,1436472366623,0.0738983,0.574478,-1.73637
336,1436472366641,0.519302,0.490097,-1.49284
337,1436472366662,2.161,0.418533,-0.955582
338,1436472366681,2.89265,0.343765,-0.677872
339,1436472366701,3.03258,0.486893,-0.683212
340,1436472366720,4.35704,0.660995,-0.260239
341,1436472366741,4.6465,0.540298,-0.0209808
342,1436472366761,3.23659,0.538162,-0.156631
343,1436472366781,1.87474,0.593704,-0.313644
344,1436472366801,1.21144,0.464462,-0.29335
345,1436472366819,0.73613,0.0617828,-0.409775
346,1436472366840,0.0311737,0.0393524,-0.659714
347,1436472366859,-0.168564,0.0553741,-0.647965
348,1436472366880,-0.0286407,0.0233307,-0.595627
349,1436472366899,0.335587,0.0489655,-0.459976
350,1436472366919,0.182846,0.212387,-0.51445
351,1436472366938,0.0269012,0.439896,-0.681076
352,1436472366958,0.573776,0.314926,-0.289078
353,1436472366979,0.438126,0.317062,-0.356369
354,1436472366997,0.369766,0.40892,-0.430069
355,1436472367018,0.90596,0.463394,-0.321121
