id,attr_time,attr_x,attr_y,attr_z
1,1436546010919,-8.75597,-3.18416,3.21121
2,1436546010939,-8.73392,-3.20392,3.28444
3,1436546010958,-8.68161,-3.15315,3.33867
4,1436546010979,-8.71849,-3.15189,3.42973
5,1436546011018,-8.74321,-3.13927,3.47136
6,1436546011019,-8.75781,-3.19395,3.45367
7,1436546011038,-8.81236,-3.21498,3.45457
8,1436546011077,-8.83337,-3.19933,3.4276
9,1436546011096,-8.76347,-3.17856,3.37466
10,1436546011117,-8.76781,-3.2117,3.3311
11,1436546011135,-8.78197,-3.16348,3.33499
12,1436546011157,-8.72659,-3.15907,3.26022
13,1436546011177,-8.72008,-3.13766,3.25748
14,1436546011196,-8.73158,-3.17892,3.14662
15,1436546011216,-8.74541,-3.16887,3.1402
16,1436546011235,-8.77078,-3.2253,3.12073
17,1436546011256,-8.76894,-3.16418,3.14632
18,1436546011275,-8.78648,-3.17255,3.2005
19,1436546011295,-8.79542,-3.16154,3.26923
20,1436546011314,-8.79214,-3.17802,3.35216
21,1436546011334,-8.75191,-3.18796,3.37328
22,1436546011354,-8.77214,-3.1745,3.46556
23,1436546011373,-8.77577,-3.18977,3.463
24,1436546011394,-8.74805,-3.24423,3.34264
25,1436546011412,-8.73666,-3.26309,3.30264
26,1436546011433,-8.74445,-3.21692,3.30423
27,1436546011452,-8.76752,-3.14247,3.33571
28,1436546011473,-8.7818,-3.25458,3.25641
29,1436546011493,-8.74158,-3.29135,3.22691
30,1436546011513,-8.78894,-3.13107,3.28096
31,1436546011532,-8.80894,-3.18752,3.19324
32,1436546011553,-8.68898,-3.2292,3.21988
33,1436546011572,-8.76858,-3.16379,3.27953
34,1436546011591,-8.76842,-3.2011,3.32799
35,1436546011612,-8.77661,-3.22197,3.36021
36,1436546011630,-8.76332,-3.21262,3.33873
37,1436546011651,-8.73999,-3.2509,3.40915
38,1436546011671,-8.78412,-3.23555,3.3493
39,1436546011691,-8.7939,-3.17567,3.38405
40,1436546011710,-8.7366,-3.1747,3.33928
41,1436546011728,-8.75401,-3.15883,3.32516
42,1436546011749,-8.74846,-3.13286,3.34201
43,1436546011769,-8.77115,-3.16104,3.31369
44,1436546011789,-8.82484,-3.16066,3.36736
45,1436546011809,-8.82483,-3.13585,3.35024
46,1436546011829,-8.8087,-3.19022,3.29327
47,1436546011849,-8.83563,-3.27472,3.2935
48,1436546011868,-8.69826,-3.27454,3.25217
49,1436546011888,-8.57764,-3.25314,3.12172
50,1436546011908,-8.53928,-3.21228,3.06639
51,1436546011928,-8.58533,-3.25359,3.10913
52,1436546011947,-8.69081,-3.28661,3.17822
53,1436546011968,-8.76445,-3.3116,3.20824
54,1436546011987,-8.85719,-3.34073,3.30623
55,1436546012007,-8.91919,-3.28703,3.36122
56,1436546012026,-8.81384,-3.21356,3.36592
57,1436546012045,-8.75635,-3.07455,3.42119
58,1436546012066,-8.77371,-3.00325,3.3808
59,1436546012085,-8.77718,-3.02388,3.3595
60,1436546012106,-8.82315,-3.04076,3.36543
61,1436546012125,-8.81351,-3.13849,3.28418
62,1436546012165,-8.82727,-3.14351,3.3365
63,1436546012185,-8.89812,-3.05632,3.43105
64,1436546012205,-8.88429,-3.00442,3.40167
65,1436546012223,-8.83647,-2.99597,3.28383
66,1436546012244,-8.82477,-3.01724,3.24823
67,1436546012263,-8.88648,-3.05965,3.17029
68,1436546012284,-8.85751,-3.16086,3.15892
