id,attr_time,attr_x,attr_y,attr_z
1,1436546581501,1.0995371,9.919776,-1.7070658
2,1436546581521,0.99778354,9.902418,-1.7393875
3,1436546581541,0.9516952,9.903615,-1.6992847
4,1436546581562,1.0097545,9.959281,-1.6591818
5,1436546581581,1.1043255,9.927557,-1.6849195
6,1436546581601,1.0582372,9.907207,-1.7166426
7,1436546581621,0.99658644,9.931149,-1.7567455
8,1436546581642,1.0055647,9.928156,-1.6932992
9,1436546581662,1.043872,9.951499,-1.6932992
10,1436546581682,1.1061212,9.9712515,-1.6992847
11,1436546581701,1.13964,9.876082,-1.6478093
12,1436546581721,0.99658644,9.916184,-1.745373
13,1436546581744,0.97384155,9.925163,-1.7322049
14,1436546581763,1.0528502,9.921572,-1.6801311
15,1436546581781,1.1617863,9.956287,-1.6328455
16,1436546581803,1.0408791,9.894637,-1.666963
17,1436546581821,1.0546459,9.921572,-1.7483658
18,1436546581843,1.06123,9.898827,-1.7010803
19,1436546581861,1.0055647,9.92636,-1.6950948
20,1436546581883,1.0845734,9.973646,-1.6400281
21,1436546581901,1.1043255,9.89344,-1.6358383
22,1436546581922,1.0749966,9.942521,-1.7340006
23,1436546581942,0.97144735,9.9233675,-1.7363948
24,1436546581964,1.0109516,9.9473095,-1.6579847
25,1436546581984,1.1306617,9.9550905,-1.6262615
26,1436546582004,1.0666169,9.900024,-1.6825253
27,1436546582022,1.0007763,9.900024,-1.7304093
28,1436546582042,1.0348936,9.955689,-1.7100586
29,1436546582063,1.0582372,9.927557,-1.6567876
30,1436546582084,1.0767922,9.923966,-1.6496049
31,1436546582104,1.0833763,9.932345,-1.6956934
32,1436546582124,1.0552444,9.956287,-1.7034745
33,1436546582144,1.0289081,9.919178,-1.6627731
34,1436546582162,1.0600328,9.949105,-1.6394296
35,1436546582186,1.1001357,9.939528,-1.6777369
36,1436546582207,1.0875661,9.917382,-1.7034745
37,1436546582223,0.99778354,9.922171,-1.7645266
38,1436546582244,1.0923545,9.92636,-1.6280571
39,1436546582265,1.0630256,9.946711,-1.6376339
40,1436546582285,1.073201,9.929952,-1.6699557
