id,attr_time,attr_x,attr_y,attr_z
1,1436546581517,-0.1328782,9.632472,-0.6775591
2,1436546581541,-0.090979666,9.561244,-0.59256494
3,1436546581557,-0.015562311,9.55885,-0.65301853
4,1436546581578,-0.06284779,9.564238,-0.65541273
5,1436546581600,-0.20590134,9.618107,-0.7134721
6,1436546581619,-0.077213004,9.626487,-0.7128736
7,1436546581641,0.049081136,9.610326,-0.5386954
8,1436546581658,0.034715924,9.518148,-0.56682724
9,1436546581681,-0.12808979,9.512163,-0.7104794
10,1436546581701,-0.22924481,9.619903,-0.63087213
11,1436546581721,-0.18375498,9.643845,-0.6428431
12,1436546581740,-0.034117375,9.618706,-0.5746084
13,1436546581761,0.04369418,9.56304,-0.6476316
14,1436546581781,-0.094570965,9.591172,-0.46926352
15,1436546581798,-0.2124854,9.5732155,-0.6775591
16,1436546581818,-0.20590134,9.595362,-0.7942764
17,1436546581841,-0.11133038,9.583391,-0.6159084
18,1436546581861,-0.050876785,9.594764,-0.4842273
19,1436546581880,-0.12569559,9.595961,-0.4997896
20,1436546581900,-0.18255788,9.564836,-0.6338649
21,1436546581922,-0.17298107,9.587581,-0.80205756
22,1436546581941,-0.0676362,9.625888,-0.6943185
23,1436546581960,-0.010175358,9.61691,-0.4177882
24,1436546581981,-0.11671733,9.593566,-0.5979519
25,1436546582001,-0.15442601,9.527127,-0.87089086
26,1436546582021,-0.10235212,9.560646,-0.82599956
27,1436546582041,0.022744916,9.577405,-0.6171055
28,1436546582060,0.024540568,9.58818,-0.4141969
29,1436546582081,-0.12749124,9.626487,-0.5327099
30,1436546582145,-0.21547815,9.559449,-0.8218097
31,1436546582146,-0.12210429,9.540894,-0.9068039
32,1436546582147,0.027533319,9.533711,-0.7386112
33,1436546582159,-0.008978256,9.643246,-0.3866636
34,1436546582178,-0.12090719,9.648633,-0.50517654
35,1436546582199,-0.17776948,9.572617,-0.7469909
36,1436546582219,-0.12988544,9.533711,-0.9600749
37,1436546582238,-0.01436521,9.595362,-0.6895301
38,1436546582264,0.0053869537,9.644443,-0.46028528
39,1436546582279,-0.09935937,9.616311,-0.44113165
40,1436546582299,-0.12449849,9.562442,-0.6997054
41,1436546582319,-0.074220255,9.572617,-0.8391677
42,1436546582338,-0.04129998,9.585785,-0.6087258
43,1436546582364,-0.074818805,9.624691,-0.4285621
44,1436546582380,-0.1376666,9.603742,-0.4997896
45,1436546582401,-0.12629414,9.554661,-0.760159
46,1436546582421,-0.093373865,9.586982,-0.84096336
47,1436546582442,-0.05686229,9.562442,-0.7320272
48,1436546582461,-0.022146367,9.603143,-0.4405331
49,1436546582481,-0.089782566,9.602545,-0.4973954
50,1436546582501,-0.109534726,9.616311,-0.7457938
51,1436546582523,-0.076614454,9.536105,-0.93373865
52,1436546582538,-0.03232172,9.558251,-0.6715736
53,1436546582559,-0.07062895,9.620501,-0.48123455
54,1436546582580,-0.11671733,9.624092,-0.480636
55,1436546582598,-0.15682021,9.549872,-0.76195467
56,1436546582622,-0.11851298,9.561843,-0.88166475
57,1436546582641,-0.022744916,9.64145,-0.6015432
58,1436546582661,-0.04070143,9.671976,-0.40222588
59,1436546582682,-0.11432313,9.596559,-0.6841431
60,1436546582702,-0.12868834,9.509769,-0.94930094
61,1436546582722,-0.074818805,9.536105,-0.830788
62,1436546582739,-0.036511578,9.565434,-0.5758055
63,1436546582762,0.0035913025,9.586982,-0.45310268
64,1436546582782,-0.023343466,9.559449,-0.7194576
65,1436546582802,-0.10654198,9.572019,-0.7930793
66,1436546582821,-0.13826515,9.586982,-0.7529764
67,1436546582846,-0.089184016,9.661202,-0.5279215
68,1436546582907,-0.062249243,9.656414,-0.4770447
69,1436546582908,-0.10414778,9.602545,-0.57640404
70,1436546582909,-0.13826515,9.548675,-0.7930793
71,1436546582923,-0.12689269,9.533113,-0.8463503
72,1436546582941,-0.040102877,9.598354,-0.59495914
73,1436546582965,0.04129998,9.613318,-0.47225627
74,1436546582980,-0.037110128,9.594764,-0.57400984
75,1436546583001,-0.11552023,9.582792,-0.7715315
76,1436546583021,-0.13347675,9.559449,-0.83976626
77,1436546583039,-0.088585466,9.5798,-0.52852005
78,1436546583059,-0.037708677,9.640852,-0.5177461
79,1436546583080,-0.05746084,9.642648,-0.6823475
80,1436546583103,-0.08499416,9.527725,-0.85772276
81,1436546583121,-0.12030864,9.537302,-0.6775591
82,1436546583142,-0.11312603,9.624092,-0.50038815
83,1436546583161,-0.014963761,9.645041,-0.59855044
